::SedmidubskyBDZ08 ::22850545 
::Johannes ::Yamini 
::Georgiadis ::ChenSZ05 
::Regular ::Environmental 
::841 ::KamelF94 
::Matches ::Assent 
::Modern ::Aboulnaga 
::280 ::sigir 
::22851120 ::James 
::the ::Acquisitional 
::Dittrich ::Rebecca 
::Renner01 ::1563 
::Stolte ::Valduriez 
::Outstanding ::341 
::15310271 ::P116 
::Privacy ::Maximal 
::Mahajan ::Bosworth 
::Acharya ::89 
::StockmeyerM73 ::Xiao 
::Wolf ::CareyD96 
::655 ::LindsayHM86 
::22851144 ::Hmmer 
::22851144 ::Enderle 
::65 ::Passing 
::KornSFSP96 ::22850958abs 
::Linear ::temporal 
::339 ::Brian 
::Simoudis98 ::Kesheng 
::Curves ::1354 
::Ioannis ::Hierarchical 
::MIC ::Srivastava 
::4497558 ::Bertino 
::MohanAGK95 ::Hetal 
::22851133 ::Iwen 
::Wensheng ::Hui 
::Graphs ::Relational 
::Salzberg ::Bianca 
::462 ::Feltes 
::863 ::22850705abs 
::IpeirotisNCG05 ::Scientific 
::Microarray ::Has 
::Salvatore ::Expression 
::JainMTC95 ::Benjelloun 
::ChenCRM06 ::Delta 
::DBLP ::Attribute 
::ipsj ::22851024abs 
::BorkarCELWW08 ::15310212abs 
::Autonomy ::X05o 
::Benjelloun ::SilbersteinBY06 
::TsatalosSI94 ::P436 
::Specifications ::WuEDCKAS08 
::HSI ::AgrawalAS93 
::63 ::Ari 
::IBM ::dke 
::1000 ::914842 
::Record ::Chasing 
::Xiaowei ::Vassilios 
::HjelsvoldM94 ::Jens 
::Reverse ::Akshat 
::Time ::LiuM96 
::Ubiquitous ::Cooper 
::P550 ::Netz 
::Davidson ::HuaYL06 
::Gupta98 ::Declustering 
::YuHC05 ::Samet90 
::jodl ::Wolf 
::XCut ::Henrich98 
::LeungMSVVZ93 ::IshikawaIKH92 
::Mengchi ::EltabakhEA06 
::WangZZ06a ::Dictionary 
::Wavelet ::P192 
::142 ::4497457 
::ZukowskiHNB06 ::Chain 
::Acquisitional ::958 
::Fernandes ::Teubner 
::Divyakant ::YanZHY06 
::Patrick ::22851148abs 
::901 ::Jenkin 
::49 ::LjosaS08 
::Quantitative ::ZhangYST06 
::Tsukamoto ::OCallaghanMMMG02 
::RoitmanGR08 ::Yueguo 
::149 ::Calders 
::Xu ::Extending 
::Controlled ::SarmaTW08 
::Avoiding ::Clients 
::Roitman ::Megiddo 
::Filling ::Eric 
::ChaudhuriNS02 ::Pfoser 
::Trade ::Everyplace 
::Ahn08 ::Stratis 
::56 ::Multivariate 
::Charging ::Mukherjee 
::Methodical ::P380 
::Scrutinizing ::P380 
::4497464 ::HanMWS01 
::Sarawagi95 ::Hope 
::KashaniS08 ::Microarray 
::Jrg ::1486 
::Historical ::Wiederhold 
::Peiya ::1124 
::BargaL01 ::HungDS05 
::Phrase ::Cabibbo 
::DingCRTHC08 ::Algebraic 
::Graham ::Hernndez 
::Dinesh ::Histogram 
::IshikawaYIK96 ::Document 
::Damianos ::Frequency 
::267 ::Hidden 
::Amrish ::RoitmanGR08 
::Colors ::1122 
::FaloutsosL95 ::Tania 
::BanerjeeC98 ::Added 
::Spatscheck ::KotidisSV06 
::22851141 ::Ryvkina 
::ChanFLNR82 ::15310279 
::KamelF93 ::1354 
::22850552abs ::RoussopoulosKV95 
::4497585 ::Gounaris 
::Principled ::IvesT08 
::GrayBLP96 ::Image 
::Friendly ::BestPeer 
::Link ::Primary 
::Tung ::Assurance 
::Annotating ::ChenDYR08 
::Ramamirtham ::Multiresolution 
::15310279 ::217 
::Pessimist ::inWireless 
::Hoyoung ::Configurable 
::Du ::Schema 
::Methods ::Kreher 
::BhideCGGMPRRS08 ::4497495 
::Jun ::Pan 
::Grtner ::22851122abs 
::Curves ::Barzan 
::Isolation ::307 
::Vikram ::24 
::P259 ::Optimized 
::1358 ::Fernandes 
::KahveciS01 ::Kemper 
::Content ::Cox 
::485 ::Leh 
::22850865abs ::SpinCircuit 
::Alternative ::PetitTBK96 
::Nanni ::LangOKT98 
::WuXTL06 ::186 
::Avoiding ::Sven 
::SaltonG83 ::475 
::Nabar ::MUSE 
::Mlivoncic ::Balazinska 
::PanZW08 ::Lochovsky 
::15310639abs ::ER 
::Gone ::Imprecision 
::Khalifa ::WangZZ06a 
::ZouSL98 ::isci 
::587 ::Uncertainty 
::Mengsheng ::YiN05 
::Riedewald ::Sequences 
::942 ::Condensed 
::World ::SayedRM06 
::22851143abs ::Salzberg88 
::Overcoming ::MehrLLS08 
::Sreeram ::Bo 
::Mohan90 ::7 
::BerchtoldBKK97 ::279 
::10010173abs ::Mylopoulos 
::4497428 ::Matching 
::eBusiness ::Hongtao 
::Vassilis ::1531 
::22851148abs ::DewriRRW08 
::Neeraj ::RoschGL08 
::its ::Athitsos 
::S ::ChanFLNR82 
::Tight ::Akihiro 
::Kendig ::SistlaYV97 
::PF91 ::Pham 
::Karlsson ::1567 
::Lars ::Ganesan 
::Amlie ::Constrained 
::4497526 ::MannilaT97 
::Pankaj ::Akrivi 
::AgrawalLSS95 ::Mohan94 
::SchmidtKW01 ::Cubing 
::4497500 ::SilbersteinBEMY06 
::Kanoulas ::Yu 
::Suel ::Bursty 
::Realization ::GruberKP01 
::774 ::HacigumusMI02 
::1200 ::Manolescu 
::Govindan ::230 
::Markov ::Ladin 
::Publishing ::Pattern 
::Isaac93 ::NambiarK06 
::15310275 ::Stahl98 
::Queries ::Helen 
::Past ::Walk 
::IMPrECISE ::BunemanDFS97 
::Jeyashankher ::Welch84 
::Skippy ::Biased 
::1208 ::Yingqi 
::Jianlong ::Harchol 
::icde ::LieuwenD91 
::ZivL77 ::4497622 
::code ::Kotidis 
::Kesheng ::Plans 
::KhoussainovaBS08 ::P392 
::1592 ::Program 
::Jacobsen ::NguyenKF08 
::Haibo ::X08 
::Hammer ::Jure 
::Ding ::4497410 
::Mor ::Milan 
::FriedmanBF77 ::388 
::LiuHXS06 ::Hutchison 
::Salt ::Yasushi 
::Antoni ::Indicators 
::Publish ::22850326abs 
::Suleiman ::Shapes 
::Hett ::Provisioning 
::Hiroaki ::Freiwald 
::MorishimaNISK08 ::CareyHMW96 
::Nuwee ::Raymond 
::Containing ::Bonifati 
::Walk ::Essence 
::P054 ::LeeE01 
::914809 ::22851144 
::Venn ::Bundles 
::Warner ::sub 
::Ha ::Expressivity 
::Saake ::Zaniolo 
::ZhugeG98 ::For 
::113 ::Terracina 
::Srini ::1424 
::Sanjay ::Ioannidis 
::Growth ::Paolo 
::Yamini ::DayalHL91 
::547 ::Lupu 
::Set ::Balaporia 
::237 ::Chitta 
::581 ::4497496 
::1053 ::Kraus 
::1522 ::Robert 
::Implementing ::DeWittKLPY94 
::P494 ::HartDV88 
::Transparent ::CastroN08 
::BrownH06 ::General 
::4497414 ::1001 
::BergD95 ::sigir 
::Pervasive ::Probabilistic 
::Mano ::22851048abs 
::1286 ::Caches 
::GubanovBM08 ::Ramez 
::773 ::cikm 
::AntonyWAA08 ::Nail 
::Cochinwala ::8 
::Pervasive ::Reorganization 
::22850939abs ::Main 
::BronczWK98 ::cdrom 
::Syan ::PabmanabhanG06 
::Meng ::Indrajit 
::GuhaKSY06 ::Ordering 
::Cobena ::15310403abs 
::Development ::773 
::Ontology ::1450 
::Lizhu ::PalopoliTU01 
::Perego ::AgrawalCD02 
::914856 ::Officers 
::Iyer ::WangZZ06a 
::QShuffler ::P164 
::CareyD96 ::Moerkotte 
::Roelof ::Simitsis 
::Karl ::Spannagel 
::Discriminant ::KohLHA08 
::RoussopoulosL85 ::Shasha 
::Whang ::231 
::BouganimFV96 ::linear 
::Sakuma ::Ives 
::BerchtoldBKK97 ::Sriram 
::Sashikanth ::Weihl88 
::Singer ::170 
::Reorganize ::IshikawaK93 
::Construction ::Lo 
::Context ::Multi 
::33 ::BrownH06 
::Queries ::future 
::SCADDAR ::BrantnerHKM05 
::Gang ::Methodical 
::Nimble ::Defined 
::url ::Relationship 
::Response ::ChorLRS86 
::Neeraj ::Felix 
::Osman ::15310005abs 
::1494 ::JohnsonS97 
::popl ::Thiagarajan 
::1382 ::Automatically 
::Saltenis ::298 
::ObermeierBHCS08 ::Liadan 
::Chang82 ::Markov 
::AutoLag ::22851118abs 
::Warren ::Debate 
::Alex ::RDMS 
::Condensed ::Randomized 
::87 ::190 
::Alkis ::BlockeelCFGP08 
::Prado ::Chandel 
::Warehousing ::244 
::1620 ::Tien 
::Sebastian ::LynchS88 
::15310141abs ::Elmeleegy 
::505 ::Wombacher 
::SistlaYV97 ::873 
::Xifeng ::Configurable 
::Jin ::Shantanu 
::RoitmanGR08 ::Fernando 
::Mi ::643 
::4497578 ::4497618 
::518 ::ChaudhuriNR08 
::Ownership ::Thalhammer 
::Pull ::422 
::PeiroASW98 ::Source 
::Deligiannakis ::Georgiana 
::Rizzolo ::1125 
::Stonebraker91 ::ArocenaM98 
::4497504 ::Per 
::rtdb ::Martinenghi 
::1346 ::876 
::HoweM05 ::Alon 
::Transactions ::Concurrency 
::WatanabeY05 ::HirataHTK96 
::Hiroomi ::Relationship 
::4497635 ::KanoulasDXZ06 
::Lag ::DakkaI08 
::Dumas ::Chow 
::RaoM06 ::Indexing 
::255 ::4497609 
::Rabindra ::NussbaumerPSS95 
::Christine ::Shi 
::475 ::Srilekha 
::Draper01 ::Experiences 
::Strict ::XiaZT08 
::Image ::LeuteneggerEL97 
::ChengCMC08 ::DayalHL91 
::Xiaoming ::OntoWebber 
::914849 ::Amit 
::Analytical ::97 
::AcharyaFZ96 ::XPaths 
::AbiteboulMPPS08 ::Shuigeng 
::Karras ::gis 
::OGormanAA02 ::Robert 
::YuHC05 ::827 
::Incremental ::Durmaz 
::Cubes ::CormodeIKM02 
::15310272 ::Workflow 
::XuEKS98 ::NaumannHTHM02 
::McCann ::73 
::Estimator ::Arasu 
::Hai ::tods 
::1575 ::15310369abs 
::Polyzotis ::Govindan 
::365 ::Anastasios 
::Coordinated ::Louiqa 
::1129 ::Pradeep 
::Conference ::Utilization 
::15310507abs ::339 
::205 ::473 
::Updating ::Xiaoming 
::Soo91 ::Hang 
::Gruber ::Sky 
::15310278 ::DeligiannakisSKVD08 
::Air ::MaierS86 
::Shen ::Jonathan 
::Houman ::Arun 
::OLE ::LometS89 
::btw ::Fits 
::WangZ02 ::22851143abs 
::DakkaI08 ::Behzad 
::Labeling ::1287 
::141 ::Koki 
::22850261abs ::Karlsson 
::Periods ::Bhavani 
::Murat ::Evimaria 
::Ganesh ::Placement 
::Lijiang ::Estan 
::Transfer ::Seluk 
::ChenC08 ::15310276 
::Daxin ::Tripod 
::4497474 ::cover 
::Gyllstrom ::Nrvg 
::Trajectory ::1032 
::4497399 ::198 
::Euthimios ::Sardar 
::ShaLJ88 ::GADT 
::XiongA06 ::142 
::28 ::XinH08 
::Alink ::1073 
::Aggarwal08 ::914838 
::Distance ::27 
::Selectivity ::Kasthurirangan 
::Adjoined ::Nested 
::Renato ::638 
::LeuteneggerEL97 ::Squicciarini 
::Pavan ::4497443 
::LiedesW06 ::Dina 
::Rank ::Transparent 
::Gustavo ::15310262 
::Application ::Goh 
::bncod ::CLICKS 
::283 ::Improve 
::Shivnath ::OntoWebber 
::Yuan ::QShuffler 
::ATM ::309 
::XiaZT08 ::Fusheng 
::EsterKSX96 ::Extensions 
::asplos ::Foundations 
::180 ::Tradeoffs 
::Hsu ::15310277 
::Sakellariou ::1453 
::OptRR ::914825 
::Seluk ::Balmin 
::Novak ::KanagalD08 
::support ::Behzad 
::Aboulnaga ::Shivakumar 
::Supratim ::Donald 
::CareyHL93 ::Enterprise 
::TirthapuraA05 ::Ian 
::QiaoRNPCFRCYL08 ::Hamid 
::Algorithm ::1460 
::Better ::Kamesh 
::Gudes ::Spatiotemporal 
::Kendig ::651 
::Hazem ::Chaudhuri 
::Logging ::Exactly 
::22850186abs ::icde2001 
::Microarray ::DasCWAS08 
::InstantDB ::P402 
::Damdinsuren ::SizovSTW02 
::GionisMT08 ::Harold 
::MAPLE ::LinVM06 
::1575 ::4497462 
::All ::1521 
::Fosca ::1534 
::Alpa ::Point 
::Dongwon ::StoumposDKD08 
::KhalifaJPWKS02 ::Datar 
::Rakesh ::22850754abs 
::KohLHA08 ::ZhangTS02 
::15310029abs ::KornackerB95 
::Fingertips ::4497433 
::multimedia ::Riemenschneider 
::1229 ::Marts 
::RDB ::Are 
::GriffithsFPJDM05 ::LangOKT98 
::873 ::WangZZ06a 
::Feida ::MolinaKS98 
::Mitschang ::Inseok 
::22850742abs ::Arjen 
::Chaudhary ::Mukesh 
::1396 ::Your 
::DrapeauK93 ::Atzeni06 
::15310583abs ::BurdickCG01 
::Sun ::CormodeKT08 
::Engovatov ::Easy 
::528 ::DahlinWAP94 
::ijcai ::Views 
::1296 ::MobiQual 
::ieeemm ::SchmidtJS06 
::AssfalgKKKPR08 ::15310507abs 
::471 ::4497503 
::Better ::KotidisSV06 
::P568 ::Garcia 
::Prefiltering ::CocciTDS08 
::Batra ::Aritsugi 
::Traceability ::Fjording 
::temporal ::36 
::P164 ::Castro 
::Zuzarte ::107 
::GeorgakopoulosHM96 ::It 
::914809 ::1420 
::Samuel ::WangXHZWZS08 
::914855 ::Chaplin 
::9 ::Banich 
::914825 ::AggarwalCH06 
::Vaithyanathan ::Euthimios 
::Shah ::Datasets 
::Sergio ::Redbrick 
::Scene ::OSSM 
::Changes ::Feltes 
::4497505 ::Stonebraker 
::Dictionary ::Kevin 
::Bressan ::513 
::LindsayHM86 ::Sergio 
::LieuwenD92 ::4497572 
::LakshmananRS08 ::122 
::P180 ::Store 
::Zhe ::4497414 
::92 ::Mathew 
::AbiteboulHB99 ::15310129abs 
::Prefetching ::Takuya 
::Transaction ::1572 
::15310483 ::TangYOW08 
::ChangSZS97 ::HeinemanK97 
::DBMS ::DHT 
::4497436 ::Underprovisioned 
::Fastest ::67 
::4497526 ::625 
::ddb ::4497412 
::Singer ::PermJoin 
::Omran ::1491 
::BohmHLW08 ::ReichertRKD05 
::1000 ::Sequences 
::587 ::22850518abs 
::991 ::Approximate 
::Jianmin ::1189 
::Sugata ::459 
::Suel ::Extensions 
::4497599 ::Mu 
::Jost ::Khaled 
::Lists ::LegariaGGHSWYZZ08 
::SrikantA95 ::783 
::22851061abs ::Sreeram 
::Outerjoin ::4497543 
::Infrasturucture ::XingZH05 
::Akinde ::Nishio 
::ZhouP08 ::412 
::WongA85 ::Consistent 
::Vassalos ::Jiefeng 
::667 ::22851111abs 
::Reinhard ::372 
::Schek ::Xingquan 
::Aleksandra ::An 
::Hung ::James 
::211 ::Cunningham 
::Jagadish91 ::Strategies 
::Background ::DanK95 
::Palopoli ::Pathak01 
::AssfalgKKKPR06 ::LakshmananSS97 
::Interface ::Kamath 
::191 ::SardarK06 
::Silvia ::4497580 
::297 ::KatayamaS97 
::Jure ::Willy 
::Regions ::Francesco 
::Corey ::PuKH88 
::Leymann95 ::Yanjiang 
::Answers ::4497444 
::Hybrid ::Dao 
::Peters ::Iida 
::FerlezFLMG08 ::TokOLAB02 
::914833 ::22850217abs 
::914840 ::645 
::1119 ::Prcis 
::AcharyaGJKST08 ::Hsiao 
::FlescaFG02 ::Benjelloun 
::Leung01 ::Operator 
::Mohan96 ::1115 
::Limited ::Gyu 
::PapakonstantinouAG96 ::Kanad 
::Synopses ::YaminiG05 
::Luis ::BarbaraI94 
::Eike ::Classification 
::Arnon ::Nambiar 
::Guan ::Pseudo 
::Aoki98 ::Holistic 
::Nita ::71 
::Pushpraj ::4497565 
::Siersdorfer ::Murat 
::Flow ::218 
::tit ::521 
::Meng ::1124 
::Sharma ::AgrawalCD02 
::Maximum ::Beyond 
::XM ::Arbitrary 
::48 ::Bhowmick 
::Big ::274 
::0003 ::Tamino 
::Author ::Abiteboul 
::Loops ::ZhouTZ06 
::MyllymakiL95 ::Schek 
::Madlmayr ::Stacie 
::QPipe ::Hsiung 
::Diversity ::346 
::4497481 ::Infrasturucture 
::Marx ::Naomi 
::ArbitraryWindows ::AlonsoBPHK01 
::ModelGen ::doi 
::514 ::4497595 
::Shan ::1317 
::Extra ::WangXHZWZS08 
::Terabyte ::Powerful 
::336 ::Dongwon 
::Uemura ::Suel 
::ssd ::CareyDN93 
::Stabbing ::MehrLLS08 
::Konrad ::HardwickSRM97 
::GedikWY08 ::Wolfson 
::Satkin ::YiuJHL08 
::Enterprise ::Fuzzy 
::Snodgrass ::Zilio 
::914842 ::Integration 
::Java ::ShenSCT06 
::Feltes ::Haruo 
::Pratik ::TirthapuraA05 
::914823 ::1510 
::Amr ::Control 
::Rosy ::Koloniari 
::Hieu ::Winter 
::1616 ::87 
::Grahne ::P550 
::1415 ::Melliyal 
::Cloaked ::GuoSBS05 
::883 ::4497448 
::Obermair ::HjaltasonS95 
::220 ::gis 
::BernsteinN96 ::Jindan 
::205 ::Mukesh 
::Assuring ::PETRANET 
::487 ::Multiresolution 
::Frequent ::Library 
::Shuqing ::Physical 
::ChaudhuriGKLLM98 ::FarragO89 
::Form ::1385 
::JinZLWS06 ::MahajanDNAM98 
::Butterfly ::278 
::Meisen ::1623 
::Amza ::Sarbanes 
::Clip ::Kyuseok 
::Stephan ::Henry 
::22850353 ::Prefiltering 
::Distributed ::Abbadi 
::Hoffmann ::Parallelizing 
::1457 ::43 
::KistlerS91 ::4497613 
::Lewis ::914871 
::Foundations ::Xueqing 
::Sundaresan ::Transcoding 
::intensive ::Labeling 
::17 ::110 
::NgOT02 ::BouganimFPV01 
::1325 ::Rishe 
::22850742abs ::Junghoo 
::Analytical ::Now 
::1587 ::22850742abs 
::Satisfying ::Approximated 
::Weis ::Attacks 
::GongYQZ05 ::15310639abs 
::Memoriam ::15310498 
::AikenCSW96 ::P201 
::MehrotraG93 ::Gryz98 
::NgR95 ::LanOT02 
::22851148abs ::Descriptions 
::DebLRS08 ::Knuth73a 
::BunemanDS95 ::Balakrishna 
::LiBRHCN05 ::JefferyAFHW06 
::VaradarajanHR08 ::year 
::Masaaki ::BargaL01 
::15310166abs ::369 
::Paradigm ::74 
::ssd ::59 
::ZhouYGCD08 ::NagarajNRS08 
::Bradley ::Diao 
::4497522 ::Software 
::Gupta98 ::VenkataramanLN95 
::SalzbergT96 ::Trade 
::Cart ::AikenCSW96 
::Chon ::Goh 
::Bo ::22851144 
::Definitions ::Gregory 
::Cheng ::StockerKBK01 
::4497617 ::Franoise 
::Vilhuber ::193 
::Xiaolei ::4497541 
::Available ::ATM 
::Guestrin ::Pinar 
::Leakage ::Designing 
::Erhard ::GantiCM05 
::Riccardo ::Vinayak 
::ChanFLNR82 ::Mokbel 
::Alvaro ::wi 
::SchmidtKW01 ::13 
::between ::Traceability 
::icdcs ::WangLPAM06 
::AgrawalFS93 ::Ansorge 
::4497617 ::Prodromos 
::Thresholds ::Wloka 
::Leutenegger ::MishraE92 
::Wayne ::LaiTB05 
::Rys ::124 
::Dhruv ::HuangJLO06 
::Ooi ::Monica 
::Masaaki ::Maya 
::Brown ::MohanKSW06 
::oodbs ::Automating 
::LentSW97 ::Ang 
::BestPeer ::4497531 
::Novak ::AgrawalFS93 
::685 ::1427 
::KhalifaJPWKS02 ::15310639abs 
::P054 ::RantzauM06 
::using ::sigmod 
::Aware ::IvanovaKN08 
::Chengyu ::1426 
::Meta ::Brantner 
::Autonomous ::Architectures 
::Kobayashi ::329 
::meets ::RoschGL08 
::22851102abs ::StreamingWindow 
::ProcopiucS08 ::KriegelKPR06 
::4497450 ::BabuDM08 
::4497631 ::Cahill 
::Judice ::Evolution 
::15310309abs ::ONeilQ97 
::15310273 ::Jagannath 
::Fatih ::Vana 
::Cloaked ::545 
::Yoshinori ::WongA85 
::4497491 ::Shirani 
::77 ::Schneider05 
::SayalCDS02 ::mk 
::Cochinwala ::WuB98 
::Handling ::Newton 
::integration ::22850991abs 
::Randal ::Wensheng 
::Orenstein91 ::SAP 
::695 ::Nina 
::487 ::Frequency 
::Manfred ::MarcusS96 
::LiC98 ::1375 
::KoutrikaI05 ::4497465 
::Wilfred ::Closest 
::BorgBG83 ::Outlier 
::Yanjiang ::Flooding 
::Compiled ::914873 
::Duan ::Krishnamurthy 
::15310273 ::1432 
::Ferlez ::EsterKSX96 
::Party ::btw 
::Kou ::913 
::Marcin ::Saydean 
::Tsaparas ::P069 
::Zuo ::VaradarajanHR08 
::Madhyastha ::KoutrikaSI06 
::340 ::Ad 
::Mehta ::Vries 
::803 ::Cost 
::Nimrod ::AbiteboulCCMMS97 
::Pontieri ::ProcessingWindow 
::Linfeng ::802 
::Benatallah ::Extended 
::KilgerM94 ::Haggai 
::ds ::Acquisitional 
::AhmadN08 ::ONeilQ97 
::KreplinZ01 ::Non 
::371 ::Akinde 
::P144 ::Training 
::Places ::205 
::Toon ::Natix 
::1337 ::1459 
::Trombetta ::Barbara 
::Alexe ::Soccer 
::acm ::Partial 
::HellersteinNP95 ::4497460 
::804 ::Triantafillou 
::Sandra ::367 
::1486 ::Pajarola 
::1433 ::Kristen 
::databases ::Ari 
::Sales ::Percy 
::ZhangG08 ::418 
::28 ::Stefano 
::655 ::LiLL08 
::268 ::Yibei 
::554 ::Wei 
::AnciauxBHPA08 ::Nrvg 
::Kotidis ::Annotating 
::X06b ::Ives 
::Microarray ::Skyt 
::FaloutsosB93 ::Vlachos 
::Weighted ::El 
::Mukherjee ::DeshpandeH08 
::1373 ::Producing 
::Naga ::180 
::22851113 ::ChenGK05 
::Ari ::Munagala 
::MannilaR86 ::ArefS94 
::Matrix ::Dyreson 
::ChenC92 ::SVL 
::4497520 ::Vassalos 
::Amitabh ::FaloutsosL95 
::4497453 ::AlonsoAAKGM96 
::Bee ::Percy 
::1352 ::1100 
::Changes ::Nabar 
::4497483 ::P182 
::Preservation ::Zuo 
::NguGBCDB02 ::icmcs 
::Chawathe ::CareyDNAGS97 
::MelnikGR02 ::Cappellari 
::JohnsonK84 ::Kahn 
::Management ::tiered 
::ChenL02 ::Definition 
::ChandraV85 ::Fung 
::Takahiro ::Sarvjeet 
::Wiederhold92 ::CareyDNAGS97 
::Local ::4497590 
::ColbyCHJJMSW98 ::Anonymization 
::How ::4497461 
::Hamid ::922 
::ConsensRV08 ::Hang 
::Shawn ::Keith 
::BernsteinGW93 ::Construction 
::Haejoong ::Preservation 
::Extended ::Srikanta 
::Suchanek ::SNAP 
::22850217abs ::4497417 
::HeS06 ::Athitsos 
::577 ::VaradarajanHR08 
::Mohamed ::Xiaoyong 
::1149 ::Semantic 
::Mladenic ::Aritsugi 
::4497593 ::784 
::22851013abs ::Output 
::Choreographies ::ICDE 
::Stabbing ::Ad 
::Pitoura ::LeungWL89 
::IWill ::Westmann 
::Scott ::Lapped 
::Outlier ::Filtering 
::ATM ::Bentley75 
::HP ::Accessible 
::Marianne ::ReissH06 
::Valduriez ::Arocena 
::CareyL91 ::Weikum91 
::Alomari ::4497461 
::Shinjiro ::1349 
::4497623 ::Volumes 
::Verma ::HaraHTN98 
::Acharya ::Developing 
::827 ::4497470 
::1397 ::RajaramanSU95 
::Xiaopeng ::22850273abs 
::VrhovnikSES08 ::Prado 
::4497559 ::Kou 
::Lehner ::Jagan 
::Citizens ::RotemZ95 
::Motion ::Janne 
::Hammad ::Arbee 
::Zhuge ::Shiroh 
::AgrawalCD02 ::Checking 
::Ramamritham ::1101 
::Murali ::HeS06 
::Ziarko91 ::Davulcu 
::Sobulo ::Ganesan 
::LehnerCPZ01 ::WangRL08 
::Reducing ::Hellerstein 
::Nehme ::Lomet92 
::AutoGlobe ::914824 
::BerchtoldBBKK97 ::Junghoo 
::2001 ::Schubert 
::Nuwee ::MannilaR94 
::122 ::Weighted 
::Stphane ::Partially 
::Zahir ::Wisnesky 
::Demand ::AgarwalADGNRS96 
::Yuanyuan ::Ashutosh 
::Guided ::Yip 
::914870 ::Torben 
::Silberschatz ::Forms 
::Crawling ::Ying 
::Amarnath ::Zadrozny 
::1619 ::1106 
::ShahR08 ::Dasgupta 
::FarragO89 ::Scrutinizing 
::Curt ::Nishio 
::791 ::AmarmendAK06 
::Roussopoulos ::Vivek 
::Suppression ::WangL08 
::Delta ::Reduction 
::Shu ::Shasha 
::15310267 ::DelcambreMBDWGALL01 
::179 ::VeeSSBA08 
::Demand ::Mayur 
::Freire ::Lead 
::Fan ::Convoy 
::dpds ::Realization 
::Domain ::Yongluan 
::Range ::RamamrithamSSTX96 
::Alexandros ::SmythG91 
::Preserving ::Histories 
::Gukal ::Pham 
::Claudio ::1492 
::Nabeel ::Content 
::Ahn08 ::Processes 
::120 ::Naga 
::Papakonstantinou ::Resources 
::Component ::Recently 
::Johnson ::1498 
::Primitive ::Ding 
::Safeguarding ::IshikawaK93 
::Worldwide ::P126 
::97 ::369 
::4497561 ::Gong 
::Subarna ::inWireless 
::914819 ::Cable 
::Kulik ::SkytJP02 
::Elegant ::PapadopoulosM97 
::15310103abs ::Shuang 
::Crawler ::Lei 
::EvangelidisLS95 ::HouleS05 
::Labels ::Your 
::485 ::1516 
::RDB ::Optimize 
::Lomet98 ::Mamoulis 
::LeeHL08 ::Device 
::4497588 ::125 
::Data ::323 
::Telematics ::225 
::Zabback ::Mirco 
::RabinovichBGLMM98 ::15310492 
::Analyzing ::519 
::Preda ::Hammer 
::15310235abs ::Luigi 
::P284 ::MaH01 
::YanZHY06 ::Function 
::BestR85 ::Hailong 
::Davey ::RDBMS 
::Ramamritham ::KoutrikaSI06 
::Boualem ::Alink 
::efficient ::Tarik 
::329 ::Subramanian 
::1095 ::Unified 
::Migrating ::1564 
::Operations ::22850217abs 
::Liedes ::Controlled 
::15310282 ::Cocci 
::22850324abs ::Uchiyama 
::Hiroshi ::Jensen 
::KistlerS91 ::DohertyHR96 
::Z ::4497638 
::Alink ::Transactional 
::Seidl ::multimedia 
::914852 ::Feida 
::CarterBZ91 ::Naga 
::Pirahesh ::Vetle 
::JeungLSZ08 ::ChenDKLRS95 
::dx ::FarragO89 
::Sharad ::Annotations 
::TAR ::914811 
::Yan ::StonebrakerC05 
::Mitschang ::ElfekyEV02 
::McWherter ::Durmaz 
::Gadia88 ::Asl 
::ZhouW08 ::KornSFSP96 
::Footprint ::Symbolic 
::Rich ::HanFWCGKLLRSXZ96 
::Tamino ::coopis 
::Declarative ::Arnab 
::TangYOCW08 ::GedikWYL08 
::Split ::4497547 
::4497491 ::Stanley 
::between ::Dikaiakos 
::Olivier ::4497457 
::Synchronization ::Aranyak 
::Automation ::Malicious 
::MaurouxAF06 ::Spatial 
::MamoulisCYC06 ::P024 
::Jennifer ::LangOKT98 
::Xifeng ::sac 
::22850968abs ::Surajit 
::Rivka ::914813 
::Exploring ::Guestrin 
::392 ::Harumoto 
::1537 ::Grobelnik 
::557 ::Minh 
::501 ::Sen 
::914838 ::SellisRF87 
::S ::Tanu 
::Differential ::Suleiman 
::Yalamanchi ::German 
::Xiaowei ::BlakeleyCERW05 
::Parasuraman ::1519 
::Han ::Provisioning 
::Elmeleegy ::Overlay 
::Winslett ::Sessions 
::Simple ::Andrs 
::32 ::Whang 
::312 ::Muse 
::AcharyaGJKST08 ::SarmaBHW06 
::431 ::16 
::22850978abs ::Quan 
::1083 ::Cristiana 
::MogiK95 ::Mano 
::Ang ::534 
::Crawler ::Menzo 
::Products ::4497512 
::300 ::Patrick 
::AnwarMC93 ::Traceability 
::Adam ::Vagelis 
::Ramanath ::P154 
::Gravano ::tcs 
::22850417abs ::StreamingWindow 
::OgleS95 ::Torsten 
::15310517abs ::Configurable 
::Fromont ::Activities 
::JagadishOVZZ06 ::ZhangOAI06 
::Nicole ::SmithS96 
::Proces ::Factorization 
::Bookmarks ::Clustered 
::Leong ::RamanSQRDKNS08 
::Zilio ::ZhouTZ06 
::Vijayshankar ::Sedmidubsk 
::1333 ::Ullas 
