dl::XingZH05 4497591::Shrivastava ::Syntactic ::Lipyeow ::designed 
KilgerM94::Alejandro Sobulo::Nina ::Sreenivas ::XinSHL06 ::Commit 
GardarinST96::144 Neighborhood::Mendez ::Process ::4497453 ::Relations 
Xuemin::434 Representing::Summaries ::Loops ::Brian ::Sobulo 
Trends::LiC98 Stphane::15310297abs ::Tu ::Venky ::1100 
PapadiasTKZ02::111 Postgres::Advances ::Hiroomi ::ATM ::JadavGL97 
Caetano::1137 Damianos::262 ::Kha ::Stefano ::ChengYDYW08 
Per::Obstacles Yuguo::Patterns ::1564 ::261 ::22850853abs 
Vaidya::Scene 426::Sengar ::Yk ::JensenSS94 ::AssfalgKKKPR08 
SPOT::integration Shamkant::Knuth73a ::Acharya ::Kanoulas ::22850949abs 
914824::mss Unknown::15310064abs ::15310269 ::483 ::Kotidis05 
Takuya::Man Agarwal::Silberschatz ::Balanced ::Sketch ::GoldbergR83 
Aziz::Features Knuth73::Mikkel ::TsatalosSI94 ::nato ::Jakob 
Vries::WangRM06 1130::RuemmlerW93 ::Objective ::Niblack ::Luping 
Multimedia::Transformations Snodgrass87::BalkeNST05 ::Biton ::Cormode ::Garcia 
33::BatiniL86 Isoline::Geometric ::Newton ::Bhalotia ::Minos 
Girod::KarsentyB93 BarbaraI94::Representation ::Ghafoor ::Hanan ::MunakataJ94 
Text::Klaus WolfsonXYC06::Jrg ::Dunham ::Replacement ::Naidu 
Dependent::463 Technology::978 ::Picture ::Abowd ::Nectaria 
Ellmann::1387 P284::Information ::ZhouZQZ06 ::15310212abs ::Jiefeng 
clustering::Sentiment Steven::Sreeram ::Xingquan ::WhangLLKH05 ::ks 
Bugra::KornackerB95 Mylopoulos::Mei ::Fuh ::KanagalD08 ::cacm 
Mic::Ha Nisheeth::Usage ::Outstanding ::Cubing ::NehmeRB08 
Chiticariu::192 Thalhammer::KatayamaS01 ::Metadata ::Revision ::GreifSW86 
843::Maarten 1354::161 ::MogiK94 ::GeorgakopoulosHM96 ::1559 
453::Kha Objects::FAST ::to ::Event ::Thakkar 
Attacks::Levy XCluster::Bettina ::4497539 ::4497494 ::Johnson98 
DasguptaGJSV05::Tao Krithi::YangW01 ::Partitioning ::Gill ::1387 
Maher::Agrawal sosp::Behr ::22851137abs ::Domenico ::1146 
Chasing::15310329 841::Tuncel ::Transportation ::RotemZ95 ::NehmeRB08 
Preservation::Subhash Hartmut::Rabinovich ::Item ::Paradigm ::15310271 
Hsu95::Video Schoning01::leeuwen90 ::914810 ::French ::GionisMT08 
279::Ray 486::Krishnaprasad ::22850162abs ::SpinCircuit ::LeungNM02 
Freire::Under Rau::Maged ::Marcin ::15310245abs ::Informative 
Hypermedia::2007 1081::HjelsvoldM94 ::Weiping ::4497436 ::Biased 
HamakawaR94::TuckerM02 Batra::1454 ::mg ::Kemme ::BargaL01 
Ertl::Ninghui Analysis::Traceability ::Skeen ::ConsensLO06 ::Provable 
4497594::Clifton Production::Teaching ::Aggregates ::914835 ::22850545 
4497412::22850143abs BargaLW02::Sakurai ::Eltabakh ::914825 ::ShaullSX08 
ORDBMS::22850032abs Lopez::Chih ::Administration ::Kesheng ::cikm 
Renner01::X05q 903::Melliyal ::Lawrence ::Marts ::computer 
Wook::Angel TaniguchiS05::Nicholas ::417 ::DeFazio01 ::Mylopoulos 
Liuba::ChakravarthyM94 Lijiang::ChenDER05 ::22850865abs ::P568 ::Harwood 
Lijiang::Xueqing Subspaces::22850190 ::Loosely ::15310345abs ::4497538 
AliZTK08::HeXYY05 LjosaS08::Sarvjeet ::StonebrakerRH90 ::162 ::Optimization 
ChenDZ06::Bei Rosaci::Felipe ::Koh ::4497594 ::473 
OSS::Transformation Mirit::Complex ::SegevF90 ::AilamakiGM06 ::Song 
Babu::Cache GrayBLP96::EswarranGLT76 ::JadavGL97 ::Milano ::High 
Rafiei::Twee Enterprise::Farfn ::Research ::ShivakumarG96 ::LeungWL89 
Its::Ranking Vlachos::Peers ::4497520 ::Usama ::1133 
Scherzinger::Sequences Predicates::Songyun ::Benjelloun ::Philip ::WangZZ06 
Underprovisioned::Wenning cover::15310053abs ::Hwang ::Junmei ::Roitman 
Party::87 Nassima::Weidong ::ShaullSX08 ::Tiancheng ::GrayBLP96 
Collection::LiuSYR98 1406::Design ::Hajj ::AbulBN08 ::Portal 
Orlando::Shishir Bar::Prioritization ::Deb ::Marcin ::Graham 
Elke::22851048abs 15310265::914828 ::dke ::660 ::Lawrence 
Sundaresan::DanK95 AyadNWS06::Mengzhi ::Madhavan ::Edward ::Recommendation 
528::KamathAGM96 Archival::4497438 ::258 ::Yoji ::Flip 
JadavGL97::P302 Schning::Validating ::Gene ::QoSMig ::Master 
1001::1106 MorsePG06::4497474 ::245 ::Committees ::Win 
LiuSYR98::Kenneth Huabei::457 ::4497507 ::Brantner ::Computer 
MogiK94::Arjmand 15310605abs::AgrawalCD02 ::Exponentially ::Lal ::Subramanian 
Knowledge::Houle JadavSCB95::Wai ::BreitenederGT92 ::MannilaT97 ::1442 
Sketch::732 PictureBook::ZhangGW08 ::43 ::Etoh ::Munir 
Ben::Gedik 1330::Biological ::452 ::Jagannath ::Provable 
GalAX02::Factorization P600::Ranked ::Saenz ::Astoria ::889 
Sizov::Sources Kazuhito::Azer ::Ljosa ::15310473abs ::CaliM08 
ChonAA02::Connected Di::Dogac ::1423 ::Wayfinder ::Arnd 
Decayed::Delcambre Griffiths::Biased ::ChanFLNR82 ::Fingertips ::410 
Anastasios::735 Kenny::column ::Legacy ::968 ::KeulenKA05 
Nogayama::Extending BouganimDV96::Welcome ::GangerK97 ::GrahneLWX01 ::Mitch 
1548::Sujata RabinovichBGLMM98::Bursty ::NguGBCDB02 ::Kashima ::JainMTC95 
Decade::Relation 958::Shafiq ::Real ::Nguer ::All 
Intensive::LiOW08 Nearest::Luk ::443 ::MD ::CareyHMW96 
YangLYX05::15310393abs mit::178 ::SPOT ::Mohan94 ::914871 
Applications::1950 Chun::LindsayHM86 ::4497599 ::22850174abs ::Execution 
594::dke Khalefa::167 ::if ::901 ::Wrapper 
1339::BunemanCFHMV05 Janine::Partitioning ::Kien ::ChenWZY08 ::1393 
Louiqa::Optimize YaminiG05::Erich ::Aoying ::AlexanderR06 ::25 
over::938 4497487::ChorLRS86 ::TaoXP06 ::GuptaHQ95 ::X05q 
Roelof::el Han::Ono ::195 ::RoussopoulosK86 ::Tzi 
TaniguchiS05::Dimensional 914876::Etoh ::BernsteinN96 ::914840 ::Overlapping 
1522::306 Lingzhi::100 ::SAN ::566 ::1507 
BlottRS96::Mozafari 914819::1501 ::338 ::Actionable ::4497505 
Malicious::4497466 Weihl87::Directed ::CampenXRGFSPL08 ::KeijzerK08 ::From 
Arumugam::Column 4497399::Moshe ::fayyadPSU96 ::Compact ::Approximated 
LjosaS08::Lp Lois::Technique ::Barbara ::VeeSSBA08 ::YiLHKS08 
Edward::Scalability 4497621::P568 ::Simmen ::Klinginsmith ::282 
Toon::593 22850322::Win ::679 ::LiuYT05 ::Java 
GeorgiadisKCNS08::Ian Coarse::4497451 ::Yanjiang ::Mihai ::Xiong 
YaminiG05::1510 Porkka::PapakonstantinouGW95 ::Lois ::Wolfgang ::LuoNE02 
Jiawei::4497575 Modern::Hannu ::22850256abs ::BergD95 ::Auctions 
Raymond::Hetal Leong::141 ::440 ::22850285abs ::Hse 
SilbersteinBEMY06::Schmidt Alper::Arnd ::Azar ::DB ::Zhiming 
LuoNE02::Abbadi Kantarcioglu::Lineage ::15310583abs ::IHE ::VrhovnikSRM08 
PabmanabhanG06::Music Pasi::Cattell94 ::Gting ::Stephanie ::Tania 
Down::DBLP Ziarko91::Papotti ::designed ::4497444 ::Munagala 
Kanne::1348 1486::Nikolaus ::Essence ::Timothy ::GADT 
Sarawagi97::Masato Chambliss::scale ::DuS82 ::149 ::John 
Shurug::Cai Joon::Vivek ::Roussopoulos ::ModelGen ::Matthew 
Jinchuan::OntoWebber Jiang::Bundles ::Chitta ::Ahmet ::391 
B+::Reza Bringing::189 ::BerchtoldEKKS98 ::1116 ::Morishima 
4497603::10010215abs Harwood::Kashyap ::TokOLAB02 ::Application ::Condit 
Storage::IMAX Kubota::Evripidou ::Han ::AmarmendAK06 ::Athitsos 
Experiment::LynchS88 4497511::Deductive ::Fung ::Overlay ::Bossi 
Samet::Commodity of::458 ::Lun ::4497583 ::Buffering 
MiniCount::Andrey Sae::Govindarajan ::Thuraisingham ::389 ::Good 
4497569::Kristal PajarolaOSSW98::4497595 ::Context ::625 ::483 
LeungWL89::4497399 Kishan::P314 ::22851098 ::153 ::LeeLL06 
Outsourced::Xu WangHLS06::Sacc ::853 ::Chiang ::Bowman 
de::Phrase Bouaziz::Osman ::294 ::1503 ::Selections 
Cubing::Keyword Niblack::Validating ::BreitenederGT92 ::Palios ::LinVM06 
581::Sugimoto Welch84::Revision ::Ashwin ::716 ::Haiyan 
Good::1073 Constructs::204 ::1426 ::Application ::Features 
BittonMT89::Antal OSSM::Yao ::bda ::Vee ::P436 
Till::Gadia86 753::XieYCWY08 ::Weighted ::Regulation ::RabinovichBGLMM98 
Nambiar::SarawagiS94 1414::4497616 ::WhiteJ96 ::Cheng ::878 
BrakatsoulasPT05::696 4497432::OLAP ::Semantics ::sp ::Nabar 
MachanavajjhalaKAGV08::Rasin 25::Stonebraker ::Yip ::Cloud ::1001 
Savage::SchroederHIN06 G::22850968abs ::Lee ::Fekete ::Recovery 
Qun::Mller SrivastavaL88::Brent ::ddb ::Goldstein ::Warehouse 
Extension::QuassRSUW95 Sharing::Chitta ::Michael ::Aoki ::Modeling 
SkytJP02::Windhouwer 1579::Inflationary ::Exponentially ::1576 ::DozierSF94 
HowardKMNSSW88::Experiences Kanad::Toolsuite ::TataP08 ::Aggarwal02a ::Exponentially 
240::Bryan Validating::Wang ::CLICKS ::4497571 ::BayerM72 
Traina::15310277 fm::Vee ::Hacigms ::Shah ::15310507abs 
Mukherjea::PapakonstantinouGW95 22850217abs::SCADDAR ::Anant ::HullY90 ::Rao 
GuhaK02::Yee Banich::914831 ::22851148abs ::Stefano ::Calimlim 
Castro::Chairs 317::Parallelizing ::IC ::989 ::X05o 
Nabeel::Queuing CoT::Manish ::Huiming ::Ramaswamy ::VeeSSBA08 
Engine::Lucchese LinVM06::SchroederHIN06 ::549 ::Karlsson ::Fernandez 
Shi::IoannidisP95 Graphitti::MannilaT97 ::823 ::1095 ::Manjhi 
Michle::Dimitrios Jeffery::22850131abs ::HadjieleftheriouCKS08 ::BertinoOYD05 ::BohmHLW08 
R::lisa Intelligence::Schubert ::BakalovT08 ::Masato ::Schek 
Krishnan::Renz ChoR02::1098 ::Guttman84 ::Callaghan ::Processing 
Yap::GawlickK85 an::Immerman87 ::Bamieh ::Bishwaranjan ::business 
22850254::Atomic KwietniewskiWTGGJJN08::Latanya ::262 ::Savage ::Quality 
Hiroomi::Munir Antony::Pedro ::Cahill ::X06 ::Extensions 
Nicole::EltabakhEA06 Mylopoulos::Xiaofei ::Martone ::1433 ::475 
4497534::Size LentSW97::ZhangLW08 ::Haifeng ::Euthimios ::Ester 
496::Bernedo 22851143abs::Graphical ::Bonchi ::Dam97 ::Dogac 
Johnson98::Closed Masahiko::523 ::EswarranGLT76 ::Third ::4497481 
Avoiding::Diversity Lim::15310323 ::HanMWS01 ::WilkesGSS96 ::Jermaine 
Cudr::22851113 Sampling::300 ::441 ::Mikhail ::Sharad 
Sizes::Bosworth LiuYT05::Junmei ::Liao ::Deligiannakis ::P086 
YiLKS08::LeslieJBY95 Jinze::914824 ::Histories ::SarawagiS94 ::Lived 
4497554::Vana That::P578 ::Howe ::Dimension ::581 
toWeb::93 Griffiths::22850487 ::Bry ::Shared ::Yuguo 
MelnikGR02::445 232::Experiences ::Carlo ::1296 ::122 
Predicate::Durmaz Srinivasan::Alex ::Astoria ::P542 ::Abstract 
Generation::4497430 Qiming::Checking ::Takegawa ::LakshmananRS08 ::Working 
1378::YangP08 C::Jianzhong ::Nicolas ::Structural ::DohertyHR96 
Gisela::Assent Yuqing::CormodeKT08 ::94 ::ChakrabartiM98 ::Obermair 
Shahan::1525 Attribute::1584 ::4497447 ::1430 ::CareyDN93 
ChenDKLRS95::Monitoring Blakeley96::Malakasiotis ::DeWittNS91 ::GuptaHQ95 ::Vectorizing 
BonifatiBCC02::1319 Computing::Koloniari ::year ::Result ::Schek 
AntovaJKO08::AcharyaAFZ95 World::Renz ::Marc ::LinJF94 ::Martin 
1379::Kollios 1503::Faster ::893 ::CLAN ::BlakeleyCERW05 
Gupta98::Bongki P164::Aggregate ::15310273 ::ChenD97 ::Stonebraker91 
Georgiana::Zaane Dunja::Making ::Jarek ::Cecilia ::Nicola 
864::Huajun ht::127 ::Ranganathan ::4497465 ::52 
MamoulisCYC06::Hwang Win::636 ::548 ::RDBMSs ::cgmOLAP 
LimN01::comp 22851144::Ninghui ::Watson ::Utkarsh ::Jaber 
Support::Scalable Arif::1266 ::Garofalakis ::Srikanta ::Taniguchi 
1950::Aziz Smriti::TAR ::Rost ::GoelSYZ02 ::4497580 
322::Extended 4497554::Processor ::QianW91 ::Behzad ::KhaitanRJC08 
157::Pryakhin Zhiming::4497458 ::Progressive ::Wenfei ::Mirit 
Fuh::326 Czajkowski::1522 ::Split ::Zhen ::EswarranGLT76 
Triage::Dependencies 22850162abs::Jenkin ::Arshad ::Extensible ::241 
Anand::585 1497::Jin ::Alonso ::Windows ::Domenico 
Streaming::Approximating Kwietniewski::4497597 ::22850631abs ::Dilys ::Fischmann 
22850791abs::Freire Maya::Cocci ::324 ::1145 ::Granular 
Transformations::MendelzonMM97 Ipeirotis::BerchtoldBK98 ::94 ::Elmagarmid92 ::Calders 
Morishima::SeltzsamGKK06 FlicknerSAHDGHLPSY95::1358 ::216 ::Haifeng ::Smodels 
Unified::Rich Balke::BarbaraI94 ::369 ::Toivonen ::Ghaffar 
Pryakhin::YangP08 Geoinformation::Zipf49 ::22850355abs ::Shekita ::BrinkhoffKS96 
Haibing::SnodgrassA86 BernsteinGLL98::NguyenS96 ::Gawlick ::Shouke ::Redmond 
Srikanta::Numeric Makoto::RothH93 ::YangPPK08 ::Kramnik ::Zina 
Nath::G Expressive::Challenges ::359 ::GUI ::Fosca 
Shapes::301 914828::Reference ::Sequencing ::Eberhardt ::Gawlick98 
Schlatter::1053 Retrieval::1169 ::Webs ::Gustavo ::MendelzonMM96 
P284::Sparse 643::Yipu ::Buffering ::1450 ::Geometric 
Poulsen::Sam HeLC05::211 ::Yihua ::Finding ::Changes 
15310593abs::Shenoy Projected::Caching ::join ::Date90 ::Maier83 
Dynamic::Wei Oguzhan::Placement ::Chamberlain ::Feida ::P182 
4497595::SavageW96 BravoFGM08::MD ::Vazirgiannis ::Cohe ::1470 
Extensions::Offline jlp::639 ::Aranyak ::Querying ::KemperM90 
10010131abs::Work Korolova::Kolovski ::339 ::Xin ::1345 
JermaineO02::fAST DB2::4497507 ::KoudasS05 ::Jinping ::VLEI 
754::DohertyHR96 1397::KimGBW90 ::SuWL06 ::CallanLC95 ::1035 
Lingzhi::Calders 22850471abs::Ning ::Gagan ::Clusterin ::XiongMA05 
Guha::Yap Hernndez::YanZHY06 ::Ranked ::Shuigeng ::Bolin 
Narang::Khaitan Mohan96::by ::P351 ::LiebermanSS08 ::604 
132::Jim Bing::Measuring ::Sujata ::Yap ::329 
Sharing::Ryvkina Dominant::YuPK05 ::Ganesan ::Terracina ::acr 
Yingqi::XGuard Date90::Kanamori ::459 ::22851141 ::Vlastislav 
Adriana::Guang Schneider::Praveen ::ChengDNPKWAAFSSS97 ::22851024abs ::ShatdalN93 
Focused::Shuai Gauss::661 ::914853 ::multimedia ::Jayant 
22850258abs::1588 on::Error ::Generalization ::RoussopoulosL85 ::15310041abs 
1104::39 Labrinidis::Nishio ::Aziz ::Product ::XinH08 
1424::15310282 SuleimanCF98::Mover ::1048 ::Reduction ::Partition 
HampapurJW95::Antti Brzsnyi::Rajagopalan ::1406 ::YaminiG05 ::15310517abs 
Wiederhold92::744 914879::Deng ::396 ::4497610 ::4497448 
Ryan::Multiresolution Triggers::Qin ::Histories ::Event ::Wiederhold 
1405::Accessible Ding::Level ::Rebecca ::AbulBN08 ::Qingchun 
1405::Fosca KeCN06::BorzsonyiKS01 ::nato ::centric ::Zhou 
Zaiqing::Das datamine::Choi ::Mokbel ::Xiaolei ::1146 
Nabar::4497555 Xingquan::2007 ::Stonebraker91 ::We ::Chuck 
Serialization::GummadiLGSH05 GaoHPSA06::Christine ::Independent ::SteenhagenABB94 ::P164 
Relationship::654 Ching::P402 ::AmzaCDKLRYZ96 ::600 ::Provable 
AbiteboulV97::543 Correlated::Selectivity ::Strict ::ContinuouslyMoving ::Histogram 
Click::503 Dumas::MorsePG06 ::BrownH06 ::1306 ::Recovery 
FAST::Abiteboul Sachindra::Experiment ::Bakalov ::ShashaLSV95 ::434 
Borkar::Blok 22850069abs::Tamino ::Service ::Rao ::MUSE 
TORPEDO::Directed Ann::Approach ::cdrom ::1950 ::Jos 
Isaac93::And Complexity::Experiment ::Automatically ::1095 ::Anthony 
345::Wenxin 1001::Warehouse ::Trends ::1376 ::ChenSZ05 
Rasin::695 Matrix::Wisam ::Juliana ::ChoR02 ::Gyu 
Harness::aware Practice::22851149 ::1376 ::1397 ::Schning 
Ganesh::4497476 Future::Beyond ::Xuegang ::Kwok ::912 
Asuman::1147 1555::Visual ::Krkkinen ::P392 ::Liu98 
GutingS95::HaraHTN97 584::1599 ::P174 ::KimPC01 ::Lieberman 
4497583::ChongDFSYJTK01 1462::Adjourn ::Assent ::Dehne ::Integrity 
Domain::ZhouZQZ06 KriegelKKRS08::GibbsBT94 ::DeWittKLPY94 ::BancilhonKK85 ::Elena 
Flexible::1406 Algebra::GPIVOT ::Every ::GongYQZ05 ::914844 
LiuP98::Serge Cao::340 ::SavasereON98 ::pe ::Grobelnik 
725::meets Lo::Arai ::Livny ::Bootstrapping ::Semi 
CareyDNAGS97::Guan Bates::Mirit ::Mohammad ::MishraE92 ::CoT 
15310329::4497474 MendelzonMM97::ChonAA02 ::ShivakumarG96 ::Expression ::Sales 
Nakamizo::ZhangWL08 472::FischerK05 ::Mohan96 ::Reducing ::Tucker 
Michalis::WangY02 368::Towards ::440 ::470 ::tods 
Don::Multiresolution ZhouW08::DoanH02 ::4497549 ::Gerstl ::Precision 
Industrial::73 MaddenF02::Certain ::icmcs ::Sayed ::Novak 
One::Ludscher Jeffery::Series ::Siva ::1023 ::Jayavel 
Zilio::Commutative Errors::Gail ::Krauthgamer ::csur ::1426 
Answer::LiebermanSS08 Jun::GuptaCG08 ::Gail ::IshikawaSKMMIAY93 ::views 
Cichocki::763 Dalvi::Predator ::595 ::Vlastislav ::Maruyama 
396::FudosPP02 MorishimaNISK08::Transaction ::P054 ::4497634 ::Schwarzkopf 
XPath::15310270 Jansen::NN ::Warehouses ::LiOW08 ::BurnsDILP08 
914811::Osmar 15310262::Morse ::544 ::SchenkelTW05 ::Early 
1560::Wee PapakonstantinouGW95::OrfaliHE96 ::Phrase ::Validating ::LeeLL06 
Thakkar::JohnsonMSS08 Kasthurirangan::Qiong ::514 ::HeinemanK97 ::Yifeng 
Gromann::ShimSA97 1468::elmagarmid92 ::Shape ::Daniela ::Gsli 
BilirisO93::Heikki Scannapieco::Star ::P456 ::To ::1169 
XiaZ06::Akiyoshi 1059::Yuguo ::MittalHH01 ::inproceedings ::KoudasS05 
Content::NieWWM06 AdaliCCES96::Olteanu ::Jonathan ::Wrapper ::icde2001 
Lang::Sharoes GeorgakopoulosHS95::Obermeier ::Guohong ::Your ::Spyros 
Salka98::Crowley Vaithyanathan::Howe ::ColbyCHJJMSW98 ::Grel ::YiuMK08 
628::Hallett WuWLM06::Horng ::Bundles ::Behzad ::fodo 
ChenLL08::Silberstein Transactions::McWherterSAH05 ::Naidu ::Mema ::368 
IshikawaIKH92::Dieter HSI::ChawatheGHPUW94 ::Variable ::Su ::PolyzotisG06 
Damianos::1131 Edmunds::HarinarayanRU96 ::Synopses ::Lutz ::1530 
Cheong::1379 Lyublena::ATM ::PostgreSQL ::Aoying ::PermJoin 
Ravishankar::Karlsson LjosaBS06::Sarvjeet ::Wavelet ::BrunoGM02 ::EswarranGLT76 
4497625::Optimization Ives::YouPL05 ::Yiming ::RuemmlerW93 ::4497527 
Random::GedikWYL08 Division::Marian ::10010473abs ::ChandraV85 ::Leymann95 
Yongqiang::Traffic LoR94::AnciauxBHPA08 ::Sizov ::Rank ::LjosaBS06 
Kalnis::HiWaRPP 581::Madhyastha ::Athena ::Khoussainova ::Sevcik 
Videos::WebIQ Amlie::16 ::scheme ::Alps ::HorwitzT86 
Indexed::926 Spatio::605 ::Members ::4497570 ::MukherjeeRS05 
Memoriam::15310029abs Berners::Shan ::MeoPC96 ::Panagiotis ::Abstract 
302::Juchang Shyam::Ghinita ::All ::Ferhatosmanoglu ::P342 
Sampling::Patricia IwenLP08::Chaudhuri ::4497585 ::15310485 ::Sweeney 
Chang::Jiong ProcessingWindow::Gao ::Nejdl ::Devarakonda ::285 
Wolf::ChanG85 Counting::Papadopoulos ::Jianliang ::Sarma ::Alex 
KimGBW90::155 1603::Shuyu ::DrapeauPK94 ::KaF02 ::Liedes 
Quantitative::22851104abs 15310297abs::443 ::162 ::Luping ::Vee 
1363::Sobulo GyllstromADI08::Scherzinger ::Dumas ::Indrakshi ::Split 
AgrawalAKL06::ATM PuL91::BlottRS96 ::MahajanDNAM98 ::Ulrich ::Gignere01 
IshikawaSKMMIAY93::Tears Preda::WiwatwattanaJLS06 ::ke ::Cammert ::Ansorge 
Horibe::t SankaranarayananAS06::Loreto ::253 ::4497593 ::LiuC08 
1592::Samaras Prototype::Xuegang ::Christophides ::ChawatheRGW96 ::44 
Snodgrass::Polynomial 732::Murthy ::383 ::1189 ::Summary 
73::Jagannath Frank::Building ::Stella ::Bamieh ::Graefe98 
270::Unlinkable Velegrakis::DeshpandeH02 ::Lutz ::Malin ::Mukherjea 
CormenLR89::Xin Cal::Your ::KhoussainovaBS08 ::Trasarti ::JiangAC05 
JeungLSZ08::Avoiding 15310287abs::Nicola ::260 ::Lindsay ::Matrix 
Klaus::15310617abs Kasthurirangan::Schwarzkopf ::511 ::Gawlick98 ::Schlimmer93 
Experiment::Terracina Bernhardt::Soo91 ::Silva ::Networks ::AbiteboulB91 
Supporting::Anton 593::Yong ::Yahia ::76 ::MoDB 
zden::Amza Pontieri::Pradeep ::MeoPC98 ::650 ::GrabsBS01 
ieeecomputersociety::Alvaro Stonebraker::515 ::Attributes ::Lun ::H 
Bloom70::BOXes 1631::Middle ::HadjieleftheriouCKS08 ::Aoki ::Monica 
Confidence::481 Growth::15310716abs ::Imprecise ::Ninghui ::412 
Anne::Gen Sarah::262 ::Xu ::Definitions ::Denzel02 
Aaron::McCann PapadopoulosM97::Aameek ::GreifSW86 ::22850261abs ::Huiming 
665::4497547 462::SpaceTwist ::OntoWebber ::Stratis ::DohertyHR96 
BOXes::15310282 RamakrishnanJNKB06::4497604 ::Inverted ::BrinkhoffKS93 ::SubrahmanianJ96 
Hiroko::Andrzej Charuta::1366 ::Hnle ::Andrei ::Khaled 
Ilyas::Response 1494::Dao ::ChongDES06 ::Kasthurirangan ::Prasan 
Milind::Tuples Ravi::Strength ::Balakrishna ::WangRL08 ::Chakravarthy 
15310272::Proxies Yoshikawa::Majumder ::Feltes ::914866 ::Fathima 
Jasmine::4497514 Transactional::Knowledge ::Click ::1342 ::Overview 
Performance::Shah Asymmetric::RDB ::Kalogeraki ::Mauroux ::22851141 
Asl::Gerald Jan::Elizabeth ::Configurable ::Simoudis ::Active 
15310329::k Chris::123 ::Baihua ::Early ::lisa 
Trasarti::Mema IoannidisP95::1372 ::717 ::Pull ::Linkage 
1378::ChenSZ05 Swanwa::Java ::Matrix ::1388 ::Cobena 
1600::446 4497523::CaiHH08 ::Roberta ::SteenhagenABB94 ::Kantarcioglu 
RinardD96::Sevcik Nabeel::534 ::Prasanna ::Optimal ::Complex 
1099::Serge Songting::Potamias ::ssdbm ::Z ::Optimize 
Exploratory::Alon NguyenD08::1160 ::Muthukrishnan ::Randomized ::4497546 
Torsten::Ruoming Govindaraju::isci ::Blok ::Beyer ::1461 
William::824 122::914825 ::Carla ::Profiles ::Orlando 
jiis::Xianghong Manikutty::GrayCBLRVPP97 ::Ngu ::68 ::Patterns 
Gattu::1515 WeissDG95::Peiya ::Lan ::Stephen ::Reiss 
Lei::4497469 Ernst::ee ::22851120 ::Jianmin ::Advanced 
4497568::Bingsheng ShriraX05::Venky ::Skeen ::1358 ::1061 
Mayfield::Sndor Paloscia::90 ::Graphics ::4497504 ::Erich 
Uri::Wendy EppingerMS91::Todd ::ZaianeELL05 ::Gerald ::484 
Thanh::GeorgiadisKCNS08 Ziv::ChenC08 ::OguchiK02 ::22850991abs ::Flattening 
P601::LimN01 Quan::Krishnaprasad ::Bookmarks ::Hadjieleftheriou ::Ewen 
Different::Krishnamurthy Sergej::Jabeen ::ADT ::Yufei ::Realization 
Verma::Zhanhuai 1503::Gattu ::Synopsis ::932 ::Cox 
641::Bamieh 4497515::1459 ::Ferlez ::Archetypes ::Andrea 
Rules::Rao DrapeauPK94::Ning ::RaoLLPS01 ::XingZH05 ::Kramnik 
Krishnapuram::IndexFabric Primitive::Vijayalakshmi ::McCann ::Cameron ::70 
4497526::Draper Manolis::Robinson81 ::BrantnerHKM05 ::Riemenschneider ::Masatoshi 
1442::IMAX 4497573::20 ::Rajeev ::JiangVBCB05 ::Guan 
137::Rantzau AbiteboulMP05::Guohong ::ChenSZ05 ::15310212abs ::Ramaswamy 
v8::OguchiK02 Benchmarking::212 ::263 ::Surface ::subrahmanianJ96 
15310053abs::KitsuregawaO90 Patterson::LiC98 ::Felipe ::CarterBZ95 ::Arie 
22850020abs::HouleS05 Denzel::Gene ::granularity ::Constructs ::Kumar 
VrhovnikSRM08::Le Devices::Hyun ::PoosalaIHS96 ::Clients ::KoloniariP08 
Mourad::van InstantDB::Doan ::Ferlez ::Runtime ::1544 
Hiroshi::22851133 Enabled::KohLHA08 ::Jiawei ::1417 ::Singer 
Predicates::92 Sarbanes::Memoriam ::1259 ::1500 ::Hyong 
725::Ashraf Comparative::BerchtoldEKKS98 ::Inan ::WWW ::Etzard 
Sriram::SaveRF Orenstein91::Vikram ::BrunoGM02 ::914868 ::SegevP89 
876::Exploratory 466::Guang ::Strength ::4497567 ::Antoshenkov93 
Takahide::Salem 1351::4497615 ::Abstract ::Schlesinger ::GuhaK02 
MegalooikonomouWLF05::Transportation Metadata::Fabret ::Miyuki ::Stanislav ::4497604 
We::555 Ranking::IshikawaKOYKK96 ::JiangLWY02 ::50 ::ViteX 
Wynne::QinQZ06 Pessimist::Dictionary ::onWeb ::Vijay ::Cecilia 
BerchtoldBKK97::264 22850545::Gerald ::LuoWL08 ::Click ::KiferKS92 
LiuYGS98::ChonAA02 963::Vladislav ::Identifiers ::KochSS08 ::1394 
KochSS08::Mehta MotwaniNT08::Huajun ::Yi ::QiaoIAA06 ::Kitsuregawa 
122::Samuel 1123::Abdelmounaam ::Bach ::AlonsoAAKGM96 ::Mitschang 
HuaYL06::WebOQL Snodgrass87::Shadmon ::Presentations ::4497501 ::Huiming 
15310275::Rizzolo level::Balanced ::1101 ::cgmOLAP ::15310492 
Cranston::15310245abs Support::TuckerM02 ::441 ::journals ::Pirahesh 
Rules::Outlier Keijzer::Tomography ::GabberK98 ::SistlaY96 ::Probability 
MONDRIAN::126 Clemens::Pudi ::Version ::Kong ::Orlando 
Resources::VBI 96::dbpl ::Toivonen96 ::Improved ::Pipelined 
Annotation::Ilyas Shalem::15310262 ::StonebrakerK91 ::DesslochHWRZ08 ::Krompass 
