::Kitagawa ::Taube 
::Franz ::tolerant 
::Kao ::Expressive 
::Future ::Newmann 
::Illustra ::481 
::38 ::Flix 
::Transitive ::Problem 
::re ::Plaisant 
::Breaking ::Renner 
::361 ::Panagos 
::Olkin ::Better 
::Optimistic ::Vance 
::Peithner ::Brown 
::Dewan ::Ahn 
::ADS ::Yongjian 
::Lipeck ::Milt 
::Kiran ::Good 
::Vingralek ::240 
::Fishman ::Spotfire 
::Ron ::Barber 
::Yandong ::Louis 
::Manager ::Paraboschi 
::Luef ::Unified 
::Jonsson ::466 
::33 ::258 
::Third ::Carrie 
::Skew ::364 
::Sarathy ::Michael 
::Jie ::Joakim 
::Anindya ::Answer 
::ARCS ::Bombay 
::Centre ::22 
::Shivakumar ::Bifocal 
::Institute ::from 
::Translation ::Willard 
::129 ::Dynamic 
::Quantifier ::Croft 
::CoopWARE ::Has 
::Characteristics ::Striping 
::Fu ::View 
::Services ::zsoyoglu 
::Woelk ::Andree 
::DEC ::Integrity 
::Finkelstein ::Pistor 
::Remzi ::Firm 
::Geophysical ::Through 
::236 ::Dimitrios 
::Creating ::Nan 
::245 ::512 
::Faloutsos ::Merging 
::Weienfels ::Bertram 
::Ptool ::they 
::Arya ::Scans 
::GUI ::Rahimi 
::Nestorov ::265 
::Artur ::Collection 
::Agent ::Seeded 
::Badrinath ::Efficiently 
::56 ::Atri 
::Jianwen ::Hasan 
::Jakobisiak ::Geophysical 
::Papazoglou ::Castano 
::Going ::298 
::Venky ::Interpreted 
::Project ::Experience 
::Giansalvatore ::as 
::Kanellakis ::430 
::Marco ::Mehrotra 
::Dyreson ::Turau 
::Nado ::Tsong 
::Bocca ::Julia 
::Atkinson ::525 
::Queens ::Mellin 
::Souder ::66 
::106 ::Correlations 
::Amherst ::72 
::Achievements ::282 
::authors ::271 
::Algorithms ::Merialdo 
::Confluence ::Joseph 
::Gibbons ::System 
::CapBasED ::HPCC 
::Trueblood ::Gaffney 
::Kawaguchi ::Tai 
::Saltor ::Hong 
::Progress ::Strssler 
::Pratt ::March 
::208 ::232 
::Kristin ::Basic 
::TSQL2 ::Denotational 
::Cardenas ::Tagg 
::Derived ::Jeusfeld 
::issues ::Lakshmanan 
::306 ::Donko 
::Tomasz ::Cache 
::Very ::Gupta 
::Larson ::using 
::Doppelhammer ::Consistency 
::Eaglestone ::relational 
::88 ::Kossmann 
::C ::ORES 
::506 ::208 
::Iyer ::Ford 
::Nikhil ::Connection 
::Miron ::Codes 
::Cole ::Tova 
::Gravano ::Clements 
::Musukula ::Cocktail 
::Kam ::article 
::Stef ::39 
::194 ::Larouche 
::Update ::Timos 
::Gemis ::Studies 
::Mohan ::authors 
::Rmy ::Rowland 
::Mogi ::DBMiner 
::21 ::Susanne 
::NP ::Chen 
::276 ::Nearest 
::Jussi ::Kyoji 
::Hearst ::Munindar 
::Multiattribute ::Mattos 
::Qu ::title 
::tolerant ::Recursive 
::Network ::217 
::192 ::Selfridge 
::Free ::Hide 
::EXODUS ::Ricky 
::Simultaneous ::Camps 
::Wendy ::231 
::Mostly ::Bonnet 
::using ::Mok 
::Audit ::Displays 
::Madnick ::Interoperable 
::Deshpande ::Bhavani 
::Cvetanovic ::Rules 
::Differential ::Two 
::Andreas ::154 
::Kevin ::Yihong 
::F ::Bhateja 
::there ::92 
::SEMCOG ::Neptune 
::Model ::Roberto 
::Sheth ::McKenzie 
::Nick ::Universal 
::Goldman ::EUG 
::Management ::Klusch 
::Representation ::Distributing 
::Mumick ::Ramana 
::Brodie ::Zarka 
::STARTS ::McGuinness 
::Michele ::Ray 
::Workaholics ::Century 
::Loading ::400 
::Baskets ::Pedersen 
::Interface ::Stephan 
::VideoAnywhere ::Garbage 
::Colin ::Knowles 
::Unruh ::Moscarini 
::Amouroux ::for 
::Tailoring ::490 
::Generalized ::Internal 
::Mixed ::Nita 
::Olkin ::Manager 
::Carrie ::News 
::Joosten ::61 
::Hellerstein ::52 
::Toward ::Guangshun 
::159 ::Unpacking 
::Languages ::Shmueli 
::Eich ::397 
::Surajit ::Hall 
::AI ::Towards 
::Suckow ::Deborah 
::Development ::Lewis 
::21st ::Ado 
::571 ::Associative 
::Stephan ::Evaluating 
::Andreas ::216 
::321 ::Lueder 
::Gultekin ::endPage 
::Sort ::Egemen 
::Papoulis ::Giuseppe 
::Jutta ::103 
::Stanley ::405 
::Disc ::Defined 
::Power ::Queries 
::Wolfgang ::Biswadeep 
::Vienna ::Yun 
::Vijay ::Tschernko 
::ETH ::Disco 
::ARCS ::Dimitra 
::Stuart ::Garcia 
::Colliat ::247 
::Reference ::Qian 
::Qian ::Nelson 
::392 ::Box 
::Kotz ::Analyti 
::Knowles ::49 
::Sripada ::423 
::371 ::Davidson 
::Retrospective ::Lo 
::order ::Eui 
::Trusted ::Ling 
::Shea ::Indexing 
::Mark ::DataBlade 
::Lin ::Rapidly 
::Victor ::4 
::Up ::Waheed 
::388 ::Webb 
::Gingras ::Separation 
::Out ::Kitsuregawa 
::Implication ::Tsong 
::Kuno ::Silverstein 
::Jochen ::Critique 
::Nado ::Visualizations 
::121 ::Burrows 
::Fagin ::Costly 
::Nag ::Capability 
::Piyush ::Temporal 
::Karim ::33 
::Supporting ::Cory 
::Jeffrey ::Translation 
::163 ::Ramana 
::Windows ::Jun 
::Shapiro ::Nguyen 
::Through ::Incomplete 
::media ::Martin 
::USD ::lun 
::Table ::Glossary 
::Databases ::Shoens 
::Dhaval ::Billion 
::Wright ::236 
::Jie ::Brief 
::Barinderpal ::White 
::Elsbernd ::Berg 
::McCarthy ::Workloads 
::Indices ::Evrendilek 
::Infomaster ::Do 
::Hadzilacos ::Boon 
::Blott ::Thuraisingham 
::245 ::Legat 
::Kambayashi ::were 
::Toolkit ::113 
::Rowe ::Orientation 
::Usage ::Subramanian 
::Globally ::Garlic 
::Nguyen ::Speech 
::Out ::77 
::Radzyminski ::Hare 
::284 ::474 
::539 ::Ming 
::MEDUSA ::319 
::Activity ::STRUDEL 
::Mosfeq ::80 
::Jason ::H 
::Susanne ::490 
::14 ::Observations 
::Sakti ::Qureshi 
::Mariposa ::Reedy 
::Kline ::Deferred 
::Darling ::Borgida 
::Borgida ::Klemens 
::Approaches ::165 
::Lipski ::An 
::Time ::Going 
::Discs ::Kennedy 
::Capability ::Contextualizing 
::Golshani ::7 
::Pinar ::Soparkar 
::Houtsma ::335 
::466 ::Kocharekar 
::497 ::Webb 
::360 ::Interaction 
::357 ::Pages 
::Separation ::Implication 
::Toolbox ::Genesereth 
::Pissinou ::44 
::Agents ::Bonnet 
::Inge ::39 
::Bryan ::321 
::First ::Urban 
::Zeleznikow ::Lucas 
::Ricardo ::SMP 
::von ::Sequence 
::Cartesian ::Chin 
::Andrew ::Kent 
::Luther ::Ashish 
::Personal ::Jrgen 
::Karim ::Hong 
::Stonebraker ::Held 
::Wiener ::Abbadi 
::40 ::5 
::Konrad ::Hasanat 
::Raju ::Tagg 
::Kieling ::Browsing 
::Brin ::Full 
::Kabiria ::Schlageter 
::Jian ::Banu 
::Observing ::Kenn 
::GESTALT ::Narayanan 
::Document ::Brice 
::Concurrency ::Environments 
::Maheshwari ::528 
::Katz ::Crisis 
::68 ::1951 
::Silvana ::Terry 
::Dangers ::546 
::Erik ::Knig 
::Basic ::Fernandez 
::Haenni ::557 
::Beigel ::Value 
::Bussche ::Schrader 
::data ::Vienna 
::Hrder ::Andrzej 
::Searching ::Ilsoo 
::Ross ::InfoSleuth 
::539 ::Eugene 
::Hypertabular ::level 
::Colby ::317 
::Comments ::Evaluating 
::287 ::Mayford 
::Ulla ::Stable 
::Department ::Lipeck 
::Kang ::1 
::Azer ::Monash 
::Top ::Gary 
::Guarantee ::Numeric 
::Prototype ::Universal 
::197 ::Cook 
::Yeung ::Beverly 
::Chris ::Jochen 
::Fast ::243 
::Matias ::Daniel 
::Computing ::253 
::Document ::Shan 
::Golshani ::Joosten 
::During ::Algorithms 
::Borgida ::Distributing 
::Search ::Denotational 
::Luc ::Tajima 
::335 ::Stefanovic 
::Theodoridou ::Toiati 
::Redundancy ::Arnold 
::Parallel ::Mult 
::Earth ::Tam 
::Support ::Winslett 
::Yasuhiko ::22 
::Kosch ::Pedersen 
::Ni ::Theory 
::401 ::Shalom 
::Controlled ::Shalom 
::Kerry ::Gouin 
::Cherniack ::Piero 
::NF2 ::Minute 
::Chiang ::Mauricio 
::Locally ::Wahab 
::Shinichi ::Observable 
::Chang ::ObjectStore 
::Survey ::Pull 
::Joins ::Umeshwar 
::Cost ::Hypertabular 
::Source ::Notions 
::Warehousing ::Gallagher 
::16 ::Nguyen 
::Omran ::Kiyoki 
::Ohori ::Hearst 
::260 ::Global 
::Consistency ::109 
::Luef ::Trade 
::510 ::Orenstein 
::Abel ::329 
::266 ::Tien 
::Decision ::Delobel 
::Development ::Olkin 
::Up ::Beliefs 
::Firm ::560 
::Integration ::Between 
::1999 ::DIRECT 
::Update ::Missing 
::Schiefer ::Availability 
::Theo ::Levine 
::OLAP ::Dietterich 
::Tokuyama ::Commit 
::132 ::Wen 
::Large ::412 
::through ::131 
::Kuno ::Webb 
::Impact ::Queens 
::Santucci ::Krishnamurthy 
::Said ::524 
::25 ::91 
::Sinha ::Behaviour 
::DeeDS ::Solomon 
::Domains ::68 
::289 ::Doan 
::Gregory ::Visualisation 
::Gibbons ::Milt 
::Cube ::Workflow 
::Finite ::Simmen 
::Christopher ::Hayama 
::An ::Hugh 
::Chiang ::402 
::Manifesto ::Koschel 
::Rasikan ::Brodsky 
::196 ::Chang 
::311 ::Srinivasan 
::CITRI ::Kooi 
::wish ::545 
::Klusch ::Predictive 
::221 ::Wall 
::Benchmarks ::Wiest 
::Stanford ::Michel 
::Strengthen ::Tang 
::Hanan ::2 
::Said ::Haim 
::Daniela ::Sushil 
::San ::Load 
::Referential ::Approaches 
::MMDBS ::Codes 
::Janet ::BUSINESS 
::Geyer ::Yezdi 
::Monitoring ::Zwilling 
::Dayal ::Chou 
::al ::Alphanumeric 
::Korn ::Kitagawa 
::273 ::Sanjay 
::Vasilis ::Marian 
::Ullman ::Lee 
::Experiences ::Wen 
::Ward ::Naughton 
::Andrianopoulos ::Full 
::DBMSs ::Computer 
::Gregory ::First 
::GESTALT ::Top 
::Karen ::Bruns 
::Integrating ::Answer 
::Forte ::Yehoshua 
::Segment ::Bing 
::Dekeyser ::Neighbor 
::UniSQL ::Kamalakar 
::Averbuch ::Mechanisms 
::Rajeev ::408 
::71 ::Zurich 
::Observing ::Merialdo 
::Lodge ::Kupiec 
::Fault ::Vitter 
::Hot ::Dennis 
::Existing ::Mahboob 
::Wilms ::Record 
::Decision ::Marina 
::Aberer ::Pages 
::Silberschatz ::Manolopoulos 
::Ries ::Knoblock 
::CapBasED ::Survey 
::Birgitta ::Formal 
::Chair ::Liskov 
::Testing ::Qin 
::Classroom ::Creation 
::125 ::Ellis 
::Bushy ::Bhashyam 
::Adding ::FZI 
::353 ::Piatko 
::Mosfeq ::Linkage 
::Datasets ::Conjuction 
::Ganguly ::Carey 
::Krll ::Constructing 
::Apparatus ::Reuter 
::Pedro ::Comments 
::Timeliness ::Ptool 
::Gardels ::Image 
::Capability ::Merging 
::MOSAICO ::Letter 
::270 ::Nguyen 
::Improve ::329 
::relational ::Concepts 
::183 ::185 
::Miller ::Dennis 
::Bamford ::Sarda 
::Nenad ::Association 
::DDT ::Masatoshi 
::Harald ::Liam 
::Hawthorn ::Survey 
::Inverted ::Source 
::Hearst ::Yongdong 
::Klonk ::Jayant 
::Werner ::ARIADNE 
::Morimoto ::Large 
::Invitational ::Simple 
::Studies ::Cory 
::Roth ::Multi 
::Levy ::Effectiveness 
::Spence ::Harald 
::144 ::5 
::Franoise ::Rajaraman 
::Mlle ::Response 
::McLoughlin ::Plateau 
::Lori ::Optimistic 
::Barbar ::Grosky 
::273 ::Ilsoo 
::Guidance ::22 
::Helland ::Simulation 
::Venky ::402 
::Who ::Cai 
::David ::Dao 
::Ilsoo ::Mehmet 
::Shah ::26 
::Bohrer ::Availability 
::Disjunctive ::Roark 
::Kotagiri ::DEVise 
::Bryce ::Through 
::ConceptBase ::Measurement 
::Au ::Lausen 
::Earl ::265 
::Agrawal ::Narasimhalu 
::Networks ::Kupsch 
::Xiaoyang ::Schning 
::MDM ::Arturo 
::Knowledgeable ::Latha 
::150 ::Chen 
::Clemens ::Outer 
::Melmom ::16 
::Match ::Lessons 
::214 ::Qian 
::Mendona ::L 
::Schrader ::Divesh 
::Scientific ::Gemis 
::Takashi ::Viviane 
::Leonard ::Deductive 
::r ::Stable 
::Kiran ::DART 
::Manolopoulos ::Interfacing 
::Biliris ::Bob 
::OODB ::Scientist 
::87 ::Tokuyama 
::453 ::Federated 
::Shinichi ::Editor 
::Soloviev ::Christian 
::Asit ::Client 
::Guozhu ::Thompson 
::Environment ::Federation 
::Beyond ::Torlone 
::Atri ::165 
::Per ::Suzanne 
::Benson ::Identity 
::Enough ::287 
::Operation ::78 
::Nectaria ::348 
::WORM ::Leo 
::Pramanik ::Braunmller 
::Abdullah ::Franois 
::Programming ::Approach 
::Mathematical ::260 
::Gonzalo ::72 
::Widoff ::Metadatabase 
::Realtime ::Aberer 
::Gkhan ::Market 
::Relationship ::Sun 
::Arne ::Gray 
::Expressions ::Hussein 
::Swarup ::OR 
::Masatoshi ::Bressan 
::based ::83 
::Controlled ::Zurek 
::Wrappers ::Korn 
::Bruns ::Ozkan 
::69 ::Effect 
::Piatko ::Missing 
::Growing ::Victor 
::Baclawski ::Funding 
::Task ::Lueder 
::Schek ::Mishra 
::Sarathy ::Non 
::Datta ::Madnick 
::Combining ::Konrad 
::Air ::Alessandro 
::Benson ::Merialdo 
::Hussein ::516 
::DAFTG ::Goldfine 
::Weinberger ::Set 
::Informal ::Sagalowicz 
::Marron ::Queens 
::Improved ::Levine 
::Strategy ::Darrell 
::Fishman ::Inderpal 
::Carrie ::555 
::Costly ::Sarda 
::331 ::Funkhouser 
::Aberer ::Su 
::Kristin ::Marron 
::Waramahaputi ::Sevcik 
::Livny ::Binto 
::BUSINESS ::Validation 
::Philippe ::Kramer 
::Fox ::Optimizing 
::Terry ::Full 
::ITASCA ::Rasikan 
::Scans ::Inheritance 
::Min ::96 
::Reuter ::110 
::Antonio ::Dependence 
::Sivasankaran ::Loading 
::Higher ::Publication 
::571 ::Gung 
::389 ::Ingres 
::Fritz ::Masaru 
::relational ::ARIADNE 
::Policies ::Conjuction 
::Rashid ::Pirotte 
::Shum ::Riekert 
::Lausen ::Incorporating 
::Ensuring ::Preliminary 
::Suzanne ::Amy 
::Stoltzfus ::Hammer 
::Labio ::Georges 
::Power ::Deadlock 
::Shilpa ::583 
::Method ::Bruno 
::1999 ::Mining 
::Widmayer ::Amherst 
::FZI ::Schemes 
::Moerkotte ::Ju 
::Invitational ::340 
::OLAP ::Antonio 
::370 ::1990 
::Assurance ::Yoshikawa 
::Shea ::Zou 
::Bukhres ::Sarathy 
::Of ::BUSINESS 
::Hallmark ::How 
::Matthias ::Swift 
::Extensible ::Residues 
::Bernstein ::Dimensional 
::Component ::Uniform 
::38 ::205 
::Tian ::Qingshan 
::Database ::Michael 
::Alan ::Narang 
::242 ::Chaudhuri 
::Products ::Goel 
::Christine ::Replication 
::Trigger ::Advances 
::Improve ::Jnsson 
::Tomlinson ::Meyer 
::414 ::Bjrn 
::Class ::Inverted 
::Kuntz ::Nandlal 
::Baclawski ::Jonsson 
::Saygin ::Atri 
::Colliat ::Telecommunications 
::Rowland ::Winslett 
::Houtsma ::Ouri 
::Paredaens ::Karen 
::Status ::Mukul 
::Guy ::Matias 
::Packer ::Schwartz 
::Victor ::239 
::Gook ::Replicated 
::Gung ::556 
::Edgar ::zgr 
::Perform ::HweeHwa 
::Another ::Overmyer 
::294 ::323 
::403 ::143 
::87 ::Nick 
::Platforms ::SBBD 
::Parity ::466 
::Hansson ::Multiversioning 
::RISC ::Emperiment 
::Shoens ::Terry 
::Lipski ::Representation 
::Pozzi ::Press 
::Franz ::Sakti 
::286 ::Visualization 
::Power ::Stanley 
::Rahimi ::Kiernan 
::Digital ::SMP 
::Policy ::89 
::Codd ::Aloysius 
::Concerning ::Characteristics 
::Context ::Performance 
::Gouin ::550 
::Approaches ::Marti 
::Colby ::zsu 
::Chief ::Other 
::Fowler ::Lore 
::Miguel ::305 
::ISS ::Tom 
::Comparison ::Gallagher 
::Hayes ::Unifying 
::Extracting ::Complete 
::Multiprocessor ::Fugini 
::Eliminating ::Scientist 
::Groupware ::DB2 
::Yezdi ::148 
::McIver ::Krishnan 
::Online ::lun 
::Gelernter ::Arguable 
::85 ::Priti 
::SMP ::Jeffers 
::Join ::COntext 
::Loading ::Definition 
::16 ::28 
::Matias ::Flaws 
::186 ::Terms 
::Kawaguchi ::Gerhard 
::Fotouhi ::Guidance 
::Table ::Do 
::Jian ::Consistency 
::Distance ::Cevdet 
::Sena ::Scalar 
::Legat ::DARPA 
::any ::Maurizio 
::Indices ::Stankovic 
::ConceptBase ::Hierarchically 
::based ::article 
::III ::Nural 
::Christine ::122 
::Pramanik ::Yihong 
::Store ::230 
::Ada ::108 
::Yehoshua ::Silvana 
::Anil ::Popova 
::Machine ::Kiran 
::Takashi ::Silberschatz 
::Disjunction ::Reddy 
::Connection ::114 
::Four ::Alperin 
::Going ::Models 
::Johannes ::With 
::Neighbor ::Infomaster 
::Louis ::Converting 
::Elliot ::502 
::Termination ::Khedkar 
::Paul ::Helland 
::Joakim ::Decompositions 
::Deduction ::369 
::Mirroring ::Mayer 
::Liuba ::Structural 
::Copeland ::Compression 
::Ghosh ::Extendible 
::Transactions ::Ramanathan 
::Remotely ::Attributes 
::507 ::Architectures 
::Gung ::Version 
::Adali ::Gregory 
::Commercial ::Chief 
::Algorithm ::Self 
::Cole ::Grosky 
::Use ::Chopping 
::Baskets ::Paredaens 
::Choo ::Sophie 
::Relihan ::465 
::Zou ::Julia 
::Kapitskaia ::Aziz 
::Stanford ::Fynn 
::Pistor ::Educational 
::Free ::Jarke 
::McGuinness ::Vardi 
::Golshani ::Karlapalem 
::54 ::541 
::Shneiderman ::Donald 
::Properties ::Visualisation 
::Wiest ::Doo 
::Modeling ::EOS 
::356 ::WWW 
::Index ::Printezis 
::Vincent ::Bharat 
::245 ::NP 
::Task ::Frameworks 
::Reuter ::Linkage 
::Logic ::Degradations 
::issue ::Desktop 
::105 ::Architecture 
::356 ::Approach 
::Reorganization ::Schmidt 
::Viviane ::Kn 
::Desktop ::Dale 
::Synthetic ::Jos 
::Ado ::Bolour 
::Towards ::Information 
::Catherine ::Ling 
::Adali ::HyperStorM 
::ISS ::Distributing 
::Structure ::Kieling 
::412 ::Amherst 
::133 ::Roy 
::Graefe ::Distributed 
::275 ::Boon 
::207 ::Anand 
::DBMS ::Alphanumeric 
::Displays ::Thuraisingham 
::Andreas ::Oliver 
::Goldman ::Measurement 
::SQL3 ::306 
::Studies ::Jenny 
::Multidimensional ::Harinarayan 
::Gultekin ::Hou 
::Composite ::Ron 
::Introduction ::Sheth 
::Of ::Lohman 
::Using ::Wileden 
::author ::Project 
::Andree ::Viviane 
::Elsewhere ::Dense 
::Wrapper ::Shectman 
::Remotely ::Kocharekar 
::Modules ::Marc 
::Zirm ::Arnon 
::Replicated ::Gultekin 
::Nulls ::506 
::Jussi ::Camps 
::Shane ::Griffin 
::Narain ::501 
::P ::Recurrent 
::STEP ::Esther 
::493 ::Qaimari 
::Mason ::XSB 
::Odysseas ::Grosky 
::Kocharekar ::Ballinger 
::357 ::Administering 
::Store ::Bamford 
::Active ::Chirn 
::Ron ::Constraints 
::Objects ::34 
::Aziz ::ichi 
::Non ::Arie 
::Karim ::technology 
::EXODUS ::293 
::Galindo ::Widoff 
::Davis ::1 
::Rolker ::Jenny 
::Loeffen ::Sivasankaran 
::Chen ::Bertino 
::Staggered ::Clark 
::Left ::Wiest 
::Aggregation ::Merrett 
::Assets ::Paepcke 
::Elke ::227 
::Norio ::Maintaining 
::CSA ::Fabio 
::39 ::AI 
::Hoppenbrouwers ::171 
::Polymorphic ::Dyreson 
::fu ::Alternative 
::Colin ::Environment 
::Sheldon ::Popova 
::ConceptBase ::Roth 
::Aiken ::Shelly 
::Claude ::161 
::DART ::Search 
::Combinatorial ::Development 
::293 ::Roland 
::Waramahaputi ::SONAR 
::Lon ::Expensive 
::Commit ::389 
::Breitbart ::SAP 
::Nita ::Centre 
::Delayed ::SPARC 
::Buffers ::Agigdor 
::237 ::35 
::Mikael ::Gives 
::Gelernter ::Unstructured 
::Ullman ::Enforce 
::Bruce ::Cai 
::Compensation ::Shum 
::166 ::Keller 
::Raschid ::Forms 
::Perspective ::Practical 
::Teradata ::Geppert 
::Wiener ::Displays 
::Catherine ::Jerrold 
::Tradeoffs ::Guo 
::Warehouse ::Manfred 
::TSIMMIS ::Taosong 
::Zhang ::First 
::Metric ::zgr 
::TODS ::Mamou 
::552 ::116 
::Asuman ::Attributes 
::Wentland ::ACM 
::Gunter ::RIDE 
::Freytag ::Nandit 
::91 ::Anupam 
::Patterson ::Fine 
::MDM ::as 
::Tolga ::Algorithm 
::Everthing ::Delcambre 
::120 ::Predicate 
::Bushy ::N 
::160 ::UIS 
::Loops ::Doo 
::Henry ::TODS 
::ARCS ::Margaret 
::Tanin ::Processibility 
::Pistor ::Sharon 
::und ::Easy 
::Hillebrand ::Ion 
::Cvetanovic ::Elmasri 
::Peng ::115 
::Ulusoy ::Keitel 
::Vertical ::Eugene 
::0 ::AssociationRules 
::Betty ::Lorie 
::Genesereth ::media 
::Upon ::Morimoto 
::Linkage ::Keng 
::Buffering ::CODASYL 
::The ::Conjuction 
::59 ::Naveen 
::Okay ::Client 
::Webb ::ITASCA 
::Handling ::165 
::Method ::McCure 
::Michle ::Walter 
::Bryan ::92 
::Dynamic ::Ley 
::Constraint ::Hashing 
::Centre ::Meltzer 
::Ramez ::at 
::Motakis ::Tomasic 
::348 ::Chawathe 
::Querying ::Asgarian 
::Effectiveness ::Unnikrishnan 
::Yixiu ::Strategy 
::Wahab ::Schang 
::Audit ::Annotating 
::454 ::Terrance 
::Ten ::Kossmann 
::Malkemus ::Aggregates 
::Decomposition ::Starburst 
::Walker ::Badrinath 
::Attributes ::165 
::Mick ::Performance 
::Mehmet ::Order 
::352 ::Norio 
::to ::Clement 
::Berchtold ::Atkinson 
::Berndtsson ::261 
::73 ::Alain 
::Haritsa ::Franklin 
::Melvin ::DB2 
::247 ::Dale 
::Walter ::Kyoji 
::Array ::515 
::516 ::Hian 
::Conflict ::Packer 
::Revisted ::Kambayashi 
::Hanan ::Infomaster 
::Nathan ::Enterprise 
::Mlle ::Max 
::structured ::Hans 
::Simple ::Influencing 
::Chief ::Qingshan 
::WORM ::Berchtold 
::Alon ::Ghemawat 
::Ganguly ::Goal 
::External ::240 
::Krishnamurthy ::Nothing 
::Maier ::Stemple 
::Musukula ::Truszkowski 
::Plans ::Exploration 
::Parity ::VMS 
::Mahboob ::Spaces 
::Left ::McLeod 
::371 ::Nolan 
::Rengarajan ::Eben 
::Walch ::Chee 
::Georg ::Commitment 
::Perform ::Shane 
::Progress ::Gultekin 
::Riccardo ::92 
::CLASSIC ::174 
::N ::Haas 
::Odysseas ::Phillip 
::Numeric ::REpository 
::Bases ::Can 
::131 ::Indexing 
::Hasselbring ::Contextualizing 
::Pull ::Milt 
::335 ::Rebuilds 
::DOODLE ::Remote 
::Niki ::Distributor 
::Sam ::van 
::21 ::Lindsay 
::Paolo ::Quest 
::Leung ::S3 
::ACT ::ANSI 
::In ::Flip 
::Yuping ::Packer 
::Donald ::239 
::1988 ::number 
::V ::O 
::Huffman ::Solving 
::Ceri ::Hoc 
::Garcia ::State 
::Won ::Rolker 
::Lore ::Eben 
::Thomas ::Erbe 
::Repositories ::535 
::Tajima ::Theory 
::Abdullah ::Mohamed 
::Serge ::Calculus 
::Tyler ::Shinichi 
::Nebojsa ::Gung 
::Mechanisms ::Message 
::510 ::Newmann 
::Kasi ::Claude 
::Vincini ::Conversion 
::Deborah ::152 
::137 ::Windows 
::Bifocal ::532 
::Clement ::Krithi 
::82 ::Rmy 
::Renner ::Batory 
::an ::Kemper 
::Wolf ::ACM 
::Srikant ::Users 
::Wade ::Nutt 
::Builders ::Keller 
::Quasi ::Asuman 
::Wenger ::Context 
::Grasnickel ::Search 
::Toby ::L 
::Statistical ::EXODUS 
::Gravano ::Paskin 
::Only ::Optimization 
::Garza ::Son 
::Optimization ::Souder 
::Histograms ::Arnon 
::Sites ::Tutorial 
::Johnson ::Chief 
::Rabinovich ::Knowles 
::Multiprocessor ::Kamel 
::Segment ::Mary 
::Strategies ::Petterson 
::147 ::Tang 
::Multiversioning ::Paolo 
::Top ::Based 
::Rona ::Solutions 
::Sinha ::Yue 
::Hugo ::Alex 
::Fragments ::461 
::Nabil ::Sensed 
::Eftring ::Entity 
::Applicable ::Girish 
::Compensation ::Industrial 
::Collection ::Davison 
::Legat ::Haber 
::Minyoung ::Manolopoulos 
::Bhashyam ::Yossi 
::Seshadri ::Weikum 
::Michle ::Engine 
::Han ::Duschka 
::477 ::Ptool 
::lun ::105 
::Third ::47 
::Associative ::550 
::Bushy ::Jiawei 
::Tutorial ::Craig 
::Kemper ::UNIX 
::time ::Arpinar 
::12 ::Subrahmanian 
::Phillip ::Doughty 
::Scalar ::Stanford 
::VMS ::111 
::Notions ::Segev 
::Prefetching ::Computing 
::Logging ::Hughes 
::Agenda ::Griffeth 
::58 ::in 
::Wildcards ::Storage 
::Lueder ::Enterprise 
::Algorithms ::4 
::Moscarini ::Barinderpal 
::Santucci ::Gook 
::348 ::Jakobisiak 
::Marian ::Klusch 
::412 ::419 
::Cory ::Kornacker 
::Take ::Goldberg 
::Bhavani ::Can 
::Bryan ::Ieong 
::Already ::Galindo 
::Jie ::Navarro 
::Point ::Jajodia 
::Combining ::Helal 
::USL ::Vrbsky 
::sets ::Ramana 
::Sean ::Sciore 
::Interfacing ::Expensive 
::Alexandros ::Maurizio 
::Distributed ::Barnes 
::Delobel ::Costa 
::Braham ::Hussein 
::521 ::System 
::Jessie ::Jarke 
::Karvelis ::Hot 
::Newmann ::Sena 
::Rule ::Starburst 
::Costa ::Dietterich 
::Erhard ::Jay 
::Queries ::259 
::Simple ::Confluence 
::Triggers ::Investigation 
::Vrbsky ::in 
::516 ::Juergen 
::Usage ::UIS 
::Benny ::OLAP 
::330 ::Didier 
::Myers ::Barber 
::Digital ::91 
::Interval ::Guest 
::Not ::Integrating 
::308 ::Maurice 
::Bennet ::AI 
::Illustra ::312 
::Match ::ichi 
::Downing ::Willis 
::EOS ::Zaniolo 
::Nikolai ::Edwin 
::Analyti ::Hubert 
::16 ::William 
::Alternative ::AssociationRules 
::Baskets ::No 
::Ulm ::Already 
::414 ::Glavitsch 
::70 ::DB 
::Jorge ::Flip 
::120 ::Structured 
::Declustering ::Cody 
::Barclay ::Kfer 
::40 ::Stavros 
::159 ::Tork 
::Tagg ::John 
::Wolf ::13th 
::Kyoji ::325 
::Proposal ::OLE 
::Klemens ::Outs 
::318 ::Ronald 
::Shoens ::Partition 
::Neighbor ::Starburst 
::Hierarchies ::driven 
::Toiati ::Walt 
::Budget ::Hard 
::Influential ::139 
::Inter ::Paris 
::Number ::262 
::any ::Karvelis 
::580 ::Nectaria 
::Report ::Beliefs 
::Ganesh ::Henk 
::Ramachandra ::issues 
::Potamianos ::as 
::Jumping ::292 
::146 ::Centre 
::EUG ::29 
::447 ::Datasets 
::Hot ::Garbage 
::Luo ::Suzanne 
::WHIPS ::Brinkhoff 
::Reclustering ::Yun 
::Panel ::Its 
::OODBMS ::Ahead 
::non ::Jumping 
::90 ::Pattern 
::Lipski ::Actual 
::Schneider ::Alperin 
::Semi ::Colette 
::Masaru ::Composite 
