::Neel ::412 
::deductive ::Morzy93 
::WolskiB98 ::4497618 
::Bulk ::914856 
::WeissDG95 ::NabeelB08 
::Vries ::ADEPT2 
::Zou ::Liu 
::557 ::KivinenM95 
::Mullin90 ::4497514 
::Hubert ::Jiangchuan 
::XiaZT08 ::Type 
::EstanN06 ::Inseok 
::Jing ::LaiTB05 
::Software ::Tripod 
::jlp ::704 
::Hsu95 ::temporal 
::ChangSZS97 ::Kahn 
::FukudaMMT96 ::EsterKSX96 
::Rajasekar ::Gemulla 
::Nath ::Windhouwer 
::1145 ::Barton 
::Dehne ::bc 
::MiahDHM08 ::Scalability 
::TaninHS05 ::Maier83 
::YangSRG06 ::1539 
::Luc ::Hibino 
::Alone ::Sequences 
::Rantzau ::GibbsBT94 
::22850730abs ::LeuteneggerL98 
::Maps ::Differential 
::15310267 ::Ming 
::Indexed ::ContinuouslyMoving 
::Machanavajjhala ::Leo 
::CasanovaFP84 ::NN 
::22850705abs ::914809 
::Defined ::Shirani 
::Charging ::914850 
::15310081abs ::ChanSL98 
::375 ::109 
::Dao ::Qiming 
::Architecture ::CastellanosCSD05 
::Configurable ::LevyMSS95 
::816 ::P268 
::Verify ::BestPeer 
::CareyHL93 ::Paradigm 
::Neal ::IR 
::Bicer ::BancilhonR86 
::Giorgio ::Click 
::MoonWL01 ::TianP08 
::Petkovic ::EllisGR91 
::Sherkat ::Park 
::Reasoning ::LinVM06 
::Bulk ::Push 
::Yan ::tree 
::l ::4497631 
::Nabeel ::Galpin 
::1199 ::Heinlein01 
::Brett ::Ghafoor 
::4497538 ::Dik 
::Closure ::SankaranarayananAS06 
::22850162abs ::P424 
::977 ::4497515 
::22850668abs ::AgrawalAS93 
::Xiaoyong ::Aaron 
::GovindarajanMV06 ::BertinoOYD05 
::Maged ::PattersonBA08 
::Sedmidubsk ::Generalized 
::Mingzhe ::22850162abs 
::Xiaowei ::Volker 
::1126 ::toWeb 
::Blakeley96 ::ChaudhuriDMN01 
::Video ::Arnon 
::journals ::LiSR92 
::914835 ::AugstenBDG08 
::4497424 ::AggarwalY08b 
::Cheung ::AntovaJKO08 
::22850730abs ::ChangC02 
::RothH93 ::Parallelizing 
::General ::Jin 
::RastogiS98 ::YiuMK08 
::Keidl ::Millions 
::TaninHS05 ::Sujeet 
::Mao ::Luca 
::22851048abs ::Terzis 
::Communities ::175 
::Deepak ::BhideDD93 
::Madlmayr ::Luk 
::VenkataramanLN95 ::Snake 
::Mixing ::104 
::Kazumi ::YangL87 
::temporal ::ZhouZQZ06 
::Region ::4 
::good ::Shaped 
::Seeger ::AtzeniMM97 
::LeeKC01 ::BernsteinHM90 
::1266 ::Disparate 
::Balke ::96 
::Pollack ::Martinenghi 
::PapaemmanouilC05 ::Anil 
::Preemptive ::15310279 
::185 ::Tuncel 
::Veli ::Zhai 
::LittleAFGRSV93 ::QiaoIAA06 
::For ::Decomposition 
::WongA85 ::Relationship 
::ZhangDH08 ::Supratim 
::XPlainer ::P297 
::HellersteinKP97 ::Mannila 
::Event ::Categorical 
::YanOZ08 ::Halverson 
::HenrichHSW91 ::on 
::AlonsoBPHK01 ::MohanHLPS92 
::Qian96 ::Bee 
::Hierarchical ::GibbsBT94 
::SrikantA95 ::Visualization 
::4497560 ::Accurate 
::1468 ::AikenCSW96 
::Henrich98 ::Sattler 
::Testing ::Sam 
::X06b ::from 
::Isaac93 ::MachanavajjhalaGKV06 
::Class ::Seidl 
::pdis ::Sivasubramaniam 
::4497479 ::312 
::KreveldO91 ::NguyenD08 
::Containing ::Ashwin 
::4497550 ::Venkatasubramanian 
::526 ::mta 
::KumaranCH06 ::Henk 
::406 ::Air 
::Freeston87 ::AmarmendAK06 
::SquicciariniPB08 ::BonchiGLOPT06 
::Win ::Bossi 
::Korolova ::22850619abs 
::Bernhardt ::EvdokimovFG06 
::Bonifati ::Amarjeet 
::4497398 ::Estan 
::Column ::title 
::MeltonS93 ::P180 
::Be ::without 
::Patel ::Rantzau 
::Reference ::Juliana 
::ElfekyEV02 ::Oxley 
::kl ::Optimization 
::System ::Mason 
::Tran ::VrhovnikSES08 
::Pietzuch ::Exemplar 
::Offs ::322 
::Potamias ::View 
::meets ::Rajamani 
::IshikawaYIK96 ::ImielinskiB94 
::tois ::Harchol 
::Deb ::P522 
::1391 ::Maruyama 
::1324 ::TirthapuraA05 
::1002 ::563 
::KetchpelGP97 ::1381 
::DozierSF94 ::Jasiobedzki 
::SMART ::4497473 
::Dimitris ::Full 
::490 ::SankaranarayananAS06 
::Migration ::VaradarajanHR08 
::ChenWWM06 ::684 
::Bart ::Raschid 
::82 ::Zaniolo 
::15310503 ::BonczKK96 
::Gertz ::CareyFLS91 
::AhmadABM08 ::Industrial 
::Salem ::Shojiro 
::Centric ::Stephanie 
::Bestavros ::22850514 
::Tarik ::PnP 
::Resolution ::Cruz92 
::Optimization ::605 
::472 ::Bursty 
::SistlaYV97 ::234 
::Signature ::BohannonPRSSS96 
::Keulen ::Burst 
::843 ::Bouaziz 
::22850927abs ::Wilhite 
::778 ::KistlerS91 
::471 ::Salvatore 
::Bin ::SAP 
::Ketchpel ::635 
::22850415abs ::1209 
::MaH01 ::Committee 
::Mourad96 ::ChongDFSYJTK01 
::GuhaK02 ::NET96 
::Architectures ::Fosca 
::dbpl ::Preemptive 
::Attacks ::BarbaraI94 
::Estimator ::Patrick 
::Knig ::van 
::Marinoiu ::Melanie 
::BenatallahSND02 ::Recognition 
::Janine ::Areal 
::Art ::1579 
::Untrusted ::Klinginsmith 
::Over ::Meyerson 
::CandanHS98 ::Interpreted 
::852 ::878 
::Roitman ::Mani 
::275 ::TomasicRV96 
::Lei ::IshikawaK93 
::Generalization ::MeoPC96 
::Sequence ::Halevy 
::Development ::TAR 
::Aritsugi ::ZhangLW08 
::GhaffarA97 ::LudascherGM01 
::tcs ::Junglee 
::1461 ::Soumen 
::1575 ::Teixeira 
::Bartlett81 ::BayerM72 
::PopivanovM02 ::Musicant 
::Joxan ::Doulkeridis 
::472 ::299 
::365 ::Hmmer 
::71 ::Zhanhuai 
::GryzSZZ01 ::Editor 
::SayalCDS02 ::PapakonstantinouGGU95 
::Carminati ::Scott 
::Uwe ::Gal 
::842 ::1393 
::DiaoFFT02 ::1098 
::ShanADDK95 ::46 
::Offs ::Kai 
::259 ::Ramanath 
::4497508 ::Naidu 
::is ::Tool 
::Annotation ::977 
::Advancement ::Domain 
::1528 ::On 
::Result ::ProcessingWindow 
::Nested ::relational 
::mash ::Zina 
::35 ::Vijay 
::Tamer ::499 
::Aware ::Triage 
::8i ::P259 
::1141 ::Choi 
::Injector ::HTML 
::Kulik ::179 
::SirbuT95 ::ChaudhuriNR08 
::Bouganim ::717 
::GuptaHQ95 ::LiSDKG01 
::X06 ::Outliers 
::Lam ::FerhatosmanogluTAA01 
::Linfeng ::Answer 
::77 ::fayyadPSU96 
::Kashima ::Labeling 
::51 ::Thuraisingham 
::Alper ::GoldsteinRS98 
::22850483 ::Generalized 
::P446 ::1491 
::Publishing ::1099 
::Scalability ::Choi 
::Verify ::BabuMWM05 
::370 ::Grobelnik 
::933 ::Srikanta 
::Zhanhuai ::Indriyati 
::15310117abs ::EsterKSX96 
::Tamino ::DHT 
::491 ::Lawrence 
::90 ::22851084abs 
::LuccheseVRY08 ::Bypass 
::1218 ::914854 
::15310333 ::Hoyoung 
::ChandelNS06 ::Loops 
::Assuring ::SMART 
::ChongDFSYJTK01 ::1611 
::Shaped ::Miller95 
::1391 ::Schwarzkopf 
::Network ::Srinivas 
::Hector ::KumaranCH06 
::Tightly ::Leymann97 
::XQSE ::Regions 
::Bausch ::Smoothing 
::Semistructured ::BINGO 
::Z ::Bressan 
::ChanSL98 ::Marcin 
::4497574 ::528 
::Arie ::JeungLSZ08 
::Rinku ::Simulation 
::1492 ::Nejdl 
::Suman ::Bedell 
::2006 ::Wikipedias 
::15310270 ::Cinzia 
::Shuang ::Chamberlain 
::Shen ::Next 
::342 ::KumarLMT08 
::Features ::Industry 
::Lag ::Quasi 
::GounarisPSFSW06 ::684 
::X05p ::Allen83 
::581 ::MetaQuerier 
::DunnDDS02 ::Reverse 
::P558 ::SinghKG02 
::Boat ::4497560 
::Yunyue ::Zhe 
::Terminological ::212 
::Diverse ::Patterns 
::Merging ::715 
::Seluk ::PanZW08 
::Integrity ::AbiteboulMPPS08 
::Rajamani ::Newton 
::BadrinathR92 ::DragutWSYM06 
::Sayed ::Support 
::Native ::BarbaraI94 
::McKenna ::15310041abs 
::Disease ::4497623 
::Yaping ::Olston 
::22850188 ::Parallelism 
::Elmagarmid92 ::FelipeHR08 
::459 ::Salzberg88 
::Couple ::339 
::FungYLY05 ::Amarnath 
::171 ::Zeeshan 
::Neeraj ::Fen 
::Victor ::345 
::Vaithyanathan ::Pajarola 
::Periods ::Teaching 
::HardwickSRM97 ::ONeil87 
::Auctions ::Furche 
::15310323 ::Machanavajjhala 
::Decker ::188 
::Kalogeraki ::SarawagiS94 
::Protecting ::Hilda 
::Almeida ::Wavelets 
::XieYCWY08 ::Scott 
::842 ::4497571 
::107 ::Ranganathan 
::toms ::22851144 
::132 ::jsac 
::385 ::World 
::HollandG92 ::Ogawa 
::won ::1032 
::Heinz ::Legacy 
::Presence ::RoussopoulosL85 
::Wing ::designed 
::HarrisonD92 ::CASTLE 
::BatiniL86 ::PitouraT08 
::Johannes ::BeeriR87 
::Muse ::1415 
::SavasereON98 ::4497500 
::http ::195 
::842 ::Zhuge 
::Pautasso ::74 
::CareyDN93 ::Shafiq 
::BittonMT89 ::Serialization 
::1620 ::15310268 
::Till ::Eket 
::Chin ::journals 
::Petkovic ::Yoji 
::Suciu96 ::Xueyan 
::864 ::22851061abs 
::Lingzhi ::Malik 
::JagadishMS95 ::McCannSD08 
::GoelSYZ02 ::Rizos 
::Directions ::Form 
::ChiuehP05 ::Towards 
::Bhattacharya ::Sales 
::431 ::813 
::with ::acta 
::Leung ::Lead 
::Officers ::383 
::Realization ::Future 
::Felber ::Osman 
::4497451 ::GuptaMS93 
::GuptaCG08 ::1208 
::4497522 ::555 
::WhangLLKH05 ::Phantom 
::van ::Powerful 
::Felix ::1121 
::KwietniewskiWTGGJJN08 ::Query 
::Specific ::Jindan 
::Yuni ::15310278 
::Saenz ::Sarma 
::Wrapper ::Tamer 
::Opportunities ::1098 
::Pham ::Sizov 
::Wilson ::Master 
::jlp ::Rizos 
::1346 ::Manolescu 
::Olga ::1053 
::1507 ::Papadimitriou 
::Party ::MeoPC96 
::366 ::Soloviev93 
::41 ::862 
::1387 ::QuassWGHLMNRRAUW96 
::Implementation ::4497550 
::Documents ::Objects 
::AdibaL80 ::15310283 
::Nagaraj ::Koutrika 
::HellersteinNP95 ::Latency 
::P154 ::KashimaTINHEF05 
::HouJ06 ::BargaLW02 
::Akiyoshi ::Locking 
::Revisited ::GawlickK85 
::Quadtree ::Afanasiev 
::4497399 ::Connectivity 
::22850384abs ::Beyond 
::Generalization ::Amarjeet 
::EppingerMS91 ::Boolean 
::108 ::552 
::within ::Shasha 
::Preserving ::Kimball96 
::KonigN06 ::Beyer 
::Batch ::AquaLogic 
::22850254 ::4497611 
::Gang ::Weld 
::YiN05 ::Masato 
::Meo ::ChenR05 
::Katayama ::1485 
::1388 ::Kamath 
::1537 ::Latanya 
::11 ::leeuwen90 
::Bernedo ::Kriegel 
::Wen ::Si 
::Directions ::22850190 
::4497481 ::Koutrika 
::311 ::Vikram 
::MullerDEF01 ::XPath 
::ShaullSX08 ::ChenOO08 
::csur ::Size 
::Semi ::WuWLM06 
::CarterBZ95 ::sebd 
::1095 ::Ramamurthy 
::Qian96 ::O 
::862 ::63 
::Silberschatz ::ShkapenyukS02 
::Tanizaki ::Ryo 
::Houtan ::WachterR92 
::Schlesinger ::661 
::552 ::Aggregationin 
::GoldinK95 ::LeeHL08 
::AlexanderR06 ::4497489 
::Xiaolei ::Azar 
::22850157abs ::SistlaW95 
::Teamwork ::NetzCFB01 
::Lattice ::4497605 
::Jiying ::Binnig 
::Habich ::566 
::Schek ::Mangold 
::Newton ::507 
::KahveciS01 ::Outstanding 
::503 ::MANETs 
::Infrastructure ::1576 
::Sherkat ::v8 
::1998 ::Sichun 
::BerchtoldBKK97 ::Mor 
::Weiping ::864 
::Commerce ::KeidlKKK02 
::temporal ::Declustering 
::1547 ::Dehne 
::IkedaMITHHO05 ::Midflight 
::Diego ::1324 
::1169 ::1411 
::Jakob ::Cong 
::KriegelHS91 ::Braynard 
::MohanKSW06 ::Welcome 
::Tryfona ::1430 
::Mourad ::Decade 
::Zadeh65 ::Better 
::Video ::Roussopoulos 
::765 ::BernsteinGWRR81 
::MeoPC98 ::Marlon 
::R ::1228 
::4497418 ::YiLHKS08 
::Vectors ::meets 
::Gunther93 ::384 
::601 ::Krishnaprasad 
::Goel ::QinQZ06 
::LeungNM02 ::Pu 
::Kreplin ::LangOS96 
::Evangelos ::601 
::Afanasiev ::Hiroyuki 
::SistlaW95 ::GruenwaldBP06 
::Fayyad ::280 
::578 ::Albrecht 
::ONeilG95 ::GareyJ79 
::4497488 ::Q 
::leeuwen90 ::Recently 
::1343 ::CLAN 
::531 ::914852 
::Mannila ::1445 
::Rjaibi ::DrapeauPK94 
::Samples ::NN 
::BrunoC08 ::KasneciSIRW08 
::Weidong ::Baile 
::602 ::AmarmendAK06 
::fAST ::BernsteinGW93 
::JagadishMS95 ::Miron 
::ACT ::Jrme 
::Murthy ::iBOM 
::Extending ::LiuYT05 
::Paton ::PeiHL01 
::cosit ::Lang 
::Limited ::57 
::Challenges ::based 
::dl ::LiuC08 
::4497414 ::244 
::MogiK96 ::CammertKSV06 
::4497606 ::MogiK94 
::OrfaliHE96 ::15310265 
::Clusters ::LeeSZ05 
::Estan ::Garofalakis 
::1462 ::Wenfei 
::Threshold ::Ouri 
::Nilesh ::68 
::240 ::Detection 
::Raymond ::27 
::Radwan ::Music 
::FlajoletGPR93 ::Estimator 
::4497503 ::DBMS 
::KimP88 ::Hannu 
::PetitTBK96 ::Ahmad 
::MorishimaNISK08 ::Graciela 
::Ramasamy ::4497436 
::P069 ::Schallehn 
::Karlsson ::Migrating 
::22850705abs ::Evripidou 
::774 ::Mukesh 
::Progress ::Unifying 
::Blocks ::CLAN 
::LiuYGS98 ::627 
::Yiping ::34 
::Mahmood ::BrunoGM02 
::158 ::Reasoning 
::410 ::15 
::Annamalai ::853 
::Resolution ::stoc 
::KoloniariP08 ::NaumannHTHM02 
::GutingS95 ::Gummadi 
::Charging ::Midflight 
::4497617 ::NguyenKF08 
::Bicer ::Popa 
::Sellentin ::booktitle 
::Willem ::Mehr 
::Masayoshi ::Cochinwala 
::Snapshot ::Never 
::Feida ::Neoklis 
::Supply ::Indices 
::P105 ::Anish 
::693 ::484 
::Added ::Certain 
::Surna ::Land 
::Xiaoxin ::22851131abs 
::Perfect ::Giuseppe 
::Caetano ::Rudra 
::Petko ::Mullin90 
::Indicators ::Pascal 
::Pedro ::Arun 
::InanKBS08 ::Baile 
::Multiple ::232 
::Conscious ::Lian 
::dl ::Arbitrary 
::Lapped ::Kimball96 
::Terminological ::KrauthgamerMRR08 
::HanMWS01 ::AgrawalH05 
::Buneman ::1149 
::Bassam ::JensenSS94 
::15310117abs ::Arif 
::Liang ::22850978abs 
::SI ::Long 
::CormodeKMS05 ::Pandey 
::1527 ::Imprecision 
::SrivastavaL88 ::GrayR93 
::Revision ::Chuan 
::lisa ::MahajanDNAM98 
::Simon ::OptimAX 
::Whose ::191 
::Author ::JadavSCB95 
::Dan ::TataFS06 
::Standing ::Banaei 
::813 ::Fernandez 
::Prototype ::Cammert 
::HwangBRCSZ05 ::Ryvkina 
::Mani ::Evolution 
::Lieberman ::Roberto 
::Relation ::Reference 
::72 ::Sentiment 
::FlajoletGPR93 ::Stocker 
::Cai ::RamanathZFH05 
::Shouke ::Bugra 
::Granular ::754 
::Linfeng ::Amir 
::KashaniS06 ::Consistent 
::KumaranCH06 ::372 
::SeshadriLR96 ::GruenwaldBP06 
::Sengar ::22850162abs 
::linear ::1373 
::232 ::4497563 
::RooholaminiC95 ::1408 
::22850804abs ::200 
::ZouSL98 ::Haifeng 
::Jakob ::HeZC05 
::Lyublena ::RoussopoulosL85 
::663 ::503 
::Lomet93 ::Petkovic 
::4497447 ::ShuklaDNR96 
::JoshiJ08 ::Va 
::crossref ::4497611 
::BrinkhoffKS96 ::Sichun 
::1 ::Huan 
::22850057abs ::Answers 
::22850606abs ::Intuitive 
::Semantic ::Alberto 
::Content ::Mirco 
::Elisa ::Callaghan 
::GrabsBS01 ::Jasiobedzki 
::Srinivasan ::4497618 
::Brown ::Compact 
::Selectivity ::Phrase 
::Good ::JayapandianJ06 
::BrinDG95 ::XiaZT08 
::Chair ::Speeds 
::Aziz ::Sanjay 
::Provenance ::1091 
::Jagadish ::Davood 
::Alfons ::Estimation 
::4497501 ::Nambiar 
::Margo ::Ray 
::Mapping ::Reiss 
::datamine ::Scrutinizing 
::Blocking ::1238 
::497 ::Atallah 
::Dakka ::Widmayer 
::Ang ::9 
::Xiao ::Tasks 
::Represented ::Reza 
::ViteX ::Cyclic 
::Georgiana ::Gting 
::Amlie ::MendelzonMM97 
::Evaggelia ::4497509 
::716 ::Kotidis05 
::309 ::Atallah 
::0 ::4497580 
::Toman96 ::Sreeram 
::SketchTree ::UchiyamaOH05 
::Sensing ::AutoGlobe 
::Queuing ::Implicated 
::Jigyasu ::Columns 
::22850680abs ::Aggregationin 
::Haifeng ::Surface 
::Energy ::ECA 
::bc ::AraiDGK06 
::AnciauxBHPA08 ::Store 
::Hongjun ::4497543 
::Proces ::Activities 
::iandc ::Shuai 
::Cardinality ::BronczWK98 
::Maximal ::Cherniack 
::4497469 ::Yuen 
::level ::efficient 
::mss ::cker 
::Multiresolution ::Keulen 
::865 ::Evaggelia 
::Kanamori ::22850446abs 
::Tang ::Bakalov 
::1249 ::270 
::QianW91 ::778 
::Closed ::ICDE 
::470 ::P402 
::693 ::Tolani 
::DuS82 ::MUSE 
::Shivnath ::Leymann 
::1507 ::OWL 
::Manolescu ::Beng 
::KrishnaprasadLMWA05 ::HartDV88 
::655 ::Jeung 
::SinghMSPHNC08 ::Their 
::Anurag ::Flattening 
::Neumann ::LjosaBS06 
::K ::KumarLMT08 
::IC ::KimGBW90 
::Ansorge ::4497417 
::Reachability ::Haggai 
::Filtered ::X05t 
::Cleaning ::FranklinZTCD92 
::Kristian ::4497564 
::832 ::L 
::KivinenM95 ::Convertible 
::174 ::Places 
::4497594 ::Murat 
::Stolte ::JayapandianJ06 
::200 ::656 
::Meets ::Demonstration 
::StonebrakerK91 ::4497435 
::Sing ::Dadam 
::Measuring ::ds 
::215 ::1169 
::via ::LeslieJBY95 
::1568 ::Sunbir 
::Marx ::Nithya 
::Shojiro ::KohLHA08 
::Dadam ::Checking 
::Davulcu ::Shegalov 
::105 ::MalkemusPBC05 
::Oracle8 ::22851036abs 
::Peiya ::LeFevreDR06 
::22850143abs ::Skeen 
::1429 ::Skippy 
::Error ::1394 
::AttieSSR93 ::Kumar 
::DeshpandeH02 ::Guting94 
::1480 ::WolskiB98 
::WangLFY02 ::Rotem91 
::Olteanu ::Serge 
::XSEED ::dood 
::DayalHL90 ::Goel 
::Untrusted ::NussbaumerPSS95 
::GirodMNRTBM08 ::1584 
::Chitta ::SchroederHINW06 
::22850717abs ::Corey 
::Cho ::Eunus 
::Snodgrass87 ::Colors 
::ChawatheGHPUW94 ::1321 
::MohanN91 ::CQ 
::ImielinskiVA96 ::Specification 
::Local ::Connected 
::Kantarcioglu ::Effect 
::RoitmanGR08a ::Tetsuya 
::Sikka ::Regnier85 
::Reorganize ::Jason 
::Glimcher ::BestR85 
::CallanLC95 ::Clifton 
::SAP ::HaraHTN98 
::38 ::Gyu 
::22850434abs ::Anish 
::Rule ::Ioana 
::P494 ::Workloads 
::Efficiently ::646 
::Service ::HuangJLO06 
::ZhangCMS97 ::639 
::TheodoridisS96 ::Annamalai 
::Markl ::Kersten08 
::EderL95 ::138 
::KriegelHS91 ::LiLL08 
::DelisR94 ::Gyu 
::396 ::Storage 
::Wikipedias ::DakkaI08 
::4497480 ::BadrinathR92 
::Renz ::Corey 
::Management ::Ihab 
::Mobile ::Leymann 
::GravanoGT94 ::Bouganim 
::Mi ::YanZHY06 
::Hiroshi ::MiniCount 
::Preference ::That 
::AcharyaAFZ95 ::Riqiang 
::RoschGL08 ::4497475 
::57 ::IshikawaKOYKK96 
::Middle ::Stefanie 
::169 ::TsangarisN91 
::Unlinkable ::Understanding 
::Ka ::15310403abs 
::Propagation ::Annotator 
::Amarmend ::Transportation 
::2008 ::Ntoulas 
::Ho ::Yunyue 
::Cudre ::Enforce 
::FlajoletGPR93 ::ChakravarthyM94 
::Samaras ::ShivakumarG97 
::YangLYX05 ::BrunoC08 
::1447 ::Sing 
::AikenCSW96 ::Schning 
::RamanSQRDKNS08 ::Feng 
::AtzeniMM97 ::Johann 
::BryanEF08 ::15310503 
::22850816abs ::Page 
::123 ::Rahul 
::JVM ::Administration 
::Danzhou ::1127 
::Ashish ::Complex 
::NguyenKF08 ::Akshat 
::1189 ::Valduriez 
::22851129abs ::ChenDKLRS95 
::Subbu ::DarFJST96 
::Natix ::Castellanos 
::Mukesh ::Frequent 
::Broken ::Compiler 
::TRMeister ::Ioannis 
::Wenfei ::Sang 
::Liangzhong ::Twig 
::1218 ::GovindarajanMV06 
::CASTLE ::Luca 
::Extract ::Wayfinder 
::Kementsietsidis ::628 
::280 ::Habich 
::943 ::Errors 
::Top ::401 
::Torlone ::Tobias 
::FaradjianGB02 ::Carla 
::67 ::That 
::OguchiK02 ::Fjording 
::Warren ::4497620 
::Checker ::4497511 
::Atri ::Ramakrishnan 
::Haixun ::P297 
::Private ::Chowdary 
::224 ::Malaika 
::Increasing ::Shape 
::4497437 ::827 
::Satoh ::BeckmannHKN06 
::anonymizing ::Krishnapuram 
::Gattu ::Knuth73 
::etintemel ::RajaramanSU95 
::Haibing ::RDF 
::Ke ::Michalis 
::Standing ::Hiroko 
::KoloniariP08 ::Jianyong 
::1351 ::Idea 
::Ruoming ::Isoline 
::Melanie ::4497526 
::Indices ::Das 
::Video ::Per 
::Neil ::HOPI 
::Theodore ::Indexes 
::Olga ::Sam 
::AtzeniCB05 ::CormodeKMW08 
::933 ::Optimizer 
::Gemulla ::Gromann 
::Distance ::Elegant 
::Jiexing ::Ling 
::Cart ::Simmen 
::Atomic ::Morse 
::1144 ::Sheng 
::RamamrithamSSTX96 ::SunPF05 
::Adaptive ::Guided 
::Zhiping ::Workflow 
::Vana ::AlomariCFR08 
::Incorporating ::P558 
::ChengXPS05 ::Effect 
::ChenDER05 ::Aleksandra 
::Regular ::between 
::AtallahCK08 ::GanesanSG05 
::Butterfly ::GounarisPSFSW06 
::ONeilWFCM98 ::Theodore 
::KoblerBCH95 ::Eran 
::Keyword ::Conceptual 
::Accelerating ::Coupling 
::Buffering ::Srivastava 
::Date90 ::Masatoshi 
::4497406 ::Zou 
::Swaroop ::Kumar05 
::Binnig ::HenrichSW89 
::Smith ::XGRIND 
::Schema ::Gustavo 
::Fully ::CluetD92 
::Rajaraman ::TaoXLZ08 
::Structured ::568 
::365 ::Ramakrishna 
::icde2006 ::441 
::BilirisO93 ::4497468 
::Elghandour ::Carl 
::PeiHPCDH01 ::385 
::Multi ::1145 
::Interval ::Toward 
::814 ::Hamid 
::KeidlKKK02 ::PageChaser 
::505 ::Puniyani 
::Q ::Application 
::Functional ::914836 
::Stahl98 ::4497589 
::Vassilios ::4497492 
::AbiteboulMPPS08 ::GukalOR96 
::Simplicity ::GardarinST96 
::Stratis ::Zheng 
::Distance ::Steve 
::BuccafurriRPS02 ::Periklis 
::Gmach ::GuptaM95 
::Takuya ::On 
::MoonWL01 ::15310331 
::Meichun ::LiuL02 
::StockmeyerM73 ::Kalogeraki 
::Making ::Kambhampati 
::DeWittNS91 ::Kleene 
::Compliance ::625 
::Memory ::Kwang 
::Behr ::mk 
::DaiKSTV08 ::15310277 
::AbiteboulHB99 ::WolfsonXYC06 
::WangM05 ::Ben 
::Chuan ::Clean 
::4497528 ::Muse 
::Acharya ::Yi 
::Murat ::Mauricio 
::LiaoLL01 ::X06a 
::Rimma ::Spannagel 
::4497504 ::KatayamaS01 
::Maarten ::Kurt 
::Jeffrey ::Newton 
::Elegant ::1403 
::vldb ::Metric 
::Earth ::490 
::dbpl ::Vagelis 
::697 ::GounarisPSFSW06 
::Yip ::578 
::Inseok ::Shinjiro 
::SarmaTW08 ::Major 
::1423 ::Javeed 
::Colors ::193 
::Yokota ::Inference 
::Kasneci ::ImielinskiB94 
::ShivakumarGC98 ::64 
::Reasoning ::Smith 
::Sedmidubsk ::Karthikeyan 
::Deepak ::ShafiqSBG06 
::Lutz ::ChongDES06 
::1145 ::Gudes 
::Luigi ::Saake 
::Adaptation ::RDFS 
::914827 ::CatarciCS94 
::journals ::Jaber 
::PatelD96 ::938 
::Shahabi ::DeWittFMV90 
::Ariel ::Malicious 
::Compact ::Hidden 
::Songyun ::Albrecht 
::Ikeda ::EswarranGLT76 
::411 ::Raghav 
::Capturing ::Werner 
::Ka ::Silvia 
::122 ::views 
::Yongluan ::PermJoin 
::DBMS ::PitouraT08 
::Prodromos ::Automatic 
::MunakataJ94 ::Chien 
::Siong ::Crowd 
::Junghoo ::PolyzotisG06 
::ChandraV85 ::4497631 
::7 ::Karras 
::Tata ::Mathew 
::Latha ::Andras 
::LangOS97 ::Fingertips 
::22850865abs ::EggersOS81 
::Lo ::Kedar 
::Right ::Theobald 
::Naacke ::P174 
::AtallahCK08 ::Khalifa 
::Estimators ::Fingertips 
::Format ::Delta 
::Murthy ::X05o 
::1363 ::SaltenisJ02 
::350 ::Seluk 
::Binnig ::JakobGHN05 
::SrikantA95 ::Vinayak 
::425 ::Item 
::Rinku ::Arif 
::Bertino ::350 
::1527 ::Rishe 
::Saltenis ::914818 
::Na ::Vaupel 
::YinC05 ::Eavis 
::Giorgio ::PapadiasTKZ02 
::Hidden ::AraiDGK06 
::Metadata ::4497632 
::Welsh ::Hong 
::Panel ::Adlib 
::357 ::488 
::Elke ::4497423 
::Paolo ::BernsteinN96 
::Mikhail ::Serge 
::Control ::1348 
::914866 ::159 
::Semantics ::693 
::574 ::Ashraf 
::524 ::Isaac93 
::Feifei ::XPlainer 
::Tien ::KauT94 
::Mayfield ::Carson 
::X06b ::csur 
::PETRANET ::Buchmann 
::Thomas ::BhideCGGMPRRS08 
::GuptaHR98 ::Network 
::607 ::1376 
::Obermeier ::Rao 
::Csar ::Xu 
::22850322 ::Wolski 
::HarrisonD92 ::169 
::Vlachos ::Vectors 
::Lavelle ::zden 
::AgrawalCD02 ::AgrawalCGMM08 
::Rundensteiner ::Optimizations 
::Sudipto ::Redmond 
::Committee ::Apers 
::FerlezFLMG08 ::Richard 
::Sayal ::Xie 
::Steve ::SheuW06 
::http ::1367 
::Kamesh ::2000 
::Diagnosis ::Tsotras 
::22850606abs ::P180 
::1424 ::Campi 
::Simon ::Unsafe 
::Tripod ::Pilania 
::Unifying ::FLWOR 
::Integration ::74 
::841 ::912 
::Hallett ::Meichun 
::323 ::in 
::22851140 ::932 
::HanFWCGKLLRSXZ96 ::GardarinGT95 
::301 ::Norio 
::AlexanderR06 ::Big 
::548 ::4497616 
::icde2002 ::Cho 
::MuralikrishnaD88 ::ijcai 
::Greedy ::Coarse 
::ShethR93 ::Suri 
::Transaction ::Rimma 
::2 ::Christophides 
::1322 ::112 
::Realization ::4497626 
::1120 ::Cobena 
::Yeol ::94 
::Kyu ::Inventing 
::Malkani ::Suhre 
::Curt ::914811 
::Cherniack ::249 
::XM ::Tamer 
::Precision ::Non 
::Engine ::Abraham 
::proceedings ::4497495 
