Tyrone::LiuC08 HanYY06::Collections Wayne::256 ::4497503 ::Simon 
Bouaziz::Sattler Batched::Guan Haejoong::1417 ::Porto ::49 
DeFazio01::Maximal SEA::22850490abs RabinovichBGLMM98::Haibing ::15310283 ::Optimizer 
GriffithsFPJDM05::Transparent Smith::Dixit Markos::Matrix ::600 ::AcharyaFZ96 
22850890abs::1118 Fayyad::lisa Bowman::Warehousing ::NetzCFB01 ::Stefani 
AgrawalJKL06::4497535 1615::Aberer Previously::Jialie ::Mahadevan ::320 
Garret::cs GubanovBM08::Fjording CarterBZ95::Cornelius ::1052 ::Arnab 
Rhm::Zhai Scherzinger::WhiteJ96 SmythG91::Nagendra ::Estan ::P180 
462::AilamakiGM06 cker::dpd Zaharioudakis::GionisMT05 ::Vinayak ::ChandelNS06 
Heinlein::Kersten08 between::Volker Yongluan::Kuwabara ::Abstract ::Madhyastha 
4497478::Continuous Kit::627 Chair::Muntz ::665 ::TrombettaJBB08 
RFID::Surna Bouaziz::Vinayak Rishi::Group87 ::Gertz ::697 
Replicated::Papapetrou 15310567abs::Nick 4497624::Chengyu ::Lucian ::00 
Jacobsen::15310268 Rabindra::Fernando Kemme::4497473 ::Zuzarte ::Manikutty 
Sarawagi95::Tanizaki Reformulating::Morse Transformations::XSEED ::Equi ::Krauthgamer 
Self::93 Constructs::1104 143::Sacc ::Quanqing ::Akihiro 
Jialie::Habich Dmitry::Areal hpts::Tuan ::computer ::22850483 
291::DrivenWeb 330::Strength v8::Shuang ::Conor ::Crime 
Das::PageRank Fingertips::Rate Krompass::Functional ::185 ::Mokbel 
HwangPS98::Methods 1555::Matchings QiaoRNPCFRCYL08::search ::1506 ::ChangSZS97 
Blocking::4497552 EggersOS81::Ammar ShaLJ88::Muntz ::PapadopoulosM97 ::ChangSZS97 
Characterization::4497631 4497548::1516 Masahiko::Cole ::4497458 ::Fishman01 
BabuDM08::Detection 245::Divesh Mangold::HungDS05 ::Fernandez ::Computer 
Margaret::Swanwa 1150::StonebrakerK91 Parallelizing::ChenC92 ::Bhowmick ::WangZZ06 
Sridhar::903 JohnsonK84::Aleksandras Arnab::15310339 ::JohnsonMSS08 ::Haritsa 
VLEI::Gattu Morse::Getting Fathima::Errors ::Kementsietsidis ::Wikipedias 
4497552::Ander ChenWZY08::Loops 425::1148 ::Murugesan ::Roitman 
Mani::BerchtoldEKKS98 X08::Outsourcing Cristiana::Nes ::bda ::Olston 
PadmanabhanAMJ01::Pinto HirataHTK96::Natural 4497429::Suchanek ::Engovatov ::Division 
CARE::Hiroyuki 22850230abs::PrabhakarAAA98 inWireless::Engineering ::4497515 ::Ceri 
GantiCM05::Chakravarthy Papadias::15310201abs 192::icde2005 ::Stacie ::Confidence 
KoudasS05::4497498 Sujeet::147 4497493::Luk ::StreamCorder ::Pin 
Jasiobedzki::Study Flow::Shin Leh::914812 ::ZouSL98 ::dl 
AbiteboulMB08::Nguer KivinenM95::1556 1099::Mikhail ::VlachouDNV08 ::AbiteboulK89 
LindsayHM86::Lois 630::Pilania Brian::Optimization ::P362 ::Fen 
driven::4497411 Xiaopeng::SchekPSW90 Satkin::HP ::15310329 ::Program 
Newton::Squicciarini Soo::Shift FranklinCL92::RamamrithamSSTX96 ::Theobald ::Lei 
4497440::Eket Jiefeng::Govindaraju Dogac::SayalCDS02 ::Cleaning ::P436 
1507::ONeilQ97 TangYOW08::CarterBZ95 Come::1266 ::Yiheng ::ChangYDA88 
Balakrishnan::914856 SPEX::Hypermedia Specialization::Delis ::Leskovec ::Sheu 
CormenLR89::Gnther Azar::Theoni Dittrich::Bhide ::218 ::Protecting 
Jiangchuan::ChaudhuriGKLLM98 Jrg::Paraskevas 544::Sujata ::Eng ::Similarity 
BrakatsoulasPT05::Discriminant 15310267::Christian 164::Arocena ::Electronic ::Stefani 
Cobena::Ping Filippo::518 Elhadji::ConsensLO06 ::Alvaro ::Size 
1421::15310331 Soumen::Jimeng Salvatore::ReissH05 ::Donghui ::Randomized 
Deligiannakis::SunPF05 Kalnis::Xiaohui Cheong::Sharing ::GaoZCLLC08 ::Inan 
Weining::Top DanK95::Weifeng RDMS::882 ::Sequences ::CruzALRZ97 
Roussopoulos::Aoki 914817::Renz Ladin::IMAX ::33 ::Retrieval 
CasatiDS01::GriffinL95 454::Aravindan Associations::Tape ::22850157abs ::KimPC01 
Allen83::Snapshots Renato::siamcomp Goethals::List ::983 ::Coupling 
Equi::ONeilG95 Terzis::Approximating temporal::Subsequence ::within ::1339 
Gagan::h Theodoridis::McCannSD08 168::Runtime ::628 ::4497529 
149::PapaemmanouilC05 Structural::Automatic Renner01::1548 ::Shouxu ::Decker 
ReissH05::Content GhandeharizadehHJ92::Untrusted 914847::Wenning ::Venn ::403 
AggarwalY08::Anonymous PETRANET::163 FLWOR::Study ::Hacigms ::IshikawaKOYKK96 
Neville::Nithya Khaled::Giuseppe ChengYHY08::HorwitzT86 ::Operation ::Kjetil 
Vassilios::Sihem 528::Scalable AggarwalY08b::Weidong ::Wikipedias ::RinardD96 
CopelandK85::4497484 MogiK94::Versus 44::WebFountain ::Pinto ::Loreto 
StockerKBK01::Liangzhong Concurrent::4497500 Guided::Spiekermann ::SchiwietzK93 ::Masayoshi 
Inference::Naphtali Bernhardt::15310270 P086::372 ::Naughton ::Optimal 
Agrawal::15310276 Rene::BeckmannHKN06 Thuraisingham::internet ::ShriraX05 ::databases 
Summaries::Wong Sistla::McCannKSVSD05 Correction::472 ::LianC08 ::576 
Kreutz::tkde Tadashi::Chiew Goetz::Mohammed ::CORBA ::Niblack 
1414::395 741::Queuing Regulation::Wide ::Sattler ::GoelSYZ02 
ChoR02::Muntz 4497570::Liang WangRM06::HouJ06 ::Maintaining ::Sonny 
Constraint::Nie ChenDZ05::Bongki Flavio::Denise ::Volumes ::Primitive 
Akiko::MaddenF02 Surface::Yanlei Commutative::onWeb ::Composition ::PatonDWCDJ93 
558::FungWY05 Guoyu::Wide Bedell::Facet ::Arnd ::Managing 
Feifei::ER VBI::452 Guido::Schning ::UNIT ::P602 
YangL87::Giorgio Mitchell::Ramamohanarao McWherter::Box ::962 ::Woong 
Chitta::1482 DuS82::Gmach Ghosal::452 ::Mu ::Masaru 
Di::er Tang::Mourad Intelligence::Space ::259 ::Matches 
1400::4497607 61::Was Padmanabhan::1485 ::P192 ::into 
AgrawalS96::DennyF06 BonczKK96::Fung Quanqing::1092 ::Sizes ::Allen83 
22851135::BouazizKPW97 LynchS88::Cattell96 1047::Electronic ::Oguchi ::927 
MOLAP::Yossef Jianyong::Joseph Clip::209 ::Frederick ::Heterogeneous 
335::TAR Malakasiotis::1358 Jignesh::P086 ::TrombettaB06 ::Collaborative 
MaH01::Facet DebLRS08::231 Mu::Rsch ::Pull ::proceedings 
Networked::CareyHMW96 DelcambreMBDWGALL01::Ives 217::Oracle ::Kalogeraki ::Down 
Martin::JefferyAFHW06 Confidence::ChenR05 22850174abs::4497430 ::KashaniS08 ::Rjaibi 
Zaane::Descriptions SavageW96::Hoarding 44::4497474 ::BanerjeeC96 ::Jure 
SchiwietzK93::Yuanyuan HanF95::4497599 4497516::Disease ::15310507abs ::BestR85 
Periodic::Isolation Fractal::914818 Ishikawa::Ertl ::GreifSW86 ::Wesley 
22850341abs::Rabinovich Niblack::BayerHR80 Regions::Roland ::4497629 ::KatayamaS97 
RAM::LiHYX05 1287::Cha LeungMSVVZ93::Shrira ::FriedmanBF77 ::15310103abs 
sosp::4497518 IshikawaKOYKK96::714 Telematics::WangY02 ::15310673abs ::AdaliCPS96 
Arnd::Periodic BOXes::ChaAHS05 Environments::Merging ::15310278 ::IshikawaIKH92 
22850459abs::Cahill JayapandianJ06::15310029abs through::WuXTL06 ::Neil ::Products 
BlossomTree::Sichun PhotoSpread::Daudjee Expensive::IdreosTK06 ::Compact ::15310277 
Tien::KashyapRRS08 BunemanDFS97::515 Qi::Zuo ::icdcs ::Osman 
Klemens::Laks clustering::22850020abs Ghaffar::Amr ::Ari ::Calimlim 
Czajkowski::Ramanath 455::Adjoined ChangM88::P294 ::784 ::Shao 
Jianjun::Toivonen96 Rantzau::109 4497439::LiBRHCN05 ::Augsten ::Punctuation 
Warren::GummadiLGSH05 Hailong::SchroederHINW06 Terracina::Maier83 ::1506 ::Allocation 
Dimension::229 RamanSQRDKNS08::498 Lam::4497467 ::Jacobsen ::G 
144::LiuSYR98 Spatial::OLE 1600::Rahul ::Hoa ::ht 
Chuck::meets 22850415abs::Mullin90 BryanEF08::Bassiouni85 ::Ashwin ::YounSun 
765::1367 Rajeev::InanKBS08 Variable::Kwong ::Ying ::JagadishMR97 
47::Peer Bedell98::Muthukrishnan SrikantA95::Li ::22850446abs ::1607 
Skeen::Hidden Lang::Signatures Weis::Hsiao ::BernsteinHM90 ::mss 
YangW01::15310235abs 1036::JaffarYZ06 into::P231 ::Charuta ::Kimeli 
MalkemusPBC05::Tree 15310419abs::4497591 949::Nina ::DeWittG92 ::PudiH02 
Haojun::UDB 22850186abs::1130 Denzel::Shanmugasundaram ::Prefetching ::Snodgrass 
KornMW06::ChiuehP05 BlossomTree::134 118::Hang ::ShriraX05 ::Calton 
mash::15310329 Aritsugi::SeegerK90 P476::Semantic ::Compiled ::15310155abs 
Rosaci::King BrantnerKMH06::Cattell94 GuptaHR98::60 ::Gubanov ::22850384abs 
Shared::Varied hoc::Focused Chain::JadavSCB95 ::22851135 ::Partially 
Cluster::Ioannis 1130::Kwang ChenDZ05::Overlay ::Answering ::Mansuri 
Folding::Matchings Maher::Xiaowei ChaudhuriKPS95::578 ::939 ::Physical 
Spatiotemporal::MohanAGK95 Cobena::563 Suciu::Toward ::comp ::ijcai 
442::SI 285::914840 Polyzotis::Kossmann ::Domain ::Wiederhold92 
0002::NievergeltHS84 1361::1539 15310419abs::IWill ::Page ::4497546 
MukhopadhyayP02::N Yeol::Windows Teoh::Structural ::TaoPZL05 ::Jagan 
231::Streaming Correlations::Nisheeth 4497551::4497542 ::Row ::Towards 
Tan::Faloutsos Transactions::IshikawaIKH92 4497462::192 ::RusinkiewiczKTWM95 ::283 
Sliding::Generalized Robust::314 COSTA::an ::Suciu96 ::On 
511::Chawathe Design::Policies Egemen::Wan ::3D ::LiZBSZN06 
Lyman::KashaniS08 Marlon::LynchS88 Mariano::comp ::Correlation ::Skippy 
Dmitry::icml Yoji::P578 Stonebraker91::Deshpande ::1355 ::1091 
XGRIND::SinghL08 Shekita::LometS89 Seluk::4497458 ::KhaitanRJC08 ::Tok 
1441::61 Muse::Miron Shigeo::Zachary ::Physical ::Kishan 
Sayed::Ouzzani Jignesh::Resources 22850353::Christine ::Schiefer ::4497598 
ChenDZ06::HermanGLW87 Robust::Be Over::Uncovering ::Jhingran ::Proces 
Record::P241 245::1277 AfanasievGMRT08::ChenHY96 ::Brantner ::22851124 
1385::Habich Mehta::GuptaJM96 914846::LambLOW91 ::ChrysanthisR90 ::Resolution 
4497625::4497534 AssfalgKKKPR06::Vaidya Ira::Yanlei ::Vassilis ::fAST 
PitouraT08::863 StonebrakerRH90::Jos 1035::195 ::Freksa92 ::Weddell92 
AgarwalADGNRS96::Its PoosalaIHS96::Acyclic 324::BOXes ::Constant ::914873 
Bhowmick::Kuwabara kim95::Edoardo 4497474::Declustering ::Coherency ::129 
Asl::YanOZ08 1436::536 Kwang::1249 ::Mohammed ::351 
WWW::P476 McCann::AntovaJKO08 1062::L ::4497430 ::THALIA 
Verifiers::22850853abs Seltzer::Relative 991::Sarawagi ::Monotonicity ::Injector 
15310266::15310276 Beyer::Mingzhe 22850242abs::1145 ::Developed ::914842 
Voronkov::BohmMW01 Geoinformation::Precision fledged::JermaineOY02 ::Aziz ::Correlations 
Queuing::toms 22850205abs::Shuang 4497456::SavageW96 ::Krishnaswamy ::Chai 
568::88 Sellis::Kristian Indriyati::Function ::ChongDES06 ::1442 
Hetal::199 Sujeet::Baker Tadashi::WebOQL ::Khaitan ::Filling 
Theobald::kl FarragO89::WhiteJ96 ChaudhuriDMN01::ChenOR08 ::Services ::HellersteinNP95 
BehrG05::Hiroshi Zhewei::22850730abs Yiming::Tolerant ::File ::AraiDGK06 
Zou::Mason Kuwabara::Tian Snodgrass::AggarwalY08b ::425 ::Nagavamsi 
86::Tien 4497560::Lizhu Attributes::22851001abs ::420 ::Aoki 
Rantzau::Era 4497411::SunAA02 15310279::Nimrod ::SPOT ::Don 
AkindJLS02::15310261 494::Shkapenyuk 790::22850471abs ::Volumes ::Sarbanes 
Regions::YaminiG05 Martinenghi::Deductive Patrick::15310473abs ::Bonnet ::Zwol 
Boualem::ReissH06 ReissH06::2006 130::M ::LegariaGGHSWYZZ08 ::SrivastavaL88 
Updates::Generalization George::Segmentation SpinCircuit::GibbsBT94 ::Xiaofeng ::1124 
22850705abs::RotemZ95 684::22850159 Dirk::313 ::Liu98 ::Ludscher 
4497626::Mei Signal::ZakiP05 Skew::Protection ::1139 ::BernsteinGW93 
Shedding::Fung Koch::Asl Tara::Son ::ChenHY96 ::4497417 
Davood::CasatiCPP95 Cloaked::temporal Ferhatosmanoglu::Aleksandra ::FaloutsosB93 ::U 
Folding::LiCHH97 4497445::4497572 Chong::EmekciAAG06 ::4497541 ::Syntactic 
LiLL08::Distinctiveness BouganimFV96::Reification Carl::MoonWL01 ::Shiyan ::Kumar 
Ravishankar::dl 4497498::SUBSKY Braga::Pearson ::1258 ::Barton 
Thomsen::Bonnet Seshadri::BayerM72 Xinqiang::Yiu ::913 ::XPath 
4497623::4497560 933::VLEI Regnier85::Arie ::Mathew ::under 
914867::Zaiqing Stonebraker94::Patterson Stucki::Guy ::Markov ::Times 
Shimada::Tanaka Directly::ChanFLNR82 279::Szabo ::Cristian ::Grahne 
Govindaraju::HarinarayanRU96 JohnsonK84::Qixiang Abiteboul97::NeumannHM05 ::Providing ::Querying 
XParent::MalinAEL05 Lessons::Prcis Across::MoerkotteN08 ::From ::External 
Techniques::Cheng Environment::Mudumbai Jasiobedzki::Zeng ::Exploiting ::DBLP 
Han::Jean Warren::Trajectories Subramanian::Web ::Tari ::ChenC92 
Mehrotra::Henry Path::Czajkowski P297::Kyu ::MengLWG02 ::JakobGHN05 
Nejdl::Moerkotte Automation::128 Massive::LiLH06 ::Pedersen ::22851100 
Presence::252 458::Greedy 15310492::JainS94 ::RosenblumO92 ::292 
Unsafe::Class Sedmidubsk::MukhopadhyayP02 Decoupled::IMAX ::Ngai ::EllisG89 
Flexible::Qi MeltonS93::Sae RoschGL08::506 ::KonopnickiS95 ::Elisa 
P599::cs SilbersteinBEMY06::114 ArefS94::Comer79 ::Response ::Maximal 
Kahveci::ebXML 435::Netz Jrg::MetaQuerier ::914825 ::Watzke 
EggersOS81::LometBMS06 Mirco::Archival Bruno::Moustafa ::Closed ::SistlaWCD97 
743::Reorganize YiLKS08::Puzzle Strong::42 ::Intelligent ::SinhaWWSS08 
522::Secure 20::SiL96 Leskovec::Workflows ::Markov ::pe 
Vasilis::22851131abs Connectivity::Tara P314::Compact ::cover ::GanesanSG05 
isci::Leonidas icdt::Unstructured GrayC89::FischerK05 ::Algorithms ::22851115 
FaloutsosL95::Ranking ChenSZ05::31 Farrell::790 ::AntovaJKO08 ::BayerM72 
Enabled::GrayR93 Editor::Haritsa 1623::Lucchese ::Yiping ::40 
Frequency::Hiroaki Yannis::CormodeIKM02 Locality::P178 ::4497523 ::Knig 
GartnerKKZ01::Human MaddenF02::AssfalgKKKPR06 Jiangchuan::ht ::Ownership ::Stack 
10010651abs::MiniCount Dong::ReissH06 Haggai::IshikawaSKMMIAY93 ::pdis ::WeisN06 
Attacks::Nath 45::Advancement Sougata::Ansorge ::SellentinM97 ::962 
iBOM::Collection 4497542::1059 Andritsos::Simmen ::Pasi ::Generato 
767::Operator Earth::1141 Visualizing::4497505 ::LometBMS06 ::BINGO 
Soumen::650 Cooperative::ROLAP Exploratory::1540 ::LiH89 ::Regions 
Keyword::StromY85 XuLTW06::Babu Style::Kiernan ::Functional ::15310323 
ZhouOT05::Light Caches::244 Inventing::Compressor ::Correlation ::Underprovisioned 
Callaghan::Alexey Ouzzani::FernandezS98 JefferyAFHW06::261 ::Traffic ::Locality 
10010661abs::IshikawaKOYKK98 436::AnHai P302::VBI ::Yuan ::Allen83 
Fischmann::1140 Sueda::Itemset Kyun::457 ::4497458 ::Direct 
Major::Klemens Liao::Skeen QinQZ06::1552 ::XiongMA05 ::DohertyHR96 
1022::fayyadPSU96 1131::Bayardo Erik::Munir ::15310129abs ::KohLHA08 
Takuya::1568 639::Cattell91 Salka::Bamieh ::CareyHSACFFLNPTWW95 ::Members 
Heiler::Klaus Lingzhi::GriffinL95 Bentley75::ddb ::LeslieJBY95 ::Clement 
icde98::Veli 978::188 1092::Tsumura ::Venkitasubramaniam ::He 
Region::1169 Jos::Tool 939::Summaries ::Subspaces ::Louiqa 
JakobGHN05::306 Settings::GuptaMS93 Liedes::Rank ::Mauroux ::ShimSA97 
Masahiko::Jianzhong ETL::23 Snapshots::Expression ::258 ::Lomet92 
Enabled::Mukherjea Scannapieco::SunAA02 1559::65 ::4497540 ::379 
Feng::Spiekermann CampenXRGFSPL08::P412 Goldstein::15310277 ::22851147 ::914810 
1495::15310543abs 325::ShaLJ88 4497550::ManjhiSDO05 ::ColbyGLMT96 ::MD 
Kanamori::HasanM95 ieeemm::Yong Marx::FaloutsosK94 ::Bruce ::Suchanek 
192::AgrawalS89 Yuqing::PhotoSpread 125::X05t ::Felipe ::22850978abs 
4497493::Balaporia ChenRDEGS06::A NguyenS96::398 ::Diversity ::1379 
AgrawalBGKLR05::585 Advances::Tabular Delivery::YiuJHL08 ::SellentinM97 ::KapitskaiaTV97 
AyadNWS06::2000 Mei::Gio Role::697 ::Thresholds ::Lead 
Hasan::493 Imprecision::715 Matt::Beckmann ::Detect ::Leonidas 
Bo::Batch 4497406::Correlations From::Intuitive ::Ester ::1412 
Wei::1218 ZhouOT05::107 Abstract::Azer ::GoldbergR83 ::Snapshot 
Mohan94::NakamuraAOS93 Workflow::Databases LeuteneggerEL97::Kahveci ::KahveciS01 ::4497585 
Evaggelia::Moss 4497550::Administration MaddenG08::Mohan94 ::Xifeng ::2000 
4497559::4497447 YFilter::Master Burke::Exactly ::Document ::ChangC02 
nwosuTB96::Yk Kam::PuHK06 Mahadevan::Andrei ::ChanFGR02 ::Mostafa 
WRAP::HuWLZX05 Automated::SEMCOG BestR85::Nakhe ::Shishir ::Moustafa 
Ganesh::4497553 Rahm92::ConQueSt Bei::Bernstein ::CNN ::Asl 
Production::OzdenRS98 Support::of 1120::Himanshu ::Generation ::Computations 
606::Ono Dissemination::Mozafari Vebjorn::514 ::57 ::Referential 
1052::136 Erhard::P402 Kahn::Selecting ::onWeb ::Boat 
Arun::isca BonchiGLOPT06::15310441abs Cappellari::Sichun ::144 ::Ning 
Wiederhold92::Kramnik Ugur::Liang Yongqiang::ZhouW08 ::4497599 ::Preserving 
in::Gu Feasibility::Gone PinarTF05::Mozafari ::ShethL90 ::22851111abs 
von::Herlihy90 ChenDZ06::15310270 HenrichHSW91::Datasets ::ChenWWM06 ::GantiCM05 
AgrawalLSS95::Gromann KeCN06::947 Xia::914847 ::Lomet98 ::Saake 
403::Automatic Mozafari::FLWOR Giuseppe::Gerhard ::Strict ::Class 
Chita::Webs MohanAGK95::Coherency Their::366 ::Melliyal ::Haslam 
ElfekyEV02::Borealis Latanya::Correlated Psaila::Faradjian ::Grouping ::Vaupel 
Alfons::Riccardo P542::sigir TaoPZ02::Expressivity ::914811 ::Service 
P046::Laboratories GhaffarA97::WiwatwattanaJLS06 Gukal::Kolovski ::CormodeIKM02 ::Asymmetric 
15310507abs::15310337 ChenWWM06::Never Vaithyanathan::121 ::Past ::1287 
Andrew::55 CallanLC95::Overlapping Georgiadis::47 ::Young ::Jagadish 
1465::Livny Luo::22850285abs Datar::by ::SistlaYV97 ::Cornelius 
Verification::4497586 187::Outerjoin Nicoleta::Sattler ::DunnDDS02 ::159 
Campi::SheuW06 Extremely::MendelzonW95 4497513::Page ::Imperatives ::Aoki 
152::Gubanov Ramanath::914809 HjaltasonS95::Feifei ::icml ::WilkinsonN90 
Be::MAFIA Nicoleta::Gencai 1102::Cherniack ::Zeldin ::Gao 
503::1179 Reachability::Renato Swaroop::Dongwon ::Muralidhar ::Extended 
Orenstein91::1351 4497634::GedikWYL08 Thalhammer::Sensing ::CasatiCPP95 ::KeijzerK08 
Display::169 Subhash::Xing 151::Tomasic ::914834 ::Enterprise 
Inclusion::Accuracy Broadcast::Presence Jabeen::91 ::Dik ::GabowT89 
Delis::Temporal Buccafurri::Hull NFMi::705 ::Muthuramakrishnan ::148 
Multilingual::for 803::Set Space::Percy ::EltabakhEA06 ::4497458 
SchekPSW90::Sarawagi97 Samples::Substructures Triage::Evimaria ::706 ::Deductive 
Database::4497439 internet::Online Nanni::440 ::cacm ::Terabyte 
DCbot::Diagnosis Labeled::Perfect Kien::Ziyang ::Galpin ::Techniques 
P558::Beng Wei::Document through::Dou ::Gao ::CNN 
Goh::JensenSS94 Subspaces::Yamini Nuwee::Riedewald ::477 ::sebd 
1354::an 33::won Underprovisioned::Error ::Hiroomi ::Sevcik 
anonymizing::ZhouW08 Theoni::Datasets Back::Imai ::LiuL02 ::Hull 
from::1391 4497576::Grtner Rajan::Wolf ::Jain98 ::Constrained 
Rule::Simulation XCut::4497625 Agrawal::Transportation ::PapaemmanouilC05 ::RoitmanGR08a 
732::Beckmann Danzhou::Failure 4497588::PermJoin ::Bulut ::Akitsugu 
Notification::BlumrichLADFS94 RotemZ95::KeijzerK08 Aravindan::KlemettinenMRTV94 ::Wayfinder ::Kaushik 
Injector::353 Fu::Guided FungWY05::Lupu ::Effect ::LeungMSVVZ93 
Browser::ElghandourAZCBBZ08 15310339::Mendez Imperatives::765 ::COSTA ::Relational 
Houle::Anh Bhattacharya::264 MaddenG08::AikenCSW96 ::Guido ::4497472 
FaloutsosBFHNPE94::309 4497479::Xiaokui Govindan::4497446 ::Inference ::Heterogeneous 
Zaharioudakis::30 P036::ArefCEFGHIMPRTTTVZ02 160::Bossi ::GounarisYSD08 ::SankaranarayananAS06 
EppingerMS91::992 Low::Shigeo Fischer::Verifiers ::Congjun ::Velegrakis 
Welsh::Atomic Daxin::P599 speak::Source ::Nassima ::Winslett 
Tsotras::IpeirotisNCG05 1036::Filtering 1571::BargaL01 ::Ray ::195 
58::22850583abs 4497551::Exponentially Baihua::SistlaY96 ::15310503 ::SchenkelTW05 
147::24 Pekka::778 P392::Teaching ::Acquisitional ::Veli 
Cochinwala::Experiment Akitsugu::StoumposDKD08 SPARK::Zachary ::Hybrid ::Levandoski 
RinardD96::AgrawalFS93 182::Stella Group87::Guting94 ::ZhouZVQ08 ::HammerST05 
Balancing::Bhat NagarajNRS08::Evaggelia Sundaresan::Mendelzon ::ks ::Krithi 
Xiaofei::Prefetching Hammer::Halpern Sugata::enough ::534 ::Davey 
Transfer::Historical 15310309abs::Vibhuti Phan::22851141 ::BorgBGHO89 ::Estimation 
Pointsets::Broken Hae::Gryz98 EmekciAAG06::Rundensteiner ::Lewis ::GuPYC08 
Bogdan::Vaupel 303::Kuwabara 338::IshikawaKOYKK98 ::Jianlong ::LupuY06 
Fixed::Proces CarminatiFB05::Bouaziz 1140::Martone ::Text ::Sensor 
4497422::Berners Invariant::XuLTW06 P380::LeongS97 ::Iceberg ::Yangjun 
HershbergerSS06::Convertible Web::Linkage Divesh::Neil ::Filtered ::Srini 
Dam97::Pilania Seshadri01::Resolution QoSMig::Deletes ::Whang ::396 
Shoshani::ChenWZY08 Surrounder::Inan 22851036abs::Aggregate ::World ::4497543 
Hazem::XM Souripriya::Spreadsheets Domains::Per ::Cesare ::Suppression 
81::BohannonFRS02 Lessons::4497602 15310245abs::GoelSYZ02 ::Approaches ::ipsj 
Calton::D 270::Qing 2005::Liu ::Badillos ::Role 
Vassalos::Krmer Yuguo::Wolski02 4497414::MyllymakiL95 ::22850143abs ::Dunn 
PnP::Identifiers Jayant::Overview DeWittG92::Prabhakaran ::Timely ::Anonymizing 
Tata::Representing Example::Markus Welcome::Etoh ::AgrawalCD02 ::Mor 
297::Ln NgR95::Qun Neal::Holger ::GADT ::Toolsuite 
Ioannis::Rules Mark::Yasin 927::LiuYCW08 ::Liao ::Overview 
Loops::Oracle IdreosTK06::Zeller Mutsumi::ShkapenyukS02 ::Arocena ::295 
638::YounSun Yiping::SaltonWY75 ZhangDH08::Gen ::MachanavajjhalaKAGV08 ::LiuYGS98 
Bonchi::Conscious 914879::22851147 P514::How ::Self ::Fernandez 
KoblerBCH95::Substructures McKenna::22850417abs Enumeration::29 ::932 ::SNAP 
KornackerB95::22851137abs AlexanderR06::8i Queues::AgrawalBGKLR05 ::Heerde ::Whitley 
ChandelNS06::133 Fully::Wright Ansorge::GriffithsFPJDM05 ::BunemanNTW95 ::ADEPT2 
453::15310117abs Smalheiser::Consistent sosp::Wombacher ::Telematics ::914849 
Hartmut::1556 73::PeiHL01 SchroederHIN06::Lutz ::Amr ::dke 
ChongDES06::Ray Yuhui::Perego ProcopiucS08::1131 ::Fusheng ::4497638 
607::scheme 914818::Georgiana 15310463abs::Indices ::Sandra ::X06a 
Novel::Worldwide 651::Jagadish90 Nilesh::LudascherGM01 ::Kong ::YiN05 
Lu::Feida Jimeng::472 Huan::Evripidou ::Next ::ReissH06 
Matrix::ZhouYGCD08 RosenblumO92::Yufei 15310329::584 ::ETL ::294 
Wilfred::ChenDZ06 DuS82::SavasereON98 Campi::Idreos ::4497480 ::P314 
Theoretic::X05q 192::Chakravarthy Li::Luis ::Suppression ::Lessons 
ChenL02::MDL KorolovaMNX08::Luca I::Li ::Vista ::Control 
534::Stella Ehud::Lohman Shafiq::partite ::Fixed ::4497459 
Knig::Terabyte HibinoR98::Map YuC84::Laws ::Enumeration ::CORBA 
Midflight::JiangLWY02 15310166abs::10010473abs Gounaris::Guy ::Patrick ::528 
1062::Ryvkina rules::Triggers Felber::Incorporating ::Velegrakis ::4497440 
Cube::Masaaki Tape::Chandel icde2001::GantiCM05 ::Rosy ::ConsensLO06 
Numerical::140 4497410::ZhangYST06 Feedback::Bursty ::Technique ::Rajagopalan 
TelegraphCQ::DB Mondrian::Kato P456::Combining ::Haejoong ::Olivier 
107::Houtan 1592::NetzCFB01 1357::P458 ::15310494 ::Mller 
Sevcik::1143 DebLRS08::1572 MehrotraG93::Kha ::22850521abs ::MAN 
FernandezS98::RemiasSZS97 Barbara::QShuffler LiuP95::141 ::SpaceTwist ::Skylines 
Scott::1426 1024::Coverage ZhangLRB08::Mukherjea ::Integrity ::Fingertips 
Galindo::Martone Anciaux::Choi Cabibbo::MohanN91 ::Jiaheng ::GalAX02 
Decomposition::Smith ColbyCHJJMSW98::Gruber From::Conceptual ::Bedell ::180 
1572::KashaniS06 Schning::FranklinCL93 4497547::Tuzhilin ::Hara ::Aaron 
Wenxin::LeeKC01 N::Indexes Commerce::4497447 ::Vikas ::1623 
Fetching::pdf DBLP::15310496 Unified::Weber ::IshikawaSKMMIAY93 ::Fen 
281::Leslie 281::AITVS 1352::15310275 ::Ji ::Arjmand 
Kahveci::686 Orenstein89::Common DingCRTHC08::LjosaBS06 ::Push ::1584 
542::Gonzalez RamanSQRDKNS08::RamakrishnanJNKB06 Scalar::bit ::Batra ::RinderleWR06 
22851048abs::Bonnet KornackerB95::MuralikrishnaD88 Rishi::Dimitrios ::QShuffler ::4497452 
4497633::Bry Convoy::Michal Algebra::XGuard ::Matrix ::Rinderle 
Hubert::Rainer Antoni::150 Anastasios::Sun ::MohanN91 ::Memory 
Earth::Definitions Authentication::Networks Hristidis::StolteA02 ::Mitchell ::Tsumura 
Id::22850958abs Lehner::1580 22851133::Translation ::GionisMT05 ::Bringing 
