::Bentley80 ::81 
::AxPRE ::Freeston87 
::22851146 ::Cristian 
::Freire ::Nakamura 
::Davidson ::Hongyan 
::ZouSL98 ::Numeric 
::Siberski ::115 
::Samet90 ::Rabinovich 
::22850693abs ::DengDRZ08 
::Kantarcioglu ::294 
::GangerK97 ::Qiao 
::PinarTF05 ::Versatile 
::1170 ::Korth 
::883 ::1248 
::22851137abs ::Isoline 
::LudascherGM01 ::Weihl88 
::Butterfly ::Berchtold 
::Dou ::660 
::Flesca ::Xiang 
::HammerST05 ::Shrira 
::622 ::1348 
::Cox ::Theoretic 
::SaltonWY75 ::Materialized 
::Nan ::PetkovicZBJAWK02 
::1510 ::794 
::1277 ::92 
::Gawlick98 ::4497566 
::1421 ::MOLAP 
::642 ::4497451 
::4497517 ::65 
::ZouC08 ::Winter 
::Gubanov ::HuaPZL08 
::DasguptaGJSV05 ::Haibing 
::1328 ::Lieuwen98 
::Brent ::175 
::AilamakiGM06 ::BerchtoldEKKS98 
::Queues ::C 
::4497621 ::NAPA 
::LimN01 ::Correlations 
::Mirit ::SayedRM06 
::Enumeration ::L 
::Make ::947 
::DescribeX ::Goel 
::Pipelining ::Winslett 
::Reporting ::Latent 
::LangOS97 ::Tzi 
::Farrell ::BestPeer 
::Cheong ::CareyHL93 
::Nguer ::Mukesh 
::Dmitry ::Long 
::Sichun ::4497500 
::BorgBG83 ::4497501 
::Young ::Mary 
::Michalis ::35 
::Environmental ::Picture 
::Young ::Denzel 
::Willis ::Weis 
::Gen ::To 
::Ouri ::Integrating 
::141 ::Shirley 
::15310201abs ::773 
::LehnerHS02 ::Norman 
::MannilaTV94 ::434 
::Systems ::1547 
::SunPF05 ::991 
::jlp ::Component 
::Jun ::119 
::BayerM72 ::Hari 
::Roger ::ZhouOTY06 
::NakanoIK98 ::Nisheeth 
::SCADDAR ::180 
::Regular ::Middleware 
::Nambiar ::Nath 
::Wrapper ::Sndor 
::Actionable ::Cecilia 
::Histograms ::Terlecki 
::Role ::32 
::Program ::ChenHY96 
::15310555abs ::Dikaiakos 
::Stabbing ::P458 
::Sankaranarayanan ::Languages 
::Mediator ::without 
::Shinjiro ::Malkani 
::GrabsBS01 ::Patel 
::Jennie ::KhalifaJPWKS02 
::PapakonstantinouGW95 ::0002 
::NN ::507 
::Processes ::George 
::JagadishMM95 ::Zhiming 
::Threshold ::Eugene 
::deSign ::Abbadi 
::Gamper ::Reinhard 
::Zhewei ::Zachary 
::BeckerHF93 ::316 
::Integration ::Grabs 
::Fei ::Fai 
::integration ::Integrate 
::CherniackZ96 ::Welcome 
::Balancing ::Business 
::RDBMSs ::4497433 
::Support ::522 
::Amarnath ::er 
::DuschkaL97 ::OzdenRS98 
::Ln ::Yin 
::Leutenegger ::GriffinL95 
::Elmeleegy ::4497630 
::Narayanan ::Eike 
::953 ::J 
::1418 ::Brown 
::Angela ::Martone 
::Progressive ::Queues 
::Mazza ::Mu 
::Robinson81 ::Filho 
::Computer ::Zuo 
::Bugra ::4497443 
::sup ::Predicate 
::Wei ::htm 
::Kha ::Venky 
::864 ::dke 
::Simon ::4497465 
::Varadarajan ::2008 
::HungDS05 ::Kaushik 
::Longxing ::Wong 
::4497601 ::Inside 
::Random ::Expiration 
::ks ::Mortazavi 
::SirbuT95 ::SegevP89 
::Domains ::Datar 
::Zheng ::Renner01 
::4497540 ::Runtime 
::201 ::HacigumusMI02 
::Xiong ::XuLTW06 
::1379 ::Operators 
::Hanan ::Cooper 
::Maximum ::YaminiG05 
::Binnig ::Flow 
::Judice ::Antal 
::P458 ::Liu96 
::Bernhard ::Monotonicity 
::Ramy ::Predator 
::803 ::Michail 
::Ozcan ::PopivanovM02 
::Chendong ::Anish 
::Oguchi ::KoutrikaI05 
::BernsteinN96 ::Qiong 
::Hoarding ::0002 
::Bernhardt ::865 
::Wen ::Join 
::WhangLLKH05 ::WhiteDJ96 
::22850991abs ::Web 
::Chong ::Mehrotra 
::Sagawa ::Alonso 
::511 ::Silberschatz 
::1415 ::BinnigKLS08 
::Phrase ::2285 
::MarcusS96 ::Inverted 
::Sridhar ::IoannidisP95 
::BrantnerHKM05 ::IdreosTK06 
::SayalCDS02 ::765 
::IP ::Decomposition 
::395 ::Sample 
::YiLKS08 ::534 
::Ganesan ::Incomplete 
::Java ::1600 
::SG ::Content 
::Zhe ::Developing 
::914877 ::KaufmanR90 
::4497616 ::Ong 
::Sellentin ::GeorgakopoulosHKM94 
::XingZH05 ::Qingchun 
::Arbee ::PadmanabhanAMJ01 
::Characterization ::KotidisSV06 
::Marcelo ::22850564abs 
::Exploiting ::Expression 
::1381 ::1325 
::JeungSZ08 ::Haggai 
::Hauswirth ::Ewen 
::76 ::Mukhopadhyay 
::QiaoIAA06 ::Bonnet 
::P522 ::Rudra 
::Ioana ::Reinhard 
::KarrasM08 ::Sweeney 
::Bouganim ::Soumen 
::Shah ::LevandoskiKM08 
::41 ::Intuitive 
::and ::EggersOS81 
::Potamias ::ShivakumarG97 
::Shurug ::Pawel 
::ke ::BoberC92 
::Estimator ::Kotidis 
::GionisMT08 ::Underprovisioned 
::121 ::Generalizing 
::Stefanie ::Limited 
::Photos ::DeaconSW94 
::Optimizations ::Nilesh 
::341 ::98 
::Rule ::KonigN06 
::232 ::SmithS96 
::Koch ::Pham 
::1190 ::e 
::SayalCDS02 ::1084 
::22850106abs ::Thakkar 
::Bulk ::22850285abs 
::Morishima ::Martone 
::HenrichHSW91 ::GaoHPSA06 
::22850502abs ::Ioannidis 
::1584 ::Unsafe 
::GuptaHR98 ::Panel 
::1369 ::Kanne 
::Constantly ::Omar 
::266 ::Pirahesh 
::4497635 ::Moshchuk 
::Daxin ::Easy 
::Chambliss ::4497473 
::15310383abs ::Koloniari 
::322 ::Hallett 
::Byron ::Welcome 
::4497469 ::Economically 
::aware ::Evaluation 
::4497506 ::SchekPSW90 
::914868 ::Stphane 
::102 ::4497541 
::tocs ::Rank 
::Balke ::Capturing 
::BorkarCELWW08 ::FlicknerSAHDGHLPSY95 
::4497534 ::Polyzotis 
::Fischer ::1491 
::Periodic ::P402 
::YiuM06 ::HernandezPVMNH02 
::RaffioBCPH08 ::22851148abs 
::MohanN91 ::Relation 
::RastogiS98 ::Maher 
::914827 ::68 
::Herlihy90 ::isci 
::Prasad ::Mamadou 
::Orchid ::Peer 
::Sergio ::220 
::Karras ::Hse 
::Tania ::Zhe 
::Lun ::Yuen 
::Alon ::Learning 
::Gone ::1616 
::Patterns ::Sayed 
::Subbu ::1091 
::914859 ::Changqing 
::Referential ::607 
::won ::Dominance 
::Interfaces ::ZhouOTY06 
::iBOM ::Quan 
::Bing ::HirataHTK96 
::Vassilis ::Porkka 
::Cattell94 ::355 
::bancilhonDK92 ::Kitagawa 
::Checkpoint ::SardarK06 
::22850939abs ::ChandelNS06 
::Shurug ::45 
::Alexey ::Extracted 
::Yongluan ::Papadopoulos 
::SPP ::ImielinskiVA96 
::DunnDDS02 ::Constant 
::Danzhou ::Syntactic 
::Sueda ::Supratim 
::Hai ::ShaullSX08 
::Man ::BernsteinGW93 
::dpd ::Gong 
::Pushpraj ::FernandezFKLS97 
::Rizos ::500 
::Generalizing ::ShenSYZC06 
::ICDE ::443 
::Full ::Trial 
::Chalamalla ::Hiroshi 
::Era ::Aranyak 
::1249 ::SlidingWindow 
::CareyD96 ::Id 
::Ramakrishnan ::1218 
::15310492 ::Bressan 
::Qu ::Its 
::Checking ::Shuang 
::Jerry ::Constant 
::Shiroh ::Ari 
::Ester ::Tung 
::Nanni ::Wong 
::RamanathZFH05 ::Lineage 
::Luo ::MaddenF02 
::Kalnis ::191 
::Csar ::Compressing 
::Moerkotte ::Bloom 
::Nikos ::466 
::MOOLAP ::iBOM 
::Moerkotte ::259 
::15310261 ::914845 
::245 ::Xiaolei 
::Bhm ::4497489 
::OWL ::SarawagiS96 
::Behzad ::2000 
::OGormanAA02 ::4497620 
::HasanM95 ::Two 
::OSS ::dexa 
::11 ::AraiDGK06 
::HellersteinKP97 ::Mic 
::Volatile ::Feher 
::Arasu ::GyssensLS96 
::Wlodek ::Stefanakis 
::Space ::22850353 
::Vectors ::Halpern 
::MegalooikonomouWLF05 ::Salzberg 
::Trombetta ::Redmond 
::ONeilQ97 ::LiuL02 
::4497608 ::OrfaliHE96 
::34 ::NAGA 
::1190 ::Verification 
::Relationally ::icde 
::1134 ::Mirette 
::Daudjee ::Object 
::Made ::4497479 
::Khaitan ::MoDB 
::Be ::Hash 
::4497428 ::Ho 
::Ariel ::Popa 
::326 ::15310103abs 
::Psaila ::1500 
::Bishwaranjan ::Ramasamy 
::anonymizing ::Kanad 
::261 ::Michal 
::ONeil87 ::Middle 
::Takashi ::ShalemB08 
::Bedell98 ::ROL 
::Interpretation ::1032 
::Reinhard ::subrahmanianJ96 
::Madhyastha ::Eltabakh 
::Wilschut ::crossref 
::Gauss ::Bonifati 
::872 ::Schema 
::Gummadi ::Labels 
::Ramasamy ::1005 
::Sadhukhan ::in 
::CareyD96 ::Loading 
::Georgia ::Singh 
::GabberK98 ::Conor 
::Cyclic ::Peiya 
::154 ::over 
::el ::Wu 
::Bird ::Georgiana 
::Maruyama ::22851115 
::Hierarchical ::Out 
::Hse ::Charging 
::Aritsugi ::Rigsby 
::Semantics ::LiZBSZN06 
::Amlie ::Naumann 
::258 ::SchroederHINW06 
::Bonchi ::Heiler 
::22850459abs ::MannilaR87 
::FudosPP02 ::22851102abs 
::MaddenG08 ::4497518 
::Calimlim ::BronczWK98 
::Condit ::DeFazio01 
::DoanH02 ::Neel 
::Elmagarmid ::Heng 
::Lo ::P105 
::Gryz98 ::Martinenghi 
::AHYDS ::Malkemus 
::606 ::1033 
::Collaboration ::Bill 
::231 ::Mobile 
::1053 ::csur 
::1445 ::Chain 
::1453 ::218 
::BanerjeeC96 ::Placement 
::Imperatives ::Stolte 
::Ordered ::Howe 
::Lai ::BunemanDFS97 
::Qixiang ::158 
::107 ::trees 
::Dimensions ::Krishnan 
::Profiles ::Dhruv 
::Mohammed ::Patel 
::1599 ::Yuan 
::Ben ::Betty 
::243 ::Grabs 
::15310166abs ::Flexible 
::Elhadji ::Dong 
::Surrounder ::Three 
::Middleware ::4497415 
::643 ::1456 
::EswarranGLT76 ::545 
::574 ::Rivka 
::DanK95 ::Dai 
::COSTA ::System 
::Shirley ::Munagala 
::Mining ::Stored 
::566 ::Uncertainty 
::607 ::Changqing 
::Offs ::Sentiment 
::Fekete ::Achieving 
::Timothy ::Davide 
::ChaudhuriDK06 ::Vanitha 
::Filters ::4497441 
::KochSS08 ::ZukowskiHNB06 
::mash ::ChangYDA88 
::914838 ::Fromont 
::Rasin ::IvesT08 
::RaoLLPS01 ::Tasks 
::Panagos ::MyllymakiL96 
::P201 ::Singh 
::integration ::Neal 
::GuptaMS93 ::Zwaenepoel 
::ZhangOAI06 ::BancilhonR86 
::457 ::313 
::463 ::1005 
::One ::GoldsteinRS98 
::Felber ::NguyenKF08 
::4497523 ::SeshadriLR96 
::Janine ::Andrew 
::Heinlein ::Hanan 
::1013 ::meets 
::LiC98 ::AlonsoBC08 
::Recognition ::Nakhe 
::BilirisO93 ::ThuraisinghamHRM98 
::Shao ::Pietzuch 
::Guting94 ::Ruddy 
::Santos ::Nan 
::Operations ::Linear 
::if ::Wynne 
::inWireless ::ICDE98 
::scale ::22850968abs 
::Liedes ::Athena 
::Gone ::GedikWY08 
::967 ::SherkatR06 
::RothH93 ::827 
::Parasuraman ::Skyt 
::Uncertainty ::MehrotraG93 
::Sachin ::4497553 
::914861 ::Walk 
::General ::Hse 
::49 ::BhideCGGMPRRS08 
::LometS89 ::Thalhammer 
::Constructs ::Bicer 
::P014 ::QuLM06 
::Stratis ::Terms 
::Yoshinari ::Pointsets 
::Consens ::Storage 
::HibinoR96 ::Sonny 
::ZhangWL08 ::1116 
::Sattler ::763 
::15310274 ::511 
::CormodeIKM02 ::4497413 
::Fai ::HTML 
::Bowman ::Independent 
::Tryfonopoulos ::Divyakant 
::Pilania ::Donald 
::Items ::Mikkel 
::SardarK06 ::Bar 
::Amlie ::Shigeo 
::Relevance ::Perego 
::WhangKW94 ::MUSE 
::1592 ::AssentWS06 
::1507 ::KoloniariP08 
::Characterizing ::Evolution 
::WangHYYY06 ::KauT94 
::Mumtaz ::650 
::Feasibility ::4497497 
::517 ::Brzsnyi 
::DarFJST96 ::asplos 
::1417 ::983 
::Agrawal ::Silva 
::GeorgakopoulosHKM94 ::Shaft 
::Runtime ::TheodoridisP95 
::Yalamanchi ::Pawel 
::195 ::Production 
::Randal ::RX 
::XieYCWY08 ::datamine 
::Babu ::Jagadish 
::Aleksandra ::GrayC89 
::15310492 ::B+ 
::Rezgui ::Fishman 
::RamanathZFH05 ::PostgreSQL 
::SPEX ::Aristides 
::15310212abs ::SAN 
::Changing ::Wan 
::Frdric ::Negative 
::4497489 ::SardarK06 
::Interactive ::GoyalHKMS96 
::Sovereign ::scheme 
::4497625 ::HershbergerSS06 
::GrayR93 ::Leveraging 
::scheme ::Panella 
::Peers ::PF91 
::Sets ::28 
::Jianyong ::Koubarakis 
::1454 ::Zipf49 
::Arora ::Feida 
::1385 ::MaierS86 
::Sky ::ICDE98 
::991 ::Latent 
::Debugging ::Nikos 
::Transaction ::Failure 
::PetitTBK96 ::Leo 
::BeeriR87 ::LeeMCC02 
::Yang ::Yuen 
::Mondrian ::ChandraV85 
::ACT ::189 
::X05o ::Koh 
::Prodromos ::Asymmetric 
::IwenLP08 ::TRMeister 
::395 ::339 
::Connectivity ::15310403abs 
::4497417 ::Xuegang 
::Skeen02 ::MolinaGS96 
::JigyasuBBCDMT06 ::ParkKL01 
::22850174abs ::Nilesh 
::405 ::Connected 
::Environments ::Approximation 
::Reorganization ::StearnsR81 
::74 ::Evaluation 
::StonebrakerRH90 ::130 
::425 ::Norm 
::Yoshinari ::1620 
::Yin ::Kee 
::494 ::siamcomp 
::1361 ::Piatetsky91 
::BouganimFV96 ::548 
::Fukuda ::Salzberg86 
::KeidlKKK02 ::Hope 
::Laurent ::Peters 
::Nicoleta ::Yibin 
::HermanGLW87 ::1497 
::WuDY06 ::3 
::MendelzonMM97 ::Lars 
::LinVM06 ::Hwanjo 
::Zhao ::Yongqiang 
::Zukowski ::Hans 
::BhideCGGMPRRS08 ::Wisnesky 
::4497611 ::LiBRHCN05 
::Parallelizing ::RoitmanGR08 
::LiCKB06 ::Trial 
::Denzel ::TrombettaB06 
::175 ::ChenD97 
::1349 ::Focused 
::Ramanath ::Huahai 
::Selinger ::Roussopoulos 
::LianCY08 ::Mengsheng 
::StonebrakerADNR93 ::Rong 
::Harinarayan ::Yuanyuan 
::P241 ::VlachosGK02 
::Terminological ::Sullivan96 
::ZivL77 ::Vlachos 
::Multiple ::Cohe 
::914832 ::Diversity 
::Domains ::BronczWK98 
::Matt ::BanerjeeC98 
::419 ::BlaumBBM94 
::YFilter ::Krmer 
::PapakonstantinouGGU95 ::Wu 
::15310339 ::Ordered 
::Lineage ::Jure 
::Gupta98 ::Oracle 
::After ::Simoudis 
::Broadcast ::Khaitan 
::4497424 ::String 
::Experiment ::914861 
::Meng ::ieeecomputersociety 
::914824 ::AgrawalS96 
::LB ::853 
::e ::Earl 
::TirthapuraA05 ::KiferKS92 
::AgrawalFS93 ::Column 
::Garcia ::Redo 
::Suresh ::Their 
::Eenjun ::YiLHKS08 
::Gisela ::bc 
::914814 ::1373 
::Page ::Frequent 
::4497406 ::267 
::4497461 ::FernandezFLS97 
::ChandelNS06 ::KaushikSBG02 
::Complex ::jacm 
::Hideo ::Transcoding 
::Cristian ::Strategies 
::Ting ::Ahmed 
::Extended ::299 
::gis ::KuwabaraT05 
::Range ::914850 
::Maskey ::4497510 
::HorwitzT86 ::Burns 
::Ha ::BohmHLW08 
::Sayed ::Naacke 
::Christine ::Ku 
::174 ::Linkage 
::Yk ::Megalooikonomou 
::914828 ::Acquisitional 
::LentSW97 ::Biological 
::Prashant ::Xin 
::Krmer ::GutingZC89 
::Procopiuc ::Parking 
::Text ::Willem 
::DaWaII ::LevyRO96 
::Cochinwala ::Incomplete 
::666 ::Fabian 
::Auctions ::Unlinkable 
::Terabyte ::133 
::1595 ::LeslieJBY95 
::Block ::267 
::Presence ::ChrysanthisR94 
::Skylining ::22850564abs 
::Latency ::LuccheseVRY08 
::Verifiers ::DeWittFMV90 
::828 ::Abul 
::Skeen02 ::WangHYYY06 
::ShalemB08 ::NussbaumerPSS95 
::KellerB96 ::Presence 
::Approach ::AssfalgKKKPR06 
::Nakamizo ::BunemanNTW95 
::4497411 ::4497592 
::Sing ::640 
::22850533abs ::Samples 
::Constructing ::ZhangLRB08 
::Quality ::Savasere 
::Garofalakis ::Caches 
::Paul ::58 
::1042 ::SNAP 
::purpose ::EdmundsMSS05 
::Compressing ::Anthony 
::Caches ::1033 
::4497519 ::SunPF05 
::Ouri ::Annotation 
::Privately ::Specification 
::DUP ::Akrivi 
::RamanathZFH05 ::Gio 
::Unlinkable ::Hui 
::4497417 ::Ashish 
::Process ::Nikos 
::Omran ::P412 
::Maya ::MachanavajjhalaGKV06 
::Set ::402 
::SismanisR05 ::199 
::SinhaWWSS08 ::1073 
::952 ::Jaber 
::Margo ::BunemanDFS97 
::Warner ::22850094abs 
::Telematics ::ChongDES06 
::Devices ::KeijzerK08 
::765 ::Jia 
::Hett ::FranklinCL93 
::Pinar ::Shiroh 
::Negi ::1391 
::Butterfly ::Soccer 
::121 ::ChawatheRGW96 
::Kanthi ::Mohan90 
::Salka98 ::D 
::Joins ::Giorgio 
::MaierS86 ::AutoGlobe 
::HuangD08 ::YangL87 
::processing ::With 
::DoanH02 ::Obermeier 
::deSign ::AgrawalFS93 
::X05r ::Chung 
::Phan ::Lieberman 
::Yip ::Relationships 
::Ouri ::Getting 
::HaskinMSC88 ::Weaver 
::914813 ::Ramakrishnan 
::Ljosa ::AlonsoC05 
::Forms ::4497593 
::1321 ::1130 
::Automation ::McWherter 
::Aleksandra ::Creation 
::Raghav ::Carson 
::Surajit ::1061 
::KumarLMT08 ::Peer 
::ZhouOTY06 ::Objects 
::Rost ::GalAX02 
::4497455 ::tods 
::Approximately ::PabmanabhanG06 
::RaffioBCPH08 ::Publish 
::Aggregate ::Kaushik 
::acr ::Joins 
::Geometric ::Walid 
::jodl ::Maximum 
::Porto ::Java 
::Bo ::Shunsuke 
::15310235abs ::Search 
::254 ::Publication 
::Ho ::DanielsSHLMWW82 
::PapadiasT97 ::4497624 
::Zhaohui ::Real 
::Azar ::acr 
::1116 ::XuLTW06 
::DanielsSHLMWW82 ::etintemel 
::Vrhovnik ::Tata 
::ZhaoRTN98 ::Cichocki 
::Liao ::67 
::NakamuraE02 ::CuiLXCDZ08 
::Christoph ::BakalovT08 
::Chi ::Smodels 
::Shixi ::Miyuki 
::YangLYX05 ::FernandezFKLS97 
::Orchid ::HollandG92 
::Erik ::AnwarMC93 
::Yufei ::SEMCOG 
::integration ::Jacobsen 
::22851140 ::1548 
::Aaron ::Sliding 
::Dirk ::Hon 
::Megiddo ::1148 
::ChiS05 ::Queuing 
::Analyzing ::Rundensteiner92 
::Mengsheng ::FayyadPS96 
::Gsta ::Hutchison 
::AlonsoC05 ::22851102abs 
::Gencai ::Abbadi 
::One ::4497455 
::Benatallah ::CosmadakisKV90 
::Kashani ::You 
::Advances ::Bry 
::Transformations ::Borr81 
::ShenSCT06 ::4497550 
::380 ::Conceptual 
::Crawler ::607 
::Chai ::131 
::Algebra ::Alan 
::Arie ::MIX 
::Karl ::Grel 
::Triggers ::Millions 
::htm ::Tuning 
::Amol ::AstrahanBCEGGKLMMPTWW76 
::Are ::4497527 
::Hutchison ::Aritsugi 
::Srinivasan ::XSEED 
::Subbarao ::KimCD05 
::Pradeep ::Bulut 
::Scalable ::Driven 
::Inseok ::Carlos 
::SPARK ::121 
::Relational ::Sergej 
::SAP ::15310053abs 
::Condit ::376 
::4497479 ::Validating 
::1451 ::471 
::Shixi ::Hsiao 
::ADEPT2 ::185 
::Philipp ::sup 
::dl ::KapitskaiaTV97 
::Ansorge ::ViteX 
::Version ::Madlmayr 
::GummadiLGSH05 ::Publication 
::914818 ::1607 
::Peers ::Topsakal 
::22850564abs ::CareyL91 
::Guido ::1083 
::Preservation ::Rantzau 
::YiN05 ::OGormanAA02 
::BorgBG83 ::KoblerBCH95 
::22851131abs ::10 
::Alink ::Vladislav 
::22850360abs ::Linga 
::Singh ::Barton 
::4497491 ::AnYS01 
::6 ::ZhouZVQ08 
::Recognition ::Adlib 
::15310263 ::4497403 
::ArasuCK08 ::jacm 
::Stefan ::GrabsBS01 
::Flesca ::15310337 
::22850583abs ::Inverted 
::NeT ::500 
::ShethL90 ::30 
::Mlivoncic ::15310309abs 
::JoshiJ08 ::HanF95 
::CLICKS ::1352 
::Lamport78 ::636 
::HirataHTK96 ::22851124 
::22850157abs ::Periodic 
::ChrysanthisR94 ::Warehousing 
::Operator ::Datar 
::Over ::Perfect 
::675 ::Borealis 
::Seshadri01 ::efficient 
::FernandezA02 ::Bhide 
::Xueqing ::Rajagopalan 
::Mehr ::140 
::4497559 ::Linguistic 
::MehrLLS08 ::15310166abs 
::Paloscia ::MorsePG06 
::4497606 ::Selinger 
::Ulrich ::Mihai 
::LaiTB05 ::Cable 
::HOPI ::Platforms 
::Reorganization ::AutoLag 
::Noise ::22850341abs 
::4497406 ::Methodical 
::224 ::Interacting 
::Arthur ::centric 
::LupuY06 ::WangHLS06 
::Closest ::PatonDWCDJ93 
::Christopher ::Mei 
::Govindarajan ::BorzsonyiKS01 
::Hazem ::BeckmannKSS90 
::Hae ::Stonebraker 
::Prasanna ::PreparataS85 
::865 ::Liuba 
::4497510 ::Vlastislav 
::Enderle ::BehrG05 
::AbiteboulMZ08 ::156 
::ChenR94a ::Pu 
::FungWY05 ::Predator 
::Merging ::ife 
::WangJT06 ::Kotidis 
::784 ::Philippe 
::Lee ::1324 
::628 ::KreveldO91 
::HernandezPVMNH02 ::1615 
::270 ::Index 
::Karl ::198 
::Cattell96 ::Small 
::GabowT89 ::Carlos 
::4497554 ::Physical 
::ChenCRM06 ::All 
::Verykios ::15310605abs 
::Wiederhold92 ::189 
::Bonifati ::Fischmann 
::4497587 ::MahajanDNAM98 
::Gerald ::Cunningham 
::SilberschatzKS97 ::Cattell94 
::Gabber ::914818 
::Wilson ::ADEPT2 
::Iwen ::Zhou 
::Koustuv ::72 
::Krishnapuram ::relational 
::Developing ::Per 
::Duplicate ::Flexible 
::Rene ::ParkKL01 
::1400 ::Francesco 
::RAM ::458 
::Kristin ::Make 
::ShenSCT06 ::22850816abs 
::Spyros ::Venky 
::Kitagawa ::636 
::AggarwalY98 ::Dominance 
::Containing ::486 
::325 ::Snake 
::485 ::Auditing 
::LiuYGS98 ::Erdem 
::BryCDFOS05 ::Check 
::Tan ::Salka98 
::Processors ::Shasha 
::Ledlie ::132 
::Pathak ::DUP 
::Molina08 ::Verification 
::books ::Bhowmick 
::ZhangWL08 ::Prasan 
::Perego ::KonopnickiS95 
::RiTE ::Juha 
::22851141 ::Packets 
::TORPEDO ::66 
::Bertram ::Oguchi 
::Restructuring ::DB 
::Trees ::1109 
::Forecast ::1033 
::Palakal ::Haibo 
::Tsaparas ::Tao 
::Execution ::Ivan 
::77 ::Page 
::1307 ::Structural 
::Complex ::Conserving 
::Rinku ::103 
::ColbyGLMT96 ::Mikhail 
::Disease ::Assent 
::4497446 ::Verifying 
::RuemmlerW93 ::good 
::Coarse ::Chiu 
::Krmer ::DozierSF94 
::Markl ::Kwang 
::1286 ::Jens 
::25 ::Tufte 
::Yfoulis ::acm 
::Kamath ::into 
::Interface ::Bedell98 
::BeckmannKSS90 ::Deb 
::Hardware ::Seshadri 
::465 ::154 
::elmagarmid92 ::KauT94 
::Abstract ::Past 
::HoutsmaS95 ::358 
::Zimmermann ::Nejdl 
::DCbot ::4497562 
::OrensteinM84 ::SIREN 
::1559 ::493 
::30 ::LiLL08 
::P180 ::Pratik 
::1324 ::241 
::Suman ::Sengar 
::YouPL05 ::24 
::BayerM72 ::Added 
::Michal ::QShuffler 
::P522 ::Coarse 
::Bolin ::1131 
::Huaiyu ::StodolskyGH93 
::Peters ::Summarizing 
::1444 ::ADT 
::673 ::networks 
::Kumaran ::ChenLGKP94 
::Sketch ::22850606abs 
::Skeen ::Message 
::4497566 ::1376 
::Ioana ::EvangelidisLS95 
::TrombettaB06 ::Antoni 
::Kreplin ::ProcessingWindow 
::1361 ::914842 
::KumaranCH06 ::Utkarsh 
::Mahadevan ::Nithya 
::Di ::Added 
::Weidong ::Curtis 
::LeeLL06 ::1397 
::Ln ::Ji 
::Copy ::RDF 
::Freire ::LentSW97 
::Historical ::LeymannR97 
::Duality ::Bonifati 
::String ::Braumandl 
::Speeds ::1024 
::OMNI ::GanesanSG05 
::4497601 ::Feature 
::Attribute ::ibmsj 
::Stop ::AbiteboulHV95 
::Content ::Correctness 
::426 ::384 
::87 ::Varied 
::Jignesh ::Halverson 
::Predicates ::Gil 
::454 ::Inverse 
::Cross ::22850594abs 
::Mukherjee ::LinD98 
::Fuh ::Milano 
::Mehmet ::Lead 
::Availability ::Annotations 
::177 ::Prodromos 
::Directed ::574 
::Manipulation ::LinYWL05 
::22850020abs ::BestR85 
::628 ::Guting94 
::Thu ::Ka 
::326 ::1095 
::ThomsenPL08 ::Histograms 
::as ::Joachim 
::ColbyCHJJMSW98 ::CareyHSACFFLNPTWW95 
::Toivonen ::Position 
::large ::Kien 
::ShivakumarG96 ::Length 
::Human ::15310166abs 
::Enabling ::Winter 
::Gertz ::4497579 
::Yiu ::Congjun 
::4497434 ::Coskun 
::Cecilia ::Gyu 
::1346 ::Grabs 
::Bonchi ::1433 
::NakanoIK98 ::650 
::Latent ::Knuth73 
::NN ::WangHLS06 
::1122 ::Kien 
::4497446 ::Zukowski 
::Sagawa ::Prediction 
::Automated ::LindsayMP87 
::Hellerstein ::fledged 
::Subspace ::Faloutsos 
::Biased ::4497433 
::Hulgeri ::BrantnerKMH06 
::1491 ::Samet90 
::Kersten08 ::1286 
::4497594 ::XCut 
::4497627 ::516 
::LOCUST ::Cornelius 
::Zabback ::AgrawalCGMM08 
::Crime ::Pautasso 
::GabberK98 ::JaffarYZ06 
::HillyerS96 ::Packets 
::WebOQL ::Reification 
::ChandelNS06 ::Trial 
::2006 ::Intelligent 
::872 ::Qiao 
::Alper ::Weiping 
::Chee ::Paths 
::Tania ::Govindaraju 
::Xuemin ::Braga 
::KiferKS92 ::Su 
::56 ::Vilhuber 
::273 ::BestPeer 
::Picture ::Catlin 
::Jakob ::Arjmand 
::Main ::1408 
::15310496 ::Roland 
::Providing ::Thresholds 
::inproceedings ::1375 
::Toivonen96 ::Gjergji 
::1543 ::Sergey 
::Arnab ::331 
::Pearson ::tiered 
::LiebermanSS08 ::Fai 
::HwangBRCSZ05 ::Qian96 
::Product ::Venkatasubramanian 
::4497454 ::540 
::Aravindan ::Jagadish 
::LawrenceB02 ::22850353 
::1515 ::Robert 
::KiferKS92 ::RinderleWR06 
::Hallett ::1345 
::FaloutsosRM94 ::Sedmidubsk 
::Cable ::Example 
::Boat ::Processor 
::DasguptaGJSV05 ::Blockeel 
::Poulsen ::Algebra 
::4497623 ::Storing 
::Kwietniewski ::Voronkov 
::HarrisonD92 ::Haibing 
::SenR05 ::CoT 
::Nabar ::Papaemmanouil 
::csur ::OptRR 
::AnciauxBHPA08 ::Gadia88 
::Common ::15310492 
::DHT ::Xiaofang 
::Tarik ::Tucker 
::1552 ::Correlated 
::Farrell ::Damdinsuren 
::BergD95 ::Engineering 
::Pushpraj ::HaraHTN97 
::92 ::FarfanHRB08 
::Ernst ::Sergio 
::Lamport78 ::Muhammed 
::Hou ::547 
::Accessible ::240 
