::Banich ::BatoryBGSTTW88 ::Xiao ::RaffioBCPH08 
::Acquisitional ::Yannis ::Apurva ::Mong 
::Daniele ::Etzard ::KorthKB88 ::Sugata 
::4497634 ::Maryann ::341 ::Partially 
::t ::KemperM90 ::598 ::Anirban 
::TaoXP06 ::398 ::the ::Mumtaz 
::Gawlick01 ::Jinze ::Shkapenyuk ::574 
::TanizakiMS05 ::SizovSTW02 ::Ippokratis ::22851024abs 
::Speeds ::Diao ::Utilization ::HuhtalaKPT98 
::Replication ::Marianne ::655 ::designed 
::15310339 ::Cornelius ::Gignere ::Daxin 
::KitsuregawaO90 ::Hongyan ::Attacks ::MendelzonW95 
::Subsequence ::1276 ::393 ::Anna 
::LevyRO96 ::PF91 ::fAST ::4497474 
::57 ::Monica ::Venkataraman ::LowTLL02 
::Samaras ::Gardarin ::Maps ::Malin 
::MoDB ::Krauthgamer ::22850730abs ::Xuedong 
::Cochinwala01 ::Alexandros ::osdi ::PapadimitriouRR94 
::1543 ::Jensen ::Zhou ::Musicant 
::MiniCount ::Rosy ::meets ::Schning 
::SuleimanCF98 ::4497425 ::J ::816 
::Enumeration ::22850459abs ::Mixing ::Segmentation 
::Vivek ::Serializability ::4497572 ::Blockeel 
::Searches ::LeungWL89 ::430 ::Chaum85 
::LegariaGGHSWYZZ08 ::Aleksandra ::Uri ::1615 
::Tiong ::KanagalD08 ::Sampling ::Precision 
::22850360abs ::Yibin ::Diverse ::1370 
::BachFGHHHJS96 ::Rahm92 ::Andrei ::Ioana 
::Haejoong ::122 ::ElfekyEV02 ::4497457 
::icde2008 ::Freksa92 ::Latency ::GuptaJM96 
::BohmPS06 ::Streaming ::15310212abs ::DahlinWAP94 
::P294 ::Dinh ::FranklinZTCD92 ::Heng 
::Explaining ::Gounaris ::Fatih ::914823 
::Ester ::Gattu ::Aboulnaga ::Rajasekar 
::Rosy ::Constraint ::Participants ::Cache 
::Intermittently ::Recently ::Wang ::EvangelidisLS95 
::244 ::MohanPL92 ::K ::Dou 
::1390 ::Randomized ::Horng ::Lucian 
::914814 ::Fei ::ddb ::684 
::Reducing ::Himanshu ::ObermeierBHCS08 ::MaurouxAF06 
::ChenR94a ::MalkemusPBC05 ::Tassa ::PopekK79 
::1414 ::22850372abs ::LiuLG08 ::VaidyaC05 
::Powered ::Stocker ::speak ::Achieving 
::HarrisonD92 ::linear ::Tuncel ::HuWLZX05 
::AhmadABM08 ::Stella ::Fuh ::1451 
::Leymann ::Numeric ::1331 ::CeriW91 
::Scott ::Freksa92 ::1307 ::PopivanovM02 
::Coherency ::Columns ::Yuan ::Changing 
::Raschid ::CaoCFT08 ::Features ::ChenSZ05 
::NodineZ90 ::Shapes ::Fusheng ::Kevin 
::Vaupel ::4497561 ::Nora ::Scenarios 
::1360 ::436 ::Ramesh ::F 
::Automated ::Foundations ::Olu ::Synthesizing 
::DUP ::Asymmetric ::Torvik ::Stahl98 
::Adam ::22850545 ::914811 ::Winslett 
::Make ::370 ::Kersten08 ::Developing 
::15310278 ::ChaAHS05 ::Rank ::YaminiG05 
::Sithirasenan ::Rajeev ::WangRL08 ::Kitsuregawa 
::706 ::Welsh ::4497569 ::Yin 
::Dong ::Welch84 ::Wayfinder ::Art 
::209 ::282 ::Vladislav ::AbiteboulCM95 
::Nimble ::1036 ::er ::358 
::AbiteboulQMWW97 ::An ::Shahabi ::Vijayalakshmi 
::in ::Inverted ::Smalheiser ::Charging 
::614 ::MiniCount ::Test ::WangLPAM06 
::Redmond ::Borealis ::GartnerKKZ01 ::Louiqa 
::Manuel ::Gauss ::Naga ::Guy 
::370 ::Selinger ::15310507abs ::Optimize 
::IvesT08 ::Cochrane ::Jenkin ::SistlaWCD97 
::4497617 ::RastogiS98 ::Specifications ::KornSFSP96 
::StockerKBK01 ::wi ::1473 ::Byron 
::Garofalakis ::Has ::133 ::269 
::MachanavajjhalaKAGV08 ::Advanced ::1408 ::BunemanNTW95 
::Sing ::Bernhardt ::276 ::Dai 
::DanDY91 ::Dinh ::BorgBGHO89 ::Ramaswamy 
::518 ::Biton ::Yoshinari ::Stonebraker96 
::MOOLAP ::Inclusion ::724 ::Smoothing 
::AndresO98 ::Chris ::PietzuchLSRWS06 ::Leh 
::Scheduling ::Collaborative ::processing ::666 
::1124 ::Benjelloun ::Ntarmos ::Pervasive 
::Control ::4497451 ::P2P ::ChenWZY08 
::22851120 ::MOLAP ::ZhangAO05 ::Jiefeng 
::Helmer ::MadhavanBDH05 ::P558 ::Elmagarmid92 
::1559 ::Specification ::Real ::546 
::TaoXP06 ::bc ::22850355abs ::HershbergerSS06 
::Rau ::LinYWL05 ::4497611 ::MehrLLS08 
::SankaranarayananAS06 ::ups ::IoannidisP95 ::sigir 
::XiongA06 ::Kurul ::Ashraf ::LudascherGM01 
::James ::4497529 ::Approximately ::Mendez 
::KatayamaS97 ::RaffioBCPH08 ::Network ::ChaudhuriNR08 
::Development ::Shojiro ::Dan ::Ravada 
::Stella ::Ursino ::Background ::DesphandeGMH05 
::Redmond ::Amlie ::Terzi ::Jagrati 
::Bohannon ::Anonymizing ::cacm ::org 
::Errors ::Gromann ::Loredana ::Pavan 
::P456 ::Yongqiang ::LambLOW91 ::AdaliCPS96 
::Standing ::15310271 ::ORDBMS ::Fractal 
::584 ::Abbadi ::Immerman ::HeinemanK97 
::Descriptions ::Tuncel ::Halpern ::Diao 
::Sellentin ::ReissRKZV08 ::Yunyue ::Giuseppe 
::Definition ::HuangD08 ::2001 ::1385 
::Braumandl ::Filtered ::Buccafurri ::AgrawalBGKLR05 
::4497533 ::Larson ::Underprovisioned ::HellersteinKP97 
::MannilaR87 ::666 ::BalkeNST05 ::Consistent 
::JadavSCB95 ::Neville ::Record ::Maurice 
::Selectivity ::Korn ::ZaianeELL05 ::Agents 
::KashaniS06 ::fodo ::Gyllstrom ::JefferyAFHW06 
::Sessions ::AhmadABM08 ::TianP08 ::Gagan 
::529 ::MelnikGR02 ::Privacy ::511 
::SIPPER ::if ::Negative ::Yanlei 
::BadrinathR92 ::Jiefeng ::Coupled ::321 
::Suleiman ::Todd ::AlexeCMT08 ::ObermeierBHCS08 
::4497626 ::Neal ::Neumann ::Lomet92 
::Wu ::BlossomTree ::371 ::Forms 
::Correlated ::543 ::ATLaS ::ZhaoIG08 
::Nobutoshi ::Gadia88 ::Sakurai ::DingCRTHC08 
::4497507 ::977 ::Novak ::4497529 
::jodl ::MolinaKS98 ::Syan ::Kutsch 
::HutfleszSW88 ::BronczWK98 ::ChengYHY08 ::1531 
::823 ::XieYCWY08 ::Foundations ::Souripriya 
::Extensible ::KohLHA08 ::Gaurav ::4497464 
::22850131abs ::Sellis ::WeisN06 ::Knowledge 
::Oracle ::P302 ::4497518 ::ROLAP 
::1336 ::Enhanced ::411 ::ZakiP05 
::4497429 ::Extensible ::YiuJHL08 ::1132 
::IpeirotisNCG05 ::Distance ::SinhaWWSS08 ::Rafiei 
::Reinhard ::Welch84 ::kim95 ::Galt 
::Polyzotis ::Subspace ::Suppression ::Work 
::Available ::270 ::Guha ::4497448 
::Huabei ::Orenstein89 ::BrinkhoffKS96 ::MachanavajjhalaGKV06 
::Sarawagi ::Woong ::DengDRZ08 ::Cho 
::RDBMS ::Duplicates ::22850583abs ::ChoR02 
::Hilda ::Counting ::Koch ::Weifeng 
::BernsteinN96 ::Siersdorfer ::BonczKK96 ::Informative 
::Middleware ::Papadopoulos ::4497519 ::SEA 
::Array ::Chiueh ::MobiQual ::Weis 
::StolteA02 ::587 ::506 ::4497597 
::Functions ::AlonsoBPHK01 ::Bingsheng ::Qingchun 
::Cluster ::73 ::Benjelloun ::Lookups 
::Vaupel ::Haas ::Migrating ::Heterogeneous 
::Govi ::Tight ::297 ::IpeirotisNCG05 
::Skylines ::1116 ::O ::232 
::Braynard ::Yoon ::ChenRDEGS06 ::LieuwenD91 
::1033 ::Willy ::DozierSF94 ::123 
::OrensteinM84 ::Willem ::KilgerM94 ::Djafri 
::370 ::Jaideep ::22850804abs ::Goldin06 
::4497465 ::Intra ::Zachary ::bancilhonDK92 
::MohanAGK95 ::Tamer ::Sanghyun ::Squicciarini 
::299 ::Human ::1461 ::Chen 
::Boncz ::494 ::FaradjianGB02 ::GeorgakopoulosHKM94 
::Dragut ::Kwong ::Role ::Stefanakis 
::625 ::Cruz92 ::673 ::Optimal 
::Ertem ::DanDY91 ::DongDong ::JaberV06 
::1286 ::NieWWM06 ::Rajagopalan ::15310269 
::Structured ::Venn ::Support ::Aristides 
::Apers ::integration ::mit ::Tryfonopoulos 
::Stephen ::Howe ::Bursty ::Elmeleegy 
::AbiteboulMZ08 ::Supporting ::Sengupta ::PatelD96 
::Limitations ::OCallaghanMMMG02 ::816 ::pages 
::Coupled ::David ::ChenD97 ::GADT 
::Sensing ::Jacobsen ::893 ::Directly 
::Privately ::Bulut ::9 ::XQSE 
::Harness ::SmithC96 ::CareyHSACFFLNPTWW95 ::Function 
::Durmaz ::Unity ::AgrawalG89 ::Shaull 
::Local ::1286 ::Cohen ::244 
::GuoSBS05 ::Condit ::Restructuring ::15310327 
::XQSE ::IlyasA05 ::4497480 ::Manuel 
::LoR94 ::893 ::Hauswirth ::Bhavani 
::22850391abs ::22850205abs ::15310492 ::22850094abs 
::MoonWL01 ::Arif ::Galindo ::Composition 
::64 ::15310266 ::Workflows ::15310187 
::Partition ::1352 ::Processes ::Panayiotis 
::626 ::15310270 ::GuhaKSY06 ::XGRIND 
::Srinivasan ::CastellanosC05 ::bda ::463 
::Multilingual ::1013 ::MolinaGS96 ::Ntoulas 
::Usama ::Adriana ::Chita ::Meaningful 
::Marzouk ::Moshchuk ::Jansen ::ZhangLXKW06 
::1620 ::Greco ::Neighborhood ::Qigang 
::185 ::Party ::Polynomial ::Moving 
::HutfleszSW88 ::the ::DeWittG92 ::Savasere 
::Ong ::22851104abs ::Jinping ::Naphtali 
::Quasi ::EsterKX95 ::Munir ::Xiaolei 
::David ::Strong ::Similar ::453 
::Result ::Text ::Autonomous ::Antova 
::Ewen ::Disparate ::Portal ::Elizabeth 
::22851126abs ::594 ::Songting ::ShriraX05 
::Bukhres ::Counts ::1516 ::Zuo 
::Tony ::ChuaR95 ::22851147 ::High 
::Lian ::Ramaswamy ::Pei ::914843 
::Restructuring ::4497461 ::43 ::162 
::Oguchi ::Kutsch ::Samet ::BilirisO93 
::1412 ::Felipe ::Fernandes ::978 
::AgrawalCD02 ::BernsteinL96 ::Problems ::Coordinate 
::Terabyte ::Nina ::4497593 ::212 
::Huan ::Elfeky ::DCbot ::660 
::Rosaci ::StreamCorder ::425 ::SrikantA95 
::ZhangYST06 ::Lorenzo ::ChenHS02 ::Cochinwala 
::71 ::1370 ::4497627 ::Jacobsen 
::Tanizaki ::Bloom70 ::Sherkat ::Allocation 
::Monica ::22850490abs ::1316 ::424 
::X05o ::914854 ::Sandra ::Boulakia 
::Riedewald ::4497607 ::Arnab ::Adlib 
::SolworthO91 ::Analytical ::Memory ::Scott 
::Junghoo ::LeuteneggerEL97 ::15310176abs ::FranklinZTCD92 
::Vista ::Papakonstantinou ::Maximum ::Blocking 
::Fen ::ife ::RamakrishnanJNKB06 ::Batched 
::Relevance ::MorishimaNISK08 ::Yanlei ::Hjaltason 
::Etzard ::4497470 ::TsatalosSI94 ::List 
::Paton ::IBM ::Presence ::Vista 
::Arumugam ::GaoHPSA06 ::1479 ::Inderpal 
::1003 ::Specialization ::tois ::ShanADDK95 
::Venkitasubramaniam ::GeorgiadisKCNS08 ::Mark ::Exploratory 
::Imprecise ::1322 ::QPipe ::4497485 
::Sugimoto ::Standing ::TaniguchiS05 ::BorkarCELWW08 
::4497509 ::IvanovaKN08 ::LakshmananSS97 ::Sergio 
::Goyal ::235 ::249 ::Hanson87 
::Yibei ::adl ::PhotoSpread ::Consistent 
::Generic ::Ammar ::Nakamura ::Periods 
::Employing ::EsterKX95 ::1571 ::Jagrati 
::YangPPK08 ::Arora ::Zhiyuan ::472 
::Evdokimov ::Family ::Safeguarding ::FlescaFG02 
::Disease ::Grust ::Vibhuti ::Yfoulis 
::495 ::Itoh ::Munagala ::Granular 
::Wu ::Connected ::driven ::Nishio 
::1355 ::Synopsis ::KoblerBCH95 ::ShenSCT06 
::914855 ::Klaus ::Tadashi ::Blockeel 
::using ::Three ::Characterizing ::4497431 
::JiangAC05 ::nwosuTB96 ::Trajectories ::Volumes 
::1149 ::1364 ::Jennie ::Consens 
::22851133 ::SemCast ::Aleksandras ::Houtan 
::Delivery ::Harwood ::R ::Arnab 
::KonigN06 ::22850552abs ::Takeshi ::Lakshmanan 
::59 ::24 ::MullerDEF01 ::Guarantees 
::Chi ::Frequent ::trees ::4497548 
::Enumeration ::Claudio ::gis ::1628 
::SchallehnSS02 ::RDFS ::Man ::173 
::Zoupanos ::Scene ::edbt ::Subbarao 
::4497574 ::4497454 ::Cooperative ::600 
::607 ::Conserving ::Subscribe ::1539 
::BouganimFPV01 ::PinarTF05 ::BeckmannKSS90 ::1134 
::NN ::Rebecca ::22850490abs ::Periods 
::Bhavani ::Friedman ::Elisa ::ChenLL08 
::Answering ::Phrase ::Annotating ::KhalifaJPWKS02 
::4497532 ::trees ::Meo ::CormenLR89 
::15310277 ::Bhat ::4497473 ::Salem 
::LeFevre ::Rajamani ::WuDY06 ::KhaYU01 
::22850583abs ::OrensteinM84 ::Predicates ::Complex 
::StreamingWindow ::COLR ::Gio ::914865 
::Stop ::in ::15 ::Ira 
::CareyFLS91 ::403 ::String ::4497477 
::Zeldin ::Gail ::CareyDN93 ::Faster 
::Balancing ::506 ::564 ::BerchtoldEKKS98 
::Source ::Molina ::Winslett ::DeWittKOSSW84 
::Dunham ::Jignesh ::Cochinwala ::4497498 
::Lineage ::Orphan ::Mohan94 ::Vijayshankar 
::BrunoC08 ::1444 ::Bitmap ::Hwanjo 
::CopelandK85 ::LakshmananSS97 ::DrapeauPK94 ::doi 
::JermaineO02 ::YinC05 ::1568 ::1474 
::Kulik ::Ajay ::MuralikrishnaD88 ::188 
::Chita ::Relevance ::Stratos ::WilschutFA95 
::DeeringC90 ::Chiu ::Extremely ::QuLM06 
::2285 ::Madlmayr ::sigir ::Abiteboul 
::KhalifaJPWKS02 ::278 ::Refresh ::Certainty 
::KoutrikaSI06 ::BlaumBBM94 ::Aggregationin ::22850162abs 
::209 ::Declarative ::Stream ::BerchtoldKK96 
::22850155abs ::Segmentation ::LeeE01 ::lisa 
::Madlmayr ::22850434abs ::Crowley ::Donghui 
::685 ::Convertible ::Experiment ::Omar 
::Kolovski ::281 ::Christine ::World 
::150 ::MolinaLV84 ::Real ::Roller 
::Jabeen ::Haojun ::15310261 ::295 
::Wilschut ::791 ::Demand ::814 
::Commutative ::Athena ::4497476 ::4497437 
::Warehouses ::lisa ::Parallelism ::AHYDS 
::22850576 ::Toolsuite ::Results ::artdb 
::475 ::Toivonen ::Subspaces ::1100 
::Tag ::22850594abs ::SunPF05 ::Dimensions 
::tree ::Memos ::774 ::Added 
::YiuJHL08 ::TaninHS05 ::SchroederHIN06 ::Spyratos 
::Acyclic ::P296 ::472 ::54 
::Shedding ::KornackerMH97 ::Level ::Ziv 
::1388 ::Acharya ::PapadiasTKZ02 ::549 
::Sourav ::642 ::Information ::4497425 
::BunemanNTW95 ::Baile ::Lola ::KornackerB95 
::322 ::286 ::22851135 ::255 
::Vinayak ::Takuya ::CeriW91 ::Prototyping 
::pdf ::Andrei ::4497507 ::Lakshmanan 
::BargaP95 ::SelingerACLP79 ::Stephan ::Overlapping 
::Primitive ::22850485 ::Euthimios ::Norm 
::Tat ::won ::usenix ::Haritsa 
::1381 ::Wenliang ::StearnsR81 ::Isaac93 
::ShenSYZC06 ::PattersonBA08 ::an ::NussbaumerPSS95 
::Pucheral ::LittleAFGRSV93 ::Yamini ::4497563 
::Zhe ::Han ::339 ::In 
::1556 ::GuptaCG08 ::Spreadsheet ::cj 
::Sets ::CuiLXCDZ08 ::Area ::Yap 
::914857 ::Ladin ::Bestavros ::Wilschut 
::Kihong ::Goetz ::Chen05 ::AraiDGK06 
::ChenCRM06 ::Segmentation ::Application ::RabinovichBGLMM98 
::dexa ::Panel ::ChoR02 ::YanZHY06 
::MorsePG06 ::Tissues ::KaufmanR90 ::Iyengar 
::P351 ::Ayad ::15310333 ::4497408 
::BertinoOYD05 ::Scannapieco ::Eberhardt ::Citizens 
::MohanN91 ::join ::Sashikanth ::549 
::Lasse ::Pautasso ::MukhopadhyayP02 ::ChawatheG97 
::Set ::Radeschutz ::4497632 ::Andrew 
::Das ::Inan ::Changes ::Extension 
::680 ::Gounaris ::ETL ::TrombettaJBB08 
::BrakatsoulasPT05 ::JagadishMS95 ::DeWittKLPY94 ::WuCL08 
::DeaconSW94 ::586 ::P220 ::Shegalov 
::1615 ::Domains ::Lomet92 ::acr 
::Cochinwala01 ::Improve ::ZhouZQZ06 ::246 
::627 ::if ::4497607 ::280 
::Activities ::P294 ::Pushing ::lisa 
::Jansen ::DanielsSHLMWW82 ::Ownership ::4497450 
::Version ::widomC96 ::Rajasekar ::350 
::Modeling ::Dimitris ::Salzberg88 ::Improve 
::tocs ::SunPF05 ::WolfsonCDJM98 ::Poulsen 
::Kesheng ::4497471 ::mash ::Dittrich 
::Vladislav ::Goldin06 ::Autonomous ::Margo 
::Pattern ::392 ::WangHLS06 ::Rahm 
::Communities ::Sanjoy ::215 ::Real 
::PitouraT08 ::Moss ::Jagadish ::Holistic 
::Kai ::PuKH88 ::Visual ::Bounded 
::driven ::Fractal ::Improving ::Atmosukarto 
::WRAP ::SQLServer ::Lamport78 ::Madhavan 
::Byoung ::Symbolic ::392 ::Gunther93 
::Locking ::DaiKSTV08 ::Ceri ::Areal 
::Govi ::Style ::Paradigms ::ImielinskiB94 
::Spreadsheets ::HoweM05 ::Zhiming ::anonymizing 
::Defined ::Muthuramakrishnan ::ThuraisinghamHRM98 ::Cole 
::278 ::Scalable ::DaiKSTV08 ::Madden 
::111 ::scheme ::Tingjian ::Scripting 
::Revision ::RAM ::Indexing ::Ninghui 
::QiaoIAA06 ::4497539 ::Shishir ::LupuY06 
::Ander ::SistlaYLL95 ::ChanG85 ::4497439 
::1342 ::507 ::TsangarisN91 ::Marx 
::Ramamirtham ::Lakshmanan ::P392 ::JaberV06 
::Malicious ::Effective ::22850388abs ::Ioannis 
::284 ::1384 ::HaraHTN97 ::Neil 
::Pui ::ChengCMC08 ::HeXYY05 ::1476 
::Databases ::Ada ::Kwong ::micro 
::Moving ::CarterBZ95 ::Visualization ::WolfsonCDJM98 
::Silvia ::Quickly ::BancilhonKK85 ::22851140 
::Telematics ::Joan ::Ernst ::246 
::Parallel ::Tuzhilin ::54 ::4497437 
::Zhai ::Tari ::Brent ::26 
::Abiteboul ::165 ::NambiarK06 ::Implementation 
::Suel ::636 ::Willem ::ph 
::RusinkiewiczKTWM95 ::Models ::258 ::705 
::P436 ::Three ::Mayfield ::Shapes 
::15310339 ::1522 ::355 ::Bitmap 
::YiLHKS08 ::SchmidtKW01 ::Wisam ::GedikWYL08 
::Passing ::Siersdorfer ::HollandG92 ::Ladin 
::TianP08 ::675 ::Primitive ::Levandoski 
::947 ::Bertk ::Nodira ::On 
::Kalogeraki ::Family ::Processing ::Morzy93 
::22851115 ::Cloud ::Minh ::Dongwon 
::Kanad ::Shrivastava ::Tuncel ::Recovery 
::Tanizaki ::Ambuj ::AgrawalH05 ::Enhanced 
::Eavis ::Ramakrishnan ::Claudio ::Sergey 
::Mao ::Geometric ::Sougata ::LimB08 
::tc ::Preservation ::Approximate ::Ulrich 
::ChenDYR08 ::MIC ::SubrahmanianJ96 ::Browser 
::One ::18 ::275 ::529 
::Sotiris ::Ngu ::1366 ::22850205abs 
::Descriptions ::47 ::MolinaS87 ::Bamieh 
::Box ::Has ::Dependency ::Ashraf 
::Ailamaki05 ::Jianlong ::22850118abs ::FranklinC92 
::133 ::IoannidisP95 ::Goel ::BerchtoldBBKK97 
::Media ::Capturing ::KrishnaprasadLMWA05 ::He 
::Betty ::P446 ::Bryan ::Bei 
::1358 ::ShalemB08 ::ShaoNS05 ::28 
::Lag ::P254 ::PfahringerK95 ::XingZH05 
::48 ::Stefanie ::Picture ::Qixiang 
::Telematics ::Clip ::Ivan ::4497586 
::Logging ::108 ::Quanqing ::Ravi 
::69 ::ImielinskiVA96 ::isca ::Extending 
::ChrysanthisR90 ::XCluster ::PapadiasYMT05 ::Tracking 
::Directory ::Mozafari ::computer ::Gong 
::22850391abs ::GovindarajanMV06 ::Isolation ::FaloutsosL95 
::Gardarin ::Datar ::Kersten08 ::HanFWCGKLLRSXZ96 
::Powerful ::Anonymity ::without ::1378 
::ChuDHH06 ::Kapantaidakis ::Shen ::4497506 
::Qiong ::Designing ::292 ::IshikawaSKMMIAY93 
::224 ::Meyerson ::LuccheseVRY08 ::Antonios 
::Tabular ::Tape ::P578 ::267 
::BryanEF08 ::Raffio ::Venkitasubramaniam ::LeungMSVVZ93 
::Pan ::Wlodek ::Shapes ::icdt 
::Prasanna ::Prototyping ::AdaliCCES96 ::Cunningham 
::Agrawal ::jodl ::Use ::Aduri 
::4497452 ::Tissues ::Time ::OrjiS93 
::ArumugamJ06 ::802 ::MartinGH08 ::1098 
::Winter ::MoerkotteN08 ::Closure ::Osman 
::1199 ::Yasin ::Cubing ::Joachim 
::Cattell96 ::hpts ::Zaki ::KimPC01 
::HuangSW94 ::JefferyAFHW06 ::XuLTW06 ::542 
::Component ::Sridhar ::1612 ::Keulen 
::Topol ::403 ::606 ::4497439 
::Tang ::Paradigm ::Suman ::Nath 
::Liao ::Tzi ::Vanitha ::Bingsheng 
::Collection ::Gubanov ::Watanabe ::Powerful 
::Making ::Yang ::PrabhakarAAA98 ::FegarasM95 
::Selections ::279 ::Estimators ::Di 
::912 ::Alejandro ::22850143abs ::CLICKS 
::Vijayshankar ::ChungGS02 ::1498 ::458 
::Wichterich ::1248 ::AgrawalCD02 ::1489 
::Vectorizing ::AlexanderR06 ::Format ::Teixeira 
::P466 ::Wai ::Torlone ::Hmmer 
::XML ::211 ::XinSHL06 ::Wierman 
::Cohe ::DimitrovaG94 ::HeinemanK97 ::195 
::490 ::StonebrakerADNR93 ::Structured ::765 
::1521 ::22850285abs ::Collaboration ::Gregory 
::Sylvia ::AbiteboulCCMMS97 ::Cho ::Zhou 
::McWherterSAH05 ::Tanveer ::Gyu ::GummadiLGSH05 
::LuoNEW05 ::Verifiers ::Suleiman ::Mariano 
::Gencai ::348 ::Arie ::Faloutsos 
::Basket ::Operator ::El ::RajaramanSU95 
::Kwang ::ht ::Jiang ::Stabbing 
::Nagesh ::Hellerstein ::DanielsSHLMWW82 ::00 
::4497638 ::AhmadABM08 ::Constructing ::Behr 
::Calders ::Bart ::ArumugamJ06 ::156 
::Masaaki ::AthitsosPPK08 ::Signature ::Toman96 
::GrustKGHS97 ::Leonidas ::Skyt ::AtzeniCB05 
::SpaceTwist ::QiaoIAA06 ::Identification ::DongDong 
::Regions ::Bestavros ::15310617abs ::MachanavajjhalaGKV06 
::Peery ::DewriRRW08 ::Bo ::1319 
::Vijay ::914841 ::Ngu ::ChongDFSYJTK01 
::RamanSQRDKNS08 ::675 ::2008 ::Recycling 
::1474 ::4497582 ::Cheung ::Forms 
::PapadiasTKZ02 ::Subarna ::1488 ::Sequential 
::1406 ::Tobias ::Nikolaus ::4497634 
::22850310abs ::581 ::10010473abs ::25 
::Jae ::Networked ::Jagadish ::KamathAGM96 
::Sanjoy ::Equi ::Stanislav ::TsatalosSI94 
::Chu ::TangYOCW08 ::Vikram ::HammerST05 
::Ziyang ::ChenLGKP94 ::DahlinWAP94 ::Sun 
::Ross ::Mediation ::646 ::BlockeelCFGP08 
::1438 ::BhideDD93 ::XiaZ06 ::Subrahmanian 
::Stonebraker91 ::Nail ::GohMS94 ::Ioana 
::Surna ::P054 ::FukudaMMT96 ::Dam97 
::Laws ::ChengYHY08 ::KashyapRRS08 ::Mumick 
::178 ::ChuK89 ::Dirk ::Chien 
::Queues ::Ooi ::DeshpandeH02 ::143 
::Yiming ::isca ::Samuel ::714 
::RafieiM97 ::acta ::TomasicRV96 ::1141 
::177 ::Dixit ::Harinarayan ::Alon 
::BohlenSS96 ::Lei ::LiSR92 ::Barzan 
::pldi ::GonzalezHLK06 ::DeFazio ::Guha 
::TheodoridisS96 ::LiuP98 ::Ewen ::Kasneci 
::Itemset ::4497441 ::AnwarMC93 ::Johann 
::Dohnal ::636 ::Brent ::Ulrich 
::15310473abs ::Federated ::162 ::LangOS97 
::Shirley ::BohmMW01 ::Bettina ::231 
::Dependent ::1427 ::Guohong ::424 
::Ravishankar ::215 ::ChapinHRG95 ::Sivasubramaniam 
::Liao ::BouganimFPV01 ::28 ::PetkovicZBJAWK02 
::Concurrency ::Discovering ::Nasi ::P116 
::HP ::Interesting ::Rsch ::4497607 
::Majumder ::OLE ::494 ::Maximum 
::DeshpandeH02 ::Margaret ::Chiu ::ShethL90 
::Are ::Praveen ::LeeLL06 ::Abbadi 
::Dogac ::Andras ::Masahiko ::Yasin 
::Oliver ::Elmasri ::sosp ::1391 
::Rajagopalan ::Tata ::4497503 ::Aoying 
::294 ::Vilhuber ::1599 ::Luis 
::Wombacher ::Shen ::FeeleyMPKL95 ::Joon 
::Kristen ::Numerical ::Swanwa ::Making 
::Weikum ::Reference ::LevyMSS95 ::Ranganathan 
::IHE ::Ramon ::Su ::Searching 
::Ghafoor ::Maps ::Xiaofei ::HarrisonD92 
::4497518 ::Qiong ::89 ::Laurent 
::icde2006 ::Millions ::Telle ::Weining 
::Conditional ::4497593 ::ZhugeG98 ::ShafiqSBG06 
::OomotoT93 ::BitonBDH08 ::Relaxation ::LeslieJBY95 
::P276 ::Heerde ::Sylvia ::Du 
::Peer ::Malik ::Balachander ::Bravo 
::Ellmann ::IshikawaSKMMIAY93 ::PinarTF05 ::XPath 
::HeXYY05 ::Feasibility ::Understanding ::Govindaraju 
::Murat ::Renner ::386 ::AslandoganTYZR97 
::Warehouses ::KorolovaMNX08 ::Dmitry ::ChaudhuriKPS95 
::Zeng ::Biological ::CobenaAM02 ::Bonifati 
::ADEPT2 ::WiwatwattanaJ08 ::4497481 ::Navigation 
::Inference ::Akiyoshi ::Zou ::Sonny 
::351 ::Pascal ::Ira ::1351 
::SMART ::Govindarajan ::ProcopiucS08 ::MohanHLPS92 
::Prakash ::PetkovicZBJAWK02 ::338 ::Couple 
::412 ::Non ::YangPPK08 ::1572 
::1385 ::Transcoding ::Castellanos ::Refresh 
::That ::Musicant ::bc ::Olteanu 
::Popivanov ::Road ::4497412 ::Feltes 
::Narang ::LiuSYR98 ::LiC98 ::Athena 
::1501 ::PfahringerK95 ::Bausch ::Linkage 
::366 ::Optimizations ::Rogers ::Rhm 
::Integrity ::220 ::1169 ::EllisG89 
::Soloviev93 ::Murat ::1518 ::153 
::Ramy ::Condit ::Group87 ::Novak 
::Liu ::Alkis ::Hans ::Hsiao92 
::4497442 ::419 ::22850159 ::Message 
::1591 ::Behr ::Bernhardt ::Ooi 
::Srinivas ::Surrounder ::Sylvia ::4497534 
::XStream ::4497596 ::Ng ::Couple 
::Blocking ::Bogdan ::Schema ::Wouter 
::Swart ::Chendong ::Metadata ::Bird 
::MorishimaNISK08 ::1258 ::Shim ::48 
::KorolovaMNX08 ::ChaudhuriGKLLM98 ::DengSXL06 ::k 
::LorentzosM97 ::Manolis ::Stahl98 ::Andrey 
::KhalefaML08 ::Salzberg86 ::Constant ::DrapeauK93 
::Suleiman ::X06c ::Kasneci ::Preda 
::Grzegorz ::KetchpelGP97 ::Lan ::4497631 
::Mlivoncic ::151 ::Ramanath ::Zaniolo 
::Analytical ::Large ::Murthy ::Recognition 
::Leh ::Graphs ::delay ::Shrira 
