::Garbage ::314 ::Gyssens 
::Similarity ::482 ::Asit 
::Bayardo ::Characterization ::Rosenthal 
::Arguable ::Yongjian ::McGuinness 
::Moffat ::Garcia ::Franoise 
::Kotagiri ::Maurizio ::Cheap 
::320 ::Stephanie ::Term 
::Interval ::Glossary ::Degradations 
::Simulation ::552 ::Method 
::Nelson ::66 ::Muth 
::Paul ::Finkelstein ::Incomplete 
::Tsangaris ::163 ::Extensions 
::Shah ::Revisiting ::Jutta 
::UniSQL ::Active ::Market 
::153 ::259 ::Wisconsin 
::Motakis ::Semantic ::Segment 
::Shahram ::Bertino ::Stole 
::Fry ::545 ::Updating 
::Lorentzos ::Gebhardt ::Iakovos 
::Annotated ::Sharon ::Ricardo 
::Ramez ::Dao ::Continuous 
::Properties ::Robertson ::Serge 
::150 ::Traversal ::521 
::Markowitz ::Csar ::489 
::Inserting ::zsoyoglu ::Backup 
::XPRS ::Quantified ::Reordering 
::Gesmann ::32 ::Adding 
::564 ::Partial ::Florescu 
::Mehmet ::Elisa ::Gardels 
::Answer ::Problems ::their 
::Inheritance ::Atri ::Perspectives 
::Valduriez ::Fong ::Toolkit 
::Yehoshua ::Kitagawa ::Bhashyam 
::Easy ::et ::31 
::Bernstein ::43 ::Fong 
::Modular ::40 ::Multimedia 
::Date ::Ries ::Rakesh 
::Configuration ::Hubert ::Burger 
::Acitivities ::Hard ::Approximations 
::393 ::Costly ::Andreas 
::Karlapalem ::Ailamaki ::Goetz 
::Arnold ::Faloutsos ::Closing 
::Cubes ::52 ::Foreword 
::database ::284 ::Replication 
::Lon ::Clements ::SIM 
::Preface ::Converting ::Hamid 
::Sort ::Benchmarks ::NTHU 
::Leo ::Yahiko ::Cevdet 
::Tim ::Thatte ::Hwang 
::Delayed ::Compatible ::Larry 
::Cubetree ::US ::1990 
::Shinichi ::Gadia ::Quantified 
::Hwang ::Bestavros ::Fll 
::ADS ::99 ::Muntz 
::Sripada ::Devor ::Selinger 
::Arturo ::ITASCA ::Queensland 
::Buffer ::116 ::128 
::UIS ::Ptool ::Franklin 
::Jim ::Informal ::Scholl 
::176 ::Lipski ::Charles 
::482 ::TODS ::VMS 
::Doughty ::zgr ::Karypis 
::Sema ::Policies ::Ooi 
::Designing ::Larson ::Speech 
::413 ::Fragments ::Relihan 
::Bryce ::Deferred ::McClatchey 
::Meral ::Snapshot ::Type 
::319 ::Frdric ::Frederick 
::Windows ::Goel ::Concurrency 
::David ::Log ::Wildcards 
::Synthetic ::Experience ::Testbed 
::Karl ::580 ::Simillion 
::E ::Colby ::Fernandez 
::Tsatalos ::Right ::Glavitsch 
::Updating ::91 ::491 
::Studies ::Asit ::Gucht 
::3D ::Page ::Interactive 
::Jordan ::Qureshi ::Complete 
::Norrie ::Reminiscences ::Mattos 
::150 ::Jumping ::Jason 
::Efficiently ::Is ::Dependence 
::Schwartz ::Actual ::Borras 
::Schuh ::Ho ::Casanova 
::Quantitative ::Moira ::Donko 
::Going ::Right ::Connection 
::Sequential ::Pletch ::OLAP 
::Annie ::Ray ::Jacek 
::Ariel ::OODBMS ::Integrated 
::Camps ::Infering ::Integrated 
::307 ::Jamison ::Joosten 
::Thyssens ::Records ::Mining 
::Finite ::NP ::Liam 
::Mehdi ::228 ::Query 
::555 ::264 ::Function 
::Vander ::Alessandro ::Inge 
::Yannis ::Agents ::Page 
::538 ::Benny ::CICS 
::Image ::Ahmed ::Marcel 
::Hash ::Dong ::MLR 
::Inegration ::Strssler ::401 
::482 ::71 ::Thin 
::Based ::Muntz ::vendor 
::226 ::Andreas ::Eliminating 
::B ::Heuristic ::SR 
::Machlin ::Pena ::Poosala 
::K ::Academic ::Novak 
::Murphy ::Shrira ::393 
::Redundant ::Five ::Jussi 
::Project ::Ins ::Leo 
::B ::Widom ::Laurent 
::Reuter ::Chou ::OLE 
::Uz ::Griffeth ::377 
::Kotidis ::389 ::Virtual 
::Synthetic ::Massachusetts ::Commentary 
::Gehani ::Paton ::LRU 
::Simple ::Budak ::158 
::Karvelis ::Naughton ::Kenn 
::Distribution ::85 ::398 
::Indices ::Recursive ::Riekert 
::Crisis ::Optimality ::Rates 
::Distributing ::Brief ::Industry 
::ADBMS ::Mark ::Klemens 
::379 ::De ::Bauyer 
::422 ::381 ::Craig 
::Tsatalos ::Another ::98 
::74 ::Through ::524 
::Rewiew ::Mehrotra ::Integrity 
::Atul ::James ::69 
::Compression ::Kanellakis ::Rahimi 
::Ellman ::Recursive ::Clustering 
::Karl ::title ::WWW 
::EXODUS ::232 ::Optimizing 
::256 ::GeoMiner ::Activity 
::Role ::Left ::365 
::Knox ::Decision ::P 
::Thin ::Jrg ::Converting 
::214 ::Grandi ::Next 
::1 ::Nicolas ::Laks 
::Zhao ::Builders ::Jukic 
::182 ::White ::Rosneblatt 
::Bjrn ::Next ::Samarati 
::Load ::136 ::Synthetic 
::Omiecinski ::469 ::Nenad 
::232 ::Bauzer ::Bernhard 
::Condition ::Workloads ::GeoMiner 
::Uniform ::Multiversion ::Sistla 
::Won ::Jordan ::Conrad 
::268 ::31 ::76 
::Jochen ::450 ::Modify 
::Tschernko ::Willis ::170 
::Edwin ::zsu ::Optical 
::Storage ::Snodgrass ::326 
::393 ::Tallot ::Assurance 
::Approaches ::Klug ::Limsoon 
::Derived ::Reddy ::Schemes 
::Kuo ::Dittrich ::Haran 
::B+trees ::Yahiko ::DARPA 
::Defense ::Hampapur ::Acharya 
::55 ::Indexing ::Li 
::Cattell ::154 ::Rusinkiewicz 
::Ozkan ::Constructing ::Conversion 
::395 ::Tsong ::Basic 
::McKay ::107 ::LORE 
::252 ::Shan ::Sorting 
::Erich ::Horizontal ::Kam 
::Agent ::DataBlade ::Technologies 
::Disc ::Attributes ::Mecca 
::Avoid ::Ming ::Jr 
::Stemple ::Variant ::Can 
::Tiziana ::Qualitative ::Lockemann 
::Systems ::Computations ::Multidatabase 
::348 ::Active ::Disco 
::Abstraction ::GESTALT ::81 
::Marcel ::259 ::389 
::Challenges ::Schema ::Pat 
::Memory ::Implementation ::ARIES 
::Consistency ::176 ::Alexander 
::Lockemann ::521 ::Stef 
::Don ::CoopWARE ::the 
::Sanjay ::106 ::Office 
::Fll ::Walker ::Sagalowicz 
::Executions ::Informal ::Upon 
::143 ::Arrays ::79 
::Forouzan ::Rajeev ::450 
::317 ::220 ::Executions 
::NASA ::571 ::Ada 
::Sagalowicz ::One ::Unix 
::Rishiyur ::Expert ::Silvano 
::Alistair ::Cem ::Vienna 
::Commitment ::Subsequence ::Craig 
::Kon ::language ::439 
::Technical ::Asit ::Madhu 
::Freeman ::Cubes ::49 
::Golshani ::Abraham ::Tajima 
::Galindo ::Mark ::Lodge 
::Interoperability ::Fowler ::217 
::McLeod ::Joseph ::Standards 
::Algorithm ::Chopping ::Rajiv 
::Thanasis ::Dean ::DDT 
::Klas ::Kevin ::ANSI 
::Interfaces ::Kamalakar ::Jain 
::Series ::Doughty ::Domains 
::Experiencing ::Editor ::Icons 
::Enterprise ::Properties ::Ju 
::McLoughlin ::Kotagiri ::Dangers 
::Pinar ::Gehrke ::Processors 
::Aidong ::Yu ::Of 
::Manifesto ::Bhateja ::Scheme 
::Theo ::Air ::Right 
::Another ::Dogac ::DBS 
::Cruz ::Revisiting ::Trusted 
::Krishnan ::Framework ::Gerald 
::Structures ::Quickly ::435 
::413 ::Rivero ::507 
::479 ::Hui ::480 
::Zhao ::OnLine ::219 
::Andree ::Baeza ::Evaluation 
::Multidimensional ::Mayford ::Revisted 
::6 ::Hendrikx ::Jordan 
::Production ::Shahram ::Jan 
::Beach ::Scalar ::Technology 
::Merging ::Elsewhere ::Copeland 
::Trusted ::Ramanathan ::Sequence 
::Hui ::Link ::ACM 
::ConceptBase ::Carsten ::Upon 
::Dong ::Sagiv ::Csar 
::Application ::Musukula ::408 
::Seligman ::Geographic ::Tree 
::Morimoto ::Fynn ::518 
::HPCC ::Poosala ::521 
::Set ::Motakis ::Lois 
::Commit ::McClatchey ::Timeliness 
::Separation ::Objectives ::Dean 
::Store ::Berson ::Hanson 
::Garofalakis ::Hoppenbrouwers ::Prolog 
::341 ::McIver ::Rashid 
::Kanellakis ::Frew ::Mehmet 
::Loss ::502 ::Breunig 
::Kitagawa ::Didier ::70 
::Browsing ::Extensible ::Everthing 
::Dao ::380 ::Thinksheet 
::author ::Update ::283 
::102 ::Delayed ::Jaideep 
::Despina ::Mannino ::Mehmet 
::Guangshun ::Flat ::Shapiro 
::DARPA ::Tsur ::Vipin 
::Inc ::Services ::Dependence 
::Interoperable ::Outer ::Modelling 
::Efficient ::Peng ::Naughton 
::Arjan ::Swami ::Pedersen 
::Geo ::Ghosh ::Chou 
::Symmetric ::On ::Very 
::Joakim ::Event ::554 
::Design ::Daniels ::Pirotte 
::Arguable ::Guozhu ::Interpreted 
::Charles ::Doppelhammer ::Haas 
::W ::Rasikan ::284 
::Accessing ::243 ::Interactive 
::ASSET ::Franklin ::Yibei 
::Requirements ::Xiangyu ::Transition 
::568 ::Popova ::BUSINESS 
::452 ::Visualizing ::Zorn 
::Conceptual ::Louiqa ::Domains 
::Through ::74 ::83 
::Mrcio ::Naacke ::Illustra 
::Ooi ::321 ::320 
::Wimmers ::Mackert ::Resistant 
::Maintenance ::Dengi ::Extended 
::Networks ::time ::McCarthy 
::Mitchell ::88 ::Year 
::Arnold ::Nolan ::Letter 
::Jessie ::TCP ::Grosky 
::Plaisant ::292 ::Level 
::Matchmaking ::Gehani ::N 
::Arthur ::Shinichi ::Mostly 
::Z ::575 ::Tolerance 
::Arrays ::Jyh ::Extension 
::110 ::Wen ::Bing 
::Henk ::Secondary ::J 
::Modify ::Arthur ::Sockut 
::238 ::Stokrp ::Bhm 
::242 ::McGuinness ::O2 
::218 ::Acitivities ::CSA 
::Linda ::Multiversioning ::Administering 
::187 ::Rdb ::XPRS 
::Yoshikawa ::Evolution ::Mapping 
::469 ::Wang ::DB 
::41 ::Gerd ::Hartson 
::Glossary ::Alonso ::161 
::Vincini ::Clustering ::Algebra 
::Kuno ::Meckler ::Distance 
::Yahiko ::OASIS ::Evrendilek 
::Shoens ::Adali ::Papers 
::Brin ::Observable ::Samet 
::Desai ::Souza ::Larouche 
::452 ::Toolbox ::Unruh 
::205 ::an ::Optical 
::Taneja ::Olkin ::Watson 
::Combining ::Cai ::Johann 
::Mitschang ::Skowronek ::Wechsler 
::Flaws ::Euthimios ::Gerlhof 
::Weienfels ::Editor ::Technology 
::Johnson ::Arne ::Jefferson 
::Strssler ::Elizabeth ::den 
::119 ::Mohamed ::Easy 
::Yang ::Banu ::518 
::Commentary ::Value ::Koksal 
::Phatak ::Paolo ::90 
::Stoltzfus ::Comments ::Achyutuni 
::Cichocki ::Improved ::Statement 
::Commercial ::Lipeck ::Cox 
::Garofalakis ::Interoperability ::Facilities 
::Sinha ::MMDBS ::Gebhardt 
::Iyer ::Ion ::Sites 
::FaceKit ::127 ::Predicate 
::Wahab ::Read ::Marvin 
::Halici ::Conrad ::Roger 
::Shoring ::Hillyer ::Trobe 
::Hansson ::ARTDB ::Tsuei 
::Sure ::Nichols ::Changing 
::Missikoff ::Frederick ::400 
::Truszkowski ::422 ::Spence 
::Specification ::Claude ::Rao 
::Resistant ::Hierarchical ::553 
::Jenny ::Harris ::Creating 
::Stefan ::versionControl ::Yue 
::Nearest ::Hanson ::12 
::539 ::Dreyer ::Sagiv 
::Ricky ::a ::Yandong 
::TPC ::Prototyping ::535 
::Chungmin ::Outs ::89 
::Cart ::Kent ::Mult 
::36 ::Mariano ::Skowronek 
::Paris ::Load ::Budget 
::White ::Shoring ::Devolution 
::Carrie ::Going ::Critique 
::376 ::OLE ::Dogac 
::Ahmed ::Machines ::515 
::Viswanath ::Schek ::Nolan 
::Pistor ::246 ::Consistency 
::Simillion ::Poyet ::Katia 
::Ulm ::Interoperable ::Porter 
::Kupsch ::Yandong ::Christopher 
::Zurich ::Grandi ::Contextualizing 
::Engineering ::Lakshmanan ::Unifying 
::Warehouses ::Ambuj ::Infrastructure 
::Hanan ::Dirk ::Tokens 
::392 ::Schwarz ::453 
::Patel ::Grosky ::Asuman 
::Shane ::Read ::158 
::Architecture ::There ::Toby 
::Retention ::Claims ::Constraints 
::Sequences ::Separately ::Benchmarks 
::1990 ::543 ::ITASCA 
::Myllymaki ::Kaizhong ::Funkhouser 
::Ilsoo ::Graefe ::Fabio 
::Knox ::Infrastructure ::Musukula 
::Kim ::Shoens ::Integrated 
::Actual ::Miron ::Observing 
::Nulls ::Andrew ::Vossen 
::Sheung ::I ::Dittrich 
::Li ::Characterization ::Gelder 
::551 ::Kennedy ::30 
::Donald ::Galindo ::Sidell 
::Defined ::Analysis ::15 
::Asuman ::Fraternali ::Wilhelm 
::Kocharekar ::Environment ::Stable 
::Lausen ::from ::Haenni 
::Updates ::Wayne ::289 
::SEQUOIA ::6 ::Declustering 
::Protocols ::80 ::Rules 
::Lipeck ::Crash ::Graham 
::STARTS ::Willis ::Young 
::Margulies ::Rdb ::Per 
::Pramanik ::Wasserman ::Not 
::Unnikrishnan ::Entity ::von 
::310 ::238 ::ZOO 
::Soloviev ::61 ::Tsangaris 
::Picture ::Rajeev ::Size 
::Challenges ::Kshitij ::Cooperation 
::Morin ::Presence ::Vasilis 
::Jaideep ::Therber ::300 
::323 ::ODE ::Nan 
::at ::Access ::Yuping 
::Estimation ::Bibliography ::Hasan 
::Radek ::Jason ::Baeza 
::Eliminating ::137 ::Meckler 
::Jerrold ::381 ::Decision 
::Lock ::517 ::Quiescing 
::DDT ::Erhard ::Jiawei 
::Art ::Yasuhiko ::325 
::Pessimistic ::STRUDEL ::Johnson 
::John ::Johannes ::Jeusfeld 
::Directions ::206 ::Joseph 
::Funding ::567 ::DBA 
::Cvetanovic ::Doughty ::Manager 
::Norrie ::Connection ::Amherst 
::be ::UIS ::Semistructured 
::Partitioning ::time ::Integrating 
::404 ::377 ::106 
::Johann ::Wang ::Weikum 
::Frdric ::429 ::Spaces 
::Rafiei ::Stephanie ::DeeDS 
::Partitioned ::Brad ::Chan 
::540 ::400 ::Results 
::Mult ::Java ::Dallan 
::issue ::Vinek ::Rafael 
::Yasuhiko ::driven ::Surajit 
::BCNF ::Brief ::470 
::Tjoa ::Constraint ::236 
::262 ::zden ::Trading 
::Jayant ::Ahmed ::Brodie 
::Silverstein ::Keulen ::Weienfels 
::13 ::Don ::Rona 
::IM ::Multi ::Jutta 
::Hian ::38 ::McLoughlin 
::Relly ::Gnther ::Jorge 
::49 ::Estimating ::Dataflow 
::Logging ::Blanken ::among 
::Quiescing ::Nascimento ::Manish 
::Sorting ::Zwilling ::Stepwise 
::27 ::Hare ::Gordon 
::Colliat ::Qu ::Where 
::Knowledgeable ::STRUDEL ::Schang 
::159 ::B ::Paton 
::Walters ::Tininini ::Hughes 
::32 ::Synchronization ::546 
::Nancy ::INterchange ::43 
::Evaluate ::521 ::Outs 
::47 ::Validation ::503 
::Laurent ::Qingshan ::Structural 
::Optimizing ::Delaunay ::Jnsson 
::Starburst ::Sethi ::Widom 
::Cem ::Quasi ::data 
::Replicated ::Fu ::Search 
::11 ::Tufte ::Rajaraman 
::Sena ::Glossary ::BUCKY 
::512 ::Cart ::72 
::Tork ::Yannis ::506 
::Yeung ::64 ::Rosneblatt 
::Walt ::Index ::Ramez 
::Limsoon ::Access ::Shared 
::Algorithms ::Searching ::339 
::Kitsuregawa ::METU ::Wrappers 
::Reuter ::159 ::tree 
::Datenbases ::Shin ::Celentano 
::John ::Response ::Won 
::Implications ::Disjunctive ::Packer 
::Alperin ::28 ::Mahboob 
::Method ::Agenda ::Karim 
::Rene ::528 ::C 
::Binto ::Type ::56 
::Rolland ::Ming ::Kenneth 
::17 ::Shekar ::Replicated 
::Kiran ::Klas ::Chou 
::Schek ::Multiattribute ::Kristin 
::Giansalvatore ::Sakahara ::446 
::Takanari ::Yihong ::IM 
::Redundancy ::Series ::Lipeck 
::Extensions ::Vinek ::Barnes 
::During ::Conrad ::Ronald 
::Nelson ::Satish ::MOSAICO 
::Overmyer ::Harinarayan ::Sergey 
::Adya ::Dittrich ::Tyler 
::Tang ::Universal ::DDTS 
::Experiments ::Mukul ::Tsuei 
::Religious ::OOPSLA ::Transaction 
::EFDBS ::Mikael ::Jukic 
::Brice ::Hugo ::Motwani 
::Pedagogic ::331 ::Shekita 
::Sun ::Upon ::320 
::Gibbs ::ARPA ::Alessandro 
::Mitch ::Rmy ::Marco 
::Object ::Maier ::NSF 
::Hong ::Reich ::228 
::Contextualizing ::52 ::Goel 
::oriented ::Nothing ::Path 
::Fatima ::Roland ::Sandeep 
::Achitecture ::Grasnickel ::Existing 
::Ugur ::Schning ::Albert 
::Ulusoy ::114 ::Miguel 
::473 ::Invitational ::88 
::280 ::Shum ::Issue 
::Huffman ::Interoperability ::Takeshi 
::Workaholics ::Amr ::Progress 
::1994 ::Utilization ::Representation 
::Jint ::Harald ::Enforcing 
::Another ::Schneider ::Bifocal 
::Sibel ::Set ::Active 
::Resnick ::Solutions ::Taylor 
::Ait ::Yates ::Append 
::Toiati ::80 ::Dayal 
::Independence ::Internal ::Revisiting 
::Lehman ::Jun ::Malcolm 
::Distance ::Alexandros ::Reordering 
::Partitioning ::Jeff ::Hayes 
::Parity ::Gnter ::Critical 
::Distance ::Melissa ::Davison 
::Salvatore ::Reference ::Galindo 
::74 ::Vienna ::224 
::Multidatabases ::89 ::195 
::Reply ::Ashish ::Jay 
::Enhanced ::439 ::Into 
::Piatko ::Kossmann ::Wilcox 
::Kambayashi ::zden ::Cyclic 
::Inheritance ::Compensation ::Sandra 
::Synchronization ::Can ::Werner 
::Formal ::Lorie ::ARCS 
::Atzeni ::Aiken ::Mixed 
::Nandit ::Gnauer ::Number 
::Suppletment ::Raghu ::Don 
::Scheduling ::293 ::Arrays 
::21 ::Massachusetts ::Yasuhiko 
::Not ::Autonomous ::Elisa 
::Rakesh ::MDM ::Constraints 
::Modules ::Theory ::380 
::Another ::Stavros ::for 
::Chungmin ::Writes ::ONTOS 
::Rengarajan ::Radek ::Fabret 
::Orthogonally ::Opportunities ::Jennifer 
::Kon ::Dyson ::Nebojsa 
::Brigitte ::Mikael ::Knox 
::Rozenshtein ::Similarity ::und 
::Into ::165 ::Task 
::70 ::Article ::Domains 
::Henk ::Pedagogic ::There 
::89 ::Gruber ::Scalar 
::Bandwagon ::Pixel ::Non 
::Structures ::Howard ::Atomic 
::Haim ::Deferred ::Reuter 
::McHugh ::Its ::Deppe 
::Scott ::King ::Counting 
::Dar ::Hbel ::Revisiting 
::Rafiei ::tree ::Yoshikawa 
::Shekita ::2001 ::Schuble 
::317 ::Dittrich ::Ravishankar 
::Application ::de ::Dan 
::Behaviour ::Kriegel ::Bushy 
::Join ::Vista ::as 
::545 ::Technical ::Tomasic 
::Defined ::Arguable ::325 
::Mamou ::Multidimensional ::Gregory 
::43 ::Bruns ::Ramachandra 
::Chi ::Red ::Tannen 
::Wrappers ::Clark ::Doo 
::Vista ::Validation ::Amy 
::Annotated ::Inverted ::Goldner 
::Melton ::22 ::550 
::Resnick ::228 ::Delaunay 
::Usability ::Gook ::Mendona 
::Impact ::Everthing ::Translation 
::Enforcing ::Prakash ::Kramer 
::Flip ::SENTINEL ::Bhashyam 
::Luis ::Colin ::452 
::Traversal ::Hodges ::Knox 
::Datenbases ::264 ::Nikos 
::Fox ::221 ::Lehman 
::Extensions ::514 ::Silberschatz 
::Records ::Skowronek ::DBLearn 
::Distance ::63 ::La 
::HyperStorM ::Beverly ::Kowarschick 
::BeSS ::Finally ::Answer 
::Policies ::van ::Walters 
::Umeshwar ::Pinar ::Rosana 
::Susan ::MDM ::226 
::280 ::376 ::Radzyminski 
::Ensuring ::177 ::Participants 
::62 ::Arne ::329 
::Adelberg ::Gyssens ::DIPS 
::Camps ::Acharya ::Meets 
::Mariano ::Bruno ::252 
::Narain ::Among ::Claire 
::Mema ::Facility ::Kohler 
::256 ::fu ::Hamid 
::Shivakumar ::315 ::Bhargava 
::MQSeries ::Free ::Krishnan 
::Soo ::Experiencing ::Raschid 
::Anastassia ::NET ::Dar 
::Inderpal ::Manish ::Discovery 
::Workshop ::Histograms ::Effelsberg 
::Fong ::Editors ::Sethi 
::13 ::Oded ::Werner 
::Continuous ::I ::Troyer 
::482 ::Editorial ::Chomicki 
::Adding ::Piatetsky ::Rakesh 
::Lazowska ::Klaus ::Kaizhong 
::Doan ::Jrg ::Phatak 
::147 ::Indexes ::Science 
::Sean ::GEM ::Kabiria 
::187 ::Combinatorial ::ANSI 
::Integrated ::Neuhold ::Ravi 
::Geographic ::Shneiderman ::Swarup 
::400 ::Tam ::Maintenance 
::Lu ::Moore ::465 
::Concurrent ::251 ::207 
::Defense ::George ::Sibel 
::Harald ::Donald ::WWW 
::529 ::96 ::Workshop 
::Scholl ::Intelligent ::187 
::Nita ::84 ::Ronald 
::Practice ::Gultekin ::Sensed 
::Observable ::Renner ::Knowledge 
::Devor ::Jarke ::Maintenance 
::File ::490 ::Locking 
::MMDBS ::Types ::Tom 
::Chiang ::Correlations ::Yuksel 
::Ulrike ::Series ::Renner 
::Raymond ::Into ::Persistence 
::Mahboob ::Cruz ::DARPA 
::Aiken ::Hou ::Suryanarayana 
::Jerrold ::17 ::Mackert 
::MLS ::Roddick ::Inverted 
::Goldman ::Kilic ::521 
::Brad ::Jochen ::Arpaci 
::Goal ::Olga ::Similarity 
::Halici ::Zaane ::Effect 
::Leonid ::Separately ::Tuning 
::Manolis ::Tien ::Kossmann 
::539 ::489 ::Tannen 
::Industry ::555 ::AMS 
::Bernstein ::366 ::Hayama 
::170 ::Woelk ::Tradeoffs 
::Per ::IM ::Annie 
::FZI ::Rupawalla ::Altinel 
::Tiziana ::Khedkar ::Kooi 
::Melmom ::267 ::Wildcards 
::Prashant ::Between ::Erich 
::91 ::Margaret ::Achitecture 
::Hare ::Comprehension ::Expressive 
::Rona ::Optimizer ::541 
::Extension ::71 ::62 
::East ::82 ::Christine 
::Lausen ::Wayne ::62 
::239 ::Kotz ::Bonnet 
::Simmen ::Ibrahim ::Medeiros 
::538 ::Editors ::Rishiyur 
::Contents ::147 ::Daniels 
::Georges ::Berchtold ::Ee 
::Han ::Bibliography ::Record 
::Daniel ::Arne ::Frameworks 
::Kooi ::Frasson ::209 
::Complex ::Tokens ::Merge 
::Educational ::325 ::VMS 
::Lori ::Milo ::Taylor 
::Language ::Fetched ::Interval 
::Volker ::293 ::Sou 
::Tomlinson ::lun ::Standards 
::Cheap ::Biskup ::Industrial 
::Hawthorn ::Geppert ::Nathan 
::Wilburt ::Explanation ::Thinksheet 
::Variant ::107 ::Centre 
::Himanshu ::397 ::Kspert 
::Predicate ::Franois ::Store 
::GEM ::219 ::63 
::Souder ::Do ::Write 
::Libraries ::Woolf ::Kieling 
::137 ::307 ::Gordon 
::Attributes ::Hoch ::Editorial 
::Gesmann ::Celis ::Critical 
::Kabra ::Yossi ::Burns 
::Thanisch ::Donovan ::Dale 
::Anthony ::Julian ::Hbel 
::503 ::Barry ::273 
::Knox ::Piyush ::Castano 
::Mackert ::Kolodner ::Upgrade 
::Haenni ::94 ::Efficient 
::Michle ::Traversal ::Girish 
::Group ::77 ::O2 
::Navarro ::Gang ::authors 
::NP ::Ross ::Institute 
::Environments ::Logic ::Dreyer 
::Eben ::221 ::Structural 
::Bonnet ::Leonid ::Boon 
::Optimizing ::365 ::Suciu 
::Redundant ::Commentary ::366 
::Maheshwari ::Melling ::Multisafe 
::13th ::Upgrade ::Yang 
::Gerlinde ::Efficiently ::Index 
::Sumit ::COntext ::Pull 
::Rajendran ::Pinar ::103 
::Richard ::Ailamaki ::Hypertext 
::298 ::Zorn ::Recent 
::Viswanath ::Testing ::Process 
::571 ::their ::Infomaster 
::Panagos ::issue ::13 
::INterchange ::Hwang ::Multidatabases 
::Chief ::Relational ::World 
::260 ::116 ::473 
::Machlin ::442 ::Griffeth 
::Vassalos ::Tagg ::DBA 
::191 ::Moira ::383 
::481 ::Kosch ::Administration 
::Alperin ::510 ::Yongdong 
::DIRECT ::Position ::Random 
::Heytens ::Global ::Fry 
::Montage ::Fotouhi ::Consens 
::Bauzer ::MDM ::468 
::Rona ::Maintaining ::469 
::Memory ::Frasson ::114 
::224 ::NTHU ::Ebru 
::Meaning ::Knoblock ::Inverted 
::Arthur ::Colliat ::Jason 
::Christoph ::Masum ::Ozkan 
::Khoa ::Penalty ::USD 
::406 ::Matchmaking ::Semantics 
::Etheredge ::Klaus ::Flip 
::Tsichritzis ::Chih ::John 
::Penalty ::Brinkhoff ::Gerd 
::Bukhres ::Walt ::Liuba 
::Wave ::Christoph ::Tree 
::Knowledgeable ::Editor ::Eick 
::Solution ::Transactions ::Ross 
::Wrapper ::Parallelism ::Fault 
::issue ::Malcolm ::Sylvia 
::147 ::Englert ::Establishing 
::Annie ::Kilov ::E 
::Networks ::Metadata ::Simmen 
::Janus ::Rule ::Wolf 
::Rex ::Artur ::Position 
::540 ::Val ::Queens 
::Tan ::Willie ::Project 
::Sonia ::Dangers ::DB 
::Networked ::Sang ::150 
::Previews ::Wimmers ::Replication 
::Kao ::Spatial ::Beng 
::Neptune ::Revisted ::Sullivan 
::Dennis ::Toolbox ::Scaleable 
::Kam ::Alexandros ::Brachman 
::Temporal ::Accessing ::Semistructured 
::Written ::Fritz ::are 
::Freeman ::Costa ::474 
::Section ::Key ::BUSINESS 
::Giansalvatore ::Composite ::Louiqa 
::Auwera ::Can ::Elsewhere 
::Anita ::Fynn ::Going 
::Doppelhammer ::Lorentzos ::103 
::Jonas ::Creation ::McGuinness 
::Operation ::171 ::title 
::378 ::Ashish ::wide 
::Reminiscences ::Hypertabular ::Keller 
::Ariel ::Locking ::Machlin 
::Matching ::Must ::80 
::Class ::Support ::Kawaguchi 
::447 ::Guy ::Stanford 
::532 ::Block ::Frew 
::Loss ::273 ::Processor 
::und ::Introduction ::contra 
::Flip ::Papoulis ::Won 
::Cattell ::Shilpa ::Kuan 
::Yixiu ::Scaleable ::Queensland 
::Methods ::Flexible ::Prospector 
::418 ::392 ::459 
::Jnsson ::adaptive ::Best 
::Message ::Ten ::Gebhardt 
::482 ::Waheed ::37 
::Diagram ::Reasoning ::Keim 
::Computations ::Network ::Dynamic 
::Example ::Attributes ::Protocols 
::issues ::Arvola ::Level 
::Inheritance ::Massively ::Yongdong 
::Colette ::White ::Cluet 
::Cheap ::430 ::Fetched 
::Furtado ::Munindar ::about 
::Properties ::Numeric ::Cichocki 
::Soumitra ::Postgres ::Brice 
::Toolkit ::Rosneblatt ::TODS 
::Popova ::Satellite ::Lori 
::Brick ::External ::CAD 
::Discs ::Documents ::Note 
::Refresh ::Erratum ::35 
::Vingralek ::Transaction ::Moerkotte 
::Olkin ::Henry ::Dozier 
::Trading ::Kuck ::Text 
::Umesh ::Predictive ::Beigel 
::Ceri ::Update ::W 
::367 ::Optical ::Suciu 
::416 ::285 ::155 
::NonStop ::Made ::Daniels 
::Ugur ::Peter ::266 
::Shared ::Katia ::Federated 
::Daniel ::Solving ::Karl 
::EFDBS ::Babis ::Sagonas 
::Lohman ::Lionel ::Lightweight 
::on ::103 ::Jacobs 
::Zou ::Zaniolo ::Queries 
::1 ::Deleting ::Rajeev 
::521 ::the ::Time 
::Samet ::Schek ::Valery 
::Transitive ::Tova ::Client 
::512 ::Shrira ::370 
::Must ::143 ::Shahram 
::Margaret ::Inference ::125 
::B ::Four ::301 
::383 ::Erik ::Syntax 
::155 ::Jint ::Ozkan 
::Spyros ::Wesley ::Collection 
::301 ::Arguable ::Role 
::72 ::Kieling ::Kent 
::and ::Participants ::Conjuction 
::Nolan ::Mayer ::177 
::Doo ::38 ::de 
::Extraction ::Wilhelm ::Umesh 
::ODBMS ::Procedures ::Y 
