Viswanath::GIS Bhavani::Conflict Writes::Antonio ::Narayanan ::Ilker 
Merging::357 Henry::Vincent Symposium::Brigitte ::DOODLE ::Religious 
381::2000 Kifer::Hampapur Paton::Downing ::80 ::Development 
Sema::Olkin Errors::576 DB2::Rdb ::Warehousing ::Himanshu 
Glossary::and Prototyping::Deppe Finkelstein::Gerlhof ::Jr ::Effelsberg 
416::Subramanian LORE::for Kuan::Jagadish ::Asserting ::532 
Silberschatz::Consumer 422::10 Meets::I ::503 ::Kiernan 
556::Complexity Mariano::through Cole::Processors ::Standards ::553 
Tokuyama::239 Maintenance::Inference Lionel::Melvin ::Reconstructed ::Visualisation 
Freeman::Achyutuni Gogolla::Component DeeDS::Haran ::Saying ::Salza 
Aberdeen::580 author::Vincini Jumping::65 ::Clustering ::Hypothetical 
Elsewhere::114 Umeshwar::Persistence Yixiu::Margaret ::Ron ::Set 
Baldeo::Sakahara Kuck::Ashish Sarda::Networked ::83 ::DIPS 
Assigning::Queens Alessandro::Explanation Fishman::Quantitative ::Point ::Line 
Gook::Dadam Carrie::wide Monitoring::It ::Hou ::Recovery 
126::Approach Au::Kennedy Kuo::Tomasic ::User ::Mamou 
Sycara::Frederick Kiernan::Synchronization University::Timothy ::219 ::Compiling 
512::User Cluet::Consistent Roark::466 ::Beng ::Geppert 
239::Tutorial Cocktail::STRIP 220::Quass ::Index ::Hoel 
lun::Riccardo Rabinovich::Andrzej Interaction::Niki ::383 ::Schwarz 
323::Patterson Remzi::Mancuhan File::MultiView ::428 ::Third 
about::R Buchmann::87 Hung::Kumar ::Inge ::Jones 
Third::Multiversion Exploiting::Shectman Gardarin::Flynn ::Sullivan ::Modify 
Wildcards::Thyssens Joseph::Sybase Network::Haritsa ::DBMiner ::Norman 
Marr::Action Unnikrishnan::Shahram Marcel::Extraction ::101 ::Ramesh 
NTHU::8 Yibei::301 Maxine::et ::FaceKit ::Kenneth 
Haritsa::Spotfire Amihai::Tradeoffs Active::Bhavani ::Anupam ::Daz 
Merging::Jonathan 230::307 Arpaci::Kfer ::397 ::Correlations 
Boral::Closure Ramakrishnan::Walker Ching::575 ::Residues ::Kriegel 
EUG::Korth Gray::Basic Bifocal::Richard ::Their ::Tallot 
Syntax::538 Center::Editorial 64::Research ::Benchmarks ::Timeliness 
Counting::Implementing 91::Metric Called::Alistair ::Patrick ::No 
Evaluation::Autonomous Walker::Masses Connection::Logging ::Jnsson ::124 
Mobile::Dietrich Information::Sylvia Elsewhere::Betty ::ARTDB ::K 
34::Anand Silverstein::Patel Quantified::Kitsuregawa ::Abstraction ::49 
Celis::Engine 381::Narayanan Lipeck::Won ::Hypertext ::Workaholics 
Schrader::und Mohammad::Dogac 447::Outs ::Schmidt ::Handling 
Schwarz::Universal Hansson::Nick 171::Bamford ::General ::Narang 
324::19 World::Flaws Capabilities::METU ::Linda ::Knig 
Khedkar::Yannis Atomicity::Flip Alex::NII ::Paolo ::Dirk 
Mobile::509 Lessons::Engineering Beigel::Bry ::Prototyping ::Relihan 
DBSim::Rowland relational::CICS Chendong::Larry ::Jordan ::Stefano 
Anonymous::Hugo Gnter::Berson Bonnet::Hanson ::Held ::Mary 
Claire::Averbuch Panagos::125 Silvana::Ambuj ::Neighbor ::243 
Agrawal::Carsten Printezis::Display Secure::Sheth ::492 ::Scientist 
Scott::Abraham Doo::Pratt Rajendran::Saxton ::Everthing ::Indian 
REpository::Kuan Seth::Dayal Visualizing::31 ::Written ::Framework 
555::Interface Mariano::Skeen Reordering::von ::Timothy ::Abbadi 
Industrial::Aberer Catarci::461 Table::SEQUOIA ::Jeffers ::245 
Bruce::Pratap 441::Hierarchically zhan::Objects ::Pedagogic ::556 
Iterative::Codes 149::Interface Billion::Alex ::Kifer ::419 
Moerkotte::Tajima Ouksel::IPSI Challenge::528 ::149 ::Maheshwari 
Cyclic::Managing Srikant::Brunie USL::Jean ::Progress ::Pessimistic 
Braunmller::Ferri Assessment::they Ross::Karim ::Skowronek ::Fine 
Current::Thierry Functional::Andries Eisenberg::Roger ::1993 ::Musukula 
Similarity::Gawlick Yang::35 Qiming::Roland ::Desktop ::Reordering 
Arjan::Phil Static::254 Bohrer::Davison ::attribute ::Soumitra 
256::Personal Case::Rewiew Representation::Kline ::Kuno ::Gallagher 
Maheshwari::We ETH::Similarity Inverted::OASIS ::Claude ::27 
Content::Real Generalized::Penalty Dynamically::Qiming ::Gad ::Proposed 
RIDL::564 Dekeyser::Expressive 446::Douglas ::Video ::GUI 
Gardels::Cartesian Quest::Patrick Area::Fraternali ::Value ::Brodsky 
493::Martin Gadi::Hamid Bandwagon::Jiawei ::Dao ::217 
Dennis::Ju 549::122 Jagadish::Oscar ::Termination ::Witold 
Duri::order 80::Application Fishman::M ::Arguable ::Magic 
Shekar::Datenbases 353::IMPRESS Mechanisms::Skew ::Gad ::Azer 
Margulies::Critical Steinbrunn::Lifestreams 414::Shiri ::be ::Schemes 
Kshitij::Lipeck Shilpa::GOOD 232::Andrzej ::order ::Valery 
Process::Some Franklin::Son Melling::Desai ::Implementation ::Casanova 
Mason::Experiences Vienna::Yuri 4th::Thyssens ::Klas ::Sharad 
their::Jint Hara::Beach Content::92 ::532 ::Take 
172::Hirata Centre::Hoch Erik::Souza ::Plans ::Kupsch 
Jajodia::Fabio Scholl::Shoring 474::automatic ::Davidson ::Woelk 
Order::Updates Studies::Append Multiprocessor::FaceKit ::Aberdeen ::Larry 
527::To Zarka::Pedro Marek::Eisenberg ::Max ::Au 
Sequence::173 Marcus::286 Crisis::474 ::Semistructured ::Davidson 
Loops::Java Motakis::Artur Programming::Quantitative ::Praveen ::13th 
Kupiec::Samarati Norio::Inserting Braunmller::Johann ::Schnhoff ::Yixiu 
Convent::Catarci Cvetanovic::Novel Bhm::Luef ::Stenoien ::Order 
Ghassan::Abel Sagiv::Lin Retention::474 ::Adding ::Andries 
Colette::546 298::Strategies Gkhan::Recent ::Clustering ::Kamel 
Street::Schrader Highly::Jamison Breiteneder::McHugh ::Lorentzos ::Takanari 
543::Manola The::Linderman Indexes::Karvelis ::206 ::Inter 
Bombay::DB2 Challenges::73 Optimizers::Li ::133 ::Tsur 
X::East Hian::Novak Grossman::Enhanced ::Garnett ::Elmasri 
Proposal::Sonia Theodoulidis::Bancilhon Challenge::SENTINEL ::Malcolm ::Thinksheet 
Scientist::OODBMS DEVise::Treasurer Reduction::Aggregate ::Rajaraman ::Mema 
439::Frederick Replicated::Yeung Carl::236 ::Brown ::Nebojsa 
185::Santucci Achyutuni::Colby Pedro::Existing ::528 ::Production 
Hongjun::Validation to::Mohammad Speech::Guido ::Chungmin ::Hasan 
DIPS::Application 221::Cory Garbage::Restrictions ::Albert ::Dittrich 
Wilms::Unifying Database::232 251::31 ::Masatoshi ::Records 
Agents::Miron Sagalowicz::Flynn about::Disco ::330 ::Massively 
Kulkarni::Lausen Lougenia::Kupsch Kanellakis::Structural ::Knowledge ::Celis 
Cammarata::158 Federated::Historical Min::Relations ::Preface ::26 
Gyssens::58 Hou::Policy Review::Hongjun ::Morpain ::Called 
Albert::Levine DIRECT::Jain Translation::Maindreville ::Kon ::MEDUSA 
Machine::452 Walter::Haim ARIADNE::Roman ::Weienfels ::Records 
Defined::Four Gardels::Dyreson Hugo::Goldberg ::Number ::217 
Leo::173 247::Brin Esther::Andler ::Next ::Willie 
Yang::Jim Representing::Testbed Making::Press ::OODBMS ::F 
LRU::RISC Esther::OLE Clements::Salvatore ::Ad ::Products 
Goyal::Billion Moss::Riekert Ambuj::Unpacking ::Buffer ::Goh 
Soloviev::for Sagonas::San SG::Narasimhalu ::Errors ::EOS 
Into::53 Ray::Ravi Independence::Sockut ::489 ::1951 
Ken::Utilities Video::Workflow 544::69 ::Santucci ::X 
423::Red Atzeni::Prospector Telecommunications::Navin ::Tsichritzis ::Kfer 
2001::Issues Shan::Shared Erhard::Highly ::78 ::Galindo 
Luc::BUCKY 251::Dittrich Illustra::Users ::Dynamic ::Set 
Omran::Gorelik Matthew::339 Wildcards::Histograms ::Sort ::Segev 
Zhao::Berg Scalability::5 Murphy::Nyberg ::Catarci ::Ramamohanarao 
Fine::Mult Soumitra::Discovery Scientist::259 ::Gogolla ::Artur 
Hrder::Survey Navathe::Ries Meral::Omiecinski ::Form ::Rapidly 
Levine::Partial Koksal::wish Editors::Flynn ::Medical ::Elsewhere 
Rebuilds::W 247::Panel GOOD::Viewpoint ::Knoblock ::Salvatore 
568::93 Bressan::416 525::Lehman ::Luc ::Minute 
Rafael::324 Kao::Meyer Vitter::RISC ::Harumi ::Optimizer 
Teorey::Tsatalos Translation::Gerhard Multidatabase::Liam ::Maintenance ::Meyer 
434::Snodgrass Wong::Jerrold 465::SIM ::Commitment ::308 
Pires::into Predictive::Newmann About::331 ::Block ::Icons 
406::Command Bargmeyer::Nikolai Quest::Sheth ::Fabret ::Nori 
Panagos::Gebhardt 28::56 Text::Schemes ::Load ::DDTS 
Shivakumar::ConceptBase 518::Medical Lieuwen::Differential ::Kriegel ::Ra 
Staggered::Multidatabases Mauricio::Gkhan Roy::Fault ::Take ::Evrendilek 
Closing::Klein Fetches::125 Janus::Baeza ::Albert ::Remotely 
Histograms::177 Steven::176 Sure::462 ::Eliminating ::Melling 
Is::Kyoji Generalizing::Georges Amihai::459 ::Two ::54 
Bernard::Flix DIPS::357 16::Karvelis ::99 ::Geographic 
Useful::Sean 529::Reconstructed Molina::Bancilhon ::Hypertabular ::149 
Liam::Ulm 400::Lessons Pang::Schemas ::Guy ::Yih 
Ullman::Worst Cercone::Disjunctive 81::300 ::Pramanik ::Multiversion 
3D::112 Generalized::Administration Third::Uz ::341 ::284 
zhan::52 Ford::Stolfo Roberto::Concepts ::Cevdet ::Ray 
Zou::Devolution Box::19 254::line ::Margaret ::Barry 
Thatte::Transactions Hoc::Current memory::Servers ::Development ::ke 
Distributed::Cartesian Gogolla::Roman Measurement::Budet ::MEDUSA ::Ee 
Trueblood::Hoppenbrouwers Qin::Earl Invitational::Yibei ::Jarke ::Teradata 
Grossman::McHugh White::67 266::Partial ::Tiziana ::Souza 
270::Users Kurt::Ksiezyk Alain::Analyti ::Kazuhiko ::Kaizhong 
Kshitij::Manipulating State::Kao Objectives::Shu ::Wechsler ::Van 
Investigation::Sciore Gilles::260 Madnick::among ::DDTS ::Josef 
540::295 Atomicity::Thanisch Influential::Toby ::NET ::Sullivan 
Sharad::Processing Boon::364 21st::Shah ::issue ::Investigation 
Profiles::Yuping Enforce::Syntax Sharma::Katia ::Hadzilacos ::Shashi 
Tjoa::ARIADNE Sergey::Goldberg Mohammed::Lukas ::Hian ::Gist 
Jos::Fred Tuning::Yehoshua Simmen::Amherst ::Concepts ::Prasad 
Min::Abel Sockut::164 Kitagawa::Claire ::Amherst ::Hirata 
Everthing::Kirby oriented::Testing X::Ingres ::SAP ::Shoens 
Middle::Tan Beeri::Project 268::Deppe ::DBMS ::Lehman 
Ouri::76 Libkin::428 287::Gerlhof ::Bhargava ::Bing 
99::Schrefl ZOO::Pat Himanshu::Goldner ::Vipul ::Hawthorn 
Mlle::Staggered Thompson::Mitchell Carl::Krithi ::Computer ::Mendona 
Newmann::Bharat Presence::Alejandro 399::Utilization ::Vardi ::Dayal 
Century::Mishra Consensus::Creation Multiattribute::Beeri ::Technical ::Reconciliation 
Motro::Bestavros Nick::Expensive ASSET::Laursen ::Jarke ::Zarka 
Dekeyser::Separation Lindsay::Jayant Flynn::Very ::Young ::174 
Wolf::SAP Sources::59 Environmental::Time ::Kupiec ::Jeusfeld 
Residues::Gkhan Using::Counting 17::Julian ::Solutions ::Estimation 
Recent::Processor Arturo::96 Agent::Alonso ::Comprehension ::Sparsely 
Cubes::Bharat Detection::Selfridge Carlo::Down ::Labio ::Fernandez 
Narang::Klauser Shapiro::Maindreville Bases::Metadatabase ::Mandy ::Benjamin 
Internal::Knowledgeable Lipski::490 Bharat::Antonia ::V ::Aided 
76::Kifer Aris::Sema Natarajan::MMDBS ::Gerlinde ::Digital 
Data::Marcus Hayama::Andrew Ohori::SIM ::Sycara ::Wrappers 
Leo::Traversal 398::Conrad Sampaio::Konrad ::Stuart ::Pratap 
Gnauer::Tony Religious::Krishnamurthy Salton::26 ::Project ::466 
level::or Response::Myllymaki Goldfine::53 ::Controlled ::Pena 
Katia::Johannes 554::Doherty Alexander::Research ::UniSQL ::Computers 
Array::Consens Satellite::Olkin 82::Reconciliation ::273 ::Yih 
Arpinar::title Lifestreams::Kuno Stanley::Amateur ::Coherency ::233 
Priti::Syntax Notes::155 Warehouse::Super ::Primitive ::357 
Coherency::University Yerneni::Amit Hearst::Expressions ::Gibbons ::Mehmet 
Chan::Merialdo Goyal::Doughty Nenad::UNIX ::Wahab ::Trueblood 
Abstract::Testing Chris::DIRECT 147::Sagiv ::Separately ::Davood 
254::Recursion Englert::Case and::Tolga ::Continuous ::Range 
Adali::Alperin Metric::Inge Merz::Raghu ::Xian ::and 
Defense::Loops International::Sagiv Sudarshan::Capability ::Tang ::Heap 
Studies::Jie 108::1994 231::Lukas ::521 ::Standardization 
Unnikrishnan::Fowler Jerry::Hussein Software::Shmueli ::Altinel ::DART 
Enhancement::Kaizhong Products::147 Salzberg::466 ::Semantic ::Klusch 
Tolerance::Bruno Effect::Houtsma Tien::Federated ::93 ::Networked 
Icons::Salvatore Updating::Mostly Visual::Y ::Hubert ::Transitive 
Outs::Predicate Mosh::MINOS Golshani::Mariano ::Gilles ::Yahiko 
553::Silvano 44::Must Koch::fu ::Composite ::124 
Uz::Access Casanova::Wm Utilities::Termination ::RAID5 ::Information 
Marek::McCarthy Cocktail::563 Kenneth::325 ::62 ::Kurt 
Loss::Chang 514::Guozhu Kevin::Towsley ::Ganguly ::Services 
Robert::288 Khedkar::Klonk Interoperability::Files ::Agrawal ::Local 
Applying::405 370::Negotiation 273::Stavros ::Turau ::re 
Bhateja::Gad Abbadi::Coherency Stavros::Spyros ::Asserting ::Bocca 
Christian::Pinar Spaces::Zhang Sethi::473 ::Queries ::Faloutsos 
90::Rolland Message::Katia Revisted::Weihl ::173 ::Boral 
Gunter::Years Morimoto::article Ins::Parallel ::Qaimari ::Terry 
Conceptual::SE Assets::Form Soumitra::Grosky ::Group ::Compiling 
Completeness::Analyti 214::Fu Analyti::Dimitrios ::Kristin ::Cherniack 
Stochastic::radi Shing::Duri Dimitra::236 ::Annotated ::Random 
Raschid::Pull Leonardo::Component Doherty::Hearst ::Simultaneous ::Merrett 
Gupta::Hayes Forms::Jacek Engine::Gibbons ::Inc ::Basic 
Megiddo::Lewis 104::Nenad were::Bengt ::Pedersen ::George 
Level::109 R::Histograms be::Institute ::Jeusfeld ::356 
Path::Shea Barbar::Kitsuregawa Wilms::de ::Ramana ::Agrawal 
Task::oriented Chaudhary::Fabret Join::Concurrency ::Neptune ::Mobile 
Ballinger::Rakesh NP::154 Class::Mediratta ::Levine ::Lamersdorf 
Survey::Mackert DeWitt::Sena Oliver::Tryfona ::DEC ::Structure 
43::Stokrp Kuo::Infomaster Wodtke::Gupta ::Xiaoyang ::Watson 
Simple::Cai 388::F Bry::401 ::Updates ::they 
Dimitra::Gerhard Krithi::Yossi Extended::532 ::Schuble ::85 
HweeHwa::Segment Kosch::114 Forth::Center ::Krishna ::Svetlozar 
Standards::Counting Bryce::Discs Practical::UDK ::Taube ::During 
Dirk::575 Swarup::Wilburt 91::440 ::Structured ::ONTOS 
Sheldon::ITASCA Buffering::Terms Baldeo::Hanson ::Disc ::Mackay 
217::Celentano Zeleznikow::Kupiec Poyet::Sampling ::Semi ::IDEA 
Polyzois::Cooperation Ado::Design Ray::Problem ::Sagiv ::Farias 
Sagonas::Scaleable Manifesto::Nag 16::Ravi ::Kashyap ::Held 
358::Linderman 92::182 Desktop::Scans ::Better ::131 
184::369 Jeffrey::author 568::Interoperability ::Fu ::Roland 
Fabio::414 434::Dyreson Francine::571 ::Keith ::Wechsler 
Stanley::Ricardo r::Decomposition Hppler::Svetlozar ::Gupta ::Nabil 
Melling::E Aberer::Earth Standards::Kuo ::Synthetic ::Limsoon 
Semantics::Facility 483::Patel Panagos::109 ::Denis ::Kon 
Jones::Cardenas Mostly::Boral Design::Miranda ::Actions ::ODBMS 
Spyros::Fred NonStop::Syan Vossen::Nested ::NET ::Theodoulidis 
Jenny::Chih Amherst::Revisted Shectman::Consistent ::Multiple ::387 
CoopWARE::Ganapathi Order::Replicated Lists::Flat ::Workstations ::Barclay 
240::428 170::Flokstra Iakovos::Pattern ::Full ::Challenge 
Unnikrishnan::Meets Buneman::Arbee Box::Bergamaschi ::435 ::Qu 
IMPRESS::568 64::Atzeni Lori::Dallan ::Record ::Schnhoff 
Bharat::Creation Nestorov::DB Gorelik::Frederick ::Viswanath ::Medeiros 
Replicated::Aberer Moshe::Papers King::Fotouhi ::276 ::Very 
Semantics::Giuseppe Sang::532 Fry::289 ::Amit ::Mitschang 
Mukul::Retention 53::Resnick Dewan::to ::DBA ::FaceKit 
Theo::Boral Srikant::Recursion Note::Walt ::Indices ::227 
Keitel::Milt Dependencies::Rivero Steinbrunn::Qaimari ::Kuntz ::Ceri 
Virtual::Salza Wm::Leo Betty::Wen ::X3 ::Relly 
Toby::Heuristic Representation::Merz 423::Associative ::Database ::171 
Orthogonal::Georgakopoulos UIS::Haenni tolerant::Art ::DB2 ::490 
Melissa::Motakis 386::485 Christian::Tannen ::Satish ::Phillip 
Xiaolei::S3 based::513 Workstations::Gonzalo ::AI ::Ins 
Machines::Nick Concurrent::568 CAD::Berchtold ::Remote ::Rivero 
Yves::439 Assisted::Gunter ITASCA::Fabret ::62 ::Priti 
Laver::Franz Autonomous::Morimoto Stanley::127 ::Extended ::Issue 
356::Perform 318::Pistor Constraint::461 ::Visualization ::Conversion 
Dina::Hou Shneiderman::Evolution Huffman::Ni ::Shmueli ::Pattern 
Li::Nicolas 270::Synchronization Yuksel::Honeyman ::Gnther ::Christopher 
Architectures::COSS Antonio::Vardi Position::Store ::Werner ::35 
Sudhir::Copeland Jun::Trobe Access::Marvin ::Between ::Simple 
Kornacker::300 Alexander::Pirotte Ibrahim::Position ::Gardels ::Logging 
Porter::Itemset For::Vitter Activities::Mirroring ::Multiple ::Features 
282::Yahiko Visualization::477 Transaction::Not ::Norio ::Cooperation 
543::Davison Hugh::Ulusoy Manolis::Fatma ::Riekert ::SONAR 
31::Outerjoins Jack::Dan Eric::Myllymaki ::413 ::Neighbor 
209::Context 1993::McHugh Structural::issue ::COSS ::Ricardo 
Fragments::El Hawthorn::Kevin Jeffrey::Ramachandra ::Lock ::Ramana 
Conflict::Andries Builders::555 USD::Kaizhong ::Discovery ::Muntz 
Paredaens::Ramakrishnan 386::Set Craig::Evaluation ::Richard ::Convent 
Bruce::Fritz Maintaining::Mixed Management::294 ::292 ::Shenoy 
Stokrp::Versus Keim::Inapplicable Schek::Manolopoulos ::Programs ::Mostly 
Smith::Annie Metadatabase::Claire McAuliffe::520 ::358 ::Mick 
Robert::Kohler Years::Sten Yoshinori::Csar ::Informal ::Markus 
Wrttemberg::Ait 209::Stphane 356::Lip ::C ::Jamison 
Piero::Answering Yangarber::Warkentyne Assessment::Remotely ::Ganapathi ::New 
Kerry::Dayal 264::Consens Availability::Prospector ::137 ::Jon 
Oscar::Mehrotra Ferri::Document UNIX::Content ::Evolving ::Silvano 
Sidell::Stef ZOO::Shoring Wang::Reasoning ::393 ::Laura 
tree::Terms 347::Atkinson 367::Hendrikx ::Vijay ::Melling 
Shamkant::Mitch Revisted::Rishiyur Bernhard::Ion ::First ::Sarda 
Kulkarni::Function Urban::DBA GENESYS::Gunter ::Franois ::Faloutsos 
11::453 Unnikrishnan::Asuman Tam::Broadcast ::Apparatus ::Hamid 
GOOD::Achitecture Guo::AMS Pistor::Passing ::Svetlozar ::Motro 
563::Datta 122::Dimitrios Hearst::Proposal ::Sharon ::Arya 
Novak::428 First::endPage Larouche::Budget ::Candan ::10 
LORE::Federated Values::Years Sparsely::Budget ::283 ::Recent 
March::Wolfson 77::II Kristin::393 ::Goldfine ::Mohamed 
Zhao::Academic Low::Scholl 232::Hendrikx ::Nesting ::Marco 
Cetin::TODS Erik::Jaime Between::417 ::Kiernan ::Enterprise 
Managing::Maryland 308::366 Transitive::Revisiting ::Brick ::Timeliness 
Stenoien::Laurent Mohan::195 235::243 ::Differential ::31 
Who::Sagiv Tolga::Yuksel Prasadram::Procedures ::Monitoring ::Ramanathan 
Waheed::Shenoy Domains::Technical Melvin::Dittrich ::Counting ::Eftring 
294::Selinger Tomasz::Hide Year::Objects ::Missikoff ::434 
Devor::Unstructured Jenkins::Haas Michael::Expressions ::Kiran ::Rengarajan 
Cubes::From 387::Kenn 235::Mediratta ::III ::Deborah 
Kabra::Concurrency SAP::92 Shane::Chairman ::Icons ::Interfaces 
Client::Maryanski Borgida::Kambayashi Mamou::277 ::Workaholics ::221 
453::Scheme Davis::Frameworks Enterprise::Observations ::Hsiao ::Bry 
zhan::Pattern Doherty::Indexing Garbage::Forms ::50 ::Qureshi 
Integration::Datasets Phillip::Toward Tannen::Without ::Buchmann ::Garlic 
based::NSF Jack::Heiler 350::Executive ::Val ::Enhanced 
Duschka::Jussi Ad::Striping Segment::Common ::Efficient ::Cubetree 
Jianwen::Wentland Cheng::Processing data::OLE ::Hugh ::Baden 
Pramanik::Beach Kulkarni::Mehrotra Ju::Yossi ::Interoperability ::Marco 
Press::158 119::Englert Earl::Widom ::Theodoridou ::Knowledge 
Victor::Pull Proposed::Winds Selectivity::Facility ::75 ::Rahm 
L::Chief Workflow::541 132::Implication ::350 ::Experimental 
Melmom::Zurek Stefano::Environment 15::Kshitij ::Leung ::Path 
De::Stemple Lamersdorf::Myers Postgres::B+trees ::Reminiscences ::Alex 
Frasson::Lo 3D::15 Discs::19 ::volume ::Do 
Arun::Forth 194::time Keller::Mackay ::Budet ::Guangshun 
315::377 Dar::Dao Minyoung::Earl ::Anita ::Colin 
192::Klein Zaane::issue Manolis::Molina ::Introduction ::Eben 
Arpinar::Rudolf Asit::Hugo B::populated ::Distance ::Kfer 
Applying::Ghosh 403::US Tolerance::Ugur ::Rao ::Gyssens 
Lucas::Weikum Lashkari::Reasoning SigmodRecord::BeSS ::Thumb ::Moira 
NII::382 Compatible::Terranova Ballinger::Distributing ::Ulm ::Systems 
Down::Evolution Composite::Kohler Sockut::55 ::Dale ::Goldfine 
Gkhan::Rengarajan Chang::Heterogeneous Differential::Reedy ::STRIP ::27 
Datasets::Glossary Louiqa::Siegel 51::136 ::Zurich ::Chirn 
Deppe::Role Determinism::Tan Tanin::514 ::Glossary ::Rafiei 
Historical::Leonid Qingshan::PREDATOR Wahab::Ahmed ::Maheshwari ::Better 
13::Ozcan Effelsberg::Sandra Its::233 ::68 ::Paredaens 
Karlsruhe::Multiattribute Janus::Comments 297::about ::Johannes ::Parity 
Good::Machiavelli Automation::Smith 83::563 ::Darling ::level 
Informix::Biskup Shan::MENTOR Valduriez::Renner ::BeSS ::121 
427::Gale Miranda::Naveen Comprehension::Jyh ::Carrie ::371 
Kosch::Yeung Opportunities::Salza Erratum::Gad ::DeeDS ::Costly 
Super::Grandi Baden::Rishiyur Ramamritham::270 ::Svetlozar ::Hellerstein 
Shenoy::Taosong Alphanumeric::462 Loss::218 ::100 ::Finally 
258::Manager Critique::Breaking Timothy::69 ::285 ::Tajima 
Mechanism::Wei Day::An Introduction::Dayns ::Reorganization ::387 
Loeffen::Database UniSQL::Iyer Hoppenbrouwers::583 ::Erik ::Giansalvatore 
Wedekind::time OLTP::Abbadi Precise::Multiple ::ITRI ::Preliminary 
Therber::CICS Abdel::Biliris III::Garbage ::Piero ::Catarci 
Donjerkovic::HweeHwa Cichocki::Tamer Ching::Programs ::Brice ::Announcement 
Raju::Deadlock MDM::281 Limsoon::447 ::Burger ::450 
Ullman::Gerard Zwilling::123 Lotus::Zorn ::Implementing ::Kashyap 
Efficiently::Section Errors::White 184::RISC ::Jussi ::Kfer 
Compiling::SEQUOIA Didier::No Tork::Wilcox ::Detection ::Swami 
Kapitskaia::Pages 515::1951 Compatible::547 ::Allen ::Jhingran 
Buneman::Pessimistic Quiescing::Inderpal To::STARTS ::277 ::Taosong 
Sonia::171 Extendeing::301 Chirn::Umeshwar ::529 ::Panagos 
Scalable::Module Manipulating::231 Hodges::Melton ::Pierangela ::Agenda 
Cube::451 Similarity::Assets Woodruff::524 ::Federation ::Alphanumeric 
Karl::Striping 136::Down RISC::Doo ::Fred ::Directions 
Borras::P Department::DeeDS Samarati::Sellis ::Modification ::Yihong 
81::Scacchi Experiencing::Kao Alonso::Roy ::Knox ::Bryan 
Loss::Interactive Mason::Workaholics Karypis::392 ::Quasi ::Barry 
Controlled::Alfonso Thor::Infrastructure Commit::428 ::40 ::511 
Willard::Center Jenkins::Influencing Keulen::48 ::492 ::Grossman 
Betty::BeSS Betty::Datta Walter::58 ::204 ::Susanne 
ITASCA::Yuksel Eric::Maxine 177::DDT ::112 ::Stephan 
Madhu::Press Building::571 Key::Jerry ::Monash ::Expected 
Facility::Descollonges Tokens::270 Deadlock::Action ::Leonard ::Croft 
Shoshani::397 123::Buffers Salvatore::Gardels ::Standardization ::Davidson 
Upon::56 Sarathy::Mogi 15::Cattell ::Dadam ::Decision 
Revisted::550 71::Edgar Biliris::Multimedia ::Availability ::Lashkari 
Polymorphic::Histograms Queries::Didier First::Madhu ::Subrahmanian ::Martin 
529::468 Phatak::Kim Mariagrazia::Hong ::329 ::102 
Neptune::Tobin Technologies::Ricardo Extending::Jayant ::262 ::RIDL 
Consistent::Heuristic Walt::Bezenchek Stonebraker::Kent ::Mariagrazia ::Century 
Hasanat::Borgida Delaunay::Aloysius 508::Helal ::Partitioning ::Telecommunications 
Carrie::Karthikeyan Kanellakis::Nag Earl::Nikos ::Ramez ::Intensive 
Status::Sequential Optimizers::Kam Postgres::Croft ::Jack ::Resnick 
Chirn::WHIPS 39::Application Victor::Anand ::Gook ::280 
45::Kurt Queries::Server Codes::Manfred ::Laursen ::Englert 
Evaluate::Reich 576::Cart DIPS::Karlapalem ::Eich ::Cube 
Dynamically::383 Optimizers::Reminiscences Relationship::Ramirez ::Tova ::MLS 
Sort::Botnich Ricky::Bernstein Lawande::Experiences ::Recovery ::379 
Alfons::Ibrahim Artur::Nabil Beyer::Without ::377 ::Exploiting 
Optimal::Domains Abiteboul::BUSINESS endPage::den ::Guarantee ::DAFTG 
Rozenshtein::Gorelik Sidell::80 Aziz::Component ::McIver ::Retrieval 
Tiziana::II PRIMA::New Transitive::234 ::Gardels ::Strengthen 
Thin::Schrefl Joachim::Son Nural::Dogac ::Querying ::Clifford 
Fetched::Jonsson TCP::Retrieval Tim::Kotz ::Form ::541 
Jae::528 Chair::Pull 285::Editors ::Chaudhuri ::298 
Banu::Memory Braham::Suryanarayana INterchange::Miller ::Spotfire ::Mayer 
Shum::Gunter Schek::Wrttemberg Fred::Special ::Oki ::Smith 
Morishita::Jeff Lois::Chaudhuri Accessing::Unifying ::42 ::Llirbat 
Into::Visualizations Beng::571 Colin::Cox ::Processing ::DBA 
Associative::108 Rosenthal::Zurich Dan::12 ::261 ::DeMichiel 
Umesh::Feedback Cohen::Ishwar Merrett::Visualisation ::Sakti ::Tork 
Hierarchies::524 4th::Janus Term::MENTOR ::Shing ::Box 
Task::Lee Thor::67 Phillip::Abdelsalam ::381 ::Roussopoulos 
Department::fu Agarwal::139 Potamianos::Tetelbaum ::DBLearn ::Farshad 
Flaws::Ullman SBBD::Jamison 563::Cherniack ::367 ::Treasurer 
Characteristics::Blanken COSS::Finally Wenger::Dekeyser ::63 ::Prolog 
Nested::Video den::Stavros Celis::Computer ::Ariav ::Saygin 
Hoch::Push Breitbart::ONTOS Lorie::Stamos ::Mason ::Page 
