Thor::Stokrp ::72 ::529 ::Not ::Aggregate 
Gal::Later ::GlOSS ::Commitment ::View ::Office 
von::TPC ::X ::First ::165 ::Bergamaschi 
based::DBMSs ::Geophysical ::How ::Aggregates ::Levine 
MYRIAD::Rishiyur ::Blott ::Kooi ::Stuckey ::Henk 
or::Wolfson ::Iyer ::PRIMA ::544 ::Ling 
Troyer::Hayes ::Knowledgeable ::Engineering ::Ling ::Delcambre 
is::Flexible ::Numeric ::Modular ::Educational ::Incomplete 
Goyal::Krishnamurthy ::Safe ::360 ::Accociation ::293 
database::Truszkowski ::SONAR ::Sagalowicz ::10 ::177 
Vance::Gist ::Viswanathan ::Hellerstein ::527 ::227 
Problems::Derived ::Multimedia ::Inheritance ::Acharya ::Nelson 
348::Practical ::Widmayer ::Hanan ::54 ::Guidelines 
David::Vasilis ::Been ::Moira ::Simultaneous ::Starburst 
Parallelism::12 ::Jeff ::543 ::Paris ::SE 
Annotated::Ben ::Cubes ::Toiati ::Consistent ::Moira 
Khedkar::Ling ::Ahlberg ::153 ::Scacchi ::Subrahmanian 
Miron::2 ::GESTALT ::Resolution ::Braham ::Horizontal 
Kiernan::Unifying ::Fagin ::Yang ::Shoens ::Capability 
Structural::S ::Stephanie ::Nural ::Accociation ::IM 
Environmental::STARTS ::Timeliness ::Processors ::Pernul ::Kapitskaia 
Earth::Mediator ::Mehdi ::Viviane ::Assets ::Spatial 
Dogac::Norrie ::Harandi ::Back ::Recurrent ::Challenges 
Breiteneder::Sumit ::Schang ::Refresh ::107 ::Klaus 
Poosala::Margulies ::Extracting ::Fundamental ::On ::Reordering 
Transition::Ron ::527 ::Sybase ::Personal ::Pissinou 
meet::Redundancy ::Adali ::Proteus ::Industrial ::Graphical 
Reference::Nikhil ::Uz ::Mapped ::1993 ::Mayer 
METU::AlphaSort ::Indexing ::Sanjay ::95 ::Luef 
Kenn::Marcus ::Klein ::Gnter ::Ullman ::400 
Function::Maintenance ::Without ::Deadlock ::Ghandeharizadeh ::Stenoien 
Jaime::Kooi ::Lockemann ::Five ::575 ::Interfaces 
Minos::articles ::Ellman ::Dadam ::Adya ::Sushil 
Andler::Has ::Genesereth ::GOOD ::Wei ::Lu 
Stokrp::Ieong ::Completeness ::Flat ::Atzeni ::Sandeep 
Vassalos::Hasan ::Harandi ::Elmagarmid ::Proteus ::Sequences 
Ellman::3D ::Queries ::Jianguo ::Eliot ::Artur 
Prospector::Widoff ::Graphs ::Displays ::Yoshikawa ::Malcolm 
Soparkar::206 ::Egemen ::Elke ::Chang ::Ken 
SQL::Revisited ::Fagin ::219 ::103 ::Usage 
EXODUS::Letter ::Karvelis ::1988 ::Jr ::250 
12::557 ::Shekita ::Candan ::Backup ::Isabel 
Moerkotte::Work ::Transactions ::Deferred ::Freeman ::Grained 
Control::434 ::Beliefs ::Chopping ::F ::Mosfeq 
Udo::EUG ::Tschernko ::Upgrade ::title ::Eugene 
Visualization::Hypothetical ::Management ::Ricky ::Quass ::STRUDEL 
Samet::114 ::Jamison ::Trueblood ::Pat ::Jussi 
Unstructured::Harumi ::Stavros ::539 ::3D ::Arguable 
Correctness::Tallot ::Date ::Office ::Fukuda ::Change 
Sources::Mostly ::Defense ::Fatma ::Yoshinori ::Proteus 
Rahimi::Recursion ::Camps ::Arthur ::Salza ::Conceptual 
Seeded::Based ::Shenoy ::528 ::Berndtsson ::contra 
Haim::Tokens ::2001 ::Dieter ::Dengi ::Ulrike 
292::Ariel ::Dyson ::Theory ::Blakeley ::Amy 
Theo::Interoperable ::Art ::STRIP ::Melissa ::Kohler 
478::386 ::Sam ::from ::Prefetching ::Retrospective 
107::Seeded ::Jae ::ODBMS ::Jon ::69 
r::El ::Spyratos ::Up ::with ::258 
D::Form ::Degradations ::Metadatabase ::232 ::Pratap 
Harald::Kaizhong ::Ullman ::246 ::Beng ::Latha 
339::Beyond ::Where ::Mariagrazia ::Wendy ::Michel 
Materialized::Peter ::Luc ::InfoSleuth ::225 ::176 
Houtsma::559 ::Applicable ::Agenda ::QuickStore ::96 
Rules::462 ::Lamersdorf ::Ashish ::Crash ::414 
Rosenthal::Zaniolo ::Camps ::Earth ::Maryanski ::Theo 
Participants::Stphane ::Decompositions ::Jain ::Ghassan ::with 
Modelling::Infinite ::Divesh ::Chuan ::Skeen ::Trigger 
Sena::Mellin ::Erich ::134 ::Kuan ::393 
Nita::Value ::Bergamaschi ::oriented ::Shrira ::Simon 
130::Montage ::Harumi ::418 ::Isabel ::SEMCOG 
Platforms::Copeland ::Energy ::Bibliography ::F ::Files 
Werner::Zou ::Lorentzos ::403 ::Concurrent ::80 
Florescu::A ::Roussopoulos ::Digital ::Jay ::Alphanumeric 
Trigger::Client ::423 ::Beat ::Narang ::Reference 
Andrzej::Michel ::Ricardo ::Sean ::Modules ::Manish 
Transition::Persistent ::Large ::Quiescing ::Culler ::Rahm 
Teorey::using ::Fred ::Agents ::307 ::Berchtold 
Asserting::McClatchey ::Abstract ::Breiteneder ::Written ::Synthetic 
SMP::Ullman ::OLE ::Beach ::Guidelines ::Darling 
Box::Shalom ::270 ::Luef ::Comments ::dimensional 
Standardization::Tomasic ::driven ::Dina ::Observing ::Groupware 
Goh::Jerrold ::Chee ::Change ::418 ::295 
Louis::Berchtold ::Z ::Design ::Quantified ::Industrial 
Dayal::Hoel ::Networked ::Interfaces ::Luc ::Automation 
Through::Integrated ::Realizing ::118 ::fu ::Gunter 
Waramahaputi::Dynamics ::Zurek ::Murphy ::Modeling ::Tork 
Workloads::zgr ::34 ::Multiprocessor ::Performance ::Simillion 
Use::Libkin ::Recovery ::Adali ::Goldner ::Interoperable 
Content::Allen ::Stefanovic ::441 ::Expert ::Issue 
Decomposing::Ebru ::Sheldon ::Tyler ::Anindya ::27 
with::Markowitz ::Techniques ::Willie ::183 ::233 
Dreyer::103 ::From ::Nikos ::Unpacking ::Beverly 
80::Csar ::oriented ::Extraction ::CICS ::Gupta 
Objectives::NP ::Yehoshua ::Garcia ::McGuinness ::Tannen 
Enhanced::Jay ::Basic ::Nguyen ::Document ::Benny 
Accessing::Gerd ::Specifications ::Schwarz ::252 ::Biskup 
Yu::318 ::Hayama ::Trees ::Crash ::Vitter 
Yahiko::Walt ::UDK ::Rmy ::Nural ::Based 
Atomicity::WHIPS ::Tam ::Lightweight ::Giansalvatore ::92 
Dirk::GENESYS ::Viviane ::Objects ::Rosana ::ke 
Suckow::119 ::Phil ::Ullman ::Tom ::International 
Alexandros::Date ::121 ::Donald ::Soloviev ::International 
Yue::Databases ::Rahimi ::Lotus ::Restrictions ::Qingshan 
Of::510 ::Pratt ::Systems ::Widom ::Continuous 
Relationships::Adya ::Wendy ::528 ::283 ::Satish 
Gung::Metrics ::Masses ::Stefano ::Paula ::Plateau 
Atkinson::Standard ::Evolving ::Iyer ::Assigning ::Riccardo 
Area::Indices ::Tallot ::Path ::University ::Real 
Reorganization::Luo ::Warehousing ::Access ::Didier ::through 
Estimation::Rishiyur ::Blott ::336 ::Yasushi ::Through 
Renner::Creation ::Jayant ::Mixed ::94 ::News 
416::Sagalowicz ::Tininini ::Four ::tolerant ::Hierarchy 
Editorial::Media ::Response ::Integrating ::Skew ::Bhargava 
Lorentzos::Schrefl ::Source ::404 ::Dewan ::Walch 
Outer::Harald ::King ::Combining ::Enterprise ::Bombay 
Gyssens::attribute ::435 ::Kristin ::CAD ::Mitschang 
428::Peter ::Stuckey ::Manifesto ::Gary ::412 
Karthikeyan::Comments ::Scientific ::Weihl ::Willie ::Proposed 
Dekeyser::Doan ::Fox ::Tufte ::Henk ::75 
Out::Carsten ::Vasilis ::adaptive ::Cody ::ARCS 
Achitecture::Bernstein ::Inverted ::Answering ::Silvano ::Deductive 
197::134 ::using ::Religious ::Kshitij ::Information 
423::287 ::Selectivity ::Checking ::Umesh ::Adya 
245::Sheldon ::M ::Effectiveness ::Street ::Efficiently 
Hashing::Between ::Donald ::Ooi ::517 ::Trobe 
Ko::Independence ::Ramesh ::353 ::Wiener ::Hierarchy 
Expensive::Future ::Krithi ::Processor ::Cocktail ::Level 
480::Barinderpal ::Five ::Han ::Marti ::Jordan 
Li::Val ::Mosh ::Fixing ::Guozhu ::Composite 
Rivero::Tork ::474 ::Recursive ::507 ::Ilsoo 
Curry::Jerrold ::Craig ::Mitschang ::247 ::Mancuhan 
389::Cai ::ODE ::Walker ::Digital ::Lionel 
Rowe::Value ::McLoughlin ::Resolution ::Claire ::OOPSLA 
Generating::zden ::Itemset ::Colin ::Fraternali ::for 
El::42 ::Lon ::Relationship ::Kline ::134 
Pirahesh::WWW ::Zaharioudakis ::Eftring ::Postgres ::Sycara 
Kabra::42 ::Weinberger ::Snapshot ::Dhaval ::Timos 
Restrictions::Variant ::Steinbrunn ::Klug ::Sophie ::Shum 
Gale::Gale ::Disjunctive ::Jensen ::Arvola ::Trees 
Stamos::Narang ::Algorithms ::Problems ::Rosneblatt ::Mecca 
Recursive::Kang ::Kotagiri ::Another ::Rebuilds ::Siegel 
Simillion::Kamel ::Sumit ::Widmayer ::Paredaens ::568 
Sean::280 ::Keishi ::Air ::Chief ::Laurent 
Claire::Bressan ::DIRECT ::Schwarz ::Pernici ::477 
Systems::Terranova ::Everthing ::TCP ::Betty ::78 
Differential::Pozzi ::Donjerkovic ::Path ::Birgitta ::Computations 
Characteristics::Fault ::Manifesto ::Online ::115 ::Alternative 
539::Beyond ::Borras ::Jon ::Clements ::Rowe 
Rakow::Sakti ::240 ::164 ::Satellite ::Victor 
21st::Wechsler ::Pissinou ::Partitioned ::Extracting ::Muntz 
Dependence::Hypertext ::Sequence ::Ganapathi ::Hide ::88 
Approaches::Platforms ::Science ::USL ::Merging ::Roth 
Type::Protocol ::Rakow ::Effectiveness ::Interaction ::Schmidt 
Thanisch::Fernandez ::DEVise ::Key ::403 ::549 
177::Gordon ::Harry ::Buffers ::Predicting ::Gelernter 
62::61 ::McClatchey ::Spyratos ::Sandra ::Colette 
Khoa::Nado ::Enforce ::106 ::Tuning ::Kashyap 
System::Gook ::111 ::231 ::326 ::Source 
Jae::authors ::Ebru ::Sheldon ::Rene ::Prospector 
Refresh::Nabil ::Kornacker ::Sushil ::Local ::Language 
Zdonik::Kriegel ::Heytens ::Audit ::Don ::Histograms 
Christophides::The ::Gibbons ::Yoshikawa ::Houtsma ::Combining 
Windows::ACM ::Goldberg ::Kevin ::Vipin ::Tolerance 
178::Blanken ::OGDI ::Agents ::Min ::Funding 
MINOS::Assisted ::406 ::Extension ::Transfers ::Properties 
Val::Roberto ::Future ::meet ::Pletch ::CSA 
Ado::Workaholics ::Sevcik ::Kosmas ::Motakis ::IMPRESS 
Franoise::Li ::Kosmas ::Tomasic ::Jonas ::Averbuch 
Ailamaki::Interfaces ::Remote ::tolerant ::Set ::Computations 
Schiefer::Stole ::Nothing ::197 ::545 ::Medeiros 
Telecommunications::Services ::Tanin ::Recurrent ::Guy ::251 
Semantic::Workflow ::Adding ::language ::Sun ::Control 
314::Joosten ::Raschid ::RDBMS ::474 ::Divesh 
Higher::Rahimi ::Sundaresan ::Computers ::Sophie ::Mitchell 
End::Perry ::Luther ::Manfred ::Bushy ::Rene 
Remzi::Rates ::Grossman ::Garcia ::Frederick ::Luther 
Stphane::381 ::Optimizer ::Walch ::Wilcox ::22 
Dietrich::Jones ::Matias ::Ling ::STRIP ::194 
TODS::Molina ::Umeshwar ::They ::Stef ::Triggers 
Syntax::Multidatabases ::Christophe ::Jean ::Guido ::Riekert 
Nimrod::559 ::208 ::29 ::Remzi ::Trickey 
Sacks::Nelson ::Availability ::GUI ::Guangshun ::Minyoung 
Eui::Kerschberg ::Xiangyu ::234 ::Joins ::Alex 
Lawande::SBBD ::Theo ::oriented ::Amouroux ::Fowler 
Remzi::SEQUOIA ::Deleting ::Gehrke ::Shutdown ::Ramasamy 
Bozkaya::Industrial ::131 ::Characteristics ::Multiversion ::Unified 
Wall::Objectivity ::Chi ::Practical ::ACM ::Ballinger 
Arjan::Bryce ::Storage ::und ::Assisted ::Validation 
Chim::Anil ::Gnther ::File ::Tannen ::Conrad 
Burger::Inc ::Brigitte ::Jeffrey ::243 ::Dewan 
Basic::SBBD ::Source ::McKay ::Entity ::Actions 
Semantics::Stepwise ::441 ::TSQL2 ::Chirn ::319 
Mosh::volume ::Hypertext ::178 ::109 ::Robert 
Christophides::Xiaolei ::Charles ::Wilms ::Market ::Mohammad 
Infrastructure::Chen ::Digital ::It ::Schuble ::Cheng 
Zirm::Versioning ::Tolga ::Mendelzon ::Scheme ::Rapid 
Ghemawat::Handling ::176 ::Module ::OASIS ::Baden 
Machines::Simmen ::79 ::Anupam ::Marvin ::263 
Valduriez::Bhavani ::Testing ::Georg ::4 ::369 
Conrad::Kowarschick ::Gottfried ::Problem ::Kolodner ::Structural 
Enterprise::Approaches ::Shalom ::48 ::Programs ::Tansel 
Miguel::Referential ::Baader ::37 ::Karypis ::2001 
Tuning::Levy ::Wong ::284 ::Four ::DeMichiel 
51::non ::Pipelined ::Merge ::54 ::Range 
Beng::Brick ::Devolution ::Marek ::Siegel ::Materialization 
380::Levine ::Perspective ::Documents ::Trade ::Arnon 
Wenger::Template ::Weihl ::Qualitative ::Panel ::MENTOR 
Weienfels::BIRCH ::Kapitskaia ::Krll ::DBA ::Gad 
Clark::Limsoon ::G ::Upon ::69 ::Paraboschi 
Resource::Ulusoy ::Agents ::Their ::Averbuch ::Finally 
Recovery::Site ::ANSI ::Manipulating ::Jonsson ::Assessment 
Neil::Pages ::Explanation ::Abdullah ::Imielinski ::Normal 
Wm::Breunig ::San ::Role ::Writes ::Lazowska 
Girish::Platforms ::Distribution ::Claude ::Through ::MMDBS 
Navin::Silberschatz ::Knoblock ::relations ::Kotidis ::Karen 
Recurrent::Brad ::205 ::ObjectStore ::Negotiation ::Katz 
Panagos::Database ::Son ::Merge ::Reuter ::Colby 
Gregory::176 ::Waramahaputi ::Wendy ::Basket ::Katayama 
Ulusoy::Funkhouser ::Oliver ::Improved ::OLE ::Bitton 
Kyoji::Keishi ::Hypothetical ::Frameworks ::Masaru ::Inverted 
Marcel::Of ::Robert ::293 ::Geophysical ::Concepts 
Sudhir::Ilker ::382 ::Deleting ::Realtime ::Browsing 
Modification::Chair ::Objects ::Hypertext ::Mariposa ::Functional 
Documents::Colliat ::Scientist ::SMP ::208 ::Brown 
Next::512 ::Agent ::Billion ::Bandwagon ::97 
Rafael::Principles ::Kooi ::ACT ::Miguel ::site 
Personal::Integrating ::Wilhelm ::Rabinovich ::Ghassan ::Special 
Yates::Extraction ::115 ::Alonso ::Helland ::Wayne 
73::Swarup ::Raju ::Fragments ::Jrgen ::Ozkan 
91::Cardenas ::Massively ::Shan ::Nichols ::Zaane 
Jaideep::Sundaresan ::Towards ::Gives ::Scholl ::Andree 
Yasuhiko::Sequence ::Centre ::OASIS ::Alexander ::Recursive 
Meets::Cem ::Process ::Efficiently ::Massively ::Carlo 
Event::Hugo ::Altintas ::Modify ::Erik ::Pernul 
Achitecture::XSB ::Experiences ::Bharat ::Bamford ::Active 
Yibei::Gook ::Kornacker ::Spotfire ::MINOS ::Darrell 
Abstract::Earl ::Where ::Kam ::Segev ::Hppler 
Annotating::Push ::Cluet ::Rundensteiner ::Graefe ::571 
Participants::Minos ::Clements ::554 ::Schemes ::402 
articles::Properties ::Radek ::Their ::Defined ::503 
Process::Data ::Chair ::Adya ::Craig ::Disjunctions 
Cetin::Naveen ::Cruz ::Nimrod ::II ::326 
Datenbases::Audit ::16 ::Algorithms ::Interface ::Mason 
Meyer::Abdullah ::Mitch ::Jeffrey ::X ::497 
Alexander::Wilcox ::Grained ::Bayardo ::Timeliness ::Kulkarni 
Roddick::Funkhouser ::Multidatabase ::250 ::Protocols ::Wilms 
to::Reclustering ::Quantifier ::Striping ::233 ::Jochen 
Chaudhuri::184 ::Outs ::Pires ::Among ::13th 
Tian::Hampapur ::Hallmark ::Hide ::Computing ::Sarathy 
454::Iakovos ::Guangshun ::CODASYL ::Profiles ::Mult 
Features::Shane ::Searching ::Woelk ::Logging ::47 
Breiteneder::Ley ::Wright ::170 ::Relationship ::Sou 
Yoshinori::Utilizing ::182 ::87 ::Oliver ::ADS 
Everthing::62 ::337 ::347 ::Trees ::Concurrent 
Determinism::Displays ::Glossary ::Garbage ::Laursen ::CSA 
402::Response ::Lothar ::Principles ::Arnon ::Webb 
Tansel::Navin ::Desai ::Semantic ::r ::Leonard 
Specifications::Raschid ::Condition ::Hrder ::Similarity ::Capabilities 
Ellman::Writes ::Therber ::Sang ::Cardenas ::Collection 
473::Sou ::53 ::Cardinaels ::Clustering ::Jonathan 
Gadi::Reminiscences ::Cercone ::Services ::Merge ::Knowledge 
Gerhard::Complete ::Bruns ::Delisle ::Ashish ::Intelligent 
of::Tansel ::Snodgrass ::Cache ::Maurizio ::258 
29::Warehouse ::387 ::L ::Postgres ::Sophie 
Shekita::Clements ::Limsoon ::Convent ::Omiecinski ::ETH 
Take::NSF ::Transformation ::Alexander ::Concurrency ::Erik 
Delcambre::Leonid ::Optimistic ::DARPA ::234 ::Passing 
Estimation::21st ::Copeland ::Series ::Omran ::Cocktail 
Lam::Smith ::Servers ::Restrictions ::tree ::Suzanne 
Arun::Mlle ::Beyond ::555 ::486 ::SBBD 
wish::Indices ::Yun ::Sarda ::Gupta ::Trees 
Maryanski::Maindreville ::Sagiv ::Disjunction ::Clement ::Megiddo 
513::482 ::Moira ::Visualisation ::Meaning ::Nancy 
Dar::Support ::Defined ::417 ::Clustering ::Sampling 
Infrastructure::Previews ::Cruz ::Myllymaki ::Vincini ::Christos 
Geo::Sengupta ::Ada ::Stanford ::75 ::Conceptual 
Crossroads::Module ::Decomposition ::Strategy ::yiu ::Joseph 
General::relational ::Disambiguation ::Disjunctions ::491 ::Keitel 
Inheritance::Atul ::Gallagher ::Poyet ::Codes ::WWW 
Musukula::Ahmed ::Finkelstein ::Relationship ::Ballinger ::Paul 
Toward::Sagiv ::462 ::271 ::Time ::Mining 
ASSET::Ishwar ::Stef ::Haradhvala ::Hellerstein ::Said 
325::Processor ::B+trees ::Berg ::Ley ::E 
Pirahesh::Assisted ::Phillip ::Maurizio ::Administration ::Is 
Hrder::Databases ::MENTOR ::Anindya ::35 ::Huffman 
Muth::Merialdo ::non ::Errors ::4 ::1993 
Good::Progress ::Nutt ::Winfried ::Kotz ::Beigel 
Dietterich::Miguel ::347 ::DBMSs ::Rates ::Schmidt 
Hendrikx::543 ::Howard ::McAuliffe ::320 ::Bombay 
Characteristics::Toward ::Good ::Kyoji ::Finkelstein ::al 
Gray::Icons ::173 ::Tom ::Spyros ::Achitecture 
Knox::Activities ::18 ::Remote ::Thomas ::85 
Descollonges::EXODUS ::Dar ::Leonid ::Asgarian ::Relly 
contra::Nag ::Two ::Kam ::Zurek ::Gal 
One::Roussopoulos ::WORM ::Ni ::392 ::557 
402::Jagadish ::Records ::Chaudhuri ::Challenge ::Hayama 
Rastogi::Jaime ::issues ::Upon ::Do ::Mapping 
Optimizers::Multisafe ::Path ::Primitive ::Andersen ::Quass 
Uniform::311 ::Munindar ::47 ::Top ::Computing 
Reduction::Croft ::Gemis ::Secure ::Assessment ::4th 
title::Taosong ::Csar ::Ugur ::Atomicity ::Spotfire 
Segev::Oded ::Organization ::Caching ::Azer ::Per 
Going::Transfers ::Harald ::Static ::Services ::359 
70::Engine ::Praveen ::Maxine ::Kazuhiko ::380 
Vertical::Kasi ::Merialdo ::Production ::Odysseas ::Levine 
Pull::Influential ::Bjrn ::For ::Chair ::Shea 
Schlageter::Extending ::Gook ::Zeleznikow ::Activity ::Adya 
Descollonges::Invitational ::Shared ::VideoAnywhere ::Peng ::Multiprocessor 
SigmodRecord::Collection ::Georges ::Ceri ::Conjuction ::Thanisch 
Moerkotte::339 ::Take ::Suzanne ::ASSET ::Views 
182::Toolbox ::Faloutsos ::Optimized ::Simulation ::Manager 
Generalized::Mok ::Enough ::Flix ::Yang ::Kemper 
CapBasED::line ::Schema ::Ishwar ::Flynn ::Suppletment 
Challenges::Extension ::Stenoien ::Odysseas ::506 ::Benny 
MLR::Bing ::Pipelined ::Hirata ::Tom ::Rishiyur 
Optimizer::over ::Labio ::Stamos ::Chirn ::ARIADNE 
Carl::Dekeyser ::Without ::Braunmller ::Extensions ::Stef 
Alperin::Easy ::Takashi ::Tomasz ::Using ::Conflict 
OASIS::ZOO ::329 ::Transformation ::Candan ::Requirements 
language::7 ::Klusch ::Fred ::1999 ::Antonia 
Narain::Wright ::Capabilities ::Mannino ::Audit ::Language 
Executions::For ::Attributes ::McLoughlin ::Yuping ::Mining 
Bandwagon::Sevcik ::Scalability ::Markos ::Valduriez ::Sizes 
305::Bhashyam ::Ramirez ::575 ::Plaisant ::Huffman 
Comparison::Lehman ::Weikum ::Pirahesh ::Cammarata ::62 
Bulk::Revisiting ::vendor ::Brice ::Salvatore ::Lists 
Progress::Vaskevitch ::any ::Workflow ::Lee ::283 
381::Workloads ::N ::Sushil ::Angelika ::118 
Buchmann::Optimal ::Gale ::508 ::V ::System 
Cube::Effectiveness ::Witold ::MEDUSA ::USL ::Complex 
SONAR::Disambiguation ::SEMCOG ::Project ::Extracting ::Carl 
Svetlozar::318 ::Raghu ::Christian ::Merrett ::Soparkar 
Joseph::Extendeing ::Flokstra ::Krzysztof ::Jajodia ::465 
Hartson::Anita ::Woodruff ::273 ::Correlations ::Srikant 
35::Liskov ::Indexes ::Search ::Hrder ::Phatak 
McHugh::378 ::Jason ::MENTOR ::von ::Striping 
Wedekind::re ::into ::Yasushi ::Nick ::Made 
Zaniolo::Link ::Papakonstantinou ::Resistant ::Form ::Ramez 
Penalty::Computing ::Webb ::Chaudhary ::Jessie ::Supporting 
Maurice::Dependencies ::Ghosh ::Han ::Sizes ::Distance 
Musukula::Loading ::Erratum ::Beat ::Bukhres ::Rolker 
Sharon::Five ::Petterson ::Inge ::12 ::Cache 
Knowledgeable::Efficient ::Houtsma ::ARIES ::275 ::441 
Alexander::Mayford ::Sandeep ::Held ::CapBasED ::Brodie 
Ramakrishnan::Where ::Helal ::Udo ::Errors ::Yun 
Guozhu::Called ::Berson ::Gehani ::Ahlberg ::Jyh 
Nodine::Wedekind ::Do ::Optimizer ::Doppelhammer ::Point 
Dayal::OGDI ::Editorial ::Cruz ::Chiang ::Codes 
Loss::Tolerance ::468 ::MOSAICO ::Gorelik ::Kfer 
Report::Roussopoulos ::Brian ::Narain ::title ::Shapiro 
Heuristic::Dimensional ::A ::Miller ::356 ::Frew 
Alternative::Activity ::GEM ::trees ::Kuo ::Shin 
TCP::den ::Atomicity ::Rona ::516 ::zhan 
Wasserman::Mosh ::Gehani ::Ricardo ::Interval ::493 
474::Silberschatz ::Extendible ::Rivero ::Katz ::SEMCOG 
Johnson::Chim ::Geospatial ::Dina ::Rowe ::High 
Worst::Kabra ::ITASCA ::Tan ::69 ::Size 
Partition::529 ::Taosong ::Marian ::235 ::Derived 
Selectivity::56 ::Conceptual ::We ::Linkage ::MultiView 
Bennet::Work ::160 ::Miguel ::Shasha ::Databases 
Klauser::UNIX ::Composite ::Yves ::97 ::Goodman 
Deferred::Cost ::Workstations ::Mason ::Dao ::Fukuda 
Interval::412 ::Sushil ::Wesley ::341 ::452 
Scheme::63 ::Windows ::Enough ::Commit ::Mishra 
Protocols::Korn ::Sudarshan ::439 ::Compression ::103 
S3::Ailamaki ::Prasadram ::With ::Kuno ::Lindsay 
Shahram::Downing ::Guidance ::Arbee ::Much ::414 
Botnich::1951 ::Gibbs ::site ::Mario ::Dietterich 
Functional::Mema ::Ron ::MMDBS ::Years ::Sycara 
Antonio::DBSim ::Doherty ::Jrg ::Mauricio ::STRUDEL 
Donald::Bruno ::Zoerntlein ::Tininini ::Speech ::Crisis 
Why::Burger ::Datasets ::Classroom ::Prasadram ::Bry 
Storage::Kapitskaia ::Korth ::Formal ::139 ::ISS 
Neuhold::L ::61 ::Cammarata ::380 ::Pedagogic 
SMP::Semi ::Updating ::Josef ::Chinya ::9 
242::Inge ::Dusseau ::Piatko ::Yang ::Complex 
Partial::B+trees ::52 ::Task ::388 ::Winslett 
Ni::High ::Chinya ::Computing ::Strssler ::Comments 
289::148 ::Thanasis ::Update ::Lougenia ::536 
Kline::Abraham ::Bltzingsloewen ::Practical ::Bancilhon ::Bill 
Extensions::John ::Agent ::Deadlock ::Database ::Ieong 
Stuckey::Penalty ::Lehman ::Push ::Yehoshua ::Hearst 
Nikos::Rakow ::Grosky ::Multi ::Schrader ::Scott 
Kotz::Bohrer ::tree ::Evaluating ::Mariano ::Optimality 
379::Coherency ::122 ::Anita ::Materialization ::Agigdor 
B::Lip ::ARTDB ::Access ::Kim ::Braunmller 
Nolan::Dreyer ::453 ::Parity ::Order ::Practice 
AlphaSort::520 ::Aggregation ::ke ::Nicolas ::Larson 
Types::Heytens ::Clustering ::DataBlade ::Zdonik ::Shelly 
324::Conjuction ::31 ::204 ::13 ::Tova 
Manola::Val ::Therber ::Gang ::Neil ::Bressan 
Neil::Zobel ::Dusseau ::Evrendilek ::Pinar ::Konrad 
Progress::Grammar ::Command ::Annie ::Server ::Leonid 
Placement::97 ::SQL ::DBLearn ::Century ::Mick 
HPCC::Going ::New ::Graphical ::9 ::ITASCA 
Asit::Chomicki ::Change ::Harinarayan ::Aris ::Networked 
VLDB::Transaction ::March ::Konstantinos ::Lynn ::Evaluation 
Air::Lawrence ::QuickStore ::Ricardo ::427 ::288 
250::ITRI ::Keim ::Trueblood ::Record ::Moerkotte 
Interaction::ISS ::Delaunay ::DBMSs ::Universal ::Workshop 
Hampapur::326 ::Keng ::Intensive ::Project ::Rules 
authors::209 ::Nestorov ::Latha ::Variant ::Optimization 
Wendy::Sou ::Gang ::Zurich ::Control ::Wolf 
Metadata::Separately ::Perspective ::547 ::wish ::Inegration 
MDM::Investigation ::Fabio ::38 ::Justin ::WHIPS 
Redundant::282 ::Vista ::versionControl ::Despina ::Kupiec 
Popova::Cubetree ::Sizes ::Meaning ::Inheritance ::355 
Shiri::Labio ::3D ::Donko ::Cole ::Transfers 
Sean::Monash ::Van ::Dimitrios ::71 ::Modelling 
430::Harandi ::to ::Tuning ::Zurich ::New 
Lougenia::85 ::FaceKit ::Tiziana ::Writes ::Hung 
Kowarschick::Franois ::25 ::Derived ::79 ::Griffin 
Deductive::Karthikeyan ::Douglas ::Edgar ::Patricia ::Keishi 
Recursion::Hayama ::Osmar ::Qin ::Marron ::166 
Sibel::Unstructured ::Arizona ::119 ::Satellite ::Vincini 
Urban::71 ::Gnther ::Type ::DBA ::Roussopoulos 
Tolerance::Arjan ::Bruce ::Chaudhuri ::O ::193 
Borgida::Weienfels ::Systems ::Matching ::Hans ::Mehdi 
Executive::Oliver ::Said ::STARTS ::Clifford ::Castro 
Meltzer::Converting ::DataBlade ::Gonzalo ::Amihai ::Gerlinde 
Abstract::Olga ::Multimedia ::Duri ::Harry ::Dimitrios 
Testing::Mannino ::506 ::Lehman ::Hbel ::Data 
C::Recursion ::Consensus ::Nolan ::Thanisch ::Toolkit 
Sites::Lipski ::a ::Vassalos ::Cohen ::Finally 
Won::Kamalakar ::Distributor ::Vassilis ::408 ::Ad 
Fatma::Computer ::Passing ::16 ::an ::Troyer 
Osmar::Dan ::Range ::Budak ::Edward ::Processor 
Stefano::time ::Kuck ::161 ::Aziz ::ASSET 
Altinel::Toward ::Hung ::Chomicki ::Datalog ::Academic 
Alan::Wilburt ::Chuan ::Klein ::Katz ::Rahimi 
Morimoto::Dar ::Tetelbaum ::Practice ::Commentary ::Web 
Sibel::Rozenshtein ::Entity ::Hirata ::Claire ::GlOSS 
Dogac::423 ::Juergen ::Closing ::Improve ::Saxton 
Galindo::ASSET ::Rosneblatt ::Computations ::Good ::SR 
