::Rates ::Kocharekar ::Ralf ::Local 
::Navathe ::Chaudhuri ::NTHU ::It 
::GEM ::439 ::Eui ::Expressions 
::Christos ::Janus ::Chirn ::Queens 
::Spaces ::Kilov ::263 ::Divyakant 
::265 ::COSS ::Rebuilds ::Flip 
::218 ::MYRIAD ::Nutt ::Merrett 
::Orientation ::Wedekind ::Article ::Baden 
::Tamer ::329 ::173 ::Ramamohanarao 
::SPARC ::Roussopoulos ::Joachim ::Through 
::Frameworks ::Extended ::Exploration ::Ahmed 
::Xiong ::Ailamaki ::ANSI ::Alperin 
::Widom ::Wells ::Tei ::Variant 
::Zarka ::Reduction ::MultiView ::Per 
::Cai ::Efficiently ::Hypertabular ::DEC 
::Inc ::Marc ::356 ::74 
::Sudarshan ::Kuck ::Eui ::Scans 
::Smith ::Koudas ::Mecca ::Bombay 
::400 ::Language ::Trees ::173 
::Ugur ::153 ::Winds ::Annotated 
::DIPS ::Convent ::Determinism ::Turau 
::Metadata ::Antonia ::Not ::Sundaresan 
::Woolf ::Zhuge ::Active ::Giuseppe 
::Xiaolei ::NTHU ::Extension ::Template 
::Papoulis ::255 ::Providing ::Gogolla 
::196 ::Stole ::Cichocki ::580 
::Anant ::Papazoglou ::Dependencies ::DeMichiel 
::Muth ::165 ::Image ::Mediratta 
::Khedkar ::Cole ::Hierarchically ::Dimitra 
::non ::Correlations ::23 ::Asgarian 
::Donald ::Abstraction ::Teradata ::Arbee 
::Suryanarayana ::Oki ::Qingshan ::Breitbart 
::Suciu ::Role ::Crash ::Melissa 
::James ::4 ::Garnett ::Deppe 
::Loss ::Characteristics ::Cherniack ::64 
::Manolopoulos ::Area ::Cooperation ::Kincade 
::Jrg ::Krzysztof ::Dreyer ::Hussein 
::Inegration ::292 ::Young ::Hansson 
::267 ::Invitational ::358 ::Finally 
::Bernard ::Deleting ::Gebhardt ::Raschid 
::zgr ::Shared ::Rona ::Babis 
::Atomicity ::Execution ::509 ::Dirk 
::N ::Approach ::Buff ::Jean 
::Dirk ::Prasad ::Multiversion ::Hoel 
::Alexandros ::Note ::Creation ::Ramana 
::Swarup ::531 ::Plaisant ::Maintaining 
::BCNF ::Chou ::Shmueli ::Implementation 
::Approach ::Sharing ::Gerlhof ::Array 
::Liuba ::Right ::Languages ::Despina 
::Winslett ::Chih ::Agigdor ::Georges 
::Optical ::308 ::Garlic ::Wilhelm 
::Real ::s ::458 ::480 
::Simon ::Scaleable ::Bernhard ::Unstructured 
::Computer ::Rundensteiner ::Cai ::Sundaresan 
::Papakonstantinou ::Religious ::Michel ::over 
::Multi ::Representation ::Trade ::92 
::Append ::Minos ::283 ::Eric 
::Standard ::Views ::Replicated ::Nematollaah 
::Thuraisingham ::Downing ::Mapping ::Kao 
::Mackert ::Optical ::Integrating ::Ingres 
::OLAP ::Review ::399 ::Anant 
::Katia ::Sena ::Arnold ::Telecommunications 
::Thinksheet ::Are ::Matchmaking ::Interface 
::Kiyoki ::Wodtke ::Martin ::Agenda 
::Browsing ::Nesting ::Attribute ::Keng 
::Paskin ::Class ::Dale ::Paredaens 
::Ramez ::Mendona ::Generalized ::Val 
::511 ::265 ::Adelberg ::Machiavelli 
::559 ::Semantic ::Unruh ::Moscarini 
::Meltzer ::Chawathe ::Interactive ::383 
::a ::Kao ::Earl ::Extendible 
::Edgar ::Charles ::Utilization ::Tsong 
::Bertino ::Combining ::Abel ::45 
::Ghandeharizadeh ::Attributes ::Martin ::versionControl 
::Xiaoyang ::article ::Milo ::Snodgrass 
::Matchmaking ::Impact ::Hoel ::ichi 
::365 ::339 ::Mohamed ::Feedback 
::Heytens ::non ::Unstructured ::143 
::Mostly ::Modelling ::Laursen ::Claims 
::Machlin ::Triggers ::ITRI ::New 
::Goodman ::Brodie ::Wells ::Arie 
::532 ::Documents ::Cercone ::Structure 
::Legat ::Tsur ::Chang ::Vassalos 
::Unnikrishnan ::40 ::Pozzi ::Bayardo 
::MMDBS ::231 ::Contents ::Nan 
::Anderson ::Adya ::399 ::Security 
::Multiversion ::Association ::Furtado ::Interpreted 
::Buffer ::Khoa ::Geospatial ::Baden 
::Myers ::Red ::Tuning ::308 
::Mackert ::47 ::Raghu ::Hung 
::site ::Sripada ::524 ::Logical 
::Roark ::OODBMS ::Method ::264 
::135 ::Experience ::Datalog ::Christophides 
::Xiangyu ::Invitational ::Errors ::Alistair 
::Mikael ::27 ::486 ::258 
::Francine ::Lorentzos ::Geographic ::Commentary 
::Expressions ::Sidell ::Metadatabase ::Bruns 
::Leung ::Kamalakar ::Placement ::order 
::Dynamics ::Quass ::SIM ::Execution 
::Matthias ::Correctness ::196 ::Coherency 
::Baden ::Ptool ::Baskets ::Qualitative 
::Shaul ::Module ::Jorge ::Clements 
::Fundamental ::Nenad ::Control ::Kyoji 
::Ambuj ::275 ::Domain ::467 
::Multiversioning ::Shahram ::Participants ::Files 
::Chuan ::Base ::Levy ::Korn 
::XSB ::Qaimari ::Culler ::Among 
::DeeDS ::Bruce ::Viewpoint ::Nesting 
::Dependencies ::214 ::Krishna ::FZI 
::Scientific ::Architecture ::Multisafe ::Assisted 
::Klusch ::356 ::Publication ::Models 
::Shrira ::Spyratos ::Shashi ::Sarda 
::206 ::Haim ::1994 ::Bolour 
::Implications ::94 ::271 ::148 
::Reclustering ::Kwei ::Quasi ::Buffers 
::94 ::Brachman ::Resistant ::End 
::contra ::Lam ::173 ::Dale 
::Erbe ::218 ::Rdb ::Yves 
::104 ::zhan ::Peng ::IDEA 
::Manolis ::Nestorov ::Paul ::Satellite 
::Patel ::Suciu ::Disc ::Brodsky 
::Tree ::Hanson ::Properties ::Search 
::Fry ::Metadatabase ::62 ::Queens 
::Recent ::336 ::Prefetching ::Event 
::265 ::Stenoien ::Tajima ::DDT 
::Chairman ::Specification ::TCP ::Yangarber 
::Weienfels ::Clements ::4th ::Chang 
::Lionel ::Chi ::516 ::Mema 
::Cardenas ::Annie ::Architecture ::is 
::Phil ::Segment ::Jorge ::Vander 
::Centre ::Dynamic ::Arturo ::MENTOR 
::Mohan ::Beigel ::Environmental ::METU 
::70 ::Quickly ::Jean ::324 
::161 ::Mema ::46 ::Enforce 
::Andrea ::Paris ::Kumar ::176 
::326 ::Levine ::Stokrp ::Darwen 
::Artur ::Terrance ::Tree ::zsu 
::Gives ::Warkentyne ::Manfred ::Assurance 
::Kamel ::Cevdet ::Dewan ::article 
::Bertram ::Writes ::305 ::Hot 
::Bigelow ::Tan ::27 ::Masatoshi 
::Bushy ::Ganapathi ::Hrder ::Notions 
::Brunie ::Soumitra ::Tien ::Packer 
::Alperin ::Multidimensional ::Tom ::Salvatore 
::CAD ::Statement ::62 ::325 
::Simmen ::275 ::Jay ::Tsatalos 
::Quickly ::Alistair ::Parity ::Structure 
::NonStop ::Babis ::39 ::Area 
::OOPSLA ::Porter ::Materialization ::Treasurer 
::Shelly ::Flokstra ::527 ::459 
::Ishwar ::Status ::478 ::Malkemus 
::Shalom ::Rosenthal ::Concerning ::Free 
::Heuristic ::Wahab ::205 ::224 
::Spatial ::Webb ::Badrinath ::Moss 
::among ::36 ::La ::Kanellakis 
::Han ::Randy ::575 ::COntext 
::Partitioning ::235 ::386 ::Davood 
::Kotz ::AI ::Zaane ::HG 
::Madnick ::IM ::Inserting ::et 
::DBSim ::Wiederhold ::Keller ::1951 
::RAID5 ::Choo ::Smith ::Robertson 
::language ::Standards ::Divesh ::Milo 
::Asserting ::John ::427 ::416 
::Standardization ::397 ::Kohler ::235 
::Vaskevitch ::Pissinou ::491 ::Masatoshi 
::Command ::Procedures ::Jeffers ::Commercial 
::272 ::Hanan ::Arne ::Arturo 
::Delayed ::Shekita ::Motwani ::Ulla 
::Mackay ::294 ::Images ::Yannis 
::461 ::Remotely ::Tsotras ::Principles 
::Breitbart ::Gonzalo ::Ling ::Proteus 
::IPSI ::92 ::fu ::Suppletment 
::Summary ::Heap ::MENTOR ::Proposal 
::Treasurer ::427 ::Ramanathan ::Expressions 
::575 ::Rona ::297 ::Amr 
::Back ::Lifestreams ::Reduction ::Network 
::Tony ::161 ::Despina ::Cubetree 
::Extensible ::Fugini ::Nodine ::418 
::Merialdo ::Binto ::Anonymous ::Treasurer 
::Badrinath ::Patterson ::Flaws ::Georgakopoulos 
::Air ::Mason ::Forte ::Kocharekar 
::121 ::Himanshu ::Euthimios ::Walch 
::Mick ::209 ::Revisited ::Banu 
::QuickStore ::Keun ::Dhaval ::Goldner 
::Claude ::Power ::Domain ::ARIES 
::Set ::AMS ::Publication ::Viswanathan 
::ARIADNE ::Pratap ::Honeyman ::Budak 
::Through ::65 ::Mohammed ::Mining 
::Kuck ::Apparatus ::1951 ::Beliefs 
::Queens ::Scaleable ::Abdelsalam ::SMP 
::45 ::69 ::sets ::Yannis 
::Ra ::Mobile ::Prakash ::Grandi 
::MLR ::Lum ::Manola ::Gung 
::Gallagher ::DBMS ::Complete ::194 
::Ching ::Aris ::Parallel ::Truszkowski 
::Translation ::Snodgrass ::Guidance ::Facilities 
::Declustering ::Volker ::Only ::Meltzer 
::Susan ::Marcus ::Gyssens ::Seeger 
::Divesh ::Numeric ::Managing ::Study 
::UDK ::Divyakant ::Mike ::First 
::Some ::Load ::166 ::462 
::Pirotte ::Commentary ::Papakonstantinou ::Michele 
::Concurrency ::Donko ::Randy ::Pedersen 
::Combinatorial ::Super ::Utilizing ::Open 
::CICS ::Tsatalos ::Multidimensional ::Marc 
::Barbara ::XPRS ::16 ::Jonas 
::Super ::Upgrade ::Stephanie ::trees 
::220 ::Between ::Malcolm ::377 
::Visual ::Must ::Lanzelotte ::Common 
::Rosana ::Kitsuregawa ::465 ::Marvin 
::Umeshwar ::Conrad ::Aggregate ::Shaul 
::tree ::Shu ::HG ::Good 
::Francine ::Media ::Wolfson ::Opportunities 
::Allan ::319 ::DAFTG ::Distance 
::Going ::Karen ::Capability ::de 
::Behaviour ::Neptune ::Claudia ::Barnes 
::Multiattribute ::Disambiguation ::Katia ::Akira 
::Shian ::Generalized ::Zorn ::160 
::formerly ::Concurrency ::Seligman ::Stemple 
::Skew ::36 ::Mostly ::DB 
::Persistence ::Abbadi ::Bltzingsloewen ::243 
::Lightweight ::Trade ::Study ::493 
::Karlapalem ::Kifer ::the ::Sandra 
::350 ::Dogac ::Answers ::Krishnan 
::Theodoulidis ::Gook ::Peter ::Karlapalem 
::contra ::Chin ::Marina ::Downing 
::Gilles ::Manager ::Datasets ::Sequence 
::r ::Atsushi ::Curt ::Priti 
::Brown ::Right ::Stphane ::Woodruff 
::Nichols ::Jim ::Achitecture ::Legaria 
::Sciore ::Lefler ::Applying ::Au 
::Cubetree ::Moore ::Mehdi ::Gawlick 
::207 ::60 ::Arbee ::New 
::Umeshwar ::Vipul ::394 ::Kamel 
::DeeDS ::331 ::Ramirez ::Office 
::Panel ::Hierarchy ::Krishna ::501 
::568 ::Inegration ::A ::Esther 
::Processor ::Ulla ::Universal ::Workbench 
::Block ::Takashi ::InfoSleuth ::News 
::Differential ::authors ::Yuksel ::171 
::Tallot ::Moira ::Experiencing ::Parallel 
::266 ::Values ::Riekert ::Rules 
::Lori ::113 ::Lomet ::Keishi 
::Multiversioning ::486 ::Abstract ::Ozkan 
::Luo ::Levine ::Manfred ::P 
::Sarathy ::Algebras ::Shasha ::Reorganization 
::Sharad ::title ::for ::Grasnickel 
::Nulls ::LORE ::Life ::East 
::Schemas ::Infrastructure ::technology ::Franklin 
::Gonzalo ::ARCS ::Andler ::Taube 
::Form ::Petterson ::Thinksheet ::Carrie 
::SQL3 ::284 ::407 ::Darrell 
::235 ::Cowley ::127 ::Approaches 
::Thuraisingham ::Jiawei ::Sinha ::311 
::Johannes ::Atsushi ::Davood ::through 
::Suryanarayana ::Client ::108 ::Cartesian 
::Bancilhon ::Crestana ::Krzysztof ::Tsangaris 
::OODBMS ::Mohammad ::Baden ::Sullivan 
::Rona ::NF2 ::Preface ::Modeling 
::Mandy ::Harumi ::Internet ::Teradata 
::505 ::465 ::Gerhard ::Kincade 
::V ::HPCC ::97 ::XSB 
::205 ::Arnon ::Johann ::Celis 
::Server ::Kent ::Unix ::Birgitta 
::to ::67 ::Bestavros ::Krzysztof 
::User ::509 ::Sengupta ::Improved 
::Nematollaah ::Predicates ::contra ::Dittrich 
::Gerald ::Theory ::Claire ::Tertiary 
::Prototype ::Proposed ::Syan ::Forms 
::Mrcio ::337 ::Ieong ::Accessing 
::Ceri ::Gnauer ::405 ::Mogi 
::400 ::Types ::Synthetic ::Juergen 
::Amr ::Laurent ::Krishnan ::Observing 
::Mackert ::575 ::Daniel ::Jajodia 
::Kuck ::Neuhold ::Degradations ::Kotagiri 
::Goyal ::Houtsma ::Chawathe ::Rates 
::Jan ::Jyh ::Wen ::Market 
::Leo ::Gnter ::Bombay ::Lori 
::493 ::McCarthy ::Adali ::Llirbat 
::Orthogonally ::368 ::1988 ::Helal 
::259 ::General ::Nested ::Burns 
::Elisa ::Ramesh ::Abdel ::527 
::Read ::289 ::Hans ::Choo 
::Upgrade ::Prototype ::Swarup ::ASSET 
::14 ::Ahlberg ::Arun ::Gonzalo 
::174 ::Rabinovich ::106 ::44 
::Dao ::Optimal ::Tsur ::147 
::ichi ::Lightweight ::5 ::Fotouhi 
::Properties ::order ::Kambayashi ::Dekeyser 
::Chungmin ::Wolfgang ::Kline ::Tsichritzis 
::Tam ::Kapitskaia ::Worst ::Merge 
::Kennedy ::Visual ::DB2 ::Reordering 
::Sophie ::DIPS ::Luis ::Relly 
::Consensus ::78 ::White ::VLDB 
::Nikhil ::Botnich ::Johnson ::Article 
::Niki ::Arpinar ::Clements ::Zarka 
::Local ::Queensland ::Gkhan ::Hillebrand 
::Ee ::Wolf ::Profiles ::Supporting 
::61 ::Heiler ::DBLearn ::447 
::Pang ::Jussi ::Mishra ::Link 
::REpository ::Matchmaking ::Mayer ::Hubert 
::BIRCH ::Lomet ::Rapid ::Keng 
::Hendrikx ::Centre ::Fetches ::Stochastic 
::Rates ::Alessandro ::Guido ::their 
::Goetz ::Buff ::171 ::Pirotte 
::Performance ::Jukic ::II ::Written 
::Eich ::376 ::527 ::John 
::International ::Linderman ::Per ::Marvin 
::Liskov ::Performance ::System ::315 
::Anita ::Loops ::Genesereth ::Inegration 
::Deadlock ::Letter ::Pat ::Geo 
::Richard ::Decomposition ::Modelling ::Main 
::100 ::Lawrence ::Hasan ::Gibbs 
::Bruno ::Cardinaels ::Icons ::307 
::67 ::Gravano ::Pull ::284 
::Shoring ::Waheed ::Kuntz ::Influencing 
::Kossmann ::461 ::Comments ::568 
::Nado ::4 ::Hillebrand ::Harinarayan 
::be ::Moshe ::Joosten ::Very 
::IDEA ::Yihong ::Boral ::Vista 
::Version ::Tsangaris ::Ambuj ::ARIADNE 
::480 ::Deductive ::Computer ::238 
::REpository ::Rabinovich ::Haim ::Koschel 
::Dense ::Yehoshua ::Eric ::Scacchi 
::Observing ::407 ::Fabio ::Bhavani 
::219 ::Nguyen ::Shilpa ::March 
::McGuinness ::Exploration ::121 ::0 
::Algorithms ::Taosong ::3D ::zsoyoglu 
::Hot ::Mecca ::182 ::Allan 
::Oded ::Lam ::Buffering ::510 
::175 ::Levy ::Treasurer ::George 
::Wilhelm ::Aggregate ::G ::544 
::Darling ::Meets ::Sudhir ::Kurt 
::Braunmller ::Souza ::P ::Feedback 
::Justin ::452 ::Market ::Pedagogic 
::Sengupta ::Checking ::Chopping ::508 
::Imielinski ::Croft ::Yves ::Disjunction 
::Printezis ::Paraboschi ::515 ::Eugene 
::510 ::Hallmark ::Uniform ::Euthimios 
::Bruno ::Wilms ::Analyti ::358 
::Joins ::Statistical ::Cox ::Wendy 
::Alan ::Betty ::Schrefl ::Leung 
::Atkinson ::Conceptual ::Metadata ::Gray 
::Masaru ::Ugur ::Baldeo ::Data 
::Chairman ::Flip ::Polymorphic ::Antonio 
::Crossroads ::Zhou ::Invitational ::Poyet 
::281 ::136 ::Sciore ::Better 
::Guidance ::Representations ::Yoshinori ::Constraints 
::OLTP ::Fynn ::Compression ::US 
::Brachman ::160 ::Manipulating ::Ieong 
::Calculus ::Sean ::Stefanovic ::Gehani 
::Viewpoint ::Deadlock ::155 ::Tai 
::Huffman ::Disco ::61 ::Lim 
::Plaisant ::5 ::Knox ::RIDL 
::TPC ::301 ::CapBasED ::Viviane 
::Knowledgeable ::Multi ::Horizontal ::Chendong 
::Kriegel ::Analyti ::Partitioned ::524 
::Fetched ::Shenoy ::Arne ::Jain 
::Data ::Yehoshua ::35 ::Ben 
::Tobin ::Muntz ::Sema ::264 
::Georg ::Scholl ::Models ::Between 
::Up ::Kabra ::2000 ::Machine 
::und ::Thomas ::George ::Yuksel 
::Federation ::Ho ::Kuck ::Hugo 
::Karadimitriou ::Perform ::Gruber ::Educational 
::520 ::Expert ::Ellman ::153 
::Phil ::Bhide ::HyperStorM ::HPCC 
::zsoyoglu ::Helen ::271 ::Rusinkiewicz 
::549 ::4th ::Bernhard ::Datalog 
::Sandeep ::348 ::Chairman ::Enterprise 
::Ad ::Christoph ::Extending ::21 
::WORM ::Jumping ::300 ::Walch 
::Up ::Bob ::Domain ::Clement 
::Meyer ::Nectaria ::Hammer ::Simon 
::Separately ::Syan ::zden ::Ross 
::Margaret ::Finite ::Relationship ::Buff 
::Lausen ::Berndtsson ::New ::Zhao 
::Comparison ::Symposium ::Conrad ::und 
::No ::519 ::Rafiei ::Workbench 
::Radzyminski ::Optimizing ::504 ::McHugh 
::Modelling ::23 ::Consens ::Shinichi 
::Gultekin ::Gehrke ::230 ::dimensional 
::447 ::Ramamohanarao ::Platforms ::Hawthorn 
::Ahn ::559 ::Bruce ::Inapplicable 
::Souder ::Persistence ::Jonas ::Ramanathan 
::Effective ::Remote ::Perform ::Hellerstein 
::issue ::TCP ::Flip ::Lawrence 
::337 ::Jean ::484 ::line 
::Gary ::MYRIAD ::Queries ::Buchmann 
::David ::Schemas ::Poosala ::Griffin 
::Croft ::Availability ::as ::Active 
::185 ::Prolog ::Aggregation ::Kuno 
::Nematollaah ::152 ::Hoel ::Manifesto 
::Marco ::Brick ::GIS ::Theodoridou 
::Anastasia ::Power ::Geyer ::Flaws 
::Brown ::Redundant ::283 ::Okay 
::Masatoshi ::Computers ::Annotated ::Ganguly 
::Behavior ::Gucht ::Work ::DDTS 
::Prefetching ::89 ::Christophe ::541 
::Abiteboul ::Degradations ::Andrzej ::402 
::572 ::Local ::Garcia ::Clement 
::Bra ::Tsangaris ::System ::Year 
::Christos ::Revisiting ::MultiView ::192 
::Design ::Rishiyur ::Mecca ::Sampaio 
::Honeyman ::Gardels ::Policies ::532 
::Jenny ::256 ::re ::261 
::Observations ::Barry ::Maier ::478 
::Heuristic ::Kotz ::DAFTG ::Hanson 
::Century ::Numeric ::Eliot ::DARPA 
::Acharya ::204 ::Carl ::Helal 
::Arun ::Commit ::Connection ::Outer 
::Taylor ::Allan ::Read ::339 
::Science ::Rosenthal ::Radzyminski ::Announcements 
::507 ::Read ::Programming ::583 
::Methods ::Levine ::130 ::Amihai 
::Roantree ::Andreas ::416 ::System 
::Enforcing ::389 ::Saxton ::221 
::Tsatalos ::Henk ::Lock ::System 
::469 ::Transaction ::Agarwal ::78 
::Capability ::550 ::Gregory ::H 
::Perry ::Jianwen ::Tsur ::Cocktail 
::Middle ::Bhargava ::Zorn ::OGDI 
::Gibbons ::Bernstein ::Precise ::ODE 
::Klug ::Modeling ::Ronald ::367 
::Hearst ::Tam ::128 ::380 
::Ghassan ::Evaluating ::Bry ::Sivasankaran 
::Files ::58 ::Support ::Remote 
::Lipski ::Trade ::Principles ::Study 
::End ::Mayer ::Klauser ::SE 
::Correctness ::Inserting ::Hayama ::78 
::Improving ::Full ::148 ::Braunmller 
::Atkinson ::286 ::Barinderpal ::Qaimari 
::Fragments ::Brinkhoff ::Extended ::Cache 
::Mendona ::Power ::Capability ::Gonzalo 
::Matchmaking ::Lodge ::Lip ::Rates 
::Lock ::Datasets ::Avoid ::NP 
::Large ::Walker ::Wang ::Robert 
::Fabret ::S ::Yurek ::Efficient 
::DOODLE ::Measurement ::Roussopoulos ::Guy 
::AssociationRules ::Rashid ::Knowledge ::Ravi 
::El ::CITRI ::287 ::Asuman 
::Expensive ::It ::293 ::Himanshu 
::Ramana ::In ::Pirahesh ::Fotouhi 
::Schek ::Ellman ::Novel ::514 
::WHIPS ::Kiernan ::Hui ::Geppert 
::Challenge ::Papazoglou ::or ::sets 
::Luef ::Madhu ::Extracting ::Graefe 
::Augusto ::Fault ::Omran ::Kupsch 
::132 ::301 ::Load ::Qiming 
::Duval ::CAD ::Matching ::Mema 
::Praveen ::Dynamics ::attribute ::Cercone 
::Disc ::Moshe ::RIDE ::Indexing 
::Samet ::Allan ::Nutt ::42 
::Push ::Mediratta ::Darling ::Hrder 
::Internet ::Jonas ::ETH ::Lum 
::Alfonso ::Querying ::eva ::Control 
::Replication ::ARTDB ::ACM ::Nichols 
::Mendelzon ::among ::360 ::Sharing 
::Shian ::Between ::Sharma ::37 
::Haim ::Ad ::Multiversioning ::ACT 
::M ::Challenges ::550 ::McGuinness 
::Paper ::Gook ::Thor ::Disc 
::Jefferson ::Area ::March ::Christos 
::Polymorphic ::Checking ::506 ::Qiming 
::Jae ::Soparkar ::Snapshot ::Printezis 
::yiu ::John ::Nan ::Tsatalos 
::Their ::Anand ::Jim ::Torlone 
::Taneja ::Ullman ::Alex ::Multiple 
::Gehrke ::Pissinou ::Dense ::authors 
::Set ::Andersen ::Thatte ::Tschernko 
::Set ::Experimental ::Arya ::Andrew 
::Willis ::351 ::Grained ::524 
::Grossman ::Chawathe ::Duval ::Saygin 
::111 ::Bob ::ETH ::Murphy 
::108 ::Nectaria ::Massachusetts ::1951 
::Later ::Cetin ::Dennis ::Maryanski 
::Horizontal ::259 ::347 ::Zobel 
::Laursen ::Notions ::Claudia ::Prefetching 
::Triggers ::Abdel ::Wedekind ::Gale 
::Gawlick ::32 ::Georg ::474 
::516 ::Grasnickel ::Yang ::Yoshinori 
::Providing ::Tompa ::COSS ::387 
::Rmy ::Editors ::324 ::Badrinath 
::Year ::Generation ::Disjunctive ::295 
::Satellite ::364 ::Norman ::Xiong 
::Munindar ::Jos ::Jiawei ::Solomon 
::Hare ::Laurent ::Life ::Doan 
::Organization ::Frasson ::Extendeing ::Utilizing 
::44 ::395 ::Oki ::Kasi 
::Jakobisiak ::Cvetanovic ::Belinda ::Yasuhiko 
::Closing ::69 ::Shekita ::Barbara 
::Achievements ::Beyond ::Independence ::147 
::End ::Industry ::Sakahara ::Participants 
::Seeger ::Banu ::Cocktail ::Nikolai 
::Extensions ::a ::De ::Simple 
::Push ::Temporal ::Gist ::Andreas 
::Wolfson ::111 ::Guozhu ::311 
::Yihong ::Fabret ::Olga ::Work 
::Sampaio ::Sparsely ::Sure ::53 
::issues ::Hong ::Logical ::27 
::136 ::Baclawski ::545 ::Jaideep 
::Nectaria ::Top ::Kornacker ::Meaning 
::Relihan ::Teorey ::Truszkowski ::Eugene 
::Similarity ::Rdb ::Doughty ::92 
::Technology ::Terry ::Eftring ::60 
::Mechanisms ::Opportunities ::227 ::Paper 
::Effectiveness ::POSTGRES ::Versioning ::Elsewhere 
::Thuraisingham ::Non ::Obrst ::Jajodia 
::Gnther ::387 ::Servers ::154 
::Disc ::Multiversion ::85 ::538 
::Fine ::Presentation ::Chuan ::Connell 
::Bitton ::Solving ::Relihan ::ONTOS 
::Gnter ::Viswanath ::90 ::Must 
::Watson ::Picture ::Annie ::439 
::Colliat ::539 ::Quasi ::Jan 
::532 ::offs ::Tomasz ::Trees 
::De ::Sacks ::Bocca ::Jakobisiak 
::7 ::32 ::Image ::Framework 
::Linkage ::Reuter ::321 ::Tim 
::259 ::Future ::NASA ::Juergen 
::Workstations ::Baskets ::Assessment ::Lucas 
::GeoMiner ::Context ::Lindsay ::152 
::Karthikeyan ::Chris ::Arun ::Gehani 
::330 ::Tarantino ::Keishi ::Subrahmanian 
::Base ::Shekar ::Garlic ::Gerlhof 
::Qualitative ::Benchmark ::Robertson ::Qin 
::Mishra ::284 ::Stephen ::Poosala 
::Etheredge ::SONAR ::132 ::Review 
::Yandong ::Salza ::Melton ::Sheldon 
::Modification ::Magic ::Vienna ::Iterative 
::Woelk ::Jennifer ::110 ::Bibliography 
::Managing ::339 ::Updates ::Vardi 
::Degradations ::Anita ::Jhingran ::Earl 
::Sharing ::Editors ::Keun ::Chen 
::Jamison ::Mancuhan ::Alfons ::161 
::Daniels ::Malkemus ::Costa ::their 
::Yahiko ::Associative ::Craig ::Eugene 
::335 ::non ::Disjunctions ::Lynn 
::Has ::Maurizio ::Bestavros ::Modular 
::Paskin ::Ramachandra ::Updates ::Load 
::Logging ::Simple ::Qaimari ::Called 
::Euthimios ::Virtual ::Cherniack ::Scheme 
::Melling ::Secure ::Rona ::Codes 
::Klonk ::Asuman ::Flexible ::231 
::Valery ::Benny ::Matching ::Vincini 
::64 ::Thumb ::Decomposition ::Galindo 
::Horizontal ::Kfer ::Udo ::Meeting 
::Wentland ::Despina ::BeSS ::Future 
::Year ::403 ::177 ::502 
::Attribute ::Nesting ::356 ::Meaningful 
::Buffer ::Ganesh ::Alexander ::Estimation 
::radi ::517 ::74 ::Independence 
::site ::Sheldon ::Dimitra ::Scholl 
::Glossary ::Services ::Bhide ::Building 
::Abdullah ::Structural ::Simon ::Urban 
::Duri ::Klein ::Timothy ::70 
::Asserting ::Volker ::Nichols ::Baeza 
::Agarwal ::Geospatial ::Tsur ::Actions 
::Directions ::Correctness ::Estimation ::351 
::514 ::Chih ::Haran ::Block 
::Bamford ::Brian ::Rengarajan ::Inegration 
::Inserting ::468 ::Zhao ::Konstantinos 
::Meaning ::Ra ::Integration ::Ceri 
::Convent ::Terms ::Announcement ::Roantree 
::WORM ::End ::Haran ::Tsichritzis 
::SIM ::194 ::Scott ::Louiqa 
::545 ::Tallot ::Sagalowicz ::Krishnan 
::Musukula ::260 ::NET ::Cook 
::oriented ::217 ::DIPS ::63 
::Sciore ::DeWitt ::Cardenas ::31 
::Badrinath ::Kitagawa ::491 ::Back 
::Motakis ::Ariav ::SigmodRecord ::Barbara 
::Kaizhong ::Neptune ::Agent ::Solving 
::149 ::Claude ::511 ::Yongdong 
::Alistair ::Pages ::Marcus ::Querying 
::Leo ::489 ::Xian ::Without 
::Swarup ::Widmayer ::Rowe ::Gallagher 
::Sudhir ::Distributing ::Deborah ::Louis 
::TCP ::Radek ::Heterogeneous ::Downing 
::K ::Cache ::65 ::Papoulis 
::504 ::Prashant ::zgr ::Batory 
::IM ::initPage ::Dengi ::Piero 
::Csar ::Xiaolei ::Heytens ::D 
::280 ::Cevdet ::Yang ::Zaharioudakis 
::Petterson ::Kilov ::SEQUOIA ::Miranda 
::Mattos ::Weikum ::Concerning ::Naacke 
::Massively ::DIPS ::Abdelsalam ::Malkemus 
::TSIMMIS ::Shin ::13 ::Chair 
::Frank ::Pozzi ::Motwani ::Watson 
::Modify ::Position ::Barnes ::Asgarian 
::ANSI ::RIDL ::Principles ::Gebhardt 
::UNIX ::BUSINESS ::Harris ::Bargmeyer 
::Timeliness ::Rajendran ::Reclustering ::Persistence 
::Advanced ::139 ::Air ::Determinism 
::Young ::Griffeth ::Lori ::Natarajan 
::Internal ::528 ::Su ::Aidong 
::Hernndez ::Jerry ::Ahlberg ::Urban 
::Franoise ::Seligman ::197 ::Srivastava 
::Spatial ::531 ::Mick ::Fernandez 
::Woolf ::Firm ::Duri ::Acharya 
::Claims ::und ::Koschel ::Observable 
::Brief ::Reformulated ::Efficient ::Disco 
::Ilker ::Altintas ::Limsoon ::Market 
::yiu ::Sleepers ::Term ::Er 
::289 ::Pedro ::Klemens ::Mike 
::known ::225 ::Hashing ::Dadam 
