Qiong::4497416 22851124::YiuJHL08 4497482::Correction ::TALE ::Jianping 
456::JainDG08 Kam::their DanielsSHLMWW82::Vehicle ::QuLM06 ::Chon 
Elghandour::Analytical LinD98::er Partnership::Gagan ::Gong ::Rittinger 
Siva::XingZH05 Dinh::AggarwalY08b Mohammed::Record ::1423 ::246 
artdb::2001 WangZZ06a::FaloutsosB93 ChorLRS86::426 ::Kou ::Binnig 
4497494::195 Faradjian::VBI Imprecise::4497536 ::4497493 ::Inclusion 
Mukherjee::Bhm 892::Quality Differential::Bajpai ::IkedaMITHHO05 ::Serap 
MozafariTZ08::Stefanakis UDB::LiuM96 123::Kotagiri ::Gerstl ::Heinlein 
BalminOST08::SEA NAGA::Petkovic CasatiDS01::1385 ::22850583abs ::Novel 
ChristophidesCM96::Rakesh Mudumbai::bncod Changing::Yanif ::914829 ::Regulation 
AgrawalJKL06::Gionis Path::mk Networks::Restructuring ::Tadashi ::368 
864::1129 Relational::Bulut 187::Lung ::22850188 ::Markl 
732::4497587 Columns::iandc RamanSQRDKNS08::513 ::LinJF94 ::Mover 
Gokey::EvdokimovFG06 Predicate::4497494 1384::Cecilia ::Persistent ::Oguzhan 
Iceberg::Zhanhuai 4497485::Zeeshan Kimeli::XQSE ::Riedewald ::AbiteboulK89 
YangP08::Inverse gis::Ahmed String::Chakrabarti ::152 ::P086 
1403::Arnold DeWitt::Yoshinari 524::1489 ::HanFWCGKLLRSXZ96 ::WeisN06 
LiLHC06::271 Sevcik::purpose Suciu::Dayal ::Parallel ::Renner 
1358::ReissRKZV08 15310268::Schemes Hoyoung::Xu ::GeZ08 ::designed 
Weining::XQuery Divyakant::Antova cosit::Delta ::WolskiB98 ::Sayed 
Fan::Tingjian Master::779 523::Gionis ::Captivity ::Subramanian 
Shedding::CammertHKRSSZ06 4497570::Vikram Laks::22851124 ::914864 ::Pudi 
Elegant::916 Justin::Boolean HasanM95::496 ::Flexible ::557 
Yiping::22850258abs Shanmugasundaram::IshikawaYIK96 Jensen::22851113 ::Rizos ::Group87 
KapitskaiaTV97::Semistructured KistlerS91::495 Mauricio::Takuya ::Eket ::MaierS86 
Sky::Marios 115::Hiroyuki Tu::297 ::1414 ::Shuai 
Match::Tobias Easy::WuDY06 Wee::Yasushi ::ChuaR95 ::Duality 
Rittinger::205 GoldbergR83::Voronkov of::Clark ::546 ::MannilaR94 
ZhouOTY06::Partially 1125::Oracle Party::Ting ::Neel ::SmithS96 
Lookups::22850020abs SinhaWWSS08::488 914849::Against ::ShivakumarG95 ::FaradjianGB02 
AkindeCJK01::ChanG85 WilkinsonN90::Torvik Sumit::Mahajan ::Johann ::Vivek 
1209::Nasi SeshadriLR96::HjelsvoldM94 Determine::Oracle ::P126 ::MONDRIAN 
Bernstein::15310673abs Alink::Resilient BachFGHHHJS96::126 ::Haiyan ::LawrenceB02 
Approaches::1390 4497619::Disclosure Principled::Improved ::BaralisCC05 ::BhowmickP06 
1228::Inseok Ross::FranklinZTCD92 51::Fai ::1548 ::4497564 
MummertES95::LevyMSS95 170::WuAA02 ChenWWM06::1355 ::Kanellakis95 ::Wouter 
AtallahCK08::ChaAHS05 Eugene::Afalg 15310706abs::Jim ::Kanagal ::Xingquan 
Zhao::artdb Mining::Controls Yong::KotidisSV06 ::Moshchuk ::15310273 
PadmanabhanAMJ01::Leung 303::Prado 10010473abs::Guido ::GabberK98 ::MohanKSW06 
Young::Prakash Services::LudascherGM01 widomC96::SedmidubskyBDZ08 ::Stanislav ::ZhaoIG08 
Bilke::PapadopoulosM97 Juha::Emerging Schneider::164 ::DBLP ::Ahmed 
F::Rosa 914823::Kobayashi Telecommunications::Hsu95 ::Fatma ::Lisa 
Colby::19 Parking::Ntarmos Stefani::ChanFGR02 ::AutoGlobe ::Hubert 
418::Joan Scalable::Reviewers Wichterich::914833 ::FaloutsosK94 ::Jagannath 
Javeed::Dinh 15310279::Land Jakob::Xie ::ORDBMS ::NabeelB08 
Multicast::Consens SchiwietzK93::HollandG92 MalinS06::211 ::Correlation ::LuccheseVRY08 
Bernhardt::Fishman01 Siva::P180 Nguyen::CareyDFHMNSSTTWZ94 ::0002 ::Raghu 
Balter::Shahan KatayamaS01::WidomC96 Seshadri01::Overlay ::152 ::640 
Pedersen::Samet90 Managed::WWW High::Hanan ::Terracina ::Natix 
Heterogeneous::341 Malkemus::Mishra Mason::Kalnis ::DebLRS08 ::Cao 
1129::4497420 Compression::167 Yong::LeFevreDR06 ::Atallah ::Aggregates 
Theoretic::588 Ajay::kdd AhmadN08::Jignesh ::291 ::Lewis 
Tony::AkindJLS02 ZhouOTY06::BestR85 Jermaine::Miron ::Diego ::Janne 
34::588 Sashikanth::Lin RohmBS01::1476 ::Tracking ::ShahR08 
15310191abs::Channels Models::Venky Collaborative::218 ::Shuqing ::205 
Sevcik::Jermaine Nicklas::SchroederHIN06 211::BreitenederGT92 ::902 ::Suresh 
Fudos::Bishwaranjan HeZC05::MolinaS87 Jermaine::Dmitry ::BonchiGLOPT06 ::1277 
PageRank::Yeol P314::Novel avi::4497556 ::Ayad ::Bird 
Approaches::259 Split::Ehud Hideo::1373 ::35 ::YangWWY02 
Freeston95::Helen P180::ChenDZ06 Durmaz::KuskinOHHSGCNBHGRH94 ::Now ::Decomposition 
Aziz::Ooi HeZC05::KhalifaJPWKS02 Chon::RAIDs ::685 ::ChangYDA88 
172::Chen05 Fuzzy::ChonAA02 MohanLO86::1482 ::1107 ::1169 
Atomic::914845 Herbert::Complete Hari::PeiHPCDH01 ::Cubes ::HoweM05 
tkde::Douglas B+::Sanjeet What::BlakeleyLT86 ::Klabjan ::Koutrika 
AntonyWAA08::Bugra 443::Approaches Connected::29 ::BohannonFRS02 ::AgrawalFS93 
Sundaresan::compgeom Hse::Sankaranarayanan 10010473abs::JigyasuBBCDMT06 ::Andrea ::22850419abs 
Chandel::Prediction Stockinger::ShafiqSBG06 Checking::Tears ::LevyRO96 ::298 
AgrawalG89::Arjmand 4497403::Saydean Record::Victor ::Gehrke06 ::Stonebraker94 
Toon::Nisheeth Caching::PudiH02 329::Aravindan ::914839 ::Roelof 
22850341abs::978 AkindeCJK01::Michal Min::Yi ::Swart ::Sanjoy 
1477::Savage Yap::Muhammed Yoshinori::Dunham ::SQL ::Detecting 
Rishi::edbt HaskinMSC88::MAN Changing::Conserving ::15310485 ::828 
675::Warehousing 340::Arbitrary 1123::136 ::Imran ::Patrick 
ZhangLKW06::Dehne Chendong::Castro Leakage::22851129abs ::BonchiGLOPT06 ::Papaemmanouil 
Rinderle::Was Ketchpel::4497605 Event::1548 ::Mahmood ::Unstructured 
Reduction::Hammad 494::BulutS05 Kwok::code ::331 ::JiangAC05 
Felipe::Wilschut Yoshinari::Prashant NAPA::QianW91 ::Toshinari ::Chon 
Songyun::Reference Bosworth::Bird computer::HammerST05 ::Brzsnyi ::JVM 
Native::Anish Riemenschneider::Anomalies Interval::AndritsosFM06 ::YaminiG05 ::SchroederHINW06 
Leakage::year ArefS94::KahveciS01 BodenCFKSSS95::Galindo ::128 ::Activities 
Umeshwar::Meichun Yamini::501 178::279 ::GuoSBS05 ::ThomsenPL08 
22851102abs::Mohammed Latha::Ketchpel Iman::1084 ::118 ::Dialect 
Arjmand::SunPF05 1209::Toshinari Leymann::VlachouDNV08 ::TokOLAB02 ::JadavSCB95 
Nakano::ObermeierBHCS08 Uchiyama::Limited PhanL08::Negative ::Bounded ::icml 
650::Weis Potamias::Gunther93 155::Structure ::Provable ::4497503 
Preservation::Serializability MartinGH08::Lyublena Defined::FegarasM95 ::Xiaofei ::Ivan 
15310279::Inclusion Common::Duan 22850552abs::GummadiLGSH05 ::P476 ::15310605abs 
Zukowski::Path Periodic::Stanislav YiN05::1324 ::4497578 ::LiZBSZN06 
Federated::TheodoridisS96 X05r::EffelsbergH84 Kimeli::Savage ::Expiration ::545 
Inter::NtarmosTW06 Anton::Abul Galindo::Xiaofang ::Telecom ::459 
Recovery::DaudjeeS06 Exemplar::HibinoR98 Csar::DeWitt ::Mohan96 ::Mirit 
OMNI::Cornelius Level::503 Xiaopeng::Gene ::Shuyu ::KamathAGM96 
22850391abs::Benchmarking Relative::Format 630::Aoki ::BernsteinHG87 ::Franois 
Charu::Rebecca 22850186abs::Mediation Warehouse::22850730abs ::KamelF94 ::ChenDN02 
Scheuer::Sagawa Haejoong::SellentinM97 Amitabh::YangLYX05 ::Tony ::Virtual 
WolfsonXYC06::ShengHL06 1111::Nehme Dimensional::A ::GuptaHR98 ::22851001abs 
Chang82::GrayR93 AkindeCJK01::Calisto Naacke::AslandoganTYLN95 ::Ferrari ::183 
4497591::4497479 Leonid::Gautam SG::ChaAHS05 ::Noise ::Verify 
Weighted::Haejoong Riedewald::419 600::Facet ::1003 ::MeoPC98 
KivinenM95::Fan M::4497577 Shaull::63 ::Pseudo ::16 
963::Anup 4497593::Latency Das::Ifrim ::317 ::1423 
1417::Compact Mazza::4497590 161::Checking ::EvdokimovFG06 ::15310176abs 
316::Afanasiev Punctuation::HowardKMNSSW88 Snapshots::349 ::BonchiGLOPT06 ::Intelligence 
Moving::Scherzinger XPaths::4497635 Oxley::SPP ::With ::Feng 
Topol::1464 VlachosGK02::521 ChengYHY08::Sachin ::HarinarayanRU96 ::DIPBench 
Deletes::Every PapadiasTKZ02::15310081abs 12::BarbaraI94 ::Sugimoto ::Das 
Skyt::Distance Shurug::Video TianP08::790 ::DayDIKG95 ::Essence 
1228::Logging Video::datamine Sensing::NN ::4497451 ::ZhangCMS97 
HanF95::Kaname RDF::4497628 Big::mm ::Amrish ::purpose 
Chiusano::1627 22850552abs::Their Tam::Sakurai ::Topol ::Languages 
Imprecision::GhaffarA97 Labeling::dke Logan::Tracking ::SemCast ::ATM 
Yihong::22850521abs 4497620::Ha 4497408::Placement ::cs ::Serialization 
Bayardo::Synthesizing Milind::Every Logic::Pfeifle ::DakkaI08 ::Workflows 
Checking::P522 Automating::Shu Dependency::Detection ::MOLAP ::4497482 
38::Answer Platform::Tanin Practical::etintemel ::WhangLLKH05 ::Kazumi 
ChenSZ05::Lola Acquisitional::Complexity Aranyak::ChiS05 ::under ::RoitmanGR08 
Raghav::ichi Source::YiuJHL08 GawlickK85::Kossmann ::Approach ::Diagnosing 
Panagiotis::754 4497488::Heerde 341::GaoHPSA06 ::1408 ::X06a 
Shyam::YiuMK08 dx::3D Viglas::KasneciSIRW08 ::Orenstein91 ::Judice 
Outerjoin::Zhe MehrLLS08::Processing BonczKK96::journals ::Based ::516 
Korn::Hua 22851013abs::Qiming MogiK95::Labeled ::FernandezFKLS97 ::MolinaLV84 
308::Committees Palopoli::Nikos Pui::22850353 ::That ::Sujeet 
Cappellari::PreparataS85 62::1531 AbiteboulHV95::dpd ::Elegant ::KamathAGM96 
1334::leeuwen90 pods::ZivL77 Balaporia::Vclav ::Nejdl ::Multi 
Jia::Jain98 Non::AcharyaGJKST08 HouleS05::db ::463 ::1228 
pages::Kreplin Aref::15310323 X05o::Tuncel ::Chiusano ::Zhiping 
270::SI Electronic::ChawatheGHPUW94 Berners::Vineel ::15310337 ::CLICKS 
668::ArbitraryWindows ChenOO08::Interface McCannSD08::Distributed ::Kim95 ::Lim 
Streaming::Okcan Dominant::Kit Untrusted::BohmMW01 ::ife ::Stefani 
Norio::Hershberger ReSF06::Systematic Now::LittleAFGRSV93 ::4497509 ::BanerjeeC96 
WebFountain::Generalization sp::QoSMig Jain::Systematic ::That ::4497621 
Sameer::717 PGM::Hristidis PuHK06::476 ::1503 ::Polynomial 
Nogayama::Places Busatto::Problems DanDY91::Routing ::Yihua ::HeXYY05 
Jonathan::68 mm::Commit Seltzer::Xiaochun ::Challenges ::BatiniL86 
Shneidman::Migration Zhiming::22850329abs Terminological::MannilaR87 ::vldb ::113 
SilberschatzKS97::LynchS88 22850417abs::PageChaser Underprovisioned::878 ::Akiyoshi ::Objects 
GuPYC08::Results Heinz::ADEPT2 1448::4497428 ::Bouaziz ::Wei 
241::Naga HoutsmaS95::Dan 22851036abs::ChenDZ05 ::Jagan ::DanK95 
IdreosTK06::ColbyCHJJMSW98 330::195 FarfanHRB08::Optimization ::CareyFLS91 ::BouganimDV96 
Michalis::Jason HaraHTN98::Procedures 164::Arocena ::biased ::Annita 
Yiu::Wichterich Wee::BodenCFKSSS95 FayyadPSU96::Server ::Pervasive ::P324 
ieeemm::LiC98 Palopoli::isci 763::310 ::Steve ::Elmagarmid 
4497448::AggarwalY08b Agma::4497629 AthitsosPPK08::sp ::4497538 ::Ling 
zsu::D What::SpaceTwist Mourad96::742 ::NgR95 ::Wolfgang 
1337::P004 SimitsisVS05::ChangSZS97 Rafiei::Hilda ::LehnerHS02 ::Edmunds 
593::Susanne Jerry::Vana Alon::914856 ::THALIA ::Sing 
Coupled::61 Yeol::Conditional Sameer::359 ::1575 ::Teixeira 
SrivastavaL88::640 Fishman::FranklinZTCD92 426::Marlon ::Dimitris ::Mohan 
Grouping::1539 TsatalosSI94::158 Koh::1588 ::AbiteboulCCMMS97 ::Finding 
1471::P458 Hypermedia::column DengDRZ08::sebd ::Designer ::LangOKT98 
DengDRZ08::Exemplar Reorganize::NussbaumerPSS95 Superimposed::Intermittently ::Bowman ::Cost 
Pirahesh::876 706::GeorgakopoulosHKM94 Every::Style ::Goetz ::Antonio 
Xu::914869 Perrin90::Ganesan BlaumBBM94::Hacigms ::ai ::Panos 
PapakonstantinouGU96::Agma Al::Yin dpd::biased ::Fixed ::Hsu93 
P392::Model Bongki::Peery RaoM06::Testing ::Computations ::209 
Ahmet::Jae Optimize::Ownership 732::Martinenghi ::Logging ::Krompass 
Provide::4497574 Kyun::Sing Annotating::4497611 ::1382 ::642 
Bourhis::Maher Ken::WangL08 Moerkotte::Dam97 ::Bernhard ::Zeller 
Douglas::btw Agesen::mash Ling::CareyDNAGS97 ::MannilaT97 ::Authentication 
4497552::sebd ChenC92::281 Encoded::Y ::IshikawaSKMMIAY93 ::Baxter 
Papadimitriou::22850419abs SemCast::KriegelKPS08 Precision::Filho ::Array ::2006 
81::Iida Ntoulas::1319 toms::4497415 ::Morzy93 ::Ji 
Cardinality::Counting KhalefaML08::Wavelet KoutrikaSI06::Regnier85 ::Style ::WhiteJ96 
914847::Toon 4497467::Phrase 15310441abs::Chakravarthy ::CareyDFHMNSSTTWZ94 ::Pin 
1615::Xingquan CORBA::CQ Raman::Employing ::Prasad ::ThuraisinghamHRM98 
McWherterSAH05::VLEI MohanHLPS92::Visibility similarity::Windows ::Xiaolei ::BerchtoldBKK97 
Oxley::C Adaptation::Alkis 345::Pietzuch ::Prado ::Nes 
BohlenBJ98::Ng Administration::Gustavo 1327::ChakravarthyL98 ::Ramesh ::1414 
NakamuraE02::Cruz92 Definitions::4497532 SistlaW95::Path ::Was ::Srinivas 
Online::Perrin90 914828::Determine 40::Balakrishnan ::PapadopoulosM97 ::Content 
Cao::Focused 1324::Mohammed Luis::Molina02 ::CasatiCPP95 ::982 
Toman96::Jae 949::Kwong 4497450::Tetsuya ::Compiled ::Selinger05 
Chaplin::Principled Schallehn::Defined 4497502::Biton ::519 ::Xiaopeng 
56::dblp 15310297abs::Adaikkalavan Quickly::Pui ::Prefetching ::4497457 
Reinhard::HuaYL06 90::Vaidya Intra::15310716abs ::Cable ::LuoWL08 
Conscious::Ding 4497534::Jiexing FLWOR::csur ::790 ::Atzeni 
Ramamurthy::Coupled Kristen::Buffering Sudipto::ChanET05 ::51 ::Madhavan 
Ramamirtham::GuptaHR98 HasanM94::Negi 1619::Skylines ::4497581 ::1518 
337::Joshi Todd::LiuM96 1512::inproceedings ::4497534 ::Tsukamoto 
15310225abs::Configurable 564::Rivka ONeilOW93::LeungNM02 ::Curt ::CareyHL93 
Algorithm::within WangM05::15310441abs Evaluating::Mohammed ::as ::258 
Meng::ModelGen Indrajit::JiangMCS08 Amarjeet::LakshmananSS96 ::Huiming ::Obermair 
Kasthurirangan::KoutrikaSI06 Hidden::via Classification::Lucchese ::Validating ::ZhangG08 
142::Changes Gryz98::GhandeharizadehHJ92 PietzuchLSRWS06::Outliers ::Burke ::Silva 
UDB::15310212abs 22850485::Schubert 67::Transcoding ::DelisR94 ::Sichun 
Ordering::RDBMS 4497454::Improve XPaths::1321 ::Dikaiakos ::Snodgrass95 
ISOMER::GutingZC89 Sachin::Partition onWeb::RDMS ::FukudaMMT96 ::BorgBG83 
Qian::Sandra 638::95 osdi::140 ::1095 ::Narang 
Yan::Harald Datar::10010173abs StonebrakerK91::Yk ::Farhana ::PuKH88 
JagadishMS95::Carminati Energy::Numerical Compiler::NgH94 ::152 ::Connected 
Auditing::22851143abs BeckmannHKN06::Rajagopalan 4497607::BabuDM08 ::P241 ::22850159 
Computing::15310271 Paradigms::4497577 Kifer::Dependable ::ElfekyEV02 ::Guided 
Harold::Kim Iyengar::ShivakumarG95 22850190::Checker ::Granular ::2007 
1400::LinYWL05 1439::22850705abs Pasi::Relationally ::RinardD96 ::Brantner 
Tassa::419 Etoh::ChiS05 cgmOLAP::Selinger05 ::YanOZ08 ::Puzzle 
Papadopoulos::180 Monotonicity::640 4497416::Fabret ::B ::82 
286::Gang 833::4497615 KamathAGM96::142 ::214 ::586 
4497472::236 991::GriffithsFPJDM05 1405::ShaLJ88 ::22850927abs ::576 
Schwarz::ChanFGR02 Twig::Huiming 1059::Nail ::Hoare69 ::Complete 
Koubarakis::TanGO01 ChenHY96::Verifying aw::JadavGL97 ::CarterBZ95 ::Keidl 
LinYWL05::Menzo RinardD96::Stolte P456::Athena ::Fusheng ::Feasibility 
Mixing::Guarantees Jiaheng::Madlmayr Driven::CastellanosC05 ::MamoulisCYC06 ::639 
714::Wireless 22850890abs::Zhaohui SolworthO91::Bypass ::497 ::22850242abs 
Experience::ATM KamelF93::277 823::Teubner ::LinYWL05 ::Vrhovnik 
Pekka::Vijay Moerkotte::Ipeirotis P209::15310329 ::Approximately ::1411 
Madhavan::DeaconSW94 KistlerS92::Ho Gisela::Containing ::Rui ::Mansuri 
Isolation::Philippe Software::Omar Loops::Vectorizing ::Lam ::HiWaRPP 
MogiK96::Alonso Carsten::1148 String::367 ::Dialect ::187 
ShatdalN93::Vaidya 4497471::Dominant Michal::Paradigm ::MIX ::Implementing 
22850155abs::Lamport78 475::25 Sikka::ChengYDYW08 ::22850606abs ::Locality 
PfahringerK95::ChengXPS05 Kashani::Networks Georgiana::Murthy ::Sam ::YangL87 
Koutrika::Piotr P004::Sander ijcai::internet ::Seltzer ::Interaction 
FLAME::Lakshmanan Melanie::Bonnet Akiyoshi::Tissues ::Ahmad ::Mediation 
sup::Economically NievergeltHS84::F Sagawa::15310583abs ::ACXESS ::15310463abs 
619::Monica Parties::Nakamizo Qingchun::Asynchronous ::Chrysanthis ::Speed 
Corruption::Transformations KumarLMT08::Dmitry Deb::Anh ::Krithi ::15310492 
Infrasturucture::Wan LiLL08::Check Pontieri::744 ::Filling ::Stocker 
WuAA02::AthitsosPPK08 DasCWAS08::1098 586::Marcel ::Kamath ::Lightweight 
Kossmann::Jia CatarciCS94::Ihab 15310605abs::PudiH02 ::1048 ::cj 
GubanovBM08::Partial CammertKSV06::Shadmon Papadopoulos::Gupta ::ShivakumarG97 ::Untrusted 
914834::FilhoTTF01 697::Loh Jinze::Ponnekanti ::Qingchun ::Akitsugu 
Caetano::OLAP Zhanhuai::HSI Jinze::ApersHY83 ::Features ::Autonomy 
Queues::ChenR05 Bamieh::Protecting Definition::LentSW97 ::Sean ::WiwatwattanaJ08 
Pfoser::Wayne Donald::Chuck Pervasive::4497571 ::Yoshikawa ::P201 
Acquisitional::Management 4497560::Scale Graphical::DasguptaGJSV05 ::BlaumBBM94 ::Balke 
Byoung::4497564 Warehouses::etintemel Hiroshi::Provisioning ::Percy ::22850372abs 
MegalooikonomouWLF05::Y DeWittKLPY94::Devices Jennie::StockerKBK01 ::Prabhakar ::JohnsonK84 
4497429::LiuSYR98 ChangMZS98::Time MozafariTZ08::DeFazio ::Matching ::FernandezA02 
Infrastructure::Detect CosmadakisK86::Prefix Taniguchi::Expressive ::Improve ::BohannonPRSSS96 
Yi::640 mms::Participants 1159::4497422 ::Takahide ::Anonymous 
4497631::Simplicity Gene::22850391abs Shekita::Joshi ::1497 ::Shyam 
PageRank::Item Evangelos::337 Edoardo::Emeki ::Idea ::15310673abs 
Jayant::97 toplas::Repairable Wlodek::Oriented ::McWherter ::ChenR05 
4497410::Transfer efficient::Ian CobenaAM02::Nagavamsi ::Asuman ::299 
Ganesh::Mittal Allen83::HolsheimerKMT95 102::Locking ::journals ::TangYOCW08 
1521::Winslett Division::4497559 AgrawalG89::Detecting ::BryanEF08 ::Product 
Cohe::ieeemm 1387::4497505 ChenOO08::WuWLM06 ::XPlainer ::ChenLGKP94 
Sanjeet::Pascal 22851106::Zhu 345::Back ::Regions ::Patel 
ChengXPS05::Hoa GyllstromADI08::1555 1396::Dmitry ::Ramasamy ::search 
Isaac93::22851141 Zou::1277 ChapinHRG95::XCluster ::342 ::Doan 
Lutz::Chin Cooper::1328 Panel::Ramakrishnan ::Plans ::StonebrakerADLO94 
519::Useful Brenninkmeijer::GrayCBLRVPP97 Periods::Shi ::Jeonghee ::EswarranGLT76 
designed::1170 NET96::Donghui Arumugam::Poulsen ::XuEKS98 ::Sengupta 
GeorgakopoulosHM96::GalpinBJFP08 421::Hiroomi Simulation::Essence ::dx ::Delivery 
Amr::Jiaheng 1033::139 Improve::Ernst ::15310498 ::Chalamalla 
Kraus::Lola 1100::Channels Maged::Potamias ::Mazza ::484 
Bei::641 Mehmet::EvdokimovFG06 536::Osmar ::389 ::Yipu 
Thomsen::Vijayalakshmi MIC::175 Logging::MahajanDNAM98 ::Manipulation ::Pushing 
DewriRRW08::HorwitzT86 Neeraj::LuBZ06 McWherter::Pandis ::Carlos ::Rys01 
Keim::Nakamizo WolfsonCDJM98::Expressive Yahia::Felber ::Mitchell ::96 
Pratik::15310331 KornackerMH97::Jianping GuptaJM96::1126 ::4497468 ::Its 
Aoki98::Progress Integrity::Moerkotte Defined::Naphtali ::ATLaS ::Spatscheck 
Zhanhuai::15310093abs Heng::12 Marzouk::Shin ::Ponnekanti ::138 
Cichocki::ibmsj GuptaMS93::Afalg KreplinZ01::Among ::anonymizing ::Kanne 
4497513::Dense Muthuramakrishnan::KarsentyB93 Wouter::TataFS06 ::Computations ::Kahn 
22850106abs::Kurul 1537::RaoPML06 Melnik::Mani ::Sridhar ::354 
630::Cruz92 Kantarcioglu::Bhat 605::Graphitti ::Bartlett81 ::P192 
Browsing::KrishnamurthyI91 KistlerS91::HeZC05 BrinkhoffKS96::PDM ::Fault ::1297 
ChaudhuriGK06::Ponnekanti Bassiouni85::Jianping Khalifa::133 ::Summary ::Guarantees 
WRAP::229 ChawatheRGW96::Tim Juha::Ordered ::1122 ::Hae 
FaradjianGB02::AthitsosPPK08 Karthikeyan::SaveRF CruzALRZ97::Kambhampati ::CammertHKRSSZ06 ::External 
4497505::Cameron Gokey::253 Stephanie::4497596 ::YiLKS08 ::Advanced 
10010071abs::data Soo91::22850779abs Feltes::Couple ::103 ::Zurek 
22850459abs::Bettina Federated::Sky Runtime::NgH94 ::1506 ::Ting 
ZhangRL96::Interval P296::Collaboration KaushikSBG02::Torben ::Prediction ::meets 
914843::Estimating their::KimCD05 Video::WangHYYY06 ::Roberta ::4497446 
Neighbors::338 JainDG08::BancilhonKK85 67::Predicates ::L ::views 
4497439::ZhangDH08 Kitsuregawa::Agrawal Yue::686 ::Korth ::Nambiar 
15310117abs::P174 Descriptions::Preference Atmosukarto::Accessibility ::Dependable ::Sacc 
DeWittG92::PanZW08 Salzberg::Linguistic Brenninkmeijer::aw ::Certain ::914855 
Netz::XSEED BeckmannKSS90::Methods GareyJ79::Federations ::AgrawalCD02 ::Wilfred 
131::Sun Antti::Felber Radeschutz::Curtis ::Jinze ::116 
Lan::477 1544::263 Skippy::1134 ::LuoJHYW06 ::Michail 
Prabhakar::82 TanselCGJSS93::Microsoft Regions::1033 ::ks ::Mediator 
Theodore::Szabo 873::Index MorishimaNISK08::Shift ::ZhangWL08 ::SaltenisJ02 
HP::Jigyasu Hung::Gu Certainty::4497411 ::Aleksandra ::streams 
Never::4497470 BakalovT08::Trasarti Extracting::Chai ::RastogiS98 ::993 
Tucker::15310341 MukhopadhyayP02::Aboulnaga JadavGL97::4497470 ::Kemme ::Torvik 
Annotations::XParent Discriminant::Routing Detection::ChenGK05 ::WachterR92 ::4497601 
BonchiGLOPT06::Valduriez Characterization::Patterson Triage::Anomalies ::Growth ::22851129abs 
Verifying::FlajoletGPR93 DeRose::FriedmanBF77 892::15310277 ::619 ::Kou 
Accessible::Sarawagi97 Perrin90::Tobias OrfaliHE96::Gail ::578 ::1123 
Shao::McWherter Nori::Das in::Video ::490 ::Bundles 
Pu::RAM SinghL08::Recently Circumstances::Schubert ::Condit ::22850258abs 
KarrasM08::Join Kashima::Shegalov Adaptive::BonczKK96 ::DuschkaL97 ::Mahajan 
Hideo::Land 4497449::Blockeel Xiaohong::Krmer ::into ::320 
914877::Ramaswamy 348::158 Ahmet::Gruenwald ::391 ::AslandoganTYLN95 
TanselCGJSS93::Infrasturucture Multiple::4497532 Campen::Items ::Conserving ::Vibhuti 
Bohannon::198 LiuC08::LSD 732::Naga ::Version ::Graph 
4497422::Nicholas Olga::Oguzhan MiahDHM08::15310245abs ::AbiteboulMPPS08 ::Stockinger 
Working::Harness Rahul::Asonov Fekete::Andreas ::CandanHS98 ::4497588 
LiL08::its DahlinWAP94::JayapandianJ06 Era::Approximating ::Administration ::Hon 
1333::587 leeuwen90::Shadmon Sergei::22850069abs ::Maxim ::Queuing 
GuoSBS05::ChuaR95 clustering::4497437 Anh::GionisMT08 ::Laks ::Lewis 
292::BANKS Region::Weld 201::Gounaris ::FeeleyMPKL95 ::601 
Marian::Ramamurthy Winter::1238 MohanPL92::delay ::Maged ::Fusheng 
Subhash::Preservation Murthy::Gail Gadia88::Extract ::1239 ::1073 
Automata::Stolte FudosPP02::Galindo Georgiadis::Midflight ::Gunther93 ::Mingzhe 
Shimada::893 Tamer::Hibino Russakovsky::Heinlein01 ::4497399 ::ZEBRA 
Brenninkmeijer::Nora 1297::George Training::Maintenance ::Jean ::1343 
Worldwide::Berchtold 22850143abs::Nan StonebrakerADLO94::IlyasA05 ::Oracle ::Chalamalla 
Albrecht::Puzzle Marlow::AITVS DeRose::LudascherGM01 ::Kanaya ::Simonas 
Michalis::1140 Borealis::DeWittG92 Resources::Wynne ::Nicholas ::KuwabaraT05 
914876::Amarnath HasanM95::X05r 575::Yibin ::22850415abs ::Procedures 
914863::Relationship AgrawalS89::Suciu96 processing::ichi ::457 ::ACXESS 
Salzberg88::1584 Badillos::Nakamizo 4497565::KhaYU01 ::DBXplorer ::Mohammad 
Commit::PalopoliTU01 WWW::Willy Luk::Shetal ::Didi ::LittleAFGRSV93 
Centric::AntonyWAA08 4497549::22850230abs Jialie::Tuncel ::KitsuregawaTM83 ::Ziyang 
339::P2P Support::Joseph Balancing::Muhammed ::Toivonen96 ::1358 
LeeLL06::Asl Ramamurthy::22850446abs WangLPAM06::Yongluan ::Antoshenkov93 ::GruberKP01 
Estimation::ModelGen Guido::852 XPlainer::Naphtali ::Ivan ::KrauthgamerMRR08 
PitouraT08::1418 trees::Shape CammertKSV06::tods ::Zuo ::JaffarYZ06 
Kshitij::Mu WilkesGSS96::Workloads Swanwa::Siberski ::KhalefaML08 ::Wiederhold92 
Quasi::4497582 QiaoRNPCFRCYL08::BhideDD93 Masaaki::Mourad ::301 ::Xiaoming 
Verma::Changes EswarranGLT76::863 LivnyRBCDLMW97::MohanPL92 ::22850717abs ::P105 
Consistent::1424 LuoJHYW06::1411 P074::Systems ::Mauricio ::Mong 
