::Stocker ::KappelS91 
::purpose ::Rajasekar 
::NguyenKF08 ::Inside 
::Jabeen ::Kendig 
::Tool ::KhalifaJPWKS02 
::Gunopulos ::914852 
::Ghinita ::Primary 
::Idreos ::Tat 
::Shouxu ::22851120 
::Dai ::927 
::Referential ::ieeecomputersociety 
::914869 ::Power 
::oodbs ::22850106abs 
::Sinha ::Dunja 
::Govindaraju ::Iwen 
::Developed ::Saenz 
::4497562 ::Interfaces 
::22850878abs ::Prefix 
::2000 ::Structure 
::174 ::CQ 
::440 ::426 
::4497618 ::862 
::Direct ::15310270 
::Lot ::111 
::Aziz ::4497435 
::Path ::MotwaniNT08 
::605 ::Dynamic 
::Meta ::Secure 
::Stefani ::Soloviev93 
::Keijzer ::4497462 
::Ali ::452 
::BouazizKPW97 ::Srini 
::1360 ::Majumder 
::BrunoGM02 ::Govindarajan 
::SIPPER ::4497527 
::384 ::Inverse 
::Ailamaki ::Akrivi 
::Theobald ::Nearest 
::Javeed ::CluetD92 
::Experience ::Sanghyun 
::Furfaro ::Fabian 
::Didi ::Tim 
::MolinaS87 ::Xuedong 
::Network ::Yuen 
::Salka ::1476 
::QuassWGHLMNRRAUW96 ::Provisioning 
::4497624 ::Processor 
::Aameek ::HSI 
::LangOS97 ::KiferKS92 
::Nina ::ZhaoRTN98 
::Atsuyuki ::Stonebraker94 
::Power ::Jeong 
::299 ::15310567abs 
::RoussopoulosL85 ::4497463 
::ChandraV85 ::Xingquan 
::ChenJKKMNS01 ::Automated 
::Intelligent ::Chairs 
::Pedro ::236 
::Rinku ::190 
::within ::22851149 
::1148 ::2006 
::RuemmlerW93 ::1143 
::BayerM72 ::914808 
::328 ::ChanFGR02 
::Haifeng ::Simmen 
::On ::Xiao 
::1160 ::HollandG92 
::1464 ::HernandezPVMNH02 
::Response ::XDS 
::Timos ::eBusiness 
::Cubing ::Volker 
::201 ::Java 
::4497452 ::Areal 
::15310287abs ::CareyD96 
::914866 ::Opportunities 
::OrensteinM84 ::QiaoIAA05 
::Chen05 ::SketchTree 
::Stonebraker ::XuLXM06 
::Ifrim ::473 
::15310485 ::914819 
::LiLH06 ::Fixed 
::MED ::dexa 
::433 ::cker 
::Queuing ::DREAM 
::sp ::dblp 
::4497550 ::Hakan 
::Dragut ::Triantafillou 
::Xinqiang ::PrefixSpan 
::P014 ::Sueda 
::Savage ::Papadopoulos 
::ZhaoRTN98 ::Strong 
::Hristidis ::Yuan 
::4497543 ::Sidle 
::Kitsuregawa ::DeWitt 
::4497488 ::Kwok 
::Ranking ::Rathakrishnan 
::Extracting ::Algebraic 
::Kit ::RosenblumO92 
::NN ::X05q 
::Constant ::13 
::T ::P296 
::Highly ::TaoPZL05 
::Crawling ::Sumit 
::Author ::1249 
::GalpinBJFP08 ::KaufmanR90 
::GuptaHQ95 ::Nicole 
::Demo ::1372 
::Implementation ::Schroeder 
::Houman ::PiatetskyF91 
::Ramkumar ::Harald 
::Goetz ::75 
::IdreosTK06 ::avi 
::Optimizing ::ChenHS02 
::Wolfgang ::Rsch 
::22850415abs ::Schema 
::Kenneth ::Ip 
::114 ::ride 
::Stonebraker96 ::Azer 
::AggarwalY08 ::RuemmlerW93 
::422 ::Agma 
::SavasereON95 ::osdi 
::353 ::22850742abs 
::Joan ::Stephanie 
::0 ::P316 
::HanFWCGKLLRSXZ96 ::Antti 
::362 ::PETRANET 
::15310176abs ::Sam 
::155 ::Niblack 
::AntovaJKO08 ::916 
::Timos ::Magdalena 
::DayDIKG95 ::MAN 
::Wrapper ::1324 
::SolworthO91 ::Eberhardt 
::Convertible ::Russakovsky 
::Szabo ::Ling 
::MogiK95 ::TaninHS05 
::Teaching ::Chai 
::949 ::324 
::Crowley ::Pinto 
::25 ::Jennifer 
::Kramnik ::Borr81 
::AkindJLS02 ::Shuai 
::WangY02 ::49 
::893 ::Strict 
::Signatures ::between 
::Gone ::Cattell96 
::MOLAP ::SunPF05 
::compcon ::Dumas 
::369 ::Aranyak 
::ChorLRS86 ::Publishing 
::Ambuj ::spieSR 
::ChaudhuriW06 ::Yongqiang 
::Id ::Dependency 
::1420 ::NieWWM06 
::Han ::Jiang 
::Counts ::Halverson 
::Wavelets ::Bedell98 
::Jianmin ::Arasu 
::NN ::HacigumusMI02 
::P324 ::Frederick 
::Xiaokui ::Melnik 
::22850310abs ::4497431 
::Salzberg88 ::LometS89 
::Ferrari ::ChawatheRGW96 
::SistlaYH94 ::Xiao 
::KumarLMT08 ::Eng 
::Shaft ::Stefani 
::Peiya ::LiHYX05 
::BronczWK98 ::Equation 
::HullY90 ::Seltzer 
::Earl ::Barton 
::NguyenKF08 ::401 
::216 ::600 
::MOLAP ::4497431 
::Jansen ::ReichertRKD05 
::Yannis ::342 
::Shantanu ::XQuery 
::Condensed ::Megiddo 
::OrensteinM84 ::X05p 
::JiangMCS08 ::4497621 
::P550 ::Dakka 
::Cochinwala ::4497532 
::64 ::15310187 
::Goyal ::914872 
::Changqing ::Gorman 
::LOCUST ::icde2002 
::4497627 ::Takegawa 
::Haibing ::Dam97 
::Shin ::Silberschatz 
::Hilda ::MuralikrishnaD88 
::Nimble ::Rajamani 
::Graham ::ChiuehB08 
::Casati ::Zadeh65 
::23 ::Patterson 
::Linga ::958 
::Pablo ::KuwabaraT05 
::Entity ::Quickly 
::P436 ::666 
::Zloof77 ::ArumugamJ06 
::PDM ::TataFS06 
::1402 ::352 
::Hiroyuki ::ChenWZY08 
::MyllymakiL96 ::1360 
::MoDB ::Abdelmounaam 
::RothH93 ::Malicious 
::Scalable ::4497470 
::Paolo ::Paton 
::Adam ::1113 
::C ::ONeilOW93 
::RAD ::LeungNM02 
::Matthias ::Evaggelia 
::van ::AliZTK08 
::Cahill ::22851148abs 
::244 ::Guha 
::DelisR94 ::Transcoding 
::RiTE ::Sandra 
::Lian ::15310141abs 
::Theory ::LinAGD08 
::949 ::DeshpandeH02 
::Over ::Lutz 
::Tanveer ::Pattern 
::Mirette ::Papakonstantinou 
::NgH94 ::22850230abs 
::Graphitti ::StockerKBK01 
::KoudasS05 ::SametA95 
::94 ::LeFevre 
::AutoGlobe ::Exploring 
::Netz ::Antony 
::Ertem ::Akiko 
::914824 ::Gting 
::YangLYX05 ::to 
::10010661abs ::Click 
::Quang ::CaiHH08 
::22850372abs ::545 
::Shim ::Sang 
::Vries ::aaai 
::633 ::Zadeh89 
::Acharya ::under 
::Be ::Shubha 
::24 ::SIREN 
::4497451 ::1367 
::Shi ::Sameer 
::Antony ::Niels 
::Chin ::295 
::P324 ::AhmadPCR08 
::Functional ::Elements 
::Kwietniewski ::Aoki 
::651 ::Periodic 
::1360 ::Xiaoyong 
::2001 ::Mourad 
::Pin ::Tanaka 
::Aggregationin ::1327 
::PreparataS85 ::Jiying 
::534 ::Miah 
::939 ::GhandeharizadehHJ92 
::AgrawalS95 ::Das 
::Commodity ::Restructuring 
::Haojun ::Caching 
::From ::1345 
::P178 ::Cornelius 
::Sourav ::1316 
::Cliff ::Qian96 
::Ursino ::Jaideep 
::Dik ::1180 
::Thuraisingham ::1408 
::383 ::BerchtoldEKKS98 
::36 ::Reducing 
::Knuth73a ::Zhiping 
::Siong ::HwangBRCSZ05 
::1471 ::914813 
::deductive ::Ogawa 
::BohannonFRS02 ::Mehmet 
::Lindsay ::Cubing 
::4497496 ::LinVM06 
::523 ::Renner 
::P105 ::Oracle 
::Caches ::Suciu96 
::Mutsumi ::575 
::ElghandourAZCBBZ08 ::Qiong 
::75 ::401 
::coopis ::Push 
::OntoWebber ::over 
::Hasan ::Trajectory 
::Janne ::P268 
::531 ::Denny 
::Luis ::SI 
::Herlihy90 ::Telematics 
::1495 ::DanK95 
::Rafiei ::Gao 
::Jason ::BrunoC08 
::Jianlong ::Finding 
::AbiteboulCCMMS97 ::274 
::AlomariCFR08 ::914829 
::99 ::Unknown 
::Matches ::Proactive 
::22850853abs ::Koubarakis 
::Vinayak ::MehrLLS08 
::914865 ::Partitions 
::Product ::Jonker 
::Amol ::Quantitative 
::914848 ::15310517abs 
::RohmBS01 ::OLTP 
::1388 ::SaltonG83 
::BehrG05 ::1369 
::Block ::Winter 
::CammertHKRSSZ06 ::V 
::Agrawal ::1624 
::Whitley ::Wenning 
::1373 ::CareyHSACFFLNPTWW95 
::Confidence ::121 
::CammertHKRSSZ06 ::Jeong 
::Candan ::ChenJKKMNS01 
::Load ::AssentWMS08 
::Savage ::Casati 
::833 ::GuoSBS05 
::Elke ::1417 
::Vassilis ::1005 
::Vassilis ::1512 
::BarbaraI94 ::1136 
::Conserving ::587 
::MendelzonW95 ::BunemanDHS96 
::Sheth ::Vclav 
::temporal ::630 
::Telematics ::Economically 
::Vries ::Dependent 
::Alex ::Ryan 
::Kristen ::BrinkhoffKS96 
::4497487 ::toplas 
::Representing ::Zimmermann 
::1140 ::Laboratories 
::4497522 ::Magdalena 
::Yi ::Scientific 
::Expression ::Vakali 
::Method ::Sudipto 
::LinAGD08 ::Amr 
::MalinS06 ::RDB 
::Id ::WeisN06 
::Schlimmer93 ::Kjetil 
::672 ::22850322 
::CormodeKT08 ::LegariaGGHSWYZZ08 
::4497439 ::ShivakumarG97 
::1129 ::Obstacles 
::914825 ::Honishi 
::1372 ::1510 
::Expressivity ::306 
::4497564 ::networks 
::Ganesan ::Kanoulas 
::302 ::Prcis 
::JohnsonMSS08 ::ChaudhuriNR08 
::Wiederhold93 ::Wombacher 
::Monitoring ::4497526 
::Placement ::P380 
::Ong ::Cliques 
::1123 ::220 
::Loh ::Dessloch 
::Working ::243 
::Aboulnaga ::Stored 
::AbiteboulMP05 ::SinghL08 
::Robust ::Protecting 
::David ::483 
::199 ::Wrapper 
::Objective ::Gyllstrom 
::106 ::22851131abs 
::KitsuregawaTM83 ::1397 
::Hirade ::SECONDO 
::22850580abs ::10010173abs 
::Balaji ::Authors 
::Tasks ::BravoFGM08 
::259 ::914854 
::1497 ::HollandG92 
::Steven ::Balakrishna 
::Grid ::Neighbors 
::Sakellariou ::LeslieJBY95 
::Filter ::HowardKMNSSW88 
::4497517 ::AbiteboulCCMMS97 
::Wrapper ::Intra 
::Yifeng ::85 
::Facet ::Constructs 
::Rajaraman ::353 
::Floris ::Alexandros 
::Linkage ::130 
::SaveRF ::Swart 
::1061 ::Dayns 
::Simple ::Ha 
::Gattu ::Tingjian 
::P466 ::15310235abs 
::Salka ::Accurate 
::Guestrin ::DrapeauPK94 
::Mauricio ::Centric 
::RooholaminiC95 ::Weining 
::XCluster ::NakanoIK98 
::301 ::Coupling 
::Record ::WuK05 
::pdf ::Hoarding 
::Right ::Idea 
::Ouri ::X06c 
::MorsePG06 ::Braga 
::Authors ::Messaging 
::42 ::Evaluating 
::Goh ::Region 
::CormodeKMS05 ::Terlecki 
::Integratio ::1106 
::Kraus ::Indrajit 
::Client ::ZhouZVQ08 
::P602 ::Dale 
::Dittrich ::Land 
::BalminOST08 ::MaurouxAF06 
::355 ::Qi 
::TsatalosSI94 ::Joachim 
::1003 ::ModelGen 
::476 ::DeligiannakisSKVD08 
::Dou ::Siva 
::76 ::Hypermedia 
::942 ::Hongyan 
::Environmental ::Bertino 
::22850131abs ::Dayns 
::22850594abs ::SQL 
::EllisG89 ::Search 
::Samples ::Venkatasubramanian 
::Antoshenkov92 ::Pascal 
::Yossef ::Bosworth01 
::databases ::mit 
::Maxim ::Planning 
::Ajay ::22850298abs 
::521 ::GruenwaldBP06 
::4497541 ::Integratio 
::SaltonWY75 ::22850533abs 
::Under ::4497621 
::Verma ::ZhugeG98 
::Gunther93 ::15310001 
::Preda ::Portal 
::Hiroshi ::RinardD96 
::ChandelNS06 ::Kristin 
::CareyFLS91 ::Neighborhood 
::CareyD96 ::1548 
::TrombettaB06 ::Salem 
::695 ::Programming 
::Hetal ::Attributes 
::1107 ::Capturing 
::ZhangS06 ::Scene 
::Ullas ::1239 
::GutingS95 ::22850422abs 
::Khatchadourian ::Kanthi 
::Ouri ::P316 
::Haixun ::Background 
::Estan ::243 
::XiongA06 ::bdbms 
::22850518abs ::Renner 
::Systems ::Weidong 
::Grust ::Mitschang 
::146 ::71 
::McCannSD08 ::Sequencing 
::Area ::1267 
::ReichertRKD05 ::832 
::Nakano ::Ying 
::Yasushi ::299 
::22850549 ::Sergej 
::DuS82 ::IMPrECISE 
::Lapped ::Compressor 
::Weidong ::pages 
::Simoudis ::Harold 
::64 ::372 
::1100 ::Mahmood 
::TaninHS05 ::DeRoseCGSDBZ08 
::GraefeM93 ::Rishe 
::22850564abs ::JigyasuBBCDMT06 
::1591 ::ImielinskiVA96 
::335 ::ChenOO08 
::4497483 ::P209 
::icde2006 ::BrownH06 
::113 ::9 
::1624 ::Athitsos 
::Detect ::Freeston87 
::GhandeharizadehHJ92 ::inWireless 
::Joseph ::Neville 
::btw ::Hsiao 
::Extending ::MetaQuerier 
::Clients ::Systematic 
::toms ::P550 
::Kendig ::SrivastavaDJL96 
::with ::22850804abs 
::Reiss ::Serializability 
::CoT ::Region 
::Ariel ::Ertem 
::Dmitri ::Hai 
::Bypass ::1576 
::Archival ::Sanjay 
::Access ::166 
::Ping ::Pervasive 
::22850186abs ::YinC05 
::4497579 ::Konrad 
::Predator ::Transformations 
::RaoM06 ::NetzCFB01 
::716 ::Constant 
::Now ::Bossi 
::BernsteinGLL98 ::Wilschut 
::RothH93 ::Gio 
::Arijit ::914848 
::Messaging ::Srikanta 
::Ravishankar ::1147 
::Shuai ::716 
::Palios ::Maintenance 
::Vasilis ::Bhalotia 
::Closed ::Suhre 
::Honishi ::Snodgrass 
::DeRoseCGSDBZ08 ::Hoel 
::Regions ::Halpern 
::914837 ::Coupling 
::1132 ::Bernhardt 
::PrefixSpan ::Commutative 
::VenkataramanLN95 ::340 
::Haritsa ::Roussopoulos 
::DescribeX ::GrayCBLRVPP97 
::Shinjiro ::Reynold 
::tois ::Uemura 
::369 ::200 
::501 ::AgrawalCD02 
::Jure ::22850415abs 
::Grid ::185 
::Remote ::914809 
::Keith ::HutfleszSW88 
::Yoshizawa ::Ajay 
::4497467 ::Xiaojin 
::Advancement ::Erhard 
::Expressions ::Robinson81 
::15310492 ::4497477 
::Burst ::ChenL02 
::ZhangTS02 ::4497456 
::61 ::KhalefaML08 
::BayerM72 ::KriegelKPR06 
::Arijit ::KreveldO91 
::Zuzarte ::Miller 
::Derivation ::20 
::Infrasturucture ::partite 
::323 ::Antal 
::Galt ::Kunath 
::4497454 ::Reordering 
::Make ::Dam97 
::1005 ::DebLRS08 
::Reviewers ::Durmaz 
::1486 ::P054 
::Szabo ::BanerjeeC96 
::22850329abs ::Wu 
::NieWWM06 ::Network 
::BrantnerKMH06 ::SemCast 
::Fuxman ::933 
::Chandel ::Rakesh 
::22851129abs ::Stratis 
::Motwani ::15310270 
::Leh ::CoT 
::Stanislav ::Kanad 
::1462 ::LeeMCC02 
::Modeling ::Adlib 
::FayyadPS96 ::Martin05 
::Banerjee ::SteenhagenBB96 
::328 ::LawrenceB02 
::Goel ::Challenges 
::AbulBN08 ::Shaft 
::ReissH06 ::4497483 
::Procopiuc ::ShenOT06 
::SkytJP02 ::Access 
::Charging ::Remote 
::Darrell ::King 
::DasguptaGJSV05 ::Bruno 
::Khaitan ::1998 
::1366 ::Prototype 
::Murthy ::Arocena 
::Paradigm ::Vetle 
::339 ::110 
::Ailamaki ::StonebrakerC05 
::KistlerS91 ::SCADDAR 
::Kambhampati ::Yee 
::4497630 ::Sakuma 
::QuLM06 ::283 
::Pudi ::Salzberg86 
::ZhaoIG08 ::Miner 
::Bolin ::728 
::zsu ::4497451 
::Snodgrass87 ::Shahabi 
::AntonyWAA08 ::Stolte 
::Realization ::914849 
::Performance ::Hyon 
::ssd ::MolinaGS96 
::bncod ::380 
::or ::Human 
::269 ::Alfons 
::283 ::15310081abs 
::Memos ::Hiroaki 
::Syan ::MaH01 
::Hwanjo ::Bhattacharya 
::Attacks ::Towards 
::etintemel ::Wolski02 
::bdbms ::Hypermedia 
::MeltonS93 ::Fusheng 
::YangPPK08 ::JagadishMM95 
::SmithC96 ::Nori 
::Menzo ::P466 
::RusinkiewiczKTWM95 ::Papaemmanouil 
::DogacBO06 ::rtdb 
::Party ::ReissH06 
::Karlsson ::Exploring 
::Hauswirth ::LuoNE02 
::Motion ::Zahir 
::AstrahanBCEGGKLMMPTWW76 ::Spreadsheet 
::Barbara ::Papakonstantinou 
::P178 ::Keulen 
::Parallelism ::MitschangPPLS93 
::AlonsoBPHK01 ::Hai 
::BrinkhoffKS93 ::1510 
::Reiss ::KuZWW06 
::MyllymakiL96 ::dblp 
::Arjen ::395 
::Bloom ::22851124 
::s ::1488 
::4497476 ::Cox 
::1363 ::Weihl88 
::Kleene ::76 
::533 ::DUP 
::4497521 ::380 
::Ding ::LowTLL02 
::4497571 ::ACXESS 
::Inter ::Federations 
::MamoulisCYC06 ::604 
::IR ::Partnership 
::914854 ::Paloscia 
::Stop ::Dittrich 
::Percy ::G 
::RDFS ::1460 
::1533 ::Pu 
::Orchid ::1100 
::Masahiko ::Domain 
::ph ::22850434abs 
::Specific ::63 
::SistlaY96 ::Composition 
::Carson ::KimCD05 
::Hanson87 ::4497398 
::Karthikeyan ::jsac 
::4497565 ::Paraskevas 
::Tetsuya ::Millions 
::Kanad ::Mamoulis 
::Bryan ::Amr 
::Edoho ::Identification 
::KitsuregawaTM83 ::1081 
::Kanad ::X05r 
::229 ::Wolski 
::Hyon ::Limitations 
::Adaikkalavan ::15310274 
::Kersten08 ::Shuyu 
::cover ::Zhuge 
::Mamadou ::1391 
::BorzsonyiKS01 ::PreparataS85 
::Soo ::Bttcher 
::4497626 ::Jagannathan 
::Dam97 ::Third 
::SchmidtKW01 ::151 
::Das ::Panayiotis 
::1474 ::Cliques 
::Fusheng ::ZhangTS02 
::Gsli ::Declustering 
::28 ::4497505 
::387 ::Disclosure 
::Johannes ::Harald 
::Nimrod ::BodenCFKSSS95 
::Kunath ::211 
::40 ::Poulsen 
::Henrich98 ::1150 
::YFilter ::RotemZ95 
::TianP08 ::15310262 
::Khoussainova ::Shweta 
::1599 ::AcharyaAFZ95 
::Predator ::Gehrke 
::Al ::Schubert 
::Banaei ::Air 
::ArefS94 ::Kubota 
::Interpretation ::118 
::914818 ::Olston 
::22850446abs ::KohLHA08 
::Khaled ::ChaudhuriGKLLM98 
::22851131abs ::Versus 
::HanMWS01 ::CarminatiFB05 
::Cole ::PuHK06 
::927 ::Ahmed 
::wi ::BlossomTree 
::http ::Zabback 
::RamanSQRDKNS08 ::Batched 
::DragutWSYM06 ::NakamuraAOS93 
::43 ::van 
::1533 ::22851135 
::LometBMS06 ::Molina08 
::Location ::icmcs 
::Exemplar ::967 
::4497615 ::542 
::Guan ::Acharya 
::de ::Efficient 
::Christian ::YangP08 
::Halverson ::270 
::Full ::Response 
::Haejoong ::Sujata 
::Henrich ::S 
::RemiasSZS97 ::with 
::914824 ::Melliyal 
::Schlimmer93 ::Database 
::Schning ::Congjun 
::STAG ::XingZH05 
::Grid ::1160 
::P201 ::Stanley 
::Bypass ::Arocena 
::B ::Library 
::Automata ::Accelerating 
::Gio ::Hailong 
::Shurug ::What 
::Samaras ::AnwarMC93 
::Orlando ::131 
::362 ::Correction 
::Idea ::Habich 
::1518 ::Harald 
::SmithC96 ::672 
::ShashaLSV95 ::Footprint 
::Chih ::Middleware 
::Schlesinger ::Migrating 
::Sadhukhan ::Network 
::Natural ::Panel 
::Dittrich ::Yap 
::Ixent ::330 
::Brown ::SchenkelTW05 
::4497540 ::22850631abs 
::Theory ::artdb 
::Apurva ::AggarwalY08b 
::Hendrik ::XiaZT08 
::Bases ::Aboulnaga 
::Junglee ::1540 
::Pfeifle ::Bossi 
::Tara ::Suciu 
::AgrawalJKL06 ::He 
::Dmitry ::Mirit 
::DBXplorer ::4497498 
::633 ::3D 
::1518 ::IshikawaYIK96 
::535 ::Cudre 
::741 ::GedikWY08 
::Directions ::Athena 
::Migrating ::SametA95 
::823 ::Practical 
::WangL08 ::Umeshwar 
::22850576 ::Tiong 
::Processor ::LinJF94 
::Matches ::Gukal 
::WangPY05 ::939 
::SardarK06 ::1367 
::Cochinwala01 ::Two 
::4497490 ::in 
::Zimmermann ::similarity 
::MohanLO86 ::Peers 
::Editor ::KlemettinenMRTV94 
::Emerging ::Skylines 
::V ::Cappellari 
::Puzzle ::Fastest 
::22851133 ::307 
::Tirthapura ::558 
::388 ::ColbyCHJJMSW98 
::Martone ::1399 
::Constrained ::1603 
::Singer ::MOLAP 
::Alfons ::4497460 
::4497583 ::225 
::MoonWL01 ::GrabsBS01 
::Simoudis ::Herbert 
::SI ::ShaoNS05 
::YiLHKS08 ::Yoshinari 
::922 ::IkedaMITHHO05 
::zsu ::Column 
::Sismanis ::Amza 
::Krger ::Dual 
::Andrew ::KramerP96 
::Damdinsuren ::Sanjay 
::SedmidubskyBDZ08 ::Fault 
::Mitschang ::Prefetching 
::4497548 ::Improved 
::1357 ::HuaYL06 
::Coupled ::Sotiris 
::Ping ::Wiwatwattana 
::22850552abs ::22851131abs 
::HellersteinNP95 ::22850545 
::Hsu95 ::Multiresolution 
::4497625 ::Yidong 
::Kambhampati ::914834 
::PaduaW86 ::Tsukamoto 
::XPlainer ::Chiew 
::Watzke ::Shah 
::Siersdorfer ::Narayanan 
::top ::Koloniari 
::Transactions ::NakamuraAOS93 
::KornackerMH97 ::clustering 
::Songting ::NeumannHM05 
::Reorganization ::Outlier 
::SametA95 ::HirataHTK96 
::313 ::Koh 
::RiTE ::Adaptive 
::346 ::Skew 
::Spiros ::pods 
::PolyzotisG06 ::22850256abs 
::StoumposDKD08 ::ACT 
::LSD ::4497589 
::Fukuda ::Omiecinski 
::Markos ::Inverse 
::Milano ::TolaniH02 
::MansuriS06 ::Minh 
::Virtualization ::Norio 
::540 ::325 
::ONeilOW93 ::Wesley 
::914819 ::Grzegorz 
::Klinginsmith ::Nectaria 
::132 ::Telecommunications 
::882 ::Alejandro 
::Calimlim ::HwangCZ08 
::Majumder ::Phantom 
::Management ::Abstract 
::Implementation ::Jarek 
::ChuDHH06 ::843 
::Shukla ::StonebrakerK91 
::DBMSs ::SPARK 
::Scientific ::Glimcher 
::Rys ::673 
::Graefe98 ::P154 
::Integration ::Chengyu 
::Parallelism ::Leveraging 
::Chaum85 ::Activities 
::Aboulnaga ::Transparent 
::InanKBS08 ::Boolean 
::Meisen ::McWherter 
::Junglee ::Thalhammer 
::LeongS97 ::Gawlick 
::296 ::Delcambre 
::15310225abs ::Xiaopeng 
::Shrivastava ::Prioritization 
::Bin ::Wensheng 
::Shift ::ChenDZ06 
::ChenLL08 ::Vibhuti 
::Trajectory ::1190 
::Mohammad ::4497537 
::PeiHL01 ::568 
::ChonAA02 ::Model 
::WangYM01 ::sp 
::Issues ::Preaggregation 
::22850516abs ::KoudasS97 
::Anurag ::392 
::4497491 ::Set 
::Signature ::Cappellari 
::scale ::Zahir 
::Negi ::322 
::ZhangAO05 ::693 
::ChenLL08 ::AgrawalCD02 
::DB2 ::22850580abs 
::Braynard ::Labeled 
::AraiDGK06 ::ThuraisinghamHRM98 
::RabinovichBGLMM98 ::Concurrent 
::Volumes ::Millions 
::Masaru ::WolfsonXYC06 
::t ::HamakawaR94 
::Netz ::ParkKL01 
::Carson ::HornickZ87 
::Yiheng ::Uchiyama 
::Evripidou ::CaliM08 
::HibinoR96 ::Approximating 
::ChenOO08 ::15310191abs 
::Westmann ::Warehousing 
::Greedy ::P476 
::Use ::Graphical 
::914827 ::Christian 
::Laws ::Infrasturucture 
::Radeschutz ::mms 
::YangL87 ::547 
::Andrzej ::Franois 
::Ohler ::1388 
::Filters ::Chambliss 
::1603 ::Wook 
::4497491 ::Donghui 
::902 ::Russakovsky 
::Tabular ::Zurek 
::Ferlez ::Next 
::4497425 ::Gukal 
::130 ::594 
::DeFazio01 ::Chin 
::Salem ::Controls 
::4497406 ::Silberstein 
::LudascherGM01 ::KappelS91 
::Bossi ::Furfaro 
::Patel ::317 
::Framework ::Lutz 
::CabibboPT06 ::Olga 
::KamathR98 ::Georges 
::SeshadriLR94 ::Zina 
::P297 ::pdf 
::Khuzaima ::15310555abs 
::Venky ::459 
::Logging ::Legaria 
::IshikawaIKH92 ::Architectures 
::Gong ::clustering 
::Replacement ::1122 
::Expiration ::Niblack 
::4497627 ::Moving 
::PHASME ::Marlow 
::SarawagiS96 ::Juliana 
::Result ::Jagrati 
::Trombetta ::66 
::LuoNEW05 ::Hypermedia 
::Loading ::Volker 
::Nimble ::Junghoo 
::Elisa ::Terlecki 
::Implicated ::15310327 
::Relationships ::BittonMT89 
::Schmidt ::Dittrich 
::Duan ::KreplinZ01 
::Nasi ::Dimitris 
::PolyviouSE05 ::ZhangLKW06 
::EvdokimovFG06 ::22850118abs 
::JagadishMS95 ::Beyer 
::299 ::Hoa 
::973 ::Worldwide 
::Guan ::Evolution 
::DakkaI08 ::ipsj 
::Lessons ::Unlinkable 
::Memory ::BeckmannKSS90 
::XiaZ06 ::P351 
::Beyer ::Anh 
::914867 ::442 
::Xianghong ::Eunus 
::Elhadji ::Vrhovnik 
::Huhtala ::Pudi 
::15310490 ::PatonDWCDJ93 
::Clemens ::16 
::ElfekyEV02 ::VlachouDNV08 
::Jhingran ::Hiroyuki 
::Lawrence ::Seshadri01 
::Coordinated ::4497511 
::Koubarakis ::Boulakia 
::Abowd ::inproceedings 
::KoudasS05 ::pdf 
::Ramkumar ::Christian 
::Bowman ::ChaudhuriNR08 
::DasguptaGJSV05 ::4497537 
::ChenDZ05 ::Kjetil 
::Footprint ::Constrained 
::725 ::Devices 
::Sky ::Evolution 
::Biased ::Periods 
::Bentley80 ::Prototyping 
::Actionable ::Patel 
::Bernhard ::Gao 
::ProcopiucS08 ::417 
::Chee ::Lakshmanan 
::Berners ::Meichun 
::4497582 ::550 
::BestPeer ::Seshadri01 
::XiongA06 ::BoberC92 
::Nabar ::4497563 
::DakkaI08 ::GardarinGT95 
::Communities ::Bilke 
::Meo ::Akitsugu 
::Chin ::Seluk 
::Logging ::Unity 
::P014 ::Deep 
::Nan ::433 
::Engines ::132 
::Elegant ::Qin 
::UNIT ::FernandezFKLS97 
::Schallehn ::22850533abs 
::Linkage ::2005 
::Davide ::1555 
::Sujeet ::136 
::fayyadPSU96 ::Reachability 
::Hanyu ::Andreas 
::Clusters ::Sherkat 
::Molina83 ::993 
::Replication ::Trial 
::WolfsonXYC06 ::545 
::Recently ::Virtualization 
::22850865abs ::WhiteDJ96 
::Vclav ::FranklinCL93 
::PopivanovM02 ::Enabling 
::Renato ::Walid 
::1082 ::696 
::LevyRO96 ::ChenSZ05 
::1141 ::HenrichHSW91 
::Bruce ::Dialani 
::Prasad ::15310673abs 
::Nassima ::bancilhonDK92 
::Hao ::Noise 
::Referential ::P036 
::RothH93 ::Kumaran 
::ChanG85 ::Pierre 
::Parallel ::Eenjun 
::Kashima ::Kundu 
::Deb ::Scaling 
::Availability ::Regions 
::debu ::15310279 
::Hernndez ::Strategies 
::Anja ::B 
::434 ::MalkemusPBC05 
::DogacBO06 ::YangPPK08 
::914857 ::Muthukrishnan 
::321 ::Aggregation 
::CammertHKRSSZ06 ::Ghosal 
::Sadhukhan ::Extended 
::Prakash ::205 
::Weihl87 ::Felix 
::Polyviou ::Amza 
::Optimal ::SiL96 
::FLAME ::436 
::ETL ::Asl 
::widomC96 ::208 
::Vaisman ::Zadrozny 
::SimitsisVS05 ::ONeilG95 
::Objects ::Wei 
::Coordinated ::Subrahmanian 
::integration ::Sullivan96 
::4497613 ::22850256abs 
::532 ::Hui 
::4497629 ::BINGO 
::22850594abs ::1324 
::Explicit ::Cost 
::constrained ::Visualization 
::Osmar ::Indrajit 
::LiuLG08 ::Kanagal 
::KriegelKPR06 ::Hibino 
