::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::FarfanHRB08 ::1534 ::KumarLMT08 ::Ahn 
::22850310abs ::Alex ::Vanitha ::dl 
::Pseudo ::10 ::Akihiro ::Sarawagi97 
::22850878abs ::914859 ::1277 ::VaidyaC05 
::ZouC08 ::AbiteboulHV95 ::166 ::Ulrich 
::Bin ::Kasthurirangan ::Business ::Experiment 
::Xingdong ::Alborzi ::Mehrotra ::Kwang 
::4497487 ::Kien ::Tadashi ::118 
::Techniques ::delay ::Exploring ::Tata 
::P192 ::SVG ::XM ::1209 
::IshikawaK93 ::252 ::Horibe ::939 
::Committee ::15310483 ::Andrs ::Sakuma 
::Haibo ::biased ::Deductive ::Gail 
::KeidlKKK02 ::AssfalgKKKPR08 ::VaradarajanHR08 ::68 
::4497619 ::Renz ::Estimating ::Junghoo 
::Guang ::4497585 ::1137 ::EELs 
::QianW91 ::RDFS ::CareyHSACFFLNPTWW95 ::767 
::Partitions ::Xiaokui ::Larson02 ::Ludscher 
::Gjergji ::1442 ::Reification ::Aberer 
::Mukesh ::NN ::Coordinated ::Inflationary 
::Accurate ::Sensing ::4497510 ::Syeda 
::for ::SCADDAR ::Native ::join 
::Scott ::RyvkinaMCZ06 ::317 ::MelnikGR02 
::Cooper ::NgOT02 ::506 ::Jiangchuan 
::Andrea ::Wombacher ::Hernndez ::939 
::Hope ::278 ::Huiming ::22850422abs 
::Magdalena ::Changes ::IvanovaKN08 ::Correctness 
::803 ::22850471abs ::Yoshinori ::Transactional 
::1331 ::DanK95 ::Piatetsky91 ::JiangMCS08 
::Stratis ::GravanoG95 ::Kobayashi ::YinC05 
::4497574 ::Atluri ::Format ::Radwan 
::Variable ::Sumit ::Ailamaki05 ::dl 
::GeorgakopoulosHKM94 ::Essence ::CastellanosCSD05 ::Hang 
::Zaane ::BancilhonR86 ::LaiTB05 ::Prediction 
::140 ::CarterBZ95 ::EffelsbergH84 ::Filters 
::1560 ::9 ::Automata ::Tian 
::Margo ::22850693abs ::tcs ::Diagnosis 
::LeungNM02 ::Halevy ::Hnle ::Datar 
::Bartlett81 ::SUBSKY ::1005 ::Borealis 
::188 ::Shweta ::Provable ::CarterBZ95 
::HullY90 ::Oracle8 ::Tam ::COSTA 
::Esther ::Bartlett81 ::22850285abs ::WangHLS06 
::AgrawalIS93 ::Jagadish90 ::741 ::Peter 
::Optimizer ::MohanN91 ::Marzouk ::Prefetching 
::VBI ::143 ::Ives ::Grabs 
::Mishra ::Whose ::500 ::RinardD96 
::Nearest ::4497404 ::Manocha ::Trajectory 
::Mostafa ::btw ::Savage ::Panagos 
::Mondrian ::Reviewers ::Joxan ::962 
::Lu ::585 ::636 ::Shrira 
::1322 ::DIPBench ::CastellanosBR08 ::Vries 
::Lieuwen ::icdcs ::4497564 ::cp 
::FranklinC92 ::4497629 ::4497397 ::dblp 
::Atmosukarto ::Qingchun ::15310403abs ::Stolte 
::581 ::Generalizing ::Attribute ::Hulgeri 
::Gonzalez ::Su ::265 ::Weber 
::4497621 ::914829 ::Chuan ::182 
::4497535 ::WangPY05 ::BlockeelCFGP08 ::RoitmanGR08a 
::NgOT02 ::Silva ::22850516abs ::Jenkin 
::Flattening ::BatiniL86 ::Habich ::AbiteboulMPPS08 
::Crowd ::Sakellariou ::Lineage ::Update 
::Gadia86 ::Anirban ::BeckerHF93 ::ChuK89 
::Pushpraj ::Ajay ::Shafiq ::4497456 
::FriedmanBF77 ::RoitmanGR08a ::Bernedo ::Constraints 
::Willy ::ZhouP08 ::Array ::Matching 
::15310141abs ::Haggai ::Position ::Hybrid 
::Vlastislav ::1417 ::Baral ::Mehmet 
::Gruber ::4497471 ::DrapeauPK94 ::Moshchuk 
::Nearest ::Naidu ::GhaffarA97 ::Virtual 
::22850193abs ::WatanabeY05 ::Monitoring ::Dirty 
::Kemper ::LiLL08 ::DeWittG92 ::Samet90 
::Bryan ::Papadias ::WilkesGSS96 ::Dialect 
::MeltonS93 ::LiuYT05 ::BaralisCC05 ::ImielinskiB94 
::Billing ::ChristophidesCM96 ::PapakonstantinouAG96 ::Propagation 
::1150 ::Yiming ::902 ::Jaideep 
::1620 ::1249 ::4497595 ::Mitch 
::1139 ::COUNT ::Rasin ::Emeki 
::Petko ::187 ::Rule ::22851118abs 
::Tam ::ks ::853 ::Pietzuch 
::Deletes ::22850578abs ::149 ::WebFountain 
::SimitsisVS05 ::Fayyad ::Arif ::Qiong 
::345 ::iandc ::be ::Manjhi 
::algorithmica ::Daniela ::Feedback ::PrefixSpan 
::YFilter ::Based ::642 ::Zhengli 
::GrayBLP96 ::Customer ::4497436 ::22851048abs 
::Junmei ::LieuwenD91 ::1103 ::643 
::15310273 ::Hull ::B ::Prototyping 
::Young ::Gerstl ::BalkeNST05 ::914823 
::CormodeIKM02 ::ShaLJ88 ::Reviewers ::Zipf49 
::Tissues ::370 ::Store ::WiwatwattanaJLS06 
::YanZH05 ::centric ::Rabindra ::Banaei 
::ChenR94a ::Kashyap ::Master ::Dayal 
::Jan ::Serap ::179 ::Yingqi 
::Gamper ::Shivnath ::Automating ::AbiteboulMP05 
::517 ::Descriptions ::22850656abs ::Weihl87 
::BrantnerHKM05 ::Machanavajjhala ::Braumandl ::Sean 
::ShengHL06 ::BernsteinHM90 ::Join ::PapakonstantinouGU96 
::83 ::61 ::MIC ::Cochinwala 
::Guohong ::Shan ::Anand ::Bowman 
::Elfeky ::Shekita ::ChoR02 ::Reference 
::Malik ::Conscious ::Heinlein ::Mehta 
::JoshiJ06 ::MukherjeeRS05 ::Redbrick ::Fischer 
::Bhide ::Jennie ::Narang ::P568 
::Versatile ::1116 ::AquaLogic ::Record 
::Unity ::275 ::Sakellariou ::RDBMS 
::Dohnal ::Gawlick98 ::Bryan ::JainDG08 
::MetaQuerier ::Nakamizo ::Operation ::KimPC01 
::Torvik ::YiuMK08 ::4497585 ::306 
::1576 ::hpts ::Domenico ::914870 
::Middle ::Weaver ::Fuzzy ::Thaden 
::Worldwide ::AbiteboulHV95 ::QoSMig ::4497453 
::CNN ::152 ::Lessons ::Yiming 
::CastroN08 ::MalinAEL05 ::Sideways ::PfahringerK95 
::375 ::Malicious ::ChenJKKMNS01 ::High 
::InanKBS08 ::linear ::Garcia ::Randal 
::Personalized ::LuBZ06 ::ZouC08 ::BeckerHF93 
::ViteX ::Uri ::FayyadPSU96 ::Alon 
::Unstructured ::PapakonstantinouGU96 ::312 ::HoweM05 
::Rui ::260 ::Tight ::Tirthapura 
::1479 ::4497398 ::Pull ::Ding 
::Traceability ::linear ::Art ::Reorganization 
::Periklis ::Migrating ::OLE ::MetaQuerier 
::1424 ::won ::icmcs ::P076 
::241 ::Roland ::GuptaHR98 ::28 
::351 ::Floris ::581 ::Zhaohui 
::GalpinBJFP08 ::Teamwork ::Jia ::Caching 
::Constantly ::RiTE ::Verma ::Moss 
::Production ::Alexandros ::Fractal ::Spatiotemporal 
::Madden ::Nilesh ::Legacy ::Xuegang 
::Gridded ::Olga ::Signal ::SakuraiPF05 
::Kiernan ::MamoulisCYC06 ::AgrawalAS93 ::IWill 
::Labrinidis ::FranklinZTCD92 ::Lam ::PapakonstantinouGU96 
::Duplicate ::Loh ::HellersteinKP97 ::426 
::Bo ::PapaemmanouilC05 ::Accuracy ::Kong 
::Anastassia ::Samples ::Shamkant ::Juha 
::Simitsis ::Sarawagi97 ::Papapetrou ::Business 
::Sundaresan ::1331 ::406 ::Derivation 
::Hiroyuki ::YinC05 ::Rishe ::Hari 
::188 ::Fault ::Mehmet ::Everyplace 
::Azer ::876 ::Boulakia ::1534 
::Organization ::1615 ::AgrawalJKL06 ::GaoZCLLC08 
::AgrawalLSS95 ::LeFevreDR06 ::Miller ::DuKS92 
::Pfeifle ::ZhangDH08 ::Ivan ::GoelSYZ02 
::1200 ::Available ::Mi ::Manolis 
::QoSMig ::ContinuouslyMoving ::Alejandro ::Donald 
::Hyun ::BaralisCMPRR97 ::Henry ::Shuang 
::UNIDOOR ::Process ::Understanding ::ManjhiSDO05 
::PaduaW86 ::tse ::Gignere01 ::Authority 
::KimGBW90 ::245 ::YiuJHL08 ::Sharing 
::Brzsnyi ::1123 ::Ailamaki ::Optimizing 
::Testing ::BorgBG83 ::Quantiles ::PolyzotisG06 
::De ::1539 ::DaudjeeS06 ::22850483 
::1607 ::914870 ::P380 ::Array 
::dpd ::1408 ::Filters ::Mortazavi 
::JohnsonS97 ::Kishan ::ZhouP08 ::4497441 
::Incremental ::Subbu ::1527 ::4497464 
::Zadeh65 ::Kai ::3D ::Kevin 
::Cahill ::22850619abs ::Keijzer ::Lucchese 
::Filho ::4497448 ::SEA ::into 
::NFMi ::Verifying ::Popa ::SmithC96 
::4497412 ::AbiteboulMPPS08 ::P532 ::Pajarola 
::JainDG08 ::Fernndez ::1506 ::Kotagiri 
::Annotation ::HOLAP ::GhandeharizadehHJ96 ::Definitions 
::inWireless ::SolworthO91 ::Schallehn ::Torlone 
::XQSE ::Marios ::Constraints ::Chang82 
::Automated ::Ying ::Research ::Rao 
::Independent ::Zhiyong ::22850155abs ::60 
::Koloniari ::Satisfying ::Granular ::Multimedia 
::Weihl88 ::4497403 ::Reiss ::Huabei 
::Z ::614 ::804 ::WangRM06 
::Signal ::ChaAHS05 ::15310277 ::DeeringC90 
::Algebraic ::386 ::441 ::BhowmickP06 
::257 ::1287 ::Memoriam ::901 
::Felber ::Display ::HasanM94 ::Rong 
::Length ::k ::15310369abs ::Multivariate 
::Kreher ::Cameron ::Gagan ::LinAGD08 
::Electronic ::FlicknerSAHDGHLPSY95 ::Arjen ::Navigation 
::4497459 ::Dimitrios ::Etoh ::ChenHY96 
::Young ::342 ::P466 ::Iida 
::Constrained ::BunemanNTW95 ::4497550 ::Soumen 
::Rundensteiner ::Hiroko ::Idreos ::22850804abs 
::1084 ::Sakuma ::FranklinCL92 ::Bee 
::kl ::Hsiao ::Logan ::cs 
::Fudos ::Cranston ::Composition ::1500 
::Seltzer ::Wilfred ::Authors ::Jos 
::Guttman84 ::Sun ::Harumoto ::Bingsheng 
::Jiong ::Prabhakar ::KoudasS98 ::GeorgakopoulosHM96 
::Prakash ::396 ::LeeLL06 ::Candan 
::380 ::BentleyM80 ::Suel ::4497496 
::Russakovsky ::Hulgeri ::Arnon ::debu 
::139 ::ibmsj ::BohmMW01 ::1000 
::914839 ::Omran ::BargaP95 ::P602 
::1364 ::Shaull ::Ad ::ShrivastavaMR08 
::Skeen ::4497550 ::Cha ::Salt 
::AthitsosPPK08 ::Willis ::Kamath ::Convoy 
::PuHK06 ::PatelD96 ::PageRank ::301 
::4497540 ::Reduction ::WangR91 ::Antal 
::15310129abs ::Problem ::Techniques ::Oriented 
::15310441abs ::Cui ::IvanovaKN08 ::Service 
::PeiJZ05 ::Masato ::Jacobsen ::22850502abs 
::22850341abs ::Krishnaprasad ::Toivonen ::George 
::Jabeen ::130 ::Scrutinizing ::Extensions 
::Rule ::15310176abs ::15310628abs ::278 
::4497411 ::Stucki ::Rahul ::15310275 
::Phantom ::UNIDOOR ::Electronic ::Charging 
::Designer ::84 ::Chu ::SuleimanCF98 
::WilkesGSS96 ::Cai ::ChongDFSYJTK01 ::ZhouZVQ08 
::Huajun ::KreveldO91 ::912 ::Ashish 
::icde2005 ::Il ::Denzel ::Alberto 
::and ::Gignere ::580 ::1345 
::Marcin ::String ::Clusters ::Link 
::Baile ::Workflow ::22851135 ::Capturing 
::1525 ::Freiwald ::Attributes ::NAGA 
::NagarajNRS08 ::Pietzuch ::Packets ::Scenarios 
::734 ::Pitoura ::BargaL01 ::511 
::Chee ::Jure ::Schneider ::Naga 
::Volumes ::383 ::418 ::PrefixSpan 
::Manjhi ::49 ::Order ::CareyFLS91 
::Yi ::Yoji ::T ::ee 
::Relations ::ChenLGKP94 ::Zimmermann ::Cox 
::ChakravarthyL98 ::Properties ::Device ::Under 
::1 ::594 ::Places ::AcharyaGJKST08 
::Shekita ::Regnier85 ::YiN05 ::Heinlein01 
::625 ::489 ::v8 ::Land 
::Wrapper ::Masaru ::Expressivity ::FarfanHRB08 
::BryanEF08 ::732 ::RoussopoulosL85 ::Anand 
::4497437 ::SchallehnSS02 ::ke ::Ordering 
::JiangLWY02 ::CNN ::Rajagopalan ::Nogayama 
::1599 ::Lomet ::ChangMZS98 ::Heinlein 
::GedikWYL08 ::270 ::BertinoOYD05 ::Tadashi 
::Leymann ::ChenH01 ::Active ::4497459 
::Ramon ::1547 ::148 ::157 
::BadrinathR92 ::1588 ::Scrutinizing ::AxPRE 
::Girod ::TungHH01 ::EswarranGLT76 ::Elements 
::coopis ::P069 ::Zuzarte ::Scheduling 
::Ellmann ::Yipu ::ijcai ::640 
::DeRoseCGSDBZ08 ::Teoh ::toplas ::Reducing 
::Defined ::its ::Kumar05 ::15310341 
::Grzegorz ::Graphs ::Transfer ::RiTE 
::4497542 ::Maurice ::Yuhui ::4497581 
::1482 ::Ouri ::Rahm ::EstanN06 
::1149 ::DeFazio ::Salzberg ::Extremely 
::Pablo ::Mehta ::4497459 ::Indrakshi 
::BrantnerKMH06 ::Schlimmer93 ::Dimitrios ::Kjetil 
::Chih ::Schwarz ::Dense ::Gu 
::EppingerMS91 ::15310485 ::P276 ::1576 
::Bry ::Workloads ::Vlachos ::Inseok 
::views ::Farhana ::Bogdan ::Tolani 
::Nodira ::C ::Boolean ::PETRANET 
::15310264 ::GrayC89 ::Sundaresan ::Anja 
::ZhouP08 ::943 ::Hao ::79 
::Zhaohui ::dexa ::P086 ::Tania 
::YipCN05 ::Samuel ::Ceri ::8i 
::Primary ::Lived ::4497563 ::AfanasievGMRT08 
::Seshadri01 ::Yangjun ::ChaudhuriDK06 ::914867 
::256 ::ZhangAO05 ::Aleksandras ::Loosely 
::4497414 ::elmagarmid92 ::22850547 ::Butterfly 
::Ursino ::Lomet93 ::72 ::LiC08 
::Liadan ::Jiawei ::Sessions ::Profiles 
::Kit ::ThomsenPL08 ::SinghMSPHNC08 ::GawlickK85 
::Boualem ::Venkitasubramaniam ::DeshpandeH08 ::4497607 
::Geometric ::Colby ::Features ::Alink 
::Marinoiu ::hoc ::ChenSZ05 ::Orchid 
::Shu ::388 ::22850767abs ::Monica 
::Ivanova ::Jia ::Market ::SardarK06 
::XSEED ::Marios ::372 ::Declarative 
::Gene ::MaddenG08 ::PatonDWCDJ93 ::Availability 
::HaraHTN97 ::Optimal ::278 ::HenrichSW89 
::VeeSSBA08 ::10010143abs ::Hisashi ::Chee 
::914844 ::Optimizer ::1150 ::1024 
::Karthikeyan ::Enderle ::15310673abs ::Nrvg 
::Georges ::Shape ::driven ::Anne 
::of ::Lopez ::AquaLogic ::SchmidtKW01 
::WangZZ06 ::255 ::Naughton ::262 
::Yuhui ::Ariel ::LiSDKG01 ::BorzsonyiKS01 
::k ::ChengYHY08 ::KrishnaprasadLMWA05 ::Narang 
::Arnd ::Methods ::Anonymous ::Kim95 
::Frederick ::spieSR ::Conceptual ::CobenaAM02 
::132 ::French ::AdaliCPS96 ::Definitions 
::Jing ::Synopses ::Ailamaki ::Idreos 
::753 ::Schlatter ::constrained ::MohanLO86 
::Jabeen ::Annotator ::Aggarwal02 ::Renner01 
::424 ::533 ::Lookups ::1453 
::Koutrika ::Bulut ::Schmidt ::Manolescu 
::James ::Ferlez ::Main ::22851140 
::Tears ::Syan ::Borr81 ::Usama 
::Jianyong ::BonczQK96 ::Subrahmanian ::LiuL02 
::Balazinska ::Integrate ::Flooding ::Rich 
::Bundles ::Wright ::Markl ::Teixeira 
::Kazuhito ::SaveRF ::Everyplace ::Latent 
::PeiHL01 ::214 ::Andrea ::Virtual 
::Accelerating ::GuptaCG08 ::Filters ::Dinh 
::FeeleyMPKL95 ::Text ::82 ::GedikWYL08 
::Bowman ::Use ::Mong ::Skyt 
::Roussopoulos ::Extremely ::Brian ::Smith 
::Bukhres ::Ho ::Cordova ::Ugur 
::KimPC01 ::Qiang ::Mukhopadhyay ::Miyuki 
::4497519 ::Kersten ::Stefanakis ::Marcin 
::Neeraj ::Skeen02 ::Hypermedia ::PGM 
::Analytical ::Medical ::22851133 ::Hellerstein 
::WilkesGSS96 ::QPipe ::Schek ::1627 
::Tung ::1349 ::1384 ::Deletes 
::Jin ::Flexible ::Gerald ::Stephen 
::KreplinZ01 ::Jinchuan ::Class ::P351 
::Transactions ::827 ::Legacy ::1361 
::1032 ::Dumas ::1035 ::Framework 
::4497522 ::Ono ::4497407 ::269 
::LittleAFGRSV93 ::Sugata ::Alan ::405 
::1013 ::490 ::Estimation ::Milind 
::Charging ::Helen ::Jiang ::Schneider 
::Sharing ::Ansorge ::Chang ::Brantner 
::Bases ::744 ::Scannapieco ::556 
::259 ::Xiaochun ::Generalizing ::GeZ08 
::Aggarwal02a ::Numerical ::Ching ::1331 
::Balakrishnan ::Validating ::Palopoli ::Harwood 
::Bringing ::ShaoNS05 ::AggarwalY08a ::Conference 
::Mourad ::icde ::Committees ::Gryz 
::Megalooikonomou ::TaoPZ02 ::Matchings ::151 
::40 ::Lucchese ::Ludscher ::micro 
::Determine ::1126 ::WRAP ::Mix 
::Chitta ::Aboulnaga ::P046 ::Tree 
::Goethals ::Output ::CosmadakisKV90 ::good 
::Tuncel ::Sensitive ::Tomkins ::388 
::72 ::Replacement ::BernsteinGW93 ::151 
::GrayR93 ::Box ::Algorithm ::Yossef 
::209 ::Moshe ::Divesh ::Rost 
::Maximum ::Active ::BrinkhoffKS93 ::GirodMNRTBM08 
::1131 ::AgrawalS89 ::Dynamic ::Zwaenepoel 
::Matrix ::JadavGL97 ::EsterKSX96 ::Huan 
::TAR ::1033 ::fodo ::Anne 
::Correctness ::mss ::P402 ::Green 
::4497560 ::BerchtoldKK96 ::Dik ::Mummoorthy 
::Farhana ::314 ::Pessimist ::Divyakant 
::Mullin90 ::Gunopulos ::WidomC96 ::Incremental 
::GruenwaldBP06 ::THALIA ::SmithS96 ::Flattening 
::OzdenRS98 ::Your ::Sattler ::Pirahesh 
::2285 ::159 ::4497620 ::PopivanovM02 
::GoldsteinRS98 ::Scale ::Theodoridis ::Tomography 
::Xiaohui ::4497492 ::MoonWL01 ::Polynomial 
::KimGBW90 ::temporal ::Regulation ::Liuba 
::1033 ::over ::Middle ::Extraction 
::605 ::Dong ::Kanthi ::AntonyWAA08 
::790 ::TuckerM02 ::Dou ::CandanPS96 
::890 ::Tobias ::FukudaMMT96 ::LiebermanSS08 
::LuoNEW05 ::Chang ::Tatemura ::Streams 
::574 ::Khatchadourian ::YangLYX05 ::designed 
::MalikBC05 ::1132 ::AtzeniCB05 ::is 
::1548 ::WangLFY02 ::Mikhail ::P514 
::Nehme ::Imprecise ::KistlerS92 ::Haibing 
::227 ::Valduriez87 ::Curt ::Sarbanes 
::Reinhard ::AgrawalBGKLR05 ::dimensional ::22850490abs 
::DrivenWeb ::1346 ::DHT ::Harchol 
::22850217abs ::Ahmed ::LaiTB05 ::1564 
::Sedmidubsk ::Snodgrass87 ::Prefix ::ShivakumarGC98 
::314 ::Carl ::Against ::Silberschatz 
::Maximum ::307 ::Khatchadourian ::YangW01 
::Forms ::790 ::Progressive ::HanFWCGKLLRSXZ96 
::Tuncel ::delay ::ArocenaM98 ::GawlickK85 
::HuangJLO06 ::4497522 ::71 ::558 
::Harinarayan ::Grid ::JadavGL97 ::Mendez 
::SayedRM06 ::490 ::rtdb ::Charuta 
::Zhen ::Xiaohui ::Generalized ::GuoSBS05 
::Eric ::Condit ::Andrzej ::Mostafa 
::Wouter ::Jimeng ::4497495 ::Prodromos 
::Sing ::Saenz ::4497521 ::Replicated 
::Livny ::Verykios ::Sam ::Lan 
::140 ::Consistent ::LianCY08 ::Kaushik 
::Memory ::Anti ::Legaria ::Relative 
::ShanADDK95 ::4497527 ::Samet90 ::Dyreson96 
::Vassalos ::KoloniariP08 ::22850705abs ::ElghandourAZCBBZ08 
::Closed ::oodbs ::icmcs ::Minos 
::Qixiang ::1556 ::523 ::Sebastian 
::P362 ::Output ::1421 ::1333 
::Rainer ::Provenance ::Takahide ::Internal 
::JermaineO02 ::Ogawa ::ChakravarthyL98 ::Y 
::Lang ::Issues ::Platform ::rtdb 
::938 ::Length ::X05p ::AlonsoC05 
::Hubert ::Pessimist ::958 ::Raymond 
::15310492 ::Glimcher ::161 ::XiongMA05 
::KaufmanR90 ::Iceberg ::Sridhar ::Busatto 
::1003 ::Multivariate ::Xinqiang ::15310498 
::Junghoo ::http ::Shahan ::BunemanCFHMV05 
::Party ::473 ::Davood ::Uchiyama 
::Pipelined ::Panagos ::RafieiM97 ::1249 
::Xuqing ::Serialization ::Nicole ::JainMTC95 
::Longxing ::Binnig ::BernsteinL96 ::Elegant 
::ZhangS06 ::Melanie ::22850360abs ::Grandison 
::Workflow ::Kurul ::Yalamanchi ::Air 
::Histories ::efficient ::aw ::Composition 
::4497523 ::Digital ::Ganesan ::Rantzau 
::COUNT ::ShafiqSBG06 ::SECONDO ::22850516abs 
::Moshchuk ::Shah ::Sakuma ::AgrawalS96 
::SistlaYH94 ::ht ::Bosworth01 ::Aboulnaga 
::Chasing ::large ::Integratio ::DeRose 
::Vclav ::Mauroux ::104 ::EvangelidisLS95 
::914878 ::Abbadi ::Mong ::Stonebraker96 
::4497434 ::691 ::JohnsonMSS08 ::Boualem 
::4497627 ::162 ::GaoZCLLC08 ::Tata 
::Qigang ::Partition ::Pavel ::JinXDW02 
::ddb ::Schoning01 ::v8 ::ZhangCMS97 
::Shrira ::1399 ::Unstructured ::IlyasA05 
::LiuYCW08 ::AikenCSW96 ::15310453 ::Padmanabhan 
::over ::Boat ::Di ::iandc 
::sup ::Administration ::Sheth ::Miyuki 
::Market ::143 ::1099 ::SametA95 
::Simplicity ::Vu ::Sndor ::Rezgui 
::Wesley ::Compressing ::Streams ::Munir 
::MannilaR87 ::Sattler ::Roller ::Logging 
::Dao ::Felix ::HernandezPVMNH02 ::157 
::End ::Bettina ::Schwarz ::TanGO01 
::Imprecise ::Arnd ::Hannu ::Closed 
::We ::Pu ::Rakesh ::1459 
::Agesen ::Kumar05 ::Analyzing ::Yihong 
::Accessibility ::Outlier ::Haojun ::Experiment 
::1572 ::Wenliang ::Krauthgamer ::Mingzhe 
::Warehouses ::Sensor ::Bowers ::Melanie 
::Hyon ::Labeling ::Navigation ::With 
::Configurable ::BeckmannKSS90 ::Miah ::Govi 
::716 ::22850310abs ::Bowman ::4497412 
::Moon ::Networking ::1111 ::TORPEDO 
::ZhouW08 ::Compiler ::FaloutsosBFHNPE94 ::Nobutoshi 
::e ::Jialie ::Dinesh ::Stack 
::89 ::Aggregationin ::MDL ::SchmidtKW01 
::Judice ::Bolin ::Hmmer ::AlonsoAAKGM96 
::Integrating ::HartDV88 ::183 ::1125 
::15310503 ::2006 ::Mei ::CruzALRZ97 
::Kaname ::Pin ::Intersection ::Shuai 
::741 ::SedmidubskyBDZ08 ::4497603 ::GuptaHQ95 
::Xiangdong ::914847 ::22851133 ::ShalemB08 
::Replica ::Regulation ::Orchid ::Joxan 
::Meo ::WuWLM06 ::Morishima ::TokOLAB02 
::Panagiotis ::1495 ::Economically ::Theoretic 
::Placement ::Era ::Zezula ::Prado 
::Portal ::clustering ::Copy ::1149 
::SherkatR06 ::JaberV06 ::Peer ::LuccheseVRY08 
::Sullivan96 ::Pilania ::Bringing ::Nejdl 
::Xia ::Joins ::Evaluation ::Expressivity 
::Gounaris ::WangZZ06a ::books ::914841 
::1328 ::4497587 ::Profiles ::Laks 
::ZhangLRB08 ::15310266 ::micro ::Its 
::Pandis ::Pathak ::4497564 ::Elegant 
::Simonas ::MolinaS87 ::Bedell98 ::Gattu 
::YangP08 ::Jianzhong ::CormodeKMS05 ::22850514 
::KornMW06 ::Nicoleta ::Muralidhar ::1427 
::KatayamaS97 ::RoschGL08 ::OrjiS93 ::ShkapenyukS02 
::15310483 ::Nasi ::Papotti ::4497501 
::1527 ::1547 ::Sayed ::Dominance 
::XiaZ06 ::HwangBRCSZ05 ::Jrme ::HamakawaR94 
::933 ::277 ::GardarinGT95 ::Region 
::Charging ::HungDS05 ::Peer ::914834 
::Environmental ::Discovering ::Stonebraker94 ::Smriti 
::ChangC02 ::132 ::Bhat ::4497456 
::594 ::R ::Salzberg86 ::ONeil87 
::Johnson ::KistlerS92 ::22851122abs ::4497442 
::Shapes ::52 ::Ladin ::36 
::Goldin06 ::Arumugam ::Luca ::Dik 
::Graphics ::519 ::1552 ::Erich 
::AkindeCJK01 ::Aggarwal08 ::4497426 ::656 
::sebd ::Palios ::22850502abs ::Samet 
::514 ::Guo ::Yeol ::526 
::GedikWYL08 ::Juchang ::Pandis ::Davey 
::Sang ::Gen ::1145 ::Rafiei 
::481 ::NET96 ::15310279 ::Lived 
::Babu ::Prediction ::4497595 ::Yu 
::267 ::Tool ::Levandoski ::over 
::GeorgakopoulosHKM94 ::Collection ::Rajamani ::160 
::Sensing ::Mal ::Gting ::Friedman 
::mm ::Jun ::Lewis ::287 
::dl ::4497625 ::Fischmann ::Inter 
::15310496 ::MolinaKS98 ::4497406 ::ThuraisinghamHRM98 
::Automating ::Alexandros ::Souripriya ::Janine 
::517 ::Jiying ::Hae ::914823 
::Santos ::Elmeleegy ::Randal ::Kreutz 
::IMAX ::Haas ::Hanyu ::548 
::Mostafa ::Statistical ::1491 ::Weidong 
::KahveciS01 ::RelaxImage ::Liangzhong ::Piotr 
::Webs ::914844 ::Dale ::Smodels 
::YiN05 ::353 ::Elena ::600 
::Panella ::Cormode ::4497589 ::TaniguchiS05 
::Tarik ::240 ::15310264 ::68 
::79 ::LiHYX05 ::Parking ::Skew 
::902 ::Kementsietsidis ::Hypermedia ::KellerB96 
::Ming ::von ::Constant ::77 
::Hang ::257 ::424 ::Guttman84 
::Vasilis ::Moshchuk ::PatonDWCDJ93 ::Trial 
::168 ::RooholaminiC95 ::New ::732 
::SchroederHIN06 ::864 ::4497581 ::Tran 
::Tingjian ::Scripting ::P380 ::MogiK94 
::4497403 ::4497552 ::Counting ::Directed 
::CareyHSACFFLNPTWW95 ::Hou ::Georgia ::Himanshu 
::865 ::Vaidya ::fAST ::4497420 
::Kemme ::914858 ::Nick ::Aritsugi 
::4497590 ::GionisMT05 ::IHE ::EltabakhEA06 
::Has ::KaF02 ::Neil ::183 
::ChenD97 ::Algebra ::Mema ::SchallehnSS02 
::icde2001 ::Postgres ::Allocation ::1125 
::Konrad ::Margaret ::WilkesGSS96 ::1390 
::LuccheseVRY08 ::Gang ::LevandoskiKM08 ::4497465 
::4497591 ::Sup ::120 ::Russakovsky 
::1053 ::Widmayer ::Lindsay ::NaumannHTHM02 
::661 ::Sang ::Correlated ::914811 
::Ashwin ::Robinson81 ::Citizens ::Space 
::186 ::Kasthurirangan ::231 ::won 
::MiniCount ::Miner ::Simon ::Overcoming 
::Zhewei ::22850417abs ::KoutrikaI05 ::Regnier85 
::GeorgakopoulosHM96 ::Sideways ::4497456 ::Constant 
::sigir ::Ari ::Aliekber ::LittleAFGRSV93 
::914866 ::371 ::284 ::GeZ08 
::ChaudhuriKPS95 ::Boncz ::Telecommunications ::ArefS94 
::4497593 ::Synthesizing ::After ::LinAGD08 
::Active ::MobiQual ::Meichun ::151 
::Reification ::Preference ::YounSun ::Latanya 
::Cahill ::15310029abs ::1576 ::Jazayeri 
::Associations ::393 ::580 ::is 
::WWW ::tse ::27 ::Morzy93 
::k ::NievergeltHS84 ::Bosworth01 ::Clio 
::Sets ::Corruption ::Ha ::Shinn 
::CareyD96 ::914850 ::15310628abs ::Nagesh 
::Clip ::Mylopoulos ::Yu ::308 
::Nguyen ::Environments ::320 ::Seshadri 
::ChrysanthisR90 ::22850668abs ::4497577 ::Rau 
::Bukhres ::Lang ::180 ::Maher 
::Dam97 ::Science ::Private ::Farfn 
